;x_mean;y_mean;z_mean;x_min;y_min;z_min;x_max;y_max;z_max;x_std;y_std;z_std;x_med;y_med;z_med;activity;sma;smv;tilt;x_psd;y_psd;z_psd
14;-5.704857346153847;-9.435773942307689;-6.864363846153845;-47.382675;-26.069803;-26.385654;7.771888000000001;1.0241280000000001;3.007778;10.442330878089825;5.790588753229211;6.523831121451588;-2.696711;-8.224131499999999;-6.172285499999999;backward_180;24.159179788461547;810.0553890097153;1.82716191671408;7253.516644221127;6339.835977857563;4620.792530206202
8;7.673046038461537;-8.044485615384614;0.9342131346153835;-6.300301999999999;-18.884157000000002;-11.66501;49.390251;3.5796629999999996;19.786251;12.300588902271558;4.996697603967646;7.4372170504657715;3.999603;-8.136793;0.6675975000000001;backward_180;22.471273596153846;778.4918049427234;1.1316807619281997;10778.061900911212;4638.431272659057;2866.3052876488496
20;-6.231379450980393;-10.377202647058825;-4.557248019607844;-65.417381;-28.608587;-22.578674;15.653846;-2.057827;8.389236;12.698532742085687;5.634301267332413;7.570032025764878;-3.404987;-9.200403;-2.7780669999999996;backward_180;25.22921831372549;862.7464709158247;1.84621705152412;10042.97127305825;7079.27061223754;3924.463228678496
12;9.99774472222222;-10.509542944444448;-4.9744123888888865;-18.96312;-29.290543;-48.579086;54.721462;3.407379;7.527819999999999;16.40981162027555;6.589779366126409;9.720383771619149;6.725028;-9.8045905;-2.9108685000000003;backward_180;32.07374927777777;1151.2959934424618;1.289727472069305;19669.50619754432;8265.861797654534;6343.968660576004
16;-3.7975502156862744;-8.999968921568625;-6.266427156862745;-45.064029999999995;-27.137001;-21.291335999999998;18.3027;4.948357;5.668597;12.449619169800227;6.330157166027775;7.3761056718965134;-0.8518450000000001;-8.571091000000001;-5.862415;backward_180;25.461791078431375;871.3367068106228;1.6768476669378607;8485.141643326468;6134.5159573799;4723.020319074807
34;-7.751290901960784;-10.819687078431372;-2.7863715098039212;-50.277988;-25.055246;-15.907485000000001;13.622339000000002;-1.509871;10.030712;12.390647042240415;5.358955334054064;6.178561409855822;-5.78106;-10.265209;-2.301895;backward_180;25.476851725490196;860.0143123344142;1.95766398209555;10740.614749256876;7406.267165853243;2304.688230490976
32;-2.878565705882354;-9.041163058823528;-4.704054725490196;-34.875389;-29.278578000000003;-19.568504;23.631516;2.816352;8.683553999999999;11.16781250921401;7.223589718508326;7.406310160899668;-0.308674;-6.463014;-4.460221;backward_180;24.014039647058826;821.0168187615538;1.691510381737686;6658.594978725028;6777.88652333496;3871.206183853021
12;-4.500430313725491;-9.227334078431369;-5.226159235294117;-48.25127;-33.22913;-21.808186;13.050455;-2.218147;7.453641999999999;11.029539570188142;5.617495050425458;7.323613603374731;-1.217947;-8.080561999999999;-4.996214;backward_180;23.226285;809.7352906033409;1.7708160757015918;7115.484679960961;5920.140936021753;4074.715568561921
1;8.851958706896552;-9.338980482758622;-5.312850258620691;-27.148965999999998;-22.971098;-29.979675;30.762128999999998;2.823531;12.547962;11.899992707857686;6.921856381845246;7.973282913464384;5.412565;-9.250652;-4.398008000000001;backward_180;28.31996386206897;1071.2374303546933;1.1641202191499829;12616.476138501659;7789.5497334669235;5260.80462032466
7;6.882494192307693;-8.42043496153846;-1.5828521538461535;-7.661817999999999;-19.010977;-12.476177;39.873996999999996;-0.23928200000000002;7.101897999999999;10.499397710621217;4.140247371751767;4.214906231139493;6.570691500000001;-7.7742805;-0.6257235;backward_180;20.38786130769231;720.7903709787515;1.255064424554451;8085.278734547454;4561.217760222128;1036.3190503308658
1;-4.221520257142856;-5.955051942857142;-5.853938157142859;-34.578678000000004;-22.576283;-22.432713;12.581462;6.290731;13.007384;11.152907959856412;7.192526204548024;6.253116444416747;-1.7551355000000002;-5.07757;-5.749953;backward_180;23.24035855714286;1043.64260239192;1.7024070654632466;9830.213891013691;6051.922945963452;5096.802539788742
3;-6.889405470588233;-9.085031568627452;-3.25681931372549;-64.431534;-19.070797;-16.788044;11.930614;-0.748953;11.935399;14.094919562593896;4.960135904692297;7.358018618484195;-3.3188449999999996;-8.784052;-3.1250259999999996;backward_180;24.44301180392157;834.1146844402689;1.925611727637815;12353.997168446338;5439.575138401711;3247.972373653027
21;-6.492878269230768;-6.924874807692309;-4.944721961538462;-45.217171;-24.705894;-38.321056;11.688938;2.246861;4.094119999999999;13.069714105613365;7.659150999541031;8.059130047137364;-3.064009;-6.7609205;-1.6833505;backward_180;23.486520615384613;800.3709565579079;1.922330716407337;10903.87711431647;5485.394633037292;4583.842747350166
11;-4.134981538461539;-6.777255961538459;-3.041185557692309;-61.584076;-19.671394;-23.83012;15.902698999999998;0.29671;8.896514999999999;14.89712417237571;5.277623241649518;6.16052135742461;0.8949159999999999;-5.339584;-2.556731;backward_180;21.014826865384613;730.7862951944652;1.5280127103992447;12207.239499783938;3808.940976267606;2416.491292167969
32;1.8755349295774657;-5.909328323943662;-0.9074863661971831;-15.017354999999998;-20.047068;-12.679567;29.111079999999998;0.066999;10.956735;10.832465381659258;5.709011051982544;5.423491284004691;-1.3399809999999999;-5.213961;-1.184447;backward_180;18.515526802816904;861.8783817822695;1.7843787301072669;8463.713257455862;4760.827951467677;2117.4687763804372
27;5.166472192307693;-5.667492442307691;-1.8634106346153847;-10.727024;-25.591238;-19.645075;38.053059000000005;3.680161;10.557134;12.227348005852384;6.565847300927022;5.961958475311;0.832702;-4.8849475;-0.6137589999999999;backward_180;20.134452115384615;704.8180346810692;1.3787318627588934;9012.91661758955;3868.892360081593;1993.3519499742472
25;-2.9682044230769233;-6.735289615384615;-3.8271818076923063;-27.981668;-24.937998;-25.268207999999998;13.050455;2.723032;9.329616;9.278451241904262;6.9353157703790895;7.266341511485941;-3.091527;-5.822934;-1.7802600000000002;backward_180;20.228922692307687;689.0218628154201;1.703050489657593;4848.704879721152;4811.963409139921;3454.4463376735434
0;2.814410924528301;-4.818241849056605;-1.9305112452830193;-20.94677;-17.481962;-18.778872;34.085758;3.0939200000000002;9.463614;12.690464951131139;5.687654185494779;5.23170899449354;0.935594;-3.926622;-0.899701;backward_180;19.097704471698112;669.0868900324127;1.4723494214761719;8794.299004307695;2912.588416304388;1620.8048125720622
21;7.64980801923077;-8.399221711538463;-1.2320735576923076;-7.513463000000001;-24.827929;-14.112867999999999;57.85606;2.490928;10.514063;14.435995897169605;6.547154995216602;5.454516300698753;5.316852;-6.309873;-2.4646074999999996;backward_180;23.666350519230768;840.8867147022384;1.3065654498177997;13671.314116714524;5854.567283798986;1596.2754248853666
4;-5.952826607843139;-9.217950392156864;-8.050628254901962;-60.729839;-23.368305;-21.339191;17.443678;-1.01695;3.237489;14.037853346003384;5.602146476938292;5.747296515595972;-2.9671;-8.530413000000001;-7.575676;backward_180;26.495068156862743;896.7568163222725;1.7844292287788925;11660.309703970219;5902.703338499112;4957.014242138994
