;time;x;y;z;activity
12;1970-01-01 04:18:40.246571008;-2.057827;2.569891;-2.378466;backward_180
885;1970-01-01 09:53:22.512257024;-5.398208;-3.5198419999999997;-3.6394830000000002;backward_180
314;1970-01-01 09:51:13.430454272;-3.9050870000000004;-8.843872;-13.110275;backward_180
929;1970-01-01 10:00:05.788295168;-28.405196999999998;-10.253245;-6.769295;backward_180
794;1970-01-01 09:53:18.827560960;-10.052247999999999;-8.338987;-6.656833;backward_180
466;1970-01-01 04:18:53.191241728;4.151547;-2.699104;6.412765;backward_180
287;1970-01-01 09:53:02.285225984;-1.457229;-4.804787999999999;2.28036;backward_180
1056;1970-01-01 04:19:39.328585728;-5.4341;-20.810379;-4.146761;backward_180
748;1970-01-01 04:19:10.123646976;-6.496512999999999;-20.396420000000003;-2.464607;backward_180
86;1970-01-01 09:52:56.729870336;-25.17728;-11.657832;-7.793423;backward_180
821;1970-01-01 04:19:14.139693056;19.733608;-11.298908;1.253839;backward_180
549;1970-01-01 09:53:10.675931136;2.543571;-10.155139;-4.852644000000001;backward_180
534;1970-01-01 04:18:58.180366336;-19.278973;-5.091927;2.2875389999999998;backward_180
316;1970-01-01 09:59:44.617545728;-2.179862;3.677768;-1.612762;backward_180
19;1970-01-01 09:59:35.912267776;-15.457633999999999;-17.735601000000003;2.474179;backward_180
125;1970-01-01 04:18:42.072141824;4.821537;-13.529019;-3.1130619999999998;backward_180
401;1970-01-01 09:59:46.261712896;-10.794023;-10.755738000000001;-10.8682;backward_180
628;1970-01-01 09:53:13.913933824;2.517249;-3.129812;-4.378865;backward_180
662;1970-01-01 09:53:14.574536704;6.905686;-11.913864;-11.523833999999999;backward_180
71;1970-01-01 09:52:56.543223808;-11.650654;-16.371693;-38.639301;backward_180
989;1970-01-01 09:51:55.941822464;3.5054849999999997;-2.268396;-1.875973;backward_180
865;1970-01-01 09:53:22.126381056;-2.404787;-7.030113;-19.195223000000002;backward_180
62;1970-01-01 09:51:05.331253248;-8.855837;-6.575477;-1.720439;backward_180
68;1970-01-01 04:18:40.965894144;14.344972;-19.726429;-0.066999;backward_180
679;1970-01-01 09:51:26.757855232;9.080762;-4.606184;-1.131805;backward_180
186;1970-01-01 09:53:00.339068928;4.024728;3.692125;-4.197011;backward_180
758;1970-01-01 04:19:10.315536384;-3.5341989999999996;-13.966906;-0.20339000000000002;backward_180
266;1970-01-01 04:18:46.546415616;9.449257000000001;-3.8309089999999997;-10.042677000000001;backward_180
517;1970-01-01 09:53:10.055174144;-5.71406;-12.875778;4.596612;backward_180
455;1970-01-01 09:59:49.128519680;-6.814759;-10.660025;-12.897314;backward_180
467;1970-01-01 09:59:49.361303552;-3.9026940000000003;-10.226924;-3.897908;backward_180
991;1970-01-01 09:53:26.578634752;-8.152347;-4.005585;-4.9435720000000005;backward_180
416;1970-01-01 09:59:46.549022720;-1.892723;-8.049456;0.684347;backward_180
115;1970-01-01 09:59:37.116033024;-26.148766000000002;-18.48934;-15.093925;backward_180
659;1970-01-01 09:51:24.539068416;15.199209;-9.506684;-15.524632999999998;backward_180
430;1970-01-01 09:53:08.379549696;-19.381863;-10.040284;-5.606383;backward_180
