time; x; y; z
83473813471232; 0.260818; 2.340181; 9.863214
83473888968704; -0.043071; 1.952543; 9.573684
83473905745920; -0.043071; 1.952543; 9.573684
83473905745920; -0.043071; 1.952543; 9.573684
83473922523136; -0.100499; 1.605584; 9.332008
83473922523136; -0.100499; 1.605584; 9.332008
83473939300352; -0.100499; 1.605584; 9.332008
83473964466176; -0.100499; 1.605584; 9.332008
83473972854784; 0.016750; 1.713261; 9.573684
83473989632000; 0.016750; 1.713261; 9.573684
83473998020608; 0.016750; 1.713261; 9.573684
83473998020608; 0.016750; 1.713261; 9.573684
83474048352256; 0.112463; 2.225325; 9.559326
83474065129472; 0.112463; 2.225325; 9.559326
83474081906688; 0.112463; 2.225325; 9.559326
83474098683904; 0.122034; 2.112862; 9.760324
83474107072512; 0.122034; 2.112862; 9.760324
83474140626944; 0.148355; 2.084148; 9.714860
83474165792768; 0.148355; 2.084148; 9.714860
83474182569984; 0.148355; 2.084148; 9.714860
83474182569984; 0.148355; 2.084148; 9.714860
83474190958592; 0.148355; 2.084148; 9.714860
83474199347200; 0.827917; 2.009971; 9.267402
83474207735808; 0.827917; 2.009971; 9.267402
83474224513024; 0.827917; 2.009971; 9.267402
83474232901632; 0.827917; 2.009971; 9.267402
83474241290240; 0.827917; 2.009971; 9.267402
83474241290240; 0.827917; 2.009971; 9.267402
83474258067456; 5.185246; 5.307281; 6.673583
83474266456064; 5.185246; 5.307281; 6.673583
83474283233280; 5.185246; 5.307281; 6.673583
83474283233280; 5.185246; 5.307281; 6.673583
83474291621888; 3.393023; 3.639483; 5.173283
83474300010496; 3.393023; 3.639483; 5.173283
83474308399104; 3.393023; 3.639483; 5.173283
83474316787712; 3.393023; 3.639483; 5.173283
83474341953536; 3.393023; 3.639483; 5.173283
83474350342144; 5.845666; 2.849852; 3.622734
83474358730752; 5.845666; 2.849852; 3.622734
83474367119360; 5.845666; 2.849852; 3.622734
83474375507968; 5.845666; 2.849852; 3.622734
83474383896576; 5.845666; 2.849852; 3.622734
83474434228224; 8.353344; 0.866202; 1.320838
83474442616832; 8.353344; 0.866202; 1.320838
83474467782656; 13.057633; -5.178068; 3.115455
83474467782656; 13.057633; -5.178068; 3.115455
83474476171264; 13.057633; -5.178068; 3.115455
83474476171264; 13.057633; -5.178068; 3.115455
83474484559872; 13.057633; -5.178068; 3.115455
83474501337088; 13.057633; -5.178068; 3.115455
83474509725696; 13.057633; -5.178068; 3.115455
83474534891520; 17.572889; -9.884750; 1.136591
83474543280128; 17.572889; -9.884750; 1.136591
83474543280128; 17.572889; -9.884750; 1.136591
83474543280128; 17.572889; -9.884750; 1.136591
83474551668736; 17.572889; -9.884750; 1.136591
83474568445952; 17.572889; -9.884750; 1.136591
83474593611776; 15.969698; -15.481563; -4.335794
83474593611776; 15.969698; -15.481563; -4.335794
83474602000384; 15.969698; -15.481563; -4.335794
83474602000384; 15.969698; -15.481563; -4.335794
83474610388992; 15.969698; -15.481563; -4.335794
83474610388992; 15.969698; -15.481563; -4.335794
83474627166208; 15.969698; -15.481563; -4.335794
83474635554816; 10.868200; -14.218152; -6.865008
83474635554816; 10.868200; -14.218152; -6.865008
83474685886464; 8.506484; -11.918650; -8.628518
83474685886464; 8.506484; -11.918650; -8.628518
83474685886464; 8.506484; -11.918650; -8.628518
83474702663680; 6.719046; -12.418750; -10.849058
83474719440896; 6.719046; -12.418750; -10.849058
83474727829504; 6.719046; -12.418750; -10.849058
83474727829504; 6.719046; -12.418750; -10.849058
83474744606720; 1.174876; -14.366508; -12.155539
83474761383936; -1.296910; -14.787644; -13.756337
83474803326976; -4.620541; -14.703896; -16.084555
83474828492800; -3.206382; -14.426328; -14.883357
83474836881408; -4.333402; -16.098911; -16.881363
83474836881408; -4.333402; -16.098911; -16.881363
83474845270016; -4.333402; -16.098911; -16.881363
83474845270016; -4.333402; -16.098911; -16.881363
83474862047232; -6.264410; -14.239688; -19.578075
83474870435840; -6.951150; -9.334401; -21.312872
83474878824448; -6.951150; -9.334401; -21.312872
83474878824448; -6.951150; -9.334401; -21.312872
83474887213056; -6.951150; -9.334401; -21.312872
83474887213056; -6.951150; -9.334401; -21.312872
83474895601664; -6.812366; -7.343573; -19.290936
83474903990272; -6.812366; -7.343573; -19.290936
83474903990272; -6.812366; -7.343573; -19.290936
83474912378880; -4.572684; -7.671390; -16.826328
83474920767488; -4.572684; -7.671390; -16.826328
83474920767488; -4.572684; -7.671390; -16.826328
83474929156096; -2.153540; -6.577869; -13.899907
83474945933312; -2.153540; -6.577869; -13.899907
83474945933312; -2.153540; -6.577869; -13.899907
83474945933312; -0.145962; -5.706882; -11.447264
83474954321920; -0.145962; -5.706882; -11.447264
83474962710528; -0.145962; -5.706882; -11.447264
83474971099136; 2.419144; -5.168497; -9.492328
83474971099136; 2.419144; -5.168497; -9.492328
83474979487744; 2.419144; -5.168497; -9.492328
83474987876352; 5.017749; -4.175476; -8.872586
83474996264960; 5.017749; -4.175476; -8.872586
83475013042176; 8.097312; -1.646262; -9.221938
83475021430784; 8.097312; -1.646262; -9.221938
83475046596608; 17.505890; 4.484149; -8.458628
83475063373824; 17.505890; 4.484149; -8.458628
83475080151040; 19.996819; 4.084548; -3.716053
83475096928256; 19.240686; 4.426722; -1.801795
83475105316864; 17.742781; 6.094519; -4.132405
83475122094080; 15.613168; 4.228117; -4.445865
83475130482688; 15.613168; 4.228117; -4.445865
83475138871296; 13.378271; 2.304288; -2.072184
83475147259904; 13.378271; 2.304288; -2.072184
83475155648512; 13.378271; 2.304288; -2.072184
83475164037120; 11.490335; 1.150948; 0.803988
83475172425728; 11.490335; 1.150948; 0.803988
83475189202944; 10.042677; 0.234497; 4.029513
83475197591552; 10.042677; 0.234497; 4.029513
83475205980160; 8.300702; -1.646262; 6.563512
83475231145984; 6.838687; -5.716453; 5.814559
83475239534592; 6.558727; -13.268202; 4.838287
83475247923200; 6.558727; -13.268202; 4.838287
83475256311808; 7.405786; -21.863220; 7.719246
83475273089024; 7.405786; -21.863220; 7.719246
83475281477632; 4.948357; -27.960133; 11.619547
83475298254848; 1.753939; -31.762327; 12.813565
83475315032064; 2.124826; -33.700516; 9.272188
83475331809280; 6.503692; -37.095928; 1.871187
83475356975104; 11.291730; -34.755749; -3.165704
83475373752320; 14.809179; -24.354149; -4.981857
83475390529536; 11.523834; -14.091332; -6.855437
83475415695360; 5.429315; -11.172089; -5.106284
83475432472576; -2.323431; -11.732010; 0.203390
83475449249792; -17.158932; -3.541378; 5.802595
83475474415616; -10.911271; 1.481157; 0.083749
83475499581440; -2.471786; -1.861616; -5.431707
83475507970048; -0.047856; -7.355537; -2.988636
83475541524480; 5.022535; -14.199010; -3.610769
83475549913088; 9.623933; -17.467606; -6.745367
83475566690304; 11.205588; -14.337793; -8.707481
83475583467520; 8.568698; -19.546968; -9.226724
83475608633344; 3.555734; -19.156939; -9.903893
83475625410560; 0.902094; -11.650654; -8.221739
83475642187776; -2.419144; -11.997613; -6.769295
83475667353600; -4.304688; -3.957729; -5.879165
83475684130816; -3.976871; 1.028914; -4.314259
83475700908032; -3.728018; 5.917450; -6.623333
83475726073856; -0.959522; 10.064212; -5.175675
83475742851072; 1.241875; 9.001799; -4.113262
83475759628288; 2.998207; 8.037491; -2.998207
83475776405504; 5.881558; 5.441278; -0.619741
83475801571328; 8.209774; 3.996014; -0.514457
83475818348544; 10.152746; 2.682354; -0.483350
83475835125760; 12.607782; 0.033500; 0.339781
83475860291584; 15.890736; -6.240481; 3.268596
83475877068800; 17.718851; -11.528620; 5.242674
83475893846016; 18.348164; -18.888943; 5.283352
83475919011840; 21.351156; -29.611179; 2.754139
83475935789056; 25.823341; -43.396233; -2.182254
83475952566272; 24.299114; -46.104908; -6.403193
83475977732096; 15.017355; -33.829727; -12.935599
83475994509312; 7.680961; -33.327232; -12.794423
83476011286528; -0.574277; -27.976883; -7.070791
83476028063744; -9.097511; -17.319250; -3.220739
83476053229568; -24.210579; -7.130611; -0.349352
83476070006784; -19.702501; -2.907279; -7.039684
83476086784000; -10.006784; -0.935594; -8.654840
83476111949824; -4.579863; -1.830509; -3.909872
83476128727040; 6.338587; -8.020741; 1.323231
83476145504256; 18.888943; -9.779466; -5.895915
83476170670080; 38.079380; -10.648061; -11.344372
83476187447296; 18.293129; -13.435699; -2.239682
83476204224512; 7.324430; -5.041677; 3.933800
83476221001728; 2.620141; -7.783852; 3.967300
83476246167552; -2.316252; -0.784846; -5.402994
83476271333376; -5.927022; 5.498706; -6.084948
83476279721984; -8.834301; 4.792824; -9.343972
83476304887808; -9.937392; 7.345965; -6.252446
83476321665024; -7.429714; 7.427321; -2.062613
83476338442240; -3.869194; 6.046663; -0.736989
83476355219456; -0.076570; 2.744568; 0.598206
83476380385280; 2.038685; -0.837488; -3.426522
83476397162496; 4.654040; -4.424329; -3.637090
83476413939712; 7.384251; -10.289138; -1.734796
83476439105536; 11.449656; -15.996019; 0.090927
83476455882752; 16.565512; -20.298315; -3.440879
83476472659968; 18.384056; -22.143181; -6.836294
83476497825792; 19.798214; -31.044481; -9.449257
83476514603008; 23.691338; -28.649265; -9.509077
83476531380224; 20.693130; -23.772694; -6.594619
83476548157440; 14.926428; -17.967705; -7.896315
83476573323264; 9.712467; -22.126431; -9.348758
83476590100480; 2.318645; -21.200409; -4.110869
83476606877696; -12.916456; -11.588440; -0.236889
83476632043520; -14.749359; -10.490134; -3.634698
83476648820736; -3.287738; -10.061819; -6.374479
83476673986560; -1.660619; -8.130812; -8.489735
83476682375168; 1.122234; -9.193225; -10.171889
83476707540992; 4.780859; -10.636097; -10.985449
83476724318208; 6.101698; -6.128019; -13.239488
83476741095424; 4.010371; -3.723232; -9.607183
83476766261248; 0.859023; -5.044070; -4.630112
83476783038464; -1.311267; -0.296710; -1.402194
83476799815680; -0.792024; -1.500300; -3.266203
83476824981504; 1.014557; 4.388437; -0.107677
83476841758720; 1.105484; 4.398008; -0.088534
83476858535936; 0.145962; 4.051049; -1.521835
83476883701760; 0.579063; 3.919444; -2.907279
83476900478976; 2.297110; 2.160719; -2.828316
83476917256192; 4.067799; 0.789631; -0.567099
83476934033408; 5.508278; -4.072584; 1.225125
83476959199232; 6.262017; -9.461221; 1.799403
83476975976448; 7.403393; -12.777673; 1.495514
83476992753664; 8.429914; -16.390835; 0.397209
83477017919488; 7.798209; -25.186852; -2.390430
83477034696704; 7.817351; -33.444481; -2.581856
83477051473920; 10.327422; -36.138802; -3.287738
83477076639744; 12.229716; -27.830919; -9.564112
83477093416960; 11.849257; -16.744972; -13.296915
83477110194176; 12.375679; -20.118853; -9.473185
83477126971392; 8.137990; -17.938992; -3.326024
83477152137216; -0.203390; -11.361122; -0.677169
83477168914432; -11.464013; -5.979664; -2.495714
83477185691648; -12.332608; -10.147961; -7.061220
83477210857472; -3.567698; -9.497113; -7.970492
83477227634688; -1.198804; -6.585048; -6.604190
83477244411904; 2.450250; -10.655239; -9.542577
83477269577728; 2.505285; -9.169296; -10.738988
83477286354944; 1.648655; -5.501099; -10.533205
83477303132160; 0.952343; -5.843273; -8.714660
83477328297984; -0.701097; -5.340780; -7.867601
83477345075200; 0.641276; -5.424529; -4.565506
83477361852416; -0.514457; -3.182454; -7.049255
83477378629632; 1.234697; 2.009971; -3.814159
83477403795456; 1.134198; 2.230111; -0.325424
83477420572672; 2.041078; 2.210968; 2.254039
83477437349888; 2.799603; 2.533999; 3.278167
83477462515712; 3.656233; 3.572484; 1.866402
83477479292928; 4.532006; 4.728218; -1.316052
83477496070144; 5.369494; 3.464807; -0.356531
83477512847360; 5.742774; -0.366102; 2.244468
83477538013184; 6.151947; -1.545763; 4.125226
83477554790400; 5.907879; -3.579663; 3.048456
83477571567616; 5.477171; -11.059627; -1.320838
83477596733440; 8.755338; -25.634310; -3.397808
83477621899264; 10.581061; -32.676388; -3.220739
83477638676480; 11.380264; -32.985062; -7.523035
83477647065088; 14.715859; -34.576286; -13.648661
83477672230912; 13.926228; -22.348963; -17.778673
83477689008128; 13.536198; -19.669003; -17.721245
83477714173952; 10.920842; -18.551554; -13.462020
83477730951168; 3.220739; -15.787844; -8.130812
83477747728384; -10.360922; -9.647861; -1.483550
83477764505600; -18.132811; -5.965307; -3.251846
83477789671424; -6.262017; -3.641876; -9.157332
83477806448640; -2.813959; -6.501299; -8.494520
83477823225856; 2.304288; -8.709874; -6.709475
83477848391680; 7.467999; -9.236296; -9.339187
83477865168896; 11.688938; -5.726025; -12.954741
83477881946112; 13.105490; -9.174082; -8.836694
83477898723328; 7.054041; -11.073983; -4.601398
83477923889152; 2.622534; -1.574477; -5.776274
83477940666368; -0.007178; 0.026321; -1.210768
83477957443584; -3.467200; -1.395016; -2.545963
83477982609408; -4.785645; 1.921437; -3.687340
83477999386624; -2.368894; 4.168297; -2.938386
83478016163840; 0.263211; 4.941179; -0.344566
83478041329664; 1.122234; 5.903093; 0.500100
83478058106880; 1.459622; 6.979864; -0.677169
83478074884096; 2.703890; 4.905286; -0.854238
83478100049920; 4.307081; 1.028914; -0.179462
83478116827136; 5.982057; -0.586242; 0.535992
83478133604352; 6.664011; -2.232503; 1.844866
83478150381568; 8.365308; -12.978670; 1.981257
83478175547392; 13.205988; -25.354349; -3.404987
83478192324608; 16.311872; -30.589844; -6.044270
83478209101824; 17.158932; -34.195827; -8.803194
83478234267648; 23.818157; -35.174492; -11.765509
83478251044864; 22.628923; -22.305893; -15.481563
83478267822080; 22.181465; -22.482962; -8.985049
83478292987904; 16.232908; -20.554346; -3.926622
83478309765120; 6.769295; -16.969898; -3.388237
83478326542336; -7.121040; -7.702496; -5.599205
83478343319552; -22.030718; -6.692725; -6.898508
83478368485376; -5.285745; -11.440085; -4.773681
83478385262592; 2.187040; -9.489935; -4.419543
83478402039808; 8.142776; -11.949757; -6.137590
83478427205632; 10.461421; -10.191031; -13.040883
83478443982848; 9.875179; -14.792430; -12.739388
83478460760064; 2.012364; -12.701102; -10.358529
83478485925888; -3.651447; -9.724431; -4.051049
83478502703104; -5.821737; -13.167703; -9.937392
83478519480320; -5.058427; -3.357130; -11.837294
83478536257536; -5.273781; -4.378865; -8.408379
83478578200576; -4.630112; -8.681161; -11.181661
83478586589184; -0.169890; -5.596812; -11.145768
83478603366400; 3.330809; -5.898308; -13.220345
83478620143616; 4.797609; -4.433900; -13.373486
83478645309440; 6.496513; -2.880959; -13.363914
83478662086656; 7.992028; -5.876772; -10.614561
83478678863872; 8.489735; -8.877372; -8.714660
83478695641088; 8.190632; -8.465807; -8.583055
83478712418304; 3.859623; -6.467800; -9.573684
83478729195520; -2.579463; -11.078769; -5.410172
83478754361344; -3.388237; -17.651854; -0.368495
83478771138560; 1.734796; -15.811772; -1.844866
83478787915776; -4.541577; -5.864808; -6.838687
83478813081600; -6.458228; 1.261018; -16.862221
83478829858816; 6.128019; -4.003192; -14.921642
83478846636032; 24.631716; -13.258630; -8.733803
83478863413248; 66.647285; -7.910672; -0.722632
83478888579072; 42.463032; 12.775280; -23.002205
83478905356288; 45.678986; -10.846665; 8.571091
83478930522112; 17.737995; -35.318062; 5.261817
83478947299328; 13.600804; 3.105884; 0.014357
83478964076544; 24.011974; 32.556744; 5.469993
83478980853760; 31.877184; 10.121640; 16.955542
83479014408192; 23.289343; -28.254450; 16.268801
83479031185408; 21.970898; 4.340580; 15.163317
83479039574016; 18.790836; 23.629124; 11.641082
83479064739840; 8.329415; 16.709080; 12.035898
83479081517056; 14.055440; -15.366707; 21.332014
83479098294272; 19.111475; -29.099115; 10.944771
83479115071488; 7.367501; -8.690732; 13.744373
83479140237312; 3.187240; -13.856836; 10.478170
83479157014528; -3.038885; -13.282558; 5.199604
83479173791744; -3.603591; -3.665804; 4.290331
83479198957568; -3.445665; 1.799403; 9.882358
83479215734784; -2.612962; -6.058627; 6.451050
83479232512000; -2.127219; -11.186446; 1.380659
83479249289216; -2.445465; -2.773281; -4.189833
83479274455040; 0.378066; 4.256832; -1.103091
83479291232256; 1.538585; 5.108676; -0.815953
83479308009472; 1.988436; -0.136391; -1.758725
83479333175296; -1.639084; -2.667997; -2.344966
83479349952512; -1.993221; -0.801596; 3.184847
83479366729728; 0.157926; -3.713661; 9.456435
83479391895552; 6.393622; -9.142975; 6.489335
83479408672768; 10.317851; -7.506285; -3.897908
83479425449984; 16.024733; -6.575477; -9.920643
83479450615808; 30.984661; -14.426328; -13.019348
83479467393024; 40.632523; -24.124437; -5.247460
83479484170240; 24.004797; -27.665815; -0.861416
83479500947456; 18.104095; -23.753550; 8.075776
83479526113280; 6.192625; -21.695723; 9.635897
83479542890496; -12.239287; -12.624533; -3.809374
83479559667712; -18.841085; -14.117654; -3.452843
83479584833536; -1.227518; -18.850657; 1.974079
83479601610752; 8.221739; -25.952555; 3.627519
83479618387968; 12.023933; -21.836899; 12.430714
83479635165184; 11.411371; -15.326029; 7.769495
83479660331008; 14.072190; -8.405986; 3.529413
83479677108224; 11.624332; -3.780660; 4.058227
83479693885440; 18.283558; -6.640083; 6.319445
83479719051264; 18.017954; -7.109076; 12.600604
83479735828480; 12.894921; -10.877771; 16.441084
83479752605696; 5.178068; -6.458228; 14.718252
83479777771520; -0.574277; 3.400201; 9.327223
83479794548736; -2.127219; 4.749753; 4.888536
83479811325952; -3.302095; -2.766103; 3.433701
83479836491776; -4.151547; -9.889536; 3.816552
83479853268992; -4.919643; -9.564112; 3.900301
83479870046208; -3.421736; -0.533599; 2.821138
83479886823424; -0.210568; 3.225525; -0.964308
83479911989248; 0.758525; 0.004786; -2.476571
83479928766464; 0.117248; -8.764910; -0.366102
83479945543680; 2.852245; -16.118053; 2.179862
83479970709504; 6.405586; -21.650259; -4.402794
83479987486720; 8.003992; -22.375284; -9.399008
83480004263936; 10.057034; -17.154146; -8.846265
83480021041152; 15.871593; -21.219551; -10.973485
83480046206976; 22.116859; -21.535404; -9.611969
83480062984192; 17.659031; -16.613367; -8.276773
83480079761408; 12.954741; -20.511276; -8.121240
83480104927232; 8.695518; -17.857635; -0.622134
83480121704448; -0.614955; -8.307880; 1.268196
83480138481664; -18.350557; -1.619941; 0.739382
83480163647488; -9.934999; -5.032106; -0.610170
83480180424704; 6.242874; -17.091932; 7.231110
83480197201920; 8.944371; -18.934406; 3.510271
83480222367744; 8.647661; -16.505692; 10.279566
83480247533568; 10.140782; -13.258630; 14.993426
83480255922176; 4.029513; 0.801596; 11.296515
83480272699392; -3.290131; 2.469393; 4.170690
83480297865216; 1.883151; -7.855637; 0.734597
83480314642432; 10.006784; -10.250853; -2.912065
83480331419648; 10.827522; -2.225325; 0.375673
83480356585472; 11.045269; -0.866202; 4.256832
83480373362688; 9.367901; -4.926822; 2.421536
83480390139904; 4.919643; -13.170095; 4.161119
83480415305728; 1.306481; -16.398014; 7.331609
83480432082944; 0.832702; -8.195417; 9.609575
83480457248768; 0.799203; -1.950150; 10.121640
83480474025984; -0.813560; -7.092326; 9.286545
83480490803200; -2.758924; -12.662817; 5.989235
83480507580416; -1.935794; -8.532805; 3.684947
83480524357632; 1.249053; -2.498107; 4.969893
83480541134848; 1.517050; -8.149954; 4.065406
83480566300672; 2.333002; -23.669802; -4.895715
83480583077888; 6.530013; -27.400211; -11.988042
