time; x; y; z
12329986031616; 3.462414; -6.527620; -2.196611
12330004905984; 2.952743; -5.216353; -1.205983
12330024828928; 1.591227; -4.780859; -0.045464
12330041606144; 1.907080; -5.249853; 1.447658
12330064674816; 2.593820; -2.560320; 0.890130
12330081452032; 0.351745; -1.189233; 1.832902
12330099277824; 1.663012; -4.000800; 3.239882
12330119200768; 3.261417; -4.924429; 4.201797
12330139123712; 3.376273; -4.232903; 5.213961
12330160095232; 3.594020; -2.050649; 5.190032
12330177921024; 3.620341; -0.332602; 5.067998
12330204135424; 3.783053; -1.081556; 4.883751
12330216718336; 4.386044; -1.722832; 4.431508
12330235592704; 4.766503; -3.062813; 4.010371
12330263904256; 4.699504; -4.223332; 4.512864
12330280681472; 3.582056; -2.658426; 5.309673
12330296410112; 3.232703; -1.916651; 5.460421
12330314235904; 3.378666; -4.687540; 4.208975
12330343596032; 3.565306; -6.376873; 4.295116
12330357227520; 1.773082; -5.927022; 5.264210
12330377150464; 0.866202; -4.606184; 5.950950
12330393927680; -0.193819; -4.709075; 6.427122
12330418044928; 0.011964; -6.659225; 6.242874
12330430627840; -1.182054; -7.463214; 6.891329
12330456842240; -1.725225; -8.616554; 7.032506
12330469425152; -2.100898; -8.733803; 6.881758
12330492493824; -2.663212; -8.791230; 7.587641
12330508222464; -2.715854; -10.191031; 8.305488
12330524999680; -2.854637; -11.832508; 8.595019
12330543874048; -2.684747; -10.583454; 8.068598
12330562748416; -2.337788; -8.484949; 7.594819
12330582671360; -1.261018; -7.606783; 8.252846
12330602594304; -1.543371; -7.941778; 9.109476
12330621468672; -2.677568; -10.073783; 8.020741
12330640343040; -2.352145; -11.856436; 5.663811
12330661314560; -0.981057; -11.511869; 4.381258
12330681237504; -1.115055; -11.696117; 5.139783
12330699063296; -0.887737; -12.744173; 5.077569
12330716889088; 0.433101; -14.629718; 3.381058
12330735763456; 1.361516; -13.038490; 1.672583
12330755686400; 1.098306; -14.129618; 1.014557
12330774560768; -0.212961; -15.617953; 0.157926
12330794483712; -0.232104; -14.562718; -0.141177
12330813358080; 0.949951; -12.346965; -1.899901
12330832232448; 1.134198; -10.772488; -3.426522
12330852155392; 0.397209; -11.533405; -5.781060
12330873126912; -0.361316; -11.705688; -5.501099
12330893049856; -0.339781; -9.403793; -3.641876
12330910875648; -0.442672; -6.654440; -2.502892
12330930798592; -0.624527; -6.037092; -2.770889
12330948624384; -0.835095; -5.546563; -3.060420
12330967498752; -0.490529; -6.166304; -3.165704
12330987421696; -0.169890; -6.635297; -3.247060
12331006296064; -0.153141; -5.788238; -4.596612
12331025170432; -0.129212; -5.391029; -6.044270
12331045093376; -0.260818; -5.848059; -7.247860
12331063967744; -0.155533; -5.979664; -6.455835
12331083890688; 0.562313; -5.111069; -5.103891
12331102765056; 1.351945; -2.471786; -5.938986
12331125833728; 1.596013; -2.945565; -7.300502
12331144708096; 2.048256; -4.134798; -8.322237
12331163582464; 3.187240; -3.684947; -7.731210
12331180359680; 4.319045; -1.715654; -7.044470
12331199234048; 4.539185; -2.148755; -6.424729
12331219156992; 4.321438; -4.759324; -6.209375
12331241177088; 4.929214; -5.213961; -6.484550
12331257954304; 4.644469; -3.706482; -6.317052
12331276828672; 3.412165; -2.988636; -6.824330
12331297800192; 3.373880; -4.024728; -6.924829
12331318771712; 3.620341; -5.020142; -8.013563
12331337646080; 3.558127; -5.831309; -8.853444
12331357569024; 3.419343; -6.108876; -8.927621
12331376443392; 3.531806; -5.400601; -8.719446
12331398463488; 3.598805; -4.259224; -8.590233
12331416289280; 2.742175; -4.137190; -8.482556
12331430969344; 1.476372; -5.580062; -8.350951
12331459280896; 1.450050; -6.163911; -8.338987
12331469766656; 2.842673; -5.343173; -9.468399
12331491786752; 3.443272; -4.584648; -10.729417
12331508563968; 1.933401; -5.139783; -11.045269
12331533729792; 0.382852; -6.106483; -10.224531
