time; x; y; z
62672594796544; 1.586441; -7.948957; -6.678368
62672607379456; 3.113062; -6.994221; -9.085547
62672628350976; -1.813760; -6.750153; -13.215559
62672657711104; -6.384051; -10.291531; -13.653446
62672666099712; -4.991428; -1.220340; -13.732409
62672682876928; -2.947958; -1.406980; -10.980663
62672708042752; -3.151347; -7.080362; -9.477970
62672733208576; -3.728018; -5.635098; -10.705488
62672749985792; -1.969293; 3.385844; -11.193624
62672762568704; -2.888137; 10.076176; -5.096712
62672783540224; -3.785445; 3.146562; -2.112862
62672796123136; -2.505285; -1.146162; 7.429714
62672817094656; -2.574677; -10.214960; 7.223932
62672833871872; -6.192625; -16.730616; 4.673182
62672854843392; -7.130611; -5.781060; 5.534599
62672875814912; -5.776274; -13.304094; 5.297709
62672892592128; -5.268995; -18.147167; 5.359923
62672913563648; -6.252446; -21.571297; 5.324030
62672930340864; -5.063213; -28.503304; 2.124826
62672951312384; -1.237089; -23.468805; 0.107677
62672972283904; -0.792024; -12.095718; -0.076570
62672993255424; -2.543571; -8.114061; -6.597012
62673010032640; -2.285146; -5.673382; -5.070391
62673031004160; 5.192425; -7.762317; 3.361916
62673051975680; 10.246066; -8.310273; 5.130212
62673072947200; 1.347159; -8.975478; 6.144769
62673085530112; -8.961121; -12.768102; 1.792224
62673106501632; -2.782853; -10.140782; -3.524628
62673123278848; 4.620541; -10.392029; -11.468799
62673144250368; 0.339781; -6.190232; -13.988441
62673165221888; -4.132405; -5.991628; -17.161324
62673181999104; -3.464807; -9.710074; -13.103097
62673202970624; -1.706083; -5.525027; -12.878172
62673223942144; -2.524428; -2.577070; -9.832108
62673240719360; -2.009971; -7.082755; -12.002398
62673265885184; -1.261018; -2.641676; -10.133604
62673286856704; -1.940579; 9.633504; -4.548756
62673299439616; -0.684347; 9.803394; -1.490728
62673320411136; -0.555135; 3.462414; 1.873580
62673337188352; -2.998207; -5.292923; 4.228117
62673362354176; -7.776674; -4.922036; 7.350751
62673383325696; -9.726824; -6.242874; 8.748159
62673395908608; -9.882358; -17.752352; 12.559926
62673416880128; -7.872386; -13.521841; 13.282558
62673437851648; -6.161518; -8.915657; 6.340980
62673454628864; -6.486942; -21.559332; -2.423929
62673471406080; -5.934200; -30.431919; -0.823131
62673492377600; -1.993221; -32.511280; -1.344766
62673513349120; -1.981257; -18.001205; -2.366502
62673534320640; -1.600798; -10.983056; -8.492127
62673555292160; 0.844666; -12.157932; -4.737789
62673572069376; 5.108676; -5.749953; -3.127419
62673588846592; 7.898707; -6.235696; -0.969093
62673609818112; 7.532606; -16.752151; 2.493321
62673626595328; 3.096313; -13.954942; 5.182854
62673647566848; 2.512464; -7.226325; 1.720439
62673664344064; 1.864009; -7.846066; 0.540778
62673685315584; 2.057827; -15.790236; -4.570291
62673710481408; -2.809174; -11.765509; -10.683953
62673723064320; -8.571091; -8.932407; -17.446070
62673756618752; -7.652247; -3.471986; -17.280966
62673765007360; -4.752146; -6.388836; -9.449257
62673785978880; -4.639683; -10.939985; -12.600604
62673802756096; -3.804588; -3.215954; -14.313865
62673819533312; -3.802195; 10.561919; -9.848858
62673840504832; -2.175076; 13.263416; -4.311866
62673857282048; -1.452443; 3.814159; -2.502892
62673882447872; -4.718646; 4.704289; 6.214160
62673899225088; -6.063413; 1.416551; 12.428321
62673916002304; -5.422136; -11.535798; 12.669996
62673936973824; -9.994821; -19.458433; 15.151353
62673953751040; -10.683953; -12.232109; 8.544769
62673974722560; -8.657232; -14.959928; 4.096512
62673991499776; -7.403393; -12.483356; 2.715854
62674012471296; -7.960921; -17.168503; -0.366102
62674033442816; -7.195218; -23.404198; -2.423929
62674050220032; -3.512664; -21.745972; -8.329415
62674071191552; 0.758525; -17.276180; -11.282159
62674092163072; 0.468993; -13.720445; -7.757531
62674108940288; -2.423929; -5.800202; -5.213961
62674129911808; 1.074377; -5.431707; -4.340580
62674146689024; 10.241281; -16.240088; -5.656633
62674167660544; 4.981857; -20.496920; -2.115255
62674197020672; -0.210568; -14.100904; -7.372287
62674205409280; 2.799603; -7.307680; -10.246066
62674226380800; 4.362116; -8.638090; -10.303494
62674243158016; 0.227318; -14.167903; -13.361522
62674264129536; -0.746561; -12.945170; -11.921042
62674285101056; -3.036492; -9.147761; -11.600404
62674301878272; -4.208975; -6.202196; -10.174282
62674322849792; -3.608377; -5.266603; -10.126426
62674339627008; -4.962714; 1.775474; -7.891529
62674360598528; -5.800202; 13.210773; -1.363909
62674381570048; -2.801995; 7.922636; -0.983450
62674398347264; -3.969693; -1.112663; -2.677568
62674431901696; -8.403593; -4.677969; -1.646262
62674444484608; -13.751552; -4.247260; 6.996614
62674461261824; -10.688739; -13.435699; 14.723038
62674478039040; -7.312466; -16.701902; 10.382458
62674494816256; -6.699903; -15.718451; 4.503292
62674515787776; -8.877372; -10.246066; 6.742974
62674536759296; -10.805987; -13.840086; 6.506085
62674561925120; -6.778867; -23.894728; -2.912065
62674578702336; -0.729811; -22.234108; -4.656433
62674608062464; 0.397209; -19.216759; -6.541977
62674616451072; -1.928615; -6.185447; -8.642876
62674641616896; 2.081756; -2.108077; -10.193424
62674654199808; 8.449057; -12.000006; -7.860423
62674670977024; 6.467800; -14.400006; 1.619941
62674687754240; -0.014357; -12.538391; 5.312066
62674708725760; -1.485943; -8.697910; 1.804188
62674729697280; -0.301496; -6.252446; -3.998407
62674763251712; -0.332602; -9.578469; -9.221938
62674771640320; -4.003192; -7.159325; -8.843872
62674784223232; -2.170290; -12.854243; -12.031113
62674805194752; -2.239682; -17.429319; -11.985648
62674830360576; -4.517649; -9.351151; -14.498113
62674851332096; -3.086741; -2.048256; -11.114661
62674872303616; 0.033500; -3.235096; -12.531212
62674893275136; 1.277767; -3.627519; -12.485748
62674918440960; -3.821338; 6.037092; -11.057234
62674935218176; -3.821338; 6.037092; -11.057234
62674947801088; -5.149354; 6.948757; -2.665604
62674960384000; -3.730411; 1.062413; 0.971486
62674977161216; -3.711268; -10.478170; 4.137190
62674998132736; -8.683554; -10.779666; 10.636097
62675019104256; -10.348958; -13.907085; 8.920443
62675035881472; -9.870394; -12.208181; 4.654040
62675056852992; -8.738588; -10.447063; 3.500700
62675073630208; -9.044869; -14.806787; 3.158526
62675094601728; -9.028120; -23.050060; 2.395216
62675115573248; -2.723032; -25.452454; -2.041078
62675136544768; 1.777867; -18.029919; -6.915257
62675153321984; -0.705883; -12.775280; -2.218147
62675174293504; -2.172683; -1.591227; -7.573284
62675191070720; 0.196211; -1.701297; -3.086741
62675212042240; 9.784252; -15.158531; -0.208176
62675233013760; 5.845666; -11.571691; -1.667797
62675249790976; -2.218147; -7.460821; -5.874380
62675287539712; 0.483350; -13.935799; -8.930014
62675342065664; 0.083749; -8.551949; -17.216358
62675379814400; -4.481757; -4.278367; -12.375679
62675388203008; -4.235296; -1.962115; -9.049655
62675413368832; -2.833102; -5.391029; -10.887343
62675430146048; -2.775674; -5.221139; -12.808780
62675430146048; -2.775674; -5.221139; -12.808780
62675451117568; -5.283352; 3.814159; -9.834501
62675455311872; -5.283352; 3.814159; -9.834501
62675463700480; -7.231110; 6.350551; -5.419743
62675518226432; -5.326423; -9.731609; 7.381858
62675535003648; -5.326423; -9.731609; 7.381858
62675539197952; -8.621340; -12.268002; 10.071390
62675543392256; -8.621340; -12.268002; 10.071390
62675547586560; -8.621340; -12.268002; 10.071390
62675568558080; -11.411371; -16.371693; 10.863415
62675576946688; -11.282159; -7.958528; 9.678967
62675597918208; -9.068798; -12.866207; 8.956335
62675614695424; -7.879565; -21.726830; 6.721439
62675635666944; -4.433900; -18.826729; -0.648455
62675652444160; -0.729811; -19.192831; -4.326223
62675677609984; -1.552942; -12.839887; 2.021935
62675694387200; -4.529613; -8.109276; -4.900501
62675711164416; -4.893322; -3.330809; -6.180661
62675732135936; 0.167498; -11.674582; -4.295116
62675748913152; 5.996414; -16.118053; 7.776674
62675769884672; 4.591826; -17.656639; 6.752545
62675790856192; -1.698904; -12.076576; -3.917051
62675807633408; 0.126820; -8.202596; -9.171689
62675828604928; 4.977071; -10.923235; -7.709674
62675849576448; 4.814359; -9.269794; -9.348758
62675866353664; -0.646062; -10.820344; -10.882557
62675887325184; -4.697111; -13.852050; -13.823337
62675904102400; -8.525627; -7.293324; -12.636497
62675925073920; -6.068198; -4.228117; -9.580862
62675946045440; -5.400601; -9.901500; -10.253245
62675967016960; -6.731010; -6.774081; -11.906686
62675983794176; -5.536992; 6.034698; -11.248659
62676008960000; -2.928815; 11.839686; -6.204589
62676025737216; -4.151547; -0.007178; -5.228317
62676050903040; -4.520042; -8.013563; -0.500100
62676063485952; -6.192625; -9.025727; 1.978864
62676080263168; -7.767102; -1.301695; 9.700503
62676097040384; -8.590233; -8.422736; 12.361321
62676118011904; -8.822337; -15.093925; 9.291330
62676138983424; -7.594819; -9.217153; 10.059426
62676155760640; -8.523234; -14.955141; 8.578269
62676176732160; -9.769895; -23.021347; 6.149554
62676193509376; -9.351151; -25.634310; 4.811966
62676222869504; -7.006185; -18.781265; -11.325230
62676235452416; -0.815953; -15.582061; -15.495919
62676252229632; 4.768896; -5.410172; -9.135797
62676273201152; 7.025327; -1.598405; -1.665405
62676289978368; 7.125826; -6.262017; -3.388237
62676310949888; 8.207381; -22.411177; -3.981657
62676327727104; 1.741975; -18.649660; -10.755738
62676348698624; 1.971686; -6.522834; -4.996214
62676369670144; 5.702096; 3.589234; -3.986443
62676390641664; 0.064606; -5.477171; -8.037491
62676407418880; 0.681954; -22.387249; -15.359529
62676428390400; -1.825724; -17.395821; -13.450056
62676445167616; -3.476771; -5.611169; -13.289737
62676466139136; -3.955336; 1.000200; -1.232304
62676487110656; -2.950350; -5.989235; -3.311666
62676503887872; -2.263610; -5.374279; -6.264410
62676524859392; -2.505285; 1.313660; -3.385844
62676541636608; -2.713461; 3.950550; -1.684547
62676562608128; -3.014956; -0.480957; -1.098306
62676579385344; -5.379066; -2.940779; 0.713061
62676600356864; -6.994221; -3.017349; 6.556334
62676621328384; -5.747560; -16.000805; 9.193225
62676638105600; -6.486942; -16.192230; 9.829716
62676659077120; -5.850451; -9.095119; 5.979664
62676684242944; -10.502099; -12.528819; 4.938786
62676696825856; -13.026526; -22.999811; 6.489335
62676717797376; -7.879565; -25.643881; 5.156533
62676734574592; -1.526621; -18.137596; -3.146562
62676755546112; 3.378666; -18.513269; -7.889136
62676772323328; 5.084748; -12.837494; -11.612369
62676793294848; 4.220939; -4.934000; -10.808380
62676814266368; 2.251646; -6.819544; -6.455835
62676831043584; 4.534399; -19.695324; -0.937986
62676852015104; 3.404987; -19.802999; 2.292324
62676868792320; 0.964308; -9.810573; -3.005385
62676889763840; -0.057428; -4.792824; -4.979464
62676910735360; 1.308874; -1.794617; -5.869594
62676927512576; 0.732204; -1.969293; -9.628718
62676948484096; -2.667997; -13.122239; -13.517056
62676969455616; -3.687340; -17.249859; -5.776274
62676986232832; -0.918844; -6.250053; -4.979464
62677007204352; -1.325624; 1.603191; 2.924029
62677023981568; -2.445465; -1.406980; -5.862415
62677044953088; -2.210968; -2.555535; -10.576276
62677074313216; -1.112663; -0.847059; -6.427122
62677095284736; -2.021935; 1.852045; 0.768096
62677103673344; -1.316052; 3.591627; 4.206582
62677120450560; -2.376073; 1.682154; 1.430908
62677141422080; -5.426922; -5.970092; 3.656233
62677158199296; -8.202596; -19.243080; 10.332209
62677179170816; -7.013363; -10.700703; 8.599805
62677200142336; -6.606583; -12.935599; 2.983850
62677221113856; -10.832308; -25.684559; 2.335395
62677237891072; -9.678967; -21.020947; 6.178268
62677258862592; -7.867601; -25.083960; 1.201197
62677275639808; -3.663411; -34.844284; -12.308680
62677296611328; 4.046263; -20.018354; -16.780865
62677317582848; 3.981657; -5.127819; -15.940985
62677334360064; 2.653640; 10.140782; -6.585048
62677355331584; -1.442872; -8.939586; -8.078169
62677384691712; 8.233703; -25.596024; -0.485743
62677401468928; 9.559326; -18.262022; -6.599405
62677418246144; 1.512264; -5.730810; -4.625326
62677455994880; 1.158126; -3.323631; -6.604190
62677468577792; 1.966900; -12.459428; -11.174481
62677472772096; 1.966900; -12.459428; -11.174481
62677502132224; -0.488136; -15.127425; -6.403193
62677518909440; -3.160919; -6.039485; -8.781659
62677527298048; -4.175476; 0.677169; -2.883351
62677548269568; -6.154340; -1.531407; -2.531606
62677565046784; -4.871787; -7.649854; -7.338787
62677586018304; -3.663411; 0.995414; -6.384051
62677602795520; -1.442872; 11.909079; -3.285346
62677627961344; -1.088734; 3.589234; -0.334995
62677653127168; -4.039084; -4.261617; 3.022135
62677661515776; -7.424929; -6.597012; 7.336394
62677690875904; -5.613562; -10.107283; 9.836894
62677711847424; -1.282553; -18.558733; 9.741181
62677720236032; -2.986243; -19.659431; 6.238089
62677737013248; -7.494320; -16.055840; 1.560120
62677757984768; -9.717253; -24.153152; -2.060220
62677778956288; -5.132605; -22.760529; -4.520042
62677795733504; -4.658826; -22.246073; -3.672983
62677816705024; -4.606184; -20.470598; -9.276974
62677837676544; 1.529014; -11.550155; -13.502698
62677854453760; 8.492127; -9.382257; -9.066405
62677875425280; 11.167303; -5.218746; -6.393622
62677892202496; 8.595019; -7.475178; -6.551548
62677913174016; 2.411965; -13.576876; 2.385644
62677934145536; 0.488136; -15.373885; 3.785445
62677950922752; 1.076770; -8.659625; -1.493121
62677971894272; -1.055235; -6.541977; -7.568498
62677992865792; -2.612962; -8.597412; -10.370493
62678009643008; -2.725425; -12.184253; -8.618947
62678043197440; -0.796810; -14.938392; -10.344172
62678051586048; -3.395415; -6.025127; -13.076776
62678068363264; -6.563512; -1.093520; -5.864808
62678089334784; -4.969893; -1.938186; -4.878965
62678110306304; -2.868994; -0.701097; -7.022934
62678122889216; -1.433301; 4.003192; -8.391629
62678143860736; -1.349552; 4.852644; -7.003792
62678164832256; -1.806581; 2.742175; -3.182454
62678181609472; -4.417150; 4.110869; 9.248260
62678202580992; -5.613562; -2.385644; 9.475577
62678223552512; -5.175675; -19.137796; 5.795416
62678240329728; -1.864009; -15.500705; 4.733003
62678261301248; 2.589034; -9.238688; 4.859823
62678278078464; -5.391029; -10.169497; 1.698904
62678299049984; -19.535004; -48.531227; -5.826523
62678320021504; -4.575077; -24.294329; -7.831708
62678336798720; 0.009571; -19.185652; -13.174882
62678357770240; 0.155533; -8.240881; -12.181860
62678378741760; 0.796810; 1.610370; -3.570091
62678395518976; 1.689333; -0.861416; -2.397608
62678416490496; 4.144369; -14.871393; -6.137590
62678433267712; 4.180261; -12.490534; -1.146162
62678454239232; 4.938786; -7.936993; 1.339981
62678475210752; 4.345366; -10.750952; -5.158926
62678491987968; 4.077370; -11.308480; -13.416556
62678512959488; 1.883151; -9.767502; -15.053247
62678529736704; -1.093520; -8.755338; -12.212967
62678550708224; -2.617748; -10.894522; -8.319844
62678567485440; -2.742175; -7.838887; -11.497513
62678588456960; -4.357330; -3.400201; -3.266203
62678609428480; -4.835895; -8.075776; -6.599405
62678626205696; -1.268196; -5.398208; -5.802595
62678647177216; -1.495514; 3.134598; -3.574877
62678663954432; -3.416951; 10.102497; -2.892923
62678684925952; -3.601198; 0.945165; -1.191626
62678705897472; -4.508078; -0.064606; 5.106284
62678722674688; -4.991428; -1.543371; 4.701897
62678743646208; -6.831509; -14.435899; 3.742375
62678760423424; -9.332008; -17.113468; 7.051648
62678781394944; -7.891529; -16.534405; 2.689533
62678802366464; -9.023335; -17.338392; -4.153940
62678823337984; -11.277373; -21.355942; -5.268995
62678840115200; -5.809773; -25.725237; 1.136591
62678861086720; 1.024128; -26.347370; -3.089134
62678877863936; 2.187040; -21.745972; -13.933406
62678898835456; 3.426522; -10.987842; -12.026326
62678919806976; 9.166903; -3.795017; -9.772287
62678949167104; 10.805987; -8.336594; -2.392823
62678961750016; 6.656833; -20.853449; 1.469193
62678982721536; 2.598605; -17.407785; -2.644069
62678995304448; 2.806781; -8.374879; -4.244867
62679012081664; 4.304688; -1.990828; 0.459422
62679033053184; -0.935594; -0.478565; -5.304888
62679054024704; -0.198604; -9.777073; -9.334401
62679070801920; 3.567698; -16.007984; -12.559926
62679091773440; -0.844666; -9.169296; -14.581861
62679108550656; -6.319445; -0.918844; -6.336195
62679129522176; -6.984649; -2.931208; -10.729417
62679150493696; -4.534399; -6.723832; -13.110275
62679167270912; -4.488935; 2.112862; -7.082755
62679188242432; -3.883551; 7.324430; -1.540978
62679205019648; -3.601198; 3.211168; 0.660419
62679225991168; -4.847859; 0.334995; 3.658626
62679246962688; -6.293124; -2.804388; 11.442478
62679263739904; -6.388836; -12.732209; 9.363115
62679284711424; -8.341380; -11.909079; 10.961520
62679305682944; -8.250452; -18.338593; 6.975078
62679322460160; -5.410172; -19.429720; 4.180261
62679343431680; -2.359323; -21.611975; 2.871387
62679360208896; -6.314659; -27.060431; -0.212961
62679381180416; 2.249253; -22.399212; 1.450050
62679402151936; 6.570691; -21.164516; -1.387837
62679418929152; 0.650848; -12.899707; -6.762117
62679439900672; -2.565106; -6.175875; -6.814759
62679456677888; -0.308674; -2.916851; -5.735596
62679477649408; 5.161318; -3.058027; -3.158526
62679494426624; 7.506285; -19.671394; -1.646262
62679515398144; 3.933800; -22.167109; 2.053042
62679536369664; 1.268196; -13.940585; 1.239482
62679553146880; 3.036492; -7.712068; -0.562313
62679574118400; 5.111069; -7.188039; -1.715654
62679595089920; 4.106084; -8.925228; -6.726224
62679611867136; 0.114855; -15.505490; -8.858230
62679632838656; -1.931008; -15.335600; -11.743974
62679649615872; -2.160719; -8.843872; -12.581462
62679670587392; -4.907679; -1.179662; -1.186840
62679687364608; -4.520042; -2.751746; -7.788638
62679708336128; -3.101098; -6.101698; -11.344372
62679729307648; -5.211568; 2.876173; -7.477571
62679746084864; -7.317252; 12.746566; 0.729811
62679767056384; -4.158726; 3.634698; 4.146761
62679788027904; -4.012764; -4.137190; 0.047856
62679804805120; -8.051848; -12.507284; 4.275974
62679825776640; -10.561919; -13.548162; 10.581061
62679842553856; -7.326823; -5.709275; 11.576476
62679863525376; -4.000800; -12.813565; 7.331609
62679884496896; -6.740582; -24.275187; 6.549156
62679901274112; -7.106683; -23.858835; 8.193025
62679922245632; -4.280760; -25.648666; 5.749953
62679939022848; -1.842473; -36.808792; -0.126820
62679959994368; 4.153940; -25.095924; -5.958128
62679980965888; 7.312466; -9.588040; -7.030113
62679997743104; 9.300901; -3.041278; -7.472785
