time; x; y; z
62719046713344; 0.055035; 6.245267; 7.240681
62719046713344; 0.055035; 6.245267; 7.240681
62719059296256; 0.055035; 6.245267; 7.240681
62719059296256; 0.055035; 6.245267; 7.240681
62719063490560; 0.055035; 6.245267; 7.240681
62719067684864; 0.055035; 6.245267; 7.240681
62719122210816; -0.899701; 6.041877; 7.776674
62719126405120; -0.899701; 6.041877; 7.776674
62719126405120; -0.899701; 6.041877; 7.776674
62719130599424; -0.899701; 6.041877; 7.776674
62719134793728; -0.899701; 6.041877; 7.776674
62719138988032; -0.899701; 6.041877; 7.776674
62719159959552; -1.004985; 6.132804; 8.164310
62719168348160; -1.004985; 6.132804; 8.164310
62719172542464; -1.004985; 6.132804; 8.164310
62719176736768; -1.004985; 6.132804; 8.164310
62719189319680; -1.004985; 6.132804; 8.164310
62719193513984; -1.004985; 6.132804; 8.164310
62719214485504; -0.519243; 5.994021; 7.623533
62719222874112; -0.519243; 5.994021; 7.623533
62719227068416; -0.519243; 5.994021; 7.623533
62719235457024; -0.519243; 5.994021; 7.623533
62719239651328; -0.519243; 5.994021; 7.623533
62719243845632; -0.519243; 5.994021; 7.623533
62719273205760; -0.559920; 6.204589; 7.463214
62719277400064; -0.559920; 6.204589; 7.463214
62719285788672; -0.559920; 6.204589; 7.463214
62719289982976; -0.559920; 6.204589; 7.463214
62719294177280; -0.559920; 6.204589; 7.463214
62719319343104; -0.559920; 6.204589; 7.463214
62719424200704; -3.026921; 7.403393; 5.118248
62719432589312; -3.026921; 7.403393; 5.118248
62719436783616; -3.026921; 7.403393; 5.118248
62719449366528; -2.620141; 10.760524; 4.103691
62719453560832; -2.620141; 10.760524; 4.103691
62719453560832; -2.620141; 10.760524; 4.103691
62719466143744; -2.620141; 10.760524; 4.103691
62719466143744; -2.620141; 10.760524; 4.103691
62719470338048; -2.620141; 10.760524; 4.103691
62719470338048; -2.620141; 10.760524; 4.103691
62719482920960; -2.620141; 10.760524; 4.103691
62719487115264; -2.620141; 10.760524; 4.103691
62719499698176; -3.017349; 4.699504; 4.546363
