time; x; y; z
73454552350720; 3.816552; 4.797609; 7.793423
73454569127936; 3.816552; 4.797609; 7.793423
73454569127936; 3.816552; 4.797609; 7.793423
73454585905152; 3.816552; 4.797609; 7.793423
73454585905152; 3.816552; 4.797609; 7.793423
73454585905152; 3.816552; 4.797609; 7.793423
73454703345664; 4.165904; 4.673182; 7.846066
73454736900096; 4.029513; 4.991428; 7.714460
73454745288704; 4.029513; 4.991428; 7.714460
73454753677312; 4.029513; 4.991428; 7.714460
73454753677312; 4.029513; 4.991428; 7.714460
73454787231744; 4.555934; 5.328816; 7.290931
73454795620352; 4.555934; 5.328816; 7.290931
73454804008960; 4.555934; 5.328816; 7.290931
73454804008960; 4.555934; 5.328816; 7.290931
73454804008960; 4.555934; 5.328816; 7.290931
73454804008960; 4.555934; 5.328816; 7.290931
73454804008960; 4.555934; 5.328816; 7.290931
73454812397568; 4.555934; 5.328816; 7.290931
73454820786176; 4.555934; 5.328816; 7.290931
73454820786176; 4.555934; 5.328816; 7.290931
73454829174784; 4.555934; 5.328816; 7.290931
73454829174784; 4.555934; 5.328816; 7.290931
73454829174784; 5.381458; 5.642276; 7.168897
73454854340608; 5.381458; 5.642276; 7.168897
73454862729216; 5.381458; 5.642276; 7.168897
73454879506432; 5.381458; 5.642276; 7.168897
73454887895040; 5.381458; 5.642276; 7.168897
73454904672256; 7.862815; 7.104290; 6.070591
73454921449472; 7.862815; 7.104290; 6.070591
73454996946944; 6.869794; 10.114461; 3.866802
73455005335552; 6.869794; 10.114461; 3.866802
73455022112768; 5.257031; 6.010770; 0.260818
73455030501376; 5.257031; 6.010770; 0.260818
73455030501376; 5.257031; 6.010770; 0.260818
73455030501376; 5.257031; 6.010770; 0.260818
73455064055808; 2.957529; -9.410972; -6.795616
73455072444416; 2.957529; -9.410972; -6.795616
73455080833024; 2.957529; -9.410972; -6.795616
73455080833024; 2.957529; -9.410972; -6.795616
73455097610240; 2.957529; -9.410972; -6.795616
73455114387456; -9.669396; -8.618947; -1.945365
73455122776064; -9.669396; -8.618947; -1.945365
73455131164672; -9.669396; -8.618947; -1.945365
73455147941888; -9.669396; -8.618947; -1.945365
73455164719104; -3.122633; -9.961321; -1.756332
73455173107712; -3.122633; -9.961321; -1.756332
73455181496320; -3.122633; -9.961321; -1.756332
73455198273536; -3.122633; -9.961321; -1.756332
73455206662144; -3.122633; -9.961321; -1.756332
73455215050752; -3.122633; -9.961321; -1.756332
73455215050752; 0.792024; -9.958928; 0.801596
73455223439360; 0.792024; -9.958928; 0.801596
73455231827968; 0.792024; -9.958928; 0.801596
73455240216576; 0.792024; -9.958928; 0.801596
73455248605184; 0.792024; -9.958928; 0.801596
73455265382400; 0.792024; -9.958928; 0.801596
73455265382400; 0.792024; -9.958928; 0.801596
73455307325440; 5.522635; -11.531013; 10.741381
73455307325440; 5.522635; -11.531013; 10.741381
73455315714048; 5.522635; -11.531013; 10.741381
73455357657088; 14.359328; -5.706882; -11.176874
73455374434304; 14.359328; -5.706882; -11.176874
73455407988736; 7.884351; -16.378872; -5.560920
73455424765952; 4.625326; -16.374084; -10.547563
73455424765952; 4.625326; -16.374084; -10.547563
73455424765952; 4.625326; -16.374084; -10.547563
73455433154560; 4.625326; -16.374084; -10.547563
73455433154560; 4.625326; -16.374084; -10.547563
73455441543168; 11.605190; -15.134604; -12.607782
73455500263424; 13.423735; -17.730816; -10.418350
73455500263424; 14.275579; -14.158332; -13.105490
73455508652032; 14.275579; -14.158332; -13.105490
73455517040640; 14.275579; -14.158332; -13.105490
73455517040640; 15.476777; -15.816558; -12.741780
73455517040640; 15.476777; -15.816558; -12.741780
73455558983680; 13.495520; -14.629718; -10.083355
73455558983680; 14.641682; -13.170095; -11.341979
73455567372288; 14.641682; -13.170095; -11.341979
73455575760896; 14.641682; -13.170095; -11.341979
73455575760896; 14.641682; -13.170095; -11.341979
73455584149504; 15.103497; -16.091732; -14.062618
73455584149504; 15.103497; -16.091732; -14.062618
73455592538112; 15.103497; -16.091732; -14.062618
73455600926720; 11.870793; -15.565311; -12.356536
73455609315328; 11.870793; -15.565311; -12.356536
73455609315328; 11.870793; -15.565311; -12.356536
73455617703936; 10.001999; -14.359328; -11.485549
73455626092544; 10.001999; -14.359328; -11.485549
73455626092544; 10.001999; -14.359328; -11.485549
73455634481152; 9.300901; -14.297115; -12.167503
73455634481152; 9.300901; -14.297115; -12.167503
73455642869760; 9.300901; -14.297115; -12.167503
73455642869760; 9.300901; -14.297115; -12.167503
73455642869760; 9.300901; -14.297115; -12.167503
73455642869760; 9.300901; -14.297115; -12.167503
73455668035584; 7.439286; -14.397614; -11.272588
73455676424192; 5.630311; -13.447663; -11.064412
73455676424192; 5.630311; -13.447663; -11.064412
73455684812800; 5.630311; -13.447663; -11.064412
73455701590016; 4.780859; -10.664810; -12.579068
73455709978624; 3.196811; -9.147761; -13.261024
73455718367232; 3.196811; -9.147761; -13.261024
73455735144448; 2.373680; -8.755338; -14.904892
73455743533056; 2.373680; -8.755338; -14.904892
73455751921664; 0.725025; -6.766902; -17.036898
73455768698880; 0.725025; -6.766902; -17.036898
73455785476096; 2.203790; -1.651048; -18.407984
73455802253312; 2.203790; -1.651048; -18.407984
73455810641920; 3.414558; -3.268596; -14.761323
73455827419136; 3.414558; -3.268596; -14.761323
73455835807744; 3.900301; -2.002793; -15.316458
73455852584960; 4.206582; -0.727418; -13.978869
73455860973568; 4.206582; -0.727418; -13.978869
73455869362176; 3.421736; -2.002793; -11.332408
73455877750784; 3.421736; -2.002793; -11.332408
73455894528000; 4.003192; -2.950350; -8.073383
73455902916608; 6.300302; 0.662812; -6.802795
73455919693824; 6.300302; 0.662812; -6.802795
73455928082432; 7.568498; -3.034099; -5.831309
73455936471040; 7.568498; -3.034099; -5.831309
73455953248256; 8.183454; -0.758525; -5.017749
73455970025472; 9.848858; 1.765903; -5.608776
73455970025472; 9.848858; 1.765903; -5.608776
73455986802688; 13.009777; 2.280360; -4.508078
73456003579904; 11.763116; 0.179462; -0.471386
73456020357120; 9.975677; -3.096313; 3.608377
73456045522944; 11.662618; -9.403793; 9.365508
73456062300160; 9.915857; -12.038291; 12.555140
73456079077376; 6.537191; -12.260823; 12.090933
73456095854592; 4.646862; -15.570097; 14.021940
73456121020416; 1.450050; -14.677574; 16.460226
73456137797632; 2.895315; -14.179867; 17.740387
73456154574848; 7.006185; -16.424335; 16.072590
73456171352064; 6.058627; -16.560726; 15.136996
73456196517888; 7.398608; -15.321243; 12.217752
73456213295104; 10.157532; -13.825729; 8.798409
73456230072320; 14.266008; -13.931013; 6.814759
73456255238144; 15.376278; -15.357136; 6.544370
73456272015360; 15.553348; -14.471791; 4.524827
73456288792576; 12.067004; -12.404392; 1.653440
73456313958400; 4.594220; -12.112468; 2.971886
73456330735616; 0.531207; -14.581861; 4.682754
73456347512832; 2.081756; -14.608182; 1.768296
73456372678656; 5.120640; -19.137796; -0.435494
73456389455872; 4.603791; -18.661623; -2.907279
73456406233088; 2.689533; -19.389042; -4.656433
73456423010304; 3.534199; -15.689738; -8.532805
73456448176128; 1.663012; -17.371893; -9.695718
73456464953344; 0.260818; -11.679367; -13.718052
73456481730560; -0.421137; -6.190232; -17.022541
73456498507776; -0.727418; -5.608776; -18.183060
73456523673600; 5.032106; -7.712068; -23.995226
73456540450816; 5.596812; -4.826324; -21.767508
73456557228032; 7.757531; -12.990634; -19.692930
73456582393856; 9.061620; -16.304693; -15.081961
73456599171072; 8.279166; -23.167309; -7.396215
73456615948288; 10.181460; -30.843483; -3.900301
73456632725504; 9.609575; -28.828728; 3.584448
73456657891328; 6.415157; -27.902704; 8.683554
73456674668544; 12.806387; -28.465017; 8.310273
73456691445760; 13.596018; -19.826929; 9.724431
73456716611584; 15.397814; -15.704095; 12.473784
73456733388800; 20.137995; -6.898508; 4.515256
73456750166016; 21.667009; -2.933601; -0.045464
73456775331840; 23.114666; -3.077170; -0.145962
73456792109056; 16.283157; -1.954936; -2.289931
73456808886272; 10.892129; -0.167498; -5.000999
73456825663488; 11.004591; 5.235496; -6.386444
73456850829312; 13.440485; 1.507478; 1.545763
73456867606528; 10.566705; -2.005185; 1.560120
73456892772352; 8.506484; -1.076770; -0.923630
73456909549568; 11.906686; 7.695318; 6.367301
73456926326784; 5.769095; 5.178068; 7.891529
73456943104000; 10.832308; -0.796810; 6.989435
73456976658432; 17.403000; -4.460221; 13.249059
73456985047040; 15.665810; -1.677369; 19.027725
73457001824256; 12.306287; -5.283352; 20.252851
73457018601472; 5.580062; -5.292923; 18.506090
73457043767296; 7.147361; -9.973285; 17.388641
73457060544512; 1.256232; -9.372686; 10.219746
73457077321728; 0.830309; -3.089134; 0.461815
73457102487552; 1.265803; -1.926222; 6.795616
73457119264768; -1.081556; 0.323031; 8.671589
73457136041984; 4.048656; -1.103091; 3.505485
73457152819200; 1.464407; 1.004985; 2.009971
73457177985024; -2.318645; -0.729811; -2.529213
73457194762240; -3.014956; -8.922835; -1.347159
73457219928064; -3.275774; -13.433307; 1.452443
73457236705280; 2.277967; -15.108282; -1.079163
73457253482496; -7.097112; -13.500305; 7.209575
73457270259712; 0.744168; -25.296921; 2.344966
73457287036928; 5.012963; -27.943382; -7.128219
73457312202752; 3.333202; -22.693529; -7.508677
73457328979968; 0.392423; -20.293530; -0.918844
73457345757184; 5.441278; -20.348564; 2.122434
73457370923008; 8.178668; -17.747566; -0.844666
73457387700224; 6.908079; -10.447063; 1.069592
73457404477440; 2.263610; -8.609376; 3.821338
73457429643264; -2.251646; -4.354937; 3.412165
73457446420480; -5.496314; -3.218346; 2.153540
73457463197696; -4.666004; -8.468200; 4.216154
73457488363520; -0.373280; -6.805188; 6.644868
73457505140736; 2.584249; -1.634298; 3.866802
73457521917952; 2.431108; 0.074178; 5.089534
73457538695168; 4.658826; -3.873980; 4.864608
73457563860992; 5.783453; -8.767303; 5.943771
73457580638208; 4.357330; -8.776874; 7.463214
73457597415424; 7.999206; -4.108477; 9.932607
73457622581248; 7.238288; -6.017949; 11.660225
73457639358464; 3.603591; -3.309274; 8.327023
73457656135680; 4.902894; -1.313660; 1.926222
73457672912896; 0.547956; -7.068398; -0.038285
73457698078720; 2.275574; 2.904887; -1.696511
73457714855936; 4.474578; 5.149354; -7.216753
73457731633152; 1.607977; 1.488336; -1.052842
73457748410368; 0.519243; -11.452049; 1.167697
73457773576192; -2.773281; -8.604590; 0.071785
73457790353408; 3.933800; -20.484955; -7.970492
73457807130624; -0.215354; -22.750957; -4.264010
73457832296448; 1.184447; -24.660431; 0.646062
73457849073664; 3.517449; -27.431318; -7.257431
73457865850880; 5.395815; -21.396620; -13.115061
73457891016704; 3.091527; -24.330221; -5.290531
73457907793920; 0.265603; -25.861628; 1.287339
73457924571136; 2.974278; -22.803600; 0.516850
73457949736960; 6.709475; -17.175680; 0.303888
73457966514176; 8.329415; -11.143375; 0.753739
73457983291392; 12.557533; -4.795217; -5.915058
73458000068608; 10.121640; -3.589234; -1.509871
73458025234432; 1.304088; -13.083954; 6.757331
73458042011648; -9.659825; -11.827723; 6.084948
73458058788864; -9.535398; -3.579663; 2.801995
73458083954688; 0.346959; -3.730411; 1.990828
73458100731904; 2.285146; -14.579469; 3.553342
73458117509120; 9.190832; -13.799408; 7.223932
73458134286336; 7.747960; -1.079163; 6.941578
73458159452160; 6.728617; 3.510271; 8.951550
73458176229376; 7.743174; -6.163911; 7.762317
73458193006592; 5.991628; -1.430908; 9.856036
73458218172416; 3.594020; 1.122234; 9.841680
73458234949632; 4.091727; -0.859023; 3.534199
73458251726848; 3.388237; 2.725425; -2.634498
73458276892672; 3.972085; 3.129812; -4.029513
73458293669888; 0.047856; 3.632305; -5.938986
73458310447104; -0.957129; -0.160319; -4.376472
73458327224320; 1.241875; -6.379265; -7.238288
73458352390144; 4.098905; -10.870593; -4.180261
73458369167360; 3.426522; -16.613367; 2.761317
73458394333184; 3.828516; -19.743179; -1.763510
73458402721792; -1.655833; -20.676380; 0.220140
73458427887616; 9.650253; -29.199615; -4.156333
73458444664832; 14.414364; -34.193436; -8.585447
73458461442048; 10.447063; -31.606794; -6.776474
73458486607872; 6.795616; -23.107489; 0.423530
73458503385088; 8.070991; -23.516661; 3.014956
73458520162304; 4.441079; -21.870399; 3.562913
73458545328128; -1.045663; -10.021141; 3.684947
73458562105344; -7.436893; 4.661219; 1.706083
73458578882560; -3.203990; 2.897708; 7.118648
73458604048384; 1.375873; -3.077170; 7.283752
73458620825600; 3.359523; -2.038685; 2.464607
73458637602816; 4.907679; -4.445865; 3.706482
73458654380032; 5.898308; -1.131805; 6.151947
73458679545856; 4.800002; 0.119641; 4.969893
73458696323072; 4.788038; -8.367701; -0.196211
73458713100288; 2.591427; -13.301702; 3.534199
73458738266112; 1.667797; -5.594419; 6.367301
73458755043328; -0.478565; -3.129812; 2.849852
73458771820544; -0.411565; 1.469193; -0.311067
73458788597760; 3.225525; 5.022535; -3.763910
73458813763584; 4.701897; 2.878566; -6.585048
73458830540800; -0.890130; 1.148555; -4.500899
73458847318016; -1.531407; -2.469393; -2.730211
73458872483840; -1.500300; -7.334002; -0.713061
73458889261056; -0.784846; -12.014362; 1.064806
73458906038272; 4.792824; -18.599411; 0.019143
73458922815488; 3.177669; -22.916063; -2.127219
73458947981312; 0.059821; -26.215765; 1.007378
73458964758528; 4.740181; -33.868011; -4.441079
73458981535744; 5.608776; -30.709486; -6.180661
73459006701568; 4.012764; -26.423941; 1.433301
73459023478784; 3.390630; -19.877178; 5.670990
73459040256000; 1.227518; -13.780266; -0.457029
73459065421824; -0.126820; -6.788438; 1.545763
73459082199040; -1.000200; -5.149354; 7.101898
73459098976256; -2.794817; -3.208775; 2.316252
73459115753472; -1.418944; 3.180061; 1.572084
73459140919296; 1.165305; -4.991428; 5.254639
73459157696512; 3.692125; -5.560920; 5.642276
73459174473728; 6.331409; -8.195417; 5.934200
73459191250944; 5.410172; -5.010571; 4.261617
73459216416768; 2.383251; -5.328816; 6.585048
73459233193984; 2.742175; -6.211768; 4.024728
73459249971200; 2.143969; -6.460621; 7.156932
73459275137024; 2.919244; -3.273381; 7.391429
73459291914240; 2.902494; -1.318445; 2.615355
73459308691456; 2.481357; 2.053042; -2.438286
73459325468672; 3.419343; 6.664011; -4.740181
73459350634496; 3.098705; 4.218546; -4.845466
73459367411712; -1.112663; -0.425922; -2.565106
73459384188928; -1.318445; -1.517050; -3.010171
73459409354752; -0.083749; -9.327223; -2.141576
73459426131968; 3.838088; -19.893927; 2.952743
73459442909184; 3.799802; -22.849064; -2.141576
73459468075008; 0.693919; -21.413370; -1.124627
73459484852224; 5.283352; -27.354748; -2.038685
73459501629440; 7.472785; -33.370304; -7.204789
73459526795264; 9.109476; -30.620951; -6.429514
73459543572480; 7.520642; -23.712872; -0.193819
73459560349696; 7.822137; -22.851456; 2.105684
73459577126912; 5.587241; -14.404793; 4.132405
73459602292736; 2.304288; -9.403793; 8.834301
73459619069952; -1.383052; -9.633504; 8.812766
73459644235776; -3.728018; -0.624527; 2.806781
73459661012992; -0.842274; 0.863809; 3.823730
73459677790208; 0.736989; -3.192025; 2.072184
73459694567424; 3.864408; -5.441278; 3.620341
73459719733248; 5.156533; 0.148355; 4.189833
73459736510464; 4.838287; -0.854238; 4.709075
73459753287680; 4.005585; -2.218147; 2.584249
73459770064896; 3.409772; -8.015956; 2.376073
73459803619328; 2.177469; -9.140582; 8.312666
73459820396544; -0.136391; -5.716453; 7.085148
73459828785152; 1.622334; 1.081556; 0.311067
73459845562368; 2.837888; 4.335794; -4.070191
73459870728192; 2.175076; 4.914858; -4.524827
73459887505408; -1.100698; 2.112862; -3.194418
73459904282624; -1.505085; -1.093520; -4.845466
73459929448448; -0.023928; -6.671189; -4.137190
73459946225664; 0.555135; -14.790037; 3.129812
73459963002880; 5.572884; -25.404598; 1.038485
73459979780096; 3.479164; -19.762321; -2.311467
73460004945920; 3.127419; -21.542582; -1.368695
73460030111744; 6.288338; -27.802206; -6.266802
73460038500352; 9.190832; -29.257042; -7.534998
73460063666176; 8.819944; -27.170502; -1.665405
73460080443392; 3.926622; -20.341385; 3.014956
73460097220608; 3.091527; -13.974084; -1.129412
73460122386432; 0.667598; -10.370493; 2.196611
73460139163648; -3.859623; -7.582855; 9.580862
73460155940864; -6.233303; -1.806581; 4.654040
73460172718080; -3.852444; 2.050649; 1.344766
73460197883904; 0.210568; -1.418944; 2.897708
73460214661120; 4.354937; -4.252046; 2.615355
73460231438336; 7.511070; -8.171490; 1.289731
73460256604160; 8.702696; -7.427321; 5.558527
73460273381376; 7.999206; -6.821938; 4.776074
73460290158592; 4.618148; -7.613962; 5.747560
73460315324416; 1.890330; -5.927022; 5.843273
73460332101632; 1.696511; -4.948357; 5.422136
73460348878848; 0.765703; -4.835895; 3.029314
73460365656064; 1.703690; -0.672383; 1.665405
73460390821888; 5.192425; 3.885944; -1.617548
73460407599104; 3.127419; 5.216353; -1.993221
73460424376320; 0.160319; 2.837888; -0.607777
73460449542144; -1.801795; -0.703490; -2.536392
73460466319360; 1.610370; -8.489735; -2.979064
73460483096576; 6.032306; -20.530418; -1.469193
73460499873792; 4.010371; -24.067011; -8.489735
73460525039616; 1.112663; -23.937798; -5.611169
73460541816832; 2.213361; -26.218157; -9.329616
73460558594048; 7.362715; -31.106695; -16.249659
73460583759872; 9.174082; -34.688751; -10.167104
73460600537088; 5.694918; -25.502705; -4.041478
73460617314304; 5.130212; -19.068403; -0.763310
73460634091520; 5.166104; -13.222738; 0.569492
73460659257344; 4.524827; -10.557134; 4.589434
73460676034560; 1.256232; -6.721439; 7.080362
73460701200384; -4.977071; -2.069792; 6.922436
73460717977600; -2.648855; 4.615755; 6.072984
73460734754816; -0.445065; -0.940379; 3.208775
73460751532032; 3.196811; -0.732204; -0.581456
73460776697856; 3.608377; -2.565106; 0.569492
73460793475072; 5.515456; -2.129612; 2.596213
73460810252288; 3.349952; -5.977271; 4.713861
73460827029504; 4.031906; -6.597012; 5.436493
73460852195328; 2.151148; -8.188239; 5.915058
73460868972544; 2.821138; -6.173482; 6.783652
73460885749760; 2.706282; -5.910272; 7.609176
73460910915584; 0.153141; -5.149354; 6.372087
73460927692800; 2.402394; 2.045863; -2.036292
73460944470016; 3.622734; 3.471986; -1.914258
73460961247232; 1.962115; 4.079762; -1.536192
73460986413056; 1.093520; 2.007578; -2.682354
73461003190272; 0.277567; -3.574877; -4.977071
73461019967488; -1.036092; -2.603391; -1.466800
73461045133312; 4.553542; -13.083954; 0.576670
73461061910528; 9.444471; -21.868006; -9.205189
73461078687744; 6.908079; -16.878971; -7.867601
73461103853568; 14.940784; -28.962725; -7.544570
73461120630784; 6.551548; -33.528233; -11.016556
