time; x; y; z
37290843832320; -0.983450; 3.041278; 9.052048
37290843832320; -0.983450; 3.041278; 9.052048
37290852220928; -0.983450; 3.041278; 9.052048
37290852220928; -0.983450; 3.041278; 9.052048
37290852220928; -0.983450; 3.041278; 9.052048
37290860609536; -0.983450; 3.041278; 9.052048
37290940301312; -1.012164; 3.017349; 9.099904
37290957078528; -1.007378; 3.158526; 9.382257
37290965467136; -1.007378; 3.158526; 9.382257
37290986438656; -1.007378; 3.158526; 9.382257
37290990632960; -1.007378; 3.158526; 9.382257
37291003215872; -1.007378; 3.158526; 9.382257
37291028381696; -1.136591; 2.991028; 9.384650
37291036770304; -1.136591; 2.991028; 9.384650
37291049353216; -1.136591; 2.991028; 9.384650
37291053547520; -1.136591; 2.991028; 9.384650
37291057741824; -1.136591; 2.991028; 9.384650
37291078713344; -1.167697; 3.242275; 9.236296
37291120656384; -1.167697; 3.242275; 9.236296
37291137433600; -1.189233; 3.304488; 8.963513
37291150016512; -1.189233; 3.304488; 8.963513
37291162599424; -1.189233; 3.304488; 8.963513
37291179376640; -1.189233; 3.304488; 8.963513
37291183570944; -1.189233; 3.304488; 8.963513
37291191959552; -1.636691; 3.318845; 8.707481
37291196153856; -1.636691; 3.318845; 8.707481
37291204542464; -1.636691; 3.318845; 8.707481
37291221319680; -1.636691; 3.318845; 8.707481
37291225513984; -1.636691; 3.318845; 8.707481
37291229708288; -1.636691; 3.318845; 8.707481
37291246485504; -1.758725; 3.510271; 8.513663
37291250679808; -1.758725; 3.510271; 8.513663
37291254874112; -1.758725; 3.510271; 8.513663
37291254874112; -1.758725; 3.510271; 8.513663
37291263262720; -1.758725; 3.510271; 8.513663
37291263262720; -1.758725; 3.510271; 8.513663
37291288428544; -1.732404; 3.940979; 8.664411
37291292622848; -1.732404; 3.940979; 8.664411
37291296817152; -1.732404; 3.940979; 8.664411
37291301011456; -1.732404; 3.940979; 8.664411
37291301011456; -1.732404; 3.940979; 8.664411
37291305205760; -1.732404; 3.940979; 8.664411
37291338760192; -1.928615; 4.242475; 8.635697
37291342954496; -1.928615; 4.242475; 8.635697
37291342954496; -1.928615; 4.242475; 8.635697
37291347148800; -1.928615; 4.242475; 8.635697
37291351343104; -1.928615; 4.242475; 8.635697
37291355537408; -1.928615; 4.242475; 8.635697
37291372314624; -1.928615; 4.242475; 8.635697
37291380703232; -1.928615; 4.242475; 8.635697
37291384897536; -1.928615; 4.242475; 8.635697
37291405869056; -2.598605; 3.462414; 7.925029
37291410063360; -2.598605; 3.462414; 7.925029
37291414257664; -2.598605; 3.462414; 7.925029
37291422646272; -2.598605; 3.462414; 7.925029
37291426840576; -2.598605; 3.462414; 7.925029
37291426840576; -2.598605; 3.462414; 7.925029
37291460395008; -1.660619; 4.733003; 7.499106
37291460395008; -1.660619; 4.733003; 7.499106
37291464589312; -1.660619; 4.733003; 7.499106
37291468783616; -1.660619; 4.733003; 7.499106
37291477172224; -1.660619; 4.733003; 7.499106
37291481366528; -1.660619; 4.733003; 7.499106
37291510726656; -1.641476; 0.473779; 7.216753
37291523309568; -1.641476; 0.473779; 7.216753
37291523309568; -1.641476; 0.473779; 7.216753
37291535892480; -1.641476; 0.473779; 7.216753
37291540086784; -1.641476; 0.473779; 7.216753
37291552669696; -1.641476; 0.473779; 7.216753
37291582029824; 0.476172; -10.559526; 3.311666
37291603001344; 2.304288; -12.945170; 1.112663
37291607195648; 2.304288; -12.945170; 1.112663
37291607195648; 2.304288; -12.945170; 1.112663
37291615584256; 2.304288; -12.945170; 1.112663
37291615584256; 2.304288; -12.945170; 1.112663
37291649138688; 2.304288; -12.945170; 1.112663
37291657527296; 2.328216; -11.653047; 0.739382
37291665915904; 2.328216; -11.653047; 0.739382
37291665915904; 2.328216; -11.653047; 0.739382
37291670110208; 2.328216; -11.653047; 0.739382
37291674304512; 2.328216; -11.653047; 0.739382
37291682693120; 2.328216; -11.653047; 0.739382
37291686887424; 2.328216; -11.653047; 0.739382
37291695276032; 2.328216; -11.653047; 0.739382
37291699470336; 2.328216; -11.653047; 0.739382
37291724636160; 2.143969; -10.265209; -1.263410
37291741413376; 2.143969; -10.265209; -1.263410
37291741413376; 2.143969; -10.265209; -1.263410
37291741413376; 2.143969; -10.265209; -1.263410
37291758190592; 2.143969; -10.265209; -1.263410
37291758190592; 2.143969; -10.265209; -1.263410
37291816910848; 1.782653; -10.281959; -3.125026
37291842076672; 0.380459; -7.848458; -2.895315
37291842076672; 0.380459; -7.848458; -2.895315
37291846270976; 0.380459; -7.848458; -2.895315
37291854659584; 0.380459; -7.848458; -2.895315
37291854659584; 0.380459; -7.848458; -2.895315
37291900796928; -0.619741; -7.197610; -1.328017
37291904991232; -1.964507; -6.419943; -1.478764
37291909185536; -1.964507; -6.419943; -1.478764
37291913379840; -1.964507; -6.419943; -1.478764
37291930157056; -4.029513; -5.814559; -1.741975
37291938545664; -5.536992; -7.791030; -1.074377
37291946934272; -5.536992; -7.791030; -1.074377
37291955322880; -5.536992; -7.791030; -1.074377
37291955322880; -5.536992; -7.791030; -1.074377
37291997265920; -6.695118; -8.094919; -1.684547
37292005654528; -6.695118; -8.094919; -1.684547
37292009848832; -6.695118; -8.094919; -1.684547
37292009848832; -6.695118; -8.094919; -1.684547
37292043403264; -9.221938; -9.415757; -2.038685
37292051791872; -9.221938; -9.415757; -2.038685
37292064374784; -10.750952; -8.542377; -2.074577
37292064374784; -10.750952; -8.542377; -2.074577
37292072763392; -12.227324; -7.231110; -3.761517
37292085346304; -12.227324; -7.231110; -3.761517
37292097929216; -13.378271; -7.283752; -5.929415
37292106317824; -13.378271; -7.283752; -5.929415
37292123095040; -14.830715; -7.874779; -6.774081
37292135677952; -16.802401; -7.494320; -6.661618
37292135677952; -16.802401; -7.494320; -6.661618
37292148260864; -16.802401; -7.494320; -6.661618
37292152455168; -18.853050; -6.594619; -7.283752
37292160843776; -18.853050; -6.594619; -7.283752
37292173426688; -18.802801; -6.384051; -8.652447
37292186009600; -18.802801; -6.384051; -8.652447
37292198592512; -17.682959; -6.278767; -9.274581
37292219564032; -17.376678; -6.821938; -8.685946
37292223758336; -17.376678; -6.821938; -8.685946
37292232146944; -16.225731; -6.917650; -8.772088
37292240535552; -16.225731; -6.917650; -8.772088
37292244729856; -16.225731; -6.917650; -8.772088
37292253118464; -15.596418; -6.501299; -8.944371
37292269895680; -15.474384; -6.723832; -9.944571
37292274089984; -15.474384; -6.723832; -9.944571
37292290867200; -14.136796; -6.168697; -10.595419
37292307644416; -12.210574; -6.247660; -10.231709
37292328615936; -10.217353; -6.166304; -10.849058
37292357976064; -9.616755; -6.527620; -13.009777
37292370558976; -9.554541; -4.936393; -14.586647
37292387336192; -7.920243; -3.866802; -14.287544
37292404113408; -6.678368; -2.811567; -13.536198
37292425084928; -5.912665; -2.873780; -14.069798
37292446056448; -5.623133; -1.225125; -14.854643
37292467027968; -5.254639; -1.347159; -14.258830
37292483805184; -4.761717; -2.086541; -12.378072
