time; x; y; z
80596806139904; -0.055035; 4.208975; 8.951550
80596814528512; -0.055035; 4.208975; 8.951550
80596822917120; -0.055035; 4.208975; 8.951550
80596822917120; -0.055035; 4.208975; 8.951550
80596839694336; -0.055035; 4.208975; 8.951550
80596848082944; -0.055035; 4.208975; 8.951550
80596906803200; -0.265603; 4.491328; 8.685946
80596923580416; -0.284746; 4.658826; 8.700303
80596940357632; -0.284746; 4.658826; 8.700303
80596940357632; -0.284746; 4.658826; 8.700303
80596948746240; -0.284746; 4.658826; 8.700303
80596957134848; -0.284746; 4.658826; 8.700303
80596973912064; -0.284746; 4.658826; 8.700303
80596999077888; -0.354138; 4.350152; 8.470592
80597007466496; -0.354138; 4.350152; 8.470592
80597024243712; -0.354138; 4.350152; 8.470592
80597024243712; -0.354138; 4.350152; 8.470592
80597041020928; -0.291924; 4.823930; 8.740981
80597074575360; -0.291924; 4.823930; 8.740981
80597091352576; -0.291924; 4.823930; 8.740981
80597091352576; -0.291924; 4.823930; 8.740981
80597099741184; -0.224925; 4.414758; 8.602198
80597099741184; -0.224925; 4.414758; 8.602198
80597108129792; -0.224925; 4.414758; 8.602198
80597116518400; -0.224925; 4.414758; 8.602198
80597124907008; -0.224925; 4.414758; 8.602198
80597133295616; -0.224925; 4.414758; 8.602198
80597133295616; -0.224925; 4.414758; 8.602198
80597141684224; -0.224925; 4.414758; 8.602198
80597141684224; -0.224925; 4.414758; 8.602198
80597158461440; -0.370888; 4.845466; 8.082955
80597158461440; -0.370888; 4.845466; 8.082955
80597166850048; -0.370888; 4.845466; 8.082955
80597166850048; -0.370888; 4.845466; 8.082955
80597175238656; -0.370888; 4.845466; 8.082955
80597175238656; -0.370888; 4.845466; 8.082955
80597217181696; -1.177269; 5.247460; 7.188039
80597217181696; -1.177269; 5.247460; 7.188039
80597217181696; -1.177269; 5.247460; 7.188039
80597225570304; -1.177269; 5.247460; 7.188039
80597225570304; -1.177269; 5.247460; 7.188039
80597225570304; -1.177269; 5.247460; 7.188039
80597250736128; -1.177269; 5.247460; 7.188039
80597267513344; -1.177269; 5.247460; 7.188039
80597267513344; -1.177269; 5.247460; 7.188039
80597275901952; -2.289931; 6.527620; 6.391229
80597275901952; -2.289931; 6.527620; 6.391229
80597284290560; -2.289931; 6.527620; 6.391229
80597309456384; -2.289931; 6.527620; 6.391229
80597309456384; -2.289931; 6.527620; 6.391229
80597309456384; -2.289931; 6.527620; 6.391229
80597317844992; -2.289931; 6.527620; 6.391229
80597317844992; -2.289931; 6.527620; 6.391229
80597326233600; -2.289931; 6.527620; 6.391229
80597359788032; -3.424129; 4.955536; 5.900701
80597368176640; -3.424129; 4.955536; 5.900701
80597384953856; -4.089334; 4.374080; 7.207182
80597384953856; -4.089334; 4.374080; 7.207182
80597393342464; -4.089334; 4.374080; 7.207182
80597401731072; -4.089334; 4.374080; 7.207182
80597401731072; -4.089334; 4.374080; 7.207182
80597418508288; -4.089334; 4.374080; 7.207182
80597418508288; -4.089334; 4.374080; 7.207182
80597418508288; -4.089334; 4.374080; 7.207182
80597426896896; -4.089334; 4.374080; 7.207182
80597426896896; -4.089334; 4.374080; 7.207182
80597460451328; -4.560720; -0.885344; 7.144969
80597477228544; -4.560720; -0.885344; 7.144969
80597494005760; -4.560720; -0.885344; 7.144969
80597502394368; -4.644469; -6.147161; 7.018149
80597519171584; -4.644469; -6.147161; 7.018149
80597527560192; -4.644469; -6.147161; 7.018149
80597569503232; -2.498107; -11.066805; 4.230510
80597577891840; -2.498107; -11.066805; 4.230510
80597586280448; -2.498107; -11.066805; 4.230510
80597586280448; -2.498107; -11.066805; 4.230510
80597594669056; -2.498107; -11.066805; 4.230510
80597603057664; -2.498107; -11.066805; 4.230510
80597611446272; -0.277567; -10.959127; 2.825923
80597619834880; -0.277567; -10.959127; 2.825923
80597619834880; 0.126820; -10.947164; 2.825923
80597628223488; 0.126820; -10.947164; 2.825923
80597628223488; 0.126820; -10.947164; 2.825923
80597628223488; 0.126820; -10.947164; 2.825923
80597670166528; 0.126820; -10.947164; 2.825923
80597670166528; -0.026321; -10.549955; 1.854438
80597678555136; -0.026321; -10.549955; 1.854438
80597678555136; -0.026321; -10.549955; 1.854438
80597686943744; -0.026321; -10.549955; 1.854438
80597703720960; -0.026321; -10.549955; 1.854438
80597720498176; -0.026321; -10.549955; 1.854438
80597720498176; -0.026321; -10.549955; 1.854438
80597728886784; -0.026321; -10.549955; 1.854438
80597737275392; 1.452443; -9.621540; 1.208375
80597737275392; 1.452443; -9.621540; 1.208375
80597754052608; 1.201197; -9.899107; 0.921237
80597787607040; 1.201197; -9.899107; 0.921237
80597795995648; 1.201197; -9.899107; 0.921237
80597804384256; 1.201197; -9.899107; 0.921237
80597804384256; 0.851845; -9.444471; -0.552742
80597812772864; 0.851845; -9.444471; -0.552742
80597812772864; 0.851845; -9.444471; -0.552742
80597821161472; 0.851845; -9.444471; -0.552742
80597837938688; 0.782453; -9.410972; -0.715454
80597863104512; 0.179462; -9.872787; -0.514457
80597871493120; -0.591027; -9.762716; -0.392423
80597871493120; -0.591027; -9.762716; -0.392423
80597888270336; -0.591027; -9.762716; -0.392423
80597921824768; -0.847059; -8.965906; 0.124427
80597921824768; -1.873580; -9.410972; -0.153141
80597930213376; -1.873580; -9.410972; -0.153141
80597938601984; -1.873580; -9.410972; -0.153141
80597946990592; -2.801995; -9.614362; -1.292124
80597946990592; -2.801995; -9.614362; -1.292124
80597946990592; -2.801995; -9.614362; -1.292124
80597946990592; -2.801995; -9.614362; -1.292124
80597963767808; -3.036492; -9.750752; -2.172683
80597972156416; -3.036492; -9.750752; -2.172683
80597988933632; -3.187240; -10.030712; -1.813760
80597997322240; -3.428915; -10.171889; -0.870987
80598022488064; -3.744767; -10.418350; -1.361516
80598039265280; -4.532006; -10.516456; -1.976472
80598056042496; -4.855037; -9.856036; -2.045863
80598081208320; -5.060820; -9.020942; -2.586641
80598097985536; -6.003592; -9.379865; -3.668197
80598123151360; -7.049255; -9.468399; -3.639483
80598139928576; -7.049255; -9.114262; -3.065206
80598156705792; -6.496513; -8.575876; -2.318645
80598173483008; -6.245267; -8.901300; -2.411965
80598198648832; -6.254838; -9.008977; -2.488536
80598215426048; -5.776274; -8.506484; -2.670390
80598232203264; -5.410172; -7.178468; -3.180061
80598248980480; -5.694918; -6.506085; -3.328416
80598274146304; -6.159125; -6.967899; -3.220739
80598299312128; -6.230910; -7.542177; -3.019742
80598307700736; -6.123233; -7.075577; -2.986243
80598332866560; -6.482157; -6.750153; -3.242275
80598349643776; -6.458228; -6.443871; -2.758924
80598366420992; -6.051448; -6.245267; -2.433501
80598391586816; -6.405586; -6.111269; -2.672783
80598408364032; -7.018149; -5.824131; -3.065206
80598425141248; -6.594619; -5.702096; -3.108277
80598441918464; -6.197411; -5.632705; -2.734996
80598467084288; -7.085148; -5.728417; -2.734996
80598483861504; -8.817552; -5.405386; -2.945565
80598500638720; -9.887143; -5.254639; -3.211168
80598525804544; -9.875179; -5.386244; -2.971886
80598542581760; -10.604990; -6.171090; -2.512464
