time; x; y; z
82191690235904; 0.447458; 4.780859; 8.762517
82191690235904; 0.447458; 4.780859; 8.762517
82191690235904; 0.447458; 4.780859; 8.762517
82191698624512; 0.447458; 4.780859; 8.762517
82191698624512; 0.447458; 4.780859; 8.762517
82191698624512; 0.447458; 4.780859; 8.762517
82191740567552; 0.770489; 4.522435; 8.544769
82191740567552; 0.770489; 4.522435; 8.544769
82191740567552; 0.770489; 4.522435; 8.544769
82191748956160; 0.770489; 4.522435; 8.544769
82191748956160; 0.770489; 4.522435; 8.544769
82191757344768; 0.770489; 4.522435; 8.544769
82191790899200; 0.679562; 4.730610; 8.898908
82191799287808; 0.679562; 4.730610; 8.898908
82191807676416; 0.679562; 4.730610; 8.898908
82191807676416; 0.679562; 4.730610; 8.898908
82191807676416; 0.679562; 4.730610; 8.898908
82191816065024; 0.679562; 4.730610; 8.898908
82191849619456; 0.497707; 4.670790; 8.621340
82191858008064; 0.497707; 4.670790; 8.621340
82191858008064; 0.497707; 4.670790; 8.621340
82191858008064; 0.497707; 4.670790; 8.621340
82191866396672; 0.497707; 4.670790; 8.621340
82191866396672; 0.540778; 4.673182; 8.504091
82191883173888; 0.540778; 4.673182; 8.504091
82191925116928; 0.868595; 5.070391; 7.963314
82191925116928; 0.868595; 5.070391; 7.963314
82191925116928; 0.868595; 5.070391; 7.963314
82191925116928; 0.868595; 5.070391; 7.963314
82191933505536; 0.868595; 5.070391; 7.963314
82191933505536; 0.868595; 5.070391; 7.963314
82191983837184; 1.785046; 5.821737; 7.008577
82191983837184; 1.785046; 5.821737; 7.008577
82192000614400; 1.785046; 5.821737; 7.008577
82192000614400; 1.785046; 5.821737; 7.008577
82192009003008; 1.785046; 5.821737; 7.008577
82192017391616; 1.785046; 5.821737; 7.008577
82192042557440; 2.536392; 5.979664; 5.977271
82192050946048; 2.536392; 5.979664; 5.977271
82192050946048; 2.536392; 5.979664; 5.977271
82192050946048; 2.536392; 5.979664; 5.977271
82192059334656; 2.536392; 5.979664; 5.977271
82192067723264; 2.536392; 5.979664; 5.977271
82192109666304; 0.514457; -1.746760; 4.369294
82192109666304; 0.514457; -1.746760; 4.369294
82192118054912; 0.514457; -1.746760; 4.369294
82192126443520; 0.514457; -1.746760; 4.369294
82192126443520; 0.514457; -1.746760; 4.369294
82192134832128; 0.514457; -1.746760; 4.369294
82192151609344; -2.610569; -11.274981; 2.790031
82192159997952; -2.610569; -11.274981; 2.790031
82192168386560; -2.610569; -11.274981; 2.790031
82192168386560; -2.610569; -11.274981; 2.790031
82192168386560; -2.610569; -11.274981; 2.790031
82192185163776; -2.610569; -11.274981; 2.790031
82192218718208; -7.401000; -11.004591; 3.146562
82192227106816; -7.401000; -11.004591; 3.146562
82192235495424; -7.401000; -11.004591; 3.146562
82192252272640; -7.401000; -11.004591; 3.146562
82192260661248; -7.401000; -11.004591; 3.146562
82192269049856; -6.135197; -9.571291; 4.328616
82192294215680; -6.135197; -9.571291; 4.328616
82192302604288; -6.135197; -9.571291; 4.328616
82192310992896; -6.135197; -9.571291; 4.328616
82192310992896; -6.135197; -9.571291; 4.328616
82192319381504; -6.135197; -9.571291; 4.328616
82192352935936; -1.308874; -8.812766; 6.470192
82192394878976; 0.031107; -8.659625; 5.910272
82192403267584; 0.031107; -8.659625; 5.910272
82192420044800; 2.411965; -13.488341; 6.482157
82192445210624; 2.536392; -9.305687; 6.120841
82192453599232; 2.536392; -9.305687; 6.120841
82192461987840; 1.464407; -6.266802; 5.032106
82192470376448; 1.464407; -6.266802; 5.032106
82192487153664; 0.921237; -4.527220; 4.441079
82192512319488; 0.870987; -3.326024; 5.520242
82192537485312; 1.311267; -2.213361; 5.687739
82192554262528; 1.318445; -2.510071; 4.996214
82192562651136; 1.313660; -4.357330; 4.632504
82192571039744; 1.313660; -4.357330; 4.632504
82192579428352; 1.313660; -4.357330; 4.632504
82192587816960; 1.349552; -5.314459; 4.161119
82192629760000; 1.409373; -9.659825; 1.567299
82192638148608; 1.196411; -11.157732; 0.114855
82192638148608; 1.196411; -11.157732; 0.114855
82192654925824; 1.196411; -11.157732; 0.114855
82192663314432; 0.557528; -13.021741; -0.394816
82192688480256; 0.514457; -13.718052; 0.038285
82192705257472; 1.806581; -15.976877; -2.825923
82192705257472; 1.806581; -15.976877; -2.825923
82192713646080; 3.002992; -20.537598; -6.757331
82192747200512; 3.931408; -20.678774; -8.451449
82192755589120; 5.635098; -18.917656; -11.248659
82192772366336; 5.635098; -18.917656; -11.248659
