time; x; y; z
86987172216832; 2.012364; 4.491328; 8.458628
86987172216832; 2.012364; 4.491328; 8.458628
86987172216832; 2.012364; 4.491328; 8.458628
86987180605440; 2.012364; 4.491328; 8.458628
86987188994048; 2.012364; 4.491328; 8.458628
86987205771264; 1.734796; 5.120640; 8.525627
86987281268736; 2.184647; 4.981857; 8.650054
86987281268736; 2.184647; 4.981857; 8.650054
86987306434560; 2.184647; 4.981857; 8.650054
86987306434560; 2.184647; 4.981857; 8.650054
86987331600384; 2.222932; 4.936393; 8.585447
86987339988992; 2.222932; 4.936393; 8.585447
86987348377600; 2.222932; 4.936393; 8.585447
86987348377600; 2.222932; 4.936393; 8.585447
86987373543424; 1.976472; 5.120640; 8.317451
86987381932032; 1.976472; 5.120640; 8.317451
86987390320640; 1.976472; 5.120640; 8.317451
86987407097856; 1.976472; 5.120640; 8.317451
86987415486464; 1.976472; 5.120640; 8.317451
86987415486464; 1.976472; 5.120640; 8.317451
86987423875072; 1.976472; 5.120640; 8.317451
86987423875072; 1.909472; 5.010571; 7.786245
86987432263680; 1.909472; 5.010571; 7.786245
86987432263680; 1.909472; 5.010571; 7.786245
86987440652288; 1.909472; 5.010571; 7.786245
86987449040896; 1.909472; 5.010571; 7.786245
86987457429504; 1.909472; 5.010571; 7.786245
86987457429504; 1.909472; 5.010571; 7.786245
86987465818112; 1.909472; 5.010571; 7.786245
86987474206720; 1.909472; 5.010571; 7.786245
86987507761152; 2.249253; 4.969893; 7.336394
86987524538368; 2.249253; 4.969893; 7.336394
86987532926976; 2.249253; 4.969893; 7.336394
86987541315584; 2.057827; 3.747160; 5.529813
86987541315584; 2.057827; 3.747160; 5.529813
86987549704192; 2.057827; 3.747160; 5.529813
86987574870016; 2.057827; 3.747160; 5.529813
86987574870016; 2.057827; 3.747160; 5.529813
86987591647232; 2.057827; 3.747160; 5.529813
86987591647232; 2.057827; 3.747160; 5.529813
86987600035840; 1.564906; 0.624527; 5.790631
86987608424448; 1.564906; 0.624527; 5.790631
86987616813056; 1.564906; 0.624527; 5.790631
86987616813056; 1.564906; 0.624527; 5.790631
86987625201664; 1.564906; 0.624527; 5.790631
86987633590272; 1.564906; 0.624527; 5.790631
86987633590272; 1.564906; 0.624527; 5.790631
86987641978880; 1.564906; 0.624527; 5.790631
86987667144704; 1.916651; -6.704689; 5.352744
86987675533312; 1.916651; -6.704689; 5.352744
86987675533312; 1.916651; -6.704689; 5.352744
86987683921920; 1.916651; -6.704689; 5.352744
86987692310528; 1.916651; -6.704689; 5.352744
86987692310528; 1.916651; -6.704689; 5.352744
86987734253568; -2.048256; -10.296316; 4.479364
86987742642176; -2.048256; -10.296316; 4.479364
86987751030784; -2.048256; -10.296316; 4.479364
86987751030784; -2.048256; -10.296316; 4.479364
86987759419392; -2.048256; -10.296316; 4.479364
86987759419392; -2.048256; -10.296316; 4.479364
86987801362432; -3.866802; -11.593225; 4.110869
86987801362432; -3.866802; -11.593225; 4.110869
86987809751040; -2.081756; -11.511869; 3.605984
86987826528256; -2.081756; -11.511869; 3.605984
86987826528256; -2.081756; -11.511869; 3.605984
86987826528256; -2.081756; -11.511869; 3.605984
86987860082688; -2.081756; -11.511869; 3.605984
86987868471296; -1.684547; -10.200603; 4.481757
86987885248512; -1.684547; -10.200603; 4.481757
86987902025728; -0.691526; -9.092726; 4.249653
86987918802944; -0.691526; -9.092726; 4.249653
86987918802944; -0.691526; -9.092726; 4.249653
86987935580160; -0.691526; -9.092726; 4.249653
86987952357376; -0.832702; -8.697910; 0.674776
86987952357376; -0.832702; -8.697910; 0.674776
86987977523200; 0.078963; -7.592426; 0.614955
86987985911808; 1.194018; -8.303095; 0.390030
86987994300416; 1.194018; -8.303095; 0.390030
86987994300416; 1.194018; -8.303095; 0.390030
86987994300416; 1.194018; -8.303095; 0.390030
86988002689024; 1.727618; -7.582855; 0.521635
86988011077632; 1.727618; -7.582855; 0.521635
86988027854848; 1.270589; -7.853244; -0.083749
86988053020672; 1.421337; -8.733803; -0.856631
86988061409280; 1.421337; -8.733803; -0.856631
86988094963712; 2.435894; -7.793423; -3.062813
86988103352320; 2.610569; -8.484949; -4.488935
86988103352320; 2.610569; -8.484949; -4.488935
86988111740928; 2.610569; -8.484949; -4.488935
86988111740928; 2.610569; -8.484949; -4.488935
86988120129536; 2.610569; -8.484949; -4.488935
86988120129536; 2.383251; -10.676775; -5.637490
86988128518144; 2.383251; -10.676775; -5.637490
86988145295360; 2.402394; -12.239287; -7.319644
86988145295360; 2.402394; -12.239287; -7.319644
86988153683968; 2.402394; -12.239287; -7.319644
86988162072576; 3.196811; -11.985648; -9.035298
86988170461184; 3.196811; -11.985648; -9.035298
86988170461184; 3.196811; -11.985648; -9.035298
86988187238400; 3.778267; -12.514462; -13.485949
86988204015616; 3.804588; -13.186846; -17.759529
86988212404224; 3.804588; -13.186846; -17.759529
86988229181440; 4.266403; -14.304294; -19.092331
86988229181440; 4.266403; -14.304294; -19.092331
86988237570048; 6.884151; -14.455042; -15.732809
86988245958656; 6.884151; -14.455042; -15.732809
86988254347264; 8.054241; -14.565111; -17.510675
86988271124480; 8.726624; -14.687145; -21.298513
86988296290304; 8.389236; -10.078569; -23.334806
86988313067520; 6.412765; -8.078169; -20.472990
86988329844736; 5.441278; -8.295917; -16.807186
86988355010560; 5.690132; -6.869794; -13.737195
86988371787776; 5.340780; -4.268795; -12.272787
86988388564992; 5.970092; -3.361916; -12.244074
86988413730816; 6.013163; -2.474179; -11.179267
86988430508032; 5.876772; -1.964507; -10.995020
86988447285248; 5.197211; -1.689333; -12.464213
86988472451072; 4.613362; 0.239282; -14.096118
86988489228288; 5.458028; 2.976671; -13.237095
86988506005504; 5.161318; 6.257231; -11.210374
86988531171328; 4.297510; 6.259624; -10.078569
86988547948544; 4.800002; 3.730411; -6.254838
86988564725760; 4.756931; 4.869394; -2.792424
86988589891584; 4.352544; 5.843273; -2.151148
86988606668800; 5.876772; 1.476372; 1.026521
86988623446016; 6.951150; 0.478565; 3.558127
86988640223232; 7.274181; 1.813760; 3.921836
86988657000448; 8.216953; -0.818345; 5.087141
86988682166272; 7.960921; -4.845466; 7.439286
86988698943488; 6.666404; -5.850451; 9.023335
86988715720704; 6.467800; -7.597212; 10.470992
86988740886528; 6.805188; -8.336594; 9.030513
86988757663744; 4.725825; -6.005985; 9.233903
86988774440960; 1.899901; -6.812366; 12.107682
86988791218176; -0.220140; -10.724631; 13.842479
86988816384000; -3.069991; -14.897714; 13.263416
86988833161216; -6.264410; -13.313665; 12.452249
86988849938432; -7.183254; -12.775280; 9.966106
86988875104256; -6.604190; -16.455441; 6.266802
86988891881472; -0.186640; -10.660025; 0.720240
86988908658688; 8.128419; -7.783852; -4.491328
86988933824512; 10.808380; -24.014368; -6.714260
86988950601728; 15.165709; -27.739992; -1.127020
86988967378944; 16.055840; -13.617554; 10.896914
86988992544768; 6.786045; -5.522635; 16.005590
86989009321984; -2.914458; -1.911865; 11.361122
86989026099200; -11.619547; -14.249259; -5.209175
86989042876416; -6.192625; -23.330021; -2.950350
86989068042240; 8.042277; -19.360329; -1.603191
86989084819456; 9.738789; -16.120445; -5.721239
86989101596672; 8.152347; -20.604595; -6.649654
86989126762496; 13.651053; -12.655639; -5.326423
86989143539712; 12.327823; -9.056833; -7.479964
86989160316928; 10.772488; -2.134398; -9.104691
86989177094144; 10.889736; -0.909273; -10.047462
86989202259968; 8.025527; 0.681954; -8.750552
86989219037184; 4.491328; 5.324030; -8.920443
86989235814400; 4.395615; 8.126026; -11.112268
86989260980224; 3.634698; 12.756138; -5.316852
86989277757440; -1.263410; 7.860423; 2.959922
86989294534656; 0.837488; -0.969093; 7.386643
86989311311872; 0.002393; -8.685946; 8.386844
86989336477696; -0.382852; -18.099310; 4.264010
86989353254912; -1.435694; -16.472191; 7.989635
86989370032128; -3.704089; -15.881164; 14.167903
86989395197952; -1.416551; -22.750957; 12.672389
86989411975168; -2.218147; -18.881763; 7.240681
86989428752384; -3.505485; -13.916656; 6.778867
86989453918208; 0.653241; -9.987641; 8.109276
86989470695424; 1.222732; -9.518648; 7.135397
86989487472640; -5.369494; -7.133004; 0.808774
86989512638464; -4.197011; -7.255038; 2.955136
86989529415680; 8.025527; -0.217747; 8.585447
86989546192896; 6.116055; -5.982057; 6.218946
86989562970112; 0.066999; -13.954942; 3.309274
86989588135936; 2.021935; -9.013762; 1.713261
86989604913152; -0.382852; -3.519842; -0.890130
86989621690368; 0.784846; -12.480963; -4.101298
86989638467584; 3.196811; -30.439096; -7.286145
86989663633408; 7.987242; -22.394426; -4.606184
86989680410624; 5.505885; -12.619746; -5.802595
86989697187840; 6.101698; -8.468200; -9.111869
86989722353664; 6.936793; -9.485149; -7.858029
86989739130880; 7.082755; -6.132804; -13.292130
86989755908096; 6.515656; 4.177868; -15.409778
86989781073920; 6.202196; 9.954143; -8.695518
86989797851136; 0.693919; 6.843473; -1.670190
86989814628352; 1.222732; 1.856830; -3.115455
86989839794176; 1.672583; 1.600798; -4.697111
86989856571392; 0.574277; -0.971486; 2.610569
86989873348608; -0.815953; -12.483356; 9.975677
86989890125824; 1.002593; -19.077974; 6.061020
86989915291648; -2.746960; -17.257036; 9.817751
86989932068864; -0.847059; -12.071791; 15.799808
86989948846080; -0.227318; -15.103497; 13.538590
86989974011904; -2.782853; -18.407984; 7.867601
86989990789120; -1.823331; -23.507090; 6.991828
86990007566336; 3.443272; -13.397414; 7.298109
86990024343552; -1.435694; -8.501698; 6.963114
86990049509376; -2.062613; -7.118648; 4.929214
86990066286592; 4.302295; -6.262017; 1.014557
86990083063808; 3.900301; -3.991228; 4.864608
86990108229632; -1.631905; -1.170090; 7.769495
86990125006848; -0.720240; -4.713861; 4.742575
86990141784064; 0.624527; -10.246066; -1.560120
86990158561280; 2.715854; -11.863615; -0.827917
86990183727104; 7.652247; -12.741780; -4.754539
86990200504320; 6.747760; -21.195623; -5.039285
86990217281536; 5.503492; -18.470198; -5.682954
86990242447360; 5.675776; -11.700903; -7.707282
86990259224576; 5.285745; -6.664011; -7.350751
86990276001792; 5.149354; -3.783053; -9.274581
86990301167616; 4.465007; -1.612762; -13.962120
86990317944832; 4.886144; 7.561319; -12.000006
86990334722048; 3.651447; 8.499306; -7.365108
86990351499264; 2.060220; 0.945165; -4.613362
86990376665088; 1.945365; -4.108477; -5.067998
86990393442304; 1.663012; -2.490928; 1.529014
86990410219520; -1.222732; -8.949157; 6.613762
