time; x; y; z
82095498067968; 1.220340; 4.565506; 8.683554
82095506456576; 1.220340; 4.565506; 8.683554
82095506456576; 1.220340; 4.565506; 8.683554
82095523233792; 1.220340; 4.565506; 8.683554
82095523233792; 1.220340; 4.565506; 8.683554
82095523233792; 1.220340; 4.565506; 8.683554
82095556788224; 1.476372; 4.426722; 8.793623
82095573565440; 1.476372; 4.426722; 8.793623
82095581954048; 1.476372; 4.426722; 8.793623
82095581954048; 1.476372; 4.426722; 8.793623
82095590342656; 1.476372; 4.426722; 8.793623
82095590342656; 1.476372; 4.426722; 8.793623
82095607119872; 1.548156; 4.945964; 8.130812
82095615508480; 1.548156; 4.945964; 8.130812
82095623897088; 1.548156; 4.945964; 8.130812
82095623897088; 1.548156; 4.945964; 8.130812
82095632285696; 1.548156; 4.945964; 8.130812
82095640674304; 1.548156; 4.945964; 8.130812
82095665840128; 3.168097; 8.195417; 7.192825
82095674228736; 3.168097; 8.195417; 7.192825
82095674228736; 3.168097; 8.195417; 7.192825
82095682617344; 3.168097; 8.195417; 7.192825
82095691005952; 3.168097; 8.195417; 7.192825
82095699394560; 3.168097; 8.195417; 7.192825
82095724560384; 5.572884; 7.920243; 4.108477
82095741337600; 5.572884; 7.920243; 4.108477
82095741337600; 5.572884; 7.920243; 4.108477
82095749726208; 5.572884; 7.920243; 4.108477
82095758114816; 5.572884; 7.920243; 4.108477
82095758114816; 5.572884; 7.920243; 4.108477
82095783280640; 6.080163; -0.112463; 0.818345
82095783280640; 6.080163; -0.112463; 0.818345
82095800057856; 6.080163; -0.112463; 0.818345
82095808446464; 6.080163; -0.112463; 0.818345
82095808446464; 6.080163; -0.112463; 0.818345
82095816835072; 6.080163; -0.112463; 0.818345
82095850389504; -6.027520; -18.317057; -6.063413
82095858778112; -6.027520; -18.317057; -6.063413
82095867166720; -6.027520; -18.317057; -6.063413
82095875555328; -6.027520; -18.317057; -6.063413
82095883943936; -6.027520; -18.317057; -6.063413
82095900721152; -9.399008; -11.983255; -2.701497
82095934275584; -9.399008; -11.983255; -2.701497
82095942664192; -9.399008; -11.983255; -2.701497
82095942664192; -9.399008; -11.983255; -2.701497
82095951052800; -5.477171; -9.166903; -2.543571
82095959441408; -5.477171; -9.166903; -2.543571
82095959441408; -5.477171; -9.166903; -2.543571
82095984607232; -4.474578; -9.341579; -1.641476
82095992995840; -4.474578; -9.341579; -1.641476
82096001384448; -4.474578; -9.341579; -1.641476
82096009773056; -4.474578; -9.341579; -1.641476
82096009773056; -4.474578; -9.341579; -1.641476
82096018161664; -4.474578; -9.341579; -1.641476
82096034938880; 0.437887; -8.760123; 1.380659
82096102047744; 1.564906; -8.353344; 1.184447
82096244654080; 11.255837; -10.313066; -3.404987
82096261431296; 12.153146; -9.375079; -5.659026
82096294985728; 14.323437; -11.442478; -8.740981
82096303374336; 14.323437; -11.442478; -8.740981
82096336928768; 13.854444; -11.035698; -10.724631
82096336928768; 13.854444; -11.035698; -10.724631
82096345317376; 12.808780; -12.354143; -11.416157
82096345317376; 12.808780; -12.354143; -11.416157
82096353705984; 12.808780; -12.354143; -11.416157
82096362094592; 12.093326; -13.160524; -11.832508
82096362094592; 12.093326; -13.160524; -11.832508
82096370483200; 12.093326; -13.160524; -11.832508
82096378871808; 12.093326; -13.160524; -11.832508
82096387260416; 11.184053; -12.650853; -11.303694
82096387260416; 11.184053; -12.650853; -11.303694
82096387260416; 11.184053; -12.650853; -11.303694
82096395649024; 11.184053; -12.650853; -11.303694
82096404037632; 10.135997; -12.387643; -11.172089
82096412426240; 10.135997; -12.387643; -11.172089
82096412426240; 10.135997; -12.387643; -11.172089
82096420814848; 9.451650; -13.466805; -11.301301
82096420814848; 9.451650; -13.466805; -11.301301
82096420814848; 9.451650; -13.466805; -11.301301
82096420814848; 9.451650; -13.466805; -11.301301
82096429203456; 9.451650; -13.466805; -11.301301
82096429203456; 9.451650; -13.466805; -11.301301
82096437592064; 9.451650; -13.466805; -11.301301
82096437592064; 8.157132; -12.483356; -11.083554
82096445980672; 8.157132; -12.483356; -11.083554
82096454369280; 8.157132; -12.483356; -11.083554
82096471146496; 7.432107; -11.054841; -11.236695
82096479535104; 7.432107; -11.054841; -11.236695
82096487923712; 6.733403; -10.322637; -12.172289
82096504700928; 5.903093; -11.009377; -13.153346
82096513089536; 5.903093; -11.009377; -13.153346
82096521478144; 4.661219; -10.880164; -12.942778
82096538255360; 3.053242; -9.090333; -12.454642
82096555032576; 3.038885; -7.477571; -13.127025
82096563421184; 3.038885; -7.477571; -13.127025
82096571809792; 1.938186; -8.417950; -12.579068
82096580198400; 1.938186; -8.417950; -12.579068
82096596975616; 2.129612; -8.961121; -13.038490
82096613752832; 1.732404; -6.532406; -13.258630
82096638918656; 1.361516; -4.728218; -11.408978
82096655695872; 1.483550; -6.247660; -8.437093
82096672473088; 1.433301; -6.515656; -6.206982
82096689250304; 2.002793; -5.568098; -5.158926
82096714416128; 2.457429; -5.276174; -4.522435
82096731193344; 3.168097; -5.175675; -4.036692
82096747970560; 4.046263; -5.185246; -3.735196
82096773136384; 4.840680; -4.003192; -2.742175
82096789913600; 5.529813; -0.995414; -2.921636
82096806690816; 7.058827; 2.632105; -3.096313
82096831856640; 9.492328; 0.033500; 1.414158
82096848633856; 10.059426; -6.661618; 4.591826
82096873799680; 8.918050; -3.701697; 6.259624
82096882188288; 7.479964; -1.304088; 6.697511
82096907354112; 6.427122; -4.005585; 7.843673
82096924131328; 6.929615; -8.195417; 8.250452
