time; x; y; z
2909448175616; 0.038285; 5.008178; 7.757531
2909490905088; -0.366102; 5.213961; 8.738588
2909494050816; -0.366102; 5.213961; 8.738588
2909495623680; -0.366102; 5.213961; 8.738588
2909508468736; -0.366102; 5.213961; 8.738588
2909511614464; -0.366102; 5.213961; 8.738588
2909528653824; -1.103091; 4.084548; 8.846265
2909542023168; -1.103091; 4.084548; 8.846265
2909557227520; -1.103091; 4.084548; 8.846265
2909624336384; -1.572084; 5.893522; 7.836494
2909648191488; -1.674976; 7.520642; 6.527620
2909661822976; -1.674976; 7.520642; 6.527620
2909677027328; -1.674976; 7.520642; 6.527620
2909708484608; -1.540978; 5.170890; 6.463014
2909741252608; -2.196611; 3.117848; 6.417551
2909791322112; -1.409373; -2.600998; 5.446064
2909841391616; -1.014557; -12.356536; 2.108077
2909842964480; -1.014557; -12.356536; 2.108077
2909857644544; -1.014557; -12.356536; 2.108077
2909869178880; -1.014557; -12.356536; 2.108077
2909871013888; -1.014557; -12.356536; 2.108077
2909874683904; -1.014557; -12.356536; 2.108077
2909877829632; -0.289532; -15.292529; 0.949951
2909887791104; -0.289532; -15.292529; 0.949951
2909889363968; -0.289532; -15.292529; 0.949951
2909891198976; -0.289532; -15.292529; 0.949951
2909894344704; -0.289532; -15.292529; 0.949951
2909913481216; -0.289532; -15.292529; 0.949951
2909921607680; -0.289532; -15.292529; 0.949951
2909928423424; -0.289532; -15.292529; 0.949951
2909931831296; 0.390030; -12.421143; -2.533999
2909932879872; 0.390030; -12.421143; -2.533999
2909946773504; 0.390030; -12.421143; -2.533999
2909961453568; 0.390030; -12.421143; -2.533999
2909971415040; 0.390030; -12.421143; -2.533999
2909983473664; -0.126820; -11.124232; -2.574677
2909986619392; -0.126820; -11.124232; -2.574677
2909990289408; -0.126820; -11.124232; -2.574677
2909995794432; -0.126820; -11.124232; -2.574677
2909999988736; -0.126820; -11.124232; -2.574677
2910004445184; -0.126820; -11.124232; -2.574677
2910011785216; -0.126820; -11.124232; -2.574677
2910026727424; -0.126820; -11.124232; -2.574677
