time; x; y; z
49519328755712; -0.181855; 4.419543; 8.525627
49519358115840; -0.500100; 6.458228; 7.214360
49519362310144; -0.500100; 6.458228; 7.214360
49519370698752; -0.500100; 6.458228; 7.214360
49519374893056; -0.500100; 6.458228; 7.214360
49519391670272; -0.500100; 6.458228; 7.214360
49519404253184; -0.559920; 7.587641; 5.769095
49519408447488; -0.559920; 7.587641; 5.769095
49519442001920; -0.559920; 7.587641; 5.769095
49519454584832; 0.832702; 3.962514; 5.276174
49519479750656; 0.832702; 3.962514; 5.276174
49519488139264; 0.832702; 3.962514; 5.276174
49519525888000; 0.954736; -7.286145; 6.051448
49519530082304; 0.954736; -7.286145; 6.051448
49519542665216; 0.954736; -7.286145; 6.051448
49519555248128; 0.954736; -7.286145; 6.051448
49519563636736; 0.954736; -7.286145; 6.051448
49519563636736; 0.954736; -7.286145; 6.051448
49519572025344; 0.954736; -7.286145; 6.051448
49519580413952; 1.806581; -12.007184; 3.366701
49519597191168; 1.806581; -12.007184; 3.366701
49519597191168; 1.806581; -12.007184; 3.366701
49519605579776; 1.806581; -12.007184; 3.366701
49519613968384; 1.806581; -12.007184; 3.366701
49519626551296; 2.258825; -13.615161; -0.323031
49519630745600; 2.258825; -13.615161; -0.323031
49519630745600; 2.258825; -13.615161; -0.323031
49519634939904; 2.258825; -13.615161; -0.323031
49519639134208; 2.258825; -13.615161; -0.323031
49519647522816; 2.258825; -13.615161; -0.323031
49519655911424; 2.258825; -13.615161; -0.323031
49519681077248; 1.770689; -11.665010; -1.808974
49519685271552; 1.770689; -11.665010; -1.808974
49519689465856; 1.770689; -11.665010; -1.808974
49519693660160; 1.770689; -11.665010; -1.808974
49519693660160; 1.770689; -11.665010; -1.808974
49519706243072; 1.770689; -11.665010; -1.808974
49519714631680; 1.770689; -11.665010; -1.808974
49519714631680; 1.770689; -11.665010; -1.808974
49519718825984; 1.770689; -11.665010; -1.808974
49519723020288; 1.770689; -11.665010; -1.808974
49519811100672; -0.224925; -8.827123; -6.211768
49519853043712; -0.224925; -8.827123; -6.211768
49519861432320; -0.224925; -8.827123; -6.211768
49519874015232; -1.825724; -6.790831; -7.374680
49519886598144; -1.873580; -7.317252; -7.427321
49519886598144; -1.873580; -7.317252; -7.427321
49519978872832; -3.381058; -7.733603; -5.800202
49519987261440; -3.381058; -7.733603; -5.800202
49519995650048; -3.275774; -8.231310; -4.295116
49519999844352; -3.275774; -8.231310; -4.295116
49520029204480; -2.964707; -7.003792; -3.072384
49520033398784; -2.809174; -5.931808; -3.282953
49520033398784; -2.809174; -5.931808; -3.282953
49520041787392; -2.809174; -5.931808; -3.282953
49520045981696; -2.809174; -5.931808; -3.282953
49520050176000; -2.809174; -5.931808; -3.282953
49520050176000; -2.809174; -5.931808; -3.282953
49520054370304; -2.557927; -6.116055; -2.691926
49520066953216; -2.557927; -6.116055; -2.691926
49520066953216; -2.557927; -6.116055; -2.691926
49520079536128; -2.395216; -6.608976; -1.935794
49520087924736; -2.395216; -6.608976; -1.935794
49520092119040; -2.273181; -5.950950; -1.588834
49520096313344; -2.273181; -5.950950; -1.588834
49520104701952; -2.273181; -5.950950; -1.588834
49520104701952; -2.273181; -5.950950; -1.588834
49520113090560; -1.768296; -4.543970; -3.053242
49520121479168; -1.768296; -4.543970; -3.053242
49520125673472; -1.768296; -4.543970; -3.053242
49520129867776; -2.019542; -4.969893; -3.771089
49520138256384; -2.019542; -4.969893; -3.771089
49520142450688; -2.019542; -4.969893; -3.771089
49520167616512; -2.505285; -7.161718; -2.998207
49520184393728; -2.505285; -7.161718; -2.998207
49520196976640; -2.423929; -7.506285; -4.364509
49520226336768; -4.823930; -11.174481; -8.989835
49520247308288; -5.627919; -13.751552; -10.549955
49520264085504; -5.627919; -13.751552; -10.549955
49520280862720; -6.795616; -13.794622; -14.007584
49520297639936; -10.344172; -15.866807; -16.642082
49520314417152; -12.602997; -18.632910; -19.611574
49520322805760; -12.602997; -18.632910; -19.611574
49520331194368; -13.868800; -16.711473; -21.968504
49520335388672; -13.868800; -16.711473; -21.968504
49520335388672; -13.868800; -16.711473; -21.968504
49520347971584; -13.866407; -17.565712; -23.028524
49520356360192; -13.866407; -17.565712; -23.028524
49520368943104; -13.665410; -17.115860; -20.334208
49520381526016; -14.888143; -13.605590; -19.448862
49520394108928; -14.888143; -13.605590; -19.448862
49520419274752; -13.686946; -12.009577; -17.556139
49520457023488; -12.514462; -5.046463; -16.577475
49520469606400; -12.514462; -5.046463; -16.577475
49520477995008; -12.514462; -5.046463; -16.577475
49520486383616; -12.514462; -5.046463; -16.577475
49520490577920; -12.514462; -5.046463; -16.577475
49520511549440; -12.114861; -3.067599; -14.746966
49520549298176; -8.858230; 0.947558; -10.578669
49520549298176; -8.858230; 0.947558; -10.578669
49520578658304; -7.750352; -0.713061; -10.047462
49520587046912; -7.750352; -0.713061; -10.047462
49520599629824; -4.273581; 1.639084; -6.728617
49520603824128; -4.273581; 1.639084; -6.728617
49520637378560; -5.137390; 7.032506; -2.538785
49520641572864; -5.137390; 7.032506; -2.538785
49520645767168; -5.137390; 7.032506; -2.538785
49520654155776; -5.759524; 4.919643; 3.304488
49520670932992; -5.235496; 1.210768; 7.733603
49520691904512; -5.726025; -0.392423; 8.262417
49520712876032; -7.659425; 0.739382; 8.200203
49520729653248; -6.604190; 1.890330; 5.982057
49520750624768; -5.345566; 1.028914; 5.271388
49520767401984; -6.635297; 4.795217; 7.324430
49520788373504; -7.063612; -7.037292; 8.788837
49520805150720; -4.469793; -4.651647; 7.046863
49520826122240; -1.890330; 1.938186; 2.924029
49520847093760; -0.837488; 1.782653; 1.296910
49520863870976; -2.368894; -4.677969; 3.615555
49520884842496; -3.677768; -5.613562; 3.455236
49520905814016; -1.897508; -7.073184; 4.072584
49520926785536; -0.059821; -17.216358; 7.712068
49520943562752; -0.059821; -23.755943; 10.674382
49520960339968; -2.273181; -14.471791; -4.386044
49520981311488; -1.289731; -22.250858; -9.064013
49521002283008; -0.315853; -20.556740; 1.014557
49521019060224; -5.714060; -19.872393; -1.383052
49521040031744; -4.584648; -13.954942; -6.927222
49521056808960; 0.244068; -7.379465; -12.335001
49521077780480; 0.892523; -12.157932; -15.421741
49521098752000; -5.556134; -35.933018; -3.696911
49521119723520; -2.648855; -34.485359; 6.405586
49521136500736; -0.423530; -0.287139; -6.927222
49521153277952; -2.177469; 1.823331; -21.406191
49521174249472; -2.136791; -23.533411; -13.239488
49521195220992; -1.622334; -17.355143; -8.090134
49521211998208; -7.377072; -3.735196; -13.966906
49521232969728; -6.589834; -6.309873; -16.965113
49521253941248; -5.967700; -6.616155; -16.455441
