time; x; y; z
49310527913984; -3.943372; -1.603191; -1.512264
49310544691200; -4.744967; -1.332802; 3.230311
49310565662720; -4.744967; -1.332802; 3.230311
49310620188672; -4.146761; -2.560320; 4.091727
49310678908928; -5.132605; -4.788038; 4.689932
49310758600704; -4.450650; -13.196417; 9.745967
49310850875392; -12.669996; -18.415163; -0.806381
49310850875392; -12.669996; -18.415163; -0.806381
49310855069696; -12.669996; -18.415163; -0.806381
49310855069696; -12.669996; -18.415163; -0.806381
49310855069696; -12.669996; -18.415163; -0.806381
49310871846912; -12.669996; -18.415163; -0.806381
49310876041216; -12.669996; -18.415163; -0.806381
49310888624128; -12.669996; -18.415163; -0.806381
49310913789952; -10.078569; -8.453842; -9.071191
49310938955776; -10.078569; -8.453842; -9.071191
49310951538688; -10.078569; -8.453842; -9.071191
49310980898816; -1.751546; -10.212567; -5.584848
49311014453248; -1.751546; -10.212567; -5.584848
49311018647552; -1.751546; -10.212567; -5.584848
49311043813376; -8.889337; -15.098711; -4.043870
49311106727936; -8.889337; -15.098711; -4.043870
49311115116544; 0.464208; -14.392828; -9.164511
49311131893760; 0.464208; -14.392828; -9.164511
49311140282368; 0.464208; -14.392828; -9.164511
49311152865280; -1.158126; -8.202596; -11.973684
49311157059584; -1.158126; -8.202596; -11.973684
49311165448192; -1.158126; -8.202596; -11.973684
49311207391232; -9.415757; -20.501705; -13.737195
49311236751360; -9.415757; -20.501705; -13.737195
49311245139968; -9.415757; -20.501705; -13.737195
49311320637440; 0.476172; -13.593625; 0.246461
49311345803264; 0.476172; -13.593625; 0.246461
49311354191872; 0.476172; -13.593625; 0.246461
49311370969088; 0.476172; -13.593625; 0.246461
49311404523520; -6.345766; -9.293723; -0.057428
49311442272256; -8.559127; -0.961915; -1.801795
49311459049472; -8.559127; -0.961915; -1.801795
49311475826688; -8.559127; -0.961915; -1.801795
49311484215296; -8.559127; -0.961915; -1.801795
49311496798208; -7.601997; -1.952543; 1.899901
49311513575424; -7.601997; -1.952543; 1.899901
49311526158336; -7.601997; -1.952543; 1.899901
49311542935552; -7.601997; -1.952543; 1.899901
49311547129856; -7.601997; -1.952543; 1.899901
49311555518464; -5.551349; 0.808774; 1.792224
49311576489984; -3.993621; 0.064606; 3.847659
49311584878592; -3.993621; 0.064606; 3.847659
49311597461504; -3.993621; 0.064606; 3.847659
49311605850112; -3.993621; 0.064606; 3.847659
49311614238720; -3.993621; 0.064606; 3.847659
49311664570368; -3.792624; 9.372686; 16.845472
49311672958976; -3.792624; 9.372686; 16.845472
49311677153280; -3.792624; 9.372686; 16.845472
49311681347584; -1.383052; 6.879365; 10.128819
49311706513408; -1.383052; 6.879365; 10.128819
49312016891904; -4.618148; -7.381858; 8.532805
49312037863424; -4.618148; -7.381858; 8.532805
49312063029248; 4.261617; -5.996414; 5.314459
49312071417856; 4.261617; -5.996414; 5.314459
49312079806464; 4.261617; -5.996414; 5.314459
49312092389376; 0.428315; -8.221739; 10.083355
49312104972288; 0.658026; -2.021935; 5.970092
49312104972288; 0.658026; -2.021935; 5.970092
49312121749504; 0.658026; -2.021935; 5.970092
49312134332416; 2.110470; 3.933800; 0.423530
49312134332416; 2.110470; 3.933800; 0.423530
49312146915328; 2.158326; -2.435894; -6.424729
49312184664064; -1.562513; -7.860423; -9.540184
49312516014080; 1.445265; 3.675375; 5.132605
49312520208384; 1.445265; 3.675375; 5.132605
49312520208384; 1.445265; 3.675375; 5.132605
49312524402688; 1.445265; 3.675375; 5.132605
49312528596992; -7.695318; -2.014757; -1.033699
49312528596992; -7.695318; -2.014757; -1.033699
49312532791296; -7.695318; -2.014757; -1.033699
49312532791296; -7.695318; -2.014757; -1.033699
49312536985600; -7.695318; -2.014757; -1.033699
49312536985600; -7.695318; -2.014757; -1.033699
49312541179904; -7.695318; -2.014757; -1.033699
49312545374208; -6.149554; -7.448857; -4.845466
49312545374208; -6.149554; -7.448857; -4.845466
49312549568512; -6.149554; -7.448857; -4.845466
49312553762816; -6.149554; -7.448857; -4.845466
49312553762816; -6.149554; -7.448857; -4.845466
49312557957120; -6.149554; -7.448857; -4.845466
49312557957120; -6.149554; -7.448857; -4.845466
49312562151424; -0.100499; -7.910672; 1.722832
49312566345728; -0.100499; -7.910672; 1.722832
49312570540032; -0.100499; -7.910672; 1.722832
49312570540032; -0.100499; -7.910672; 1.722832
49312574734336; -0.100499; -7.910672; 1.722832
49312574734336; -0.100499; -7.910672; 1.722832
49312578928640; -0.100499; -7.910672; 1.722832
49312578928640; -0.100499; -7.910672; 1.722832
49312587317248; -3.371487; -9.193225; 10.317851
49312587317248; -3.371487; -9.193225; 10.317851
49312591511552; -3.371487; -9.193225; 10.317851
49312591511552; -3.371487; -9.193225; 10.317851
49312595705856; -3.371487; -9.193225; 10.317851
49312599900160; -3.371487; -9.193225; 10.317851
49312604094464; -8.621340; -16.106089; 5.046463
49312604094464; -8.621340; -16.106089; 5.046463
49312608288768; -8.621340; -16.106089; 5.046463
49312608288768; -8.621340; -16.106089; 5.046463
49312625065984; -2.615355; -17.111074; 5.417350
49312637648896; -2.615355; -17.111074; 5.417350
49312646037504; 3.292524; -11.897114; 4.163511
49312658620416; 3.292524; -11.897114; 4.163511
49312675397632; 3.574877; -6.948757; 2.924029
49312679591936; 0.631705; 0.504886; 2.084148
49312683786240; 0.631705; 0.504886; 2.084148
49312687980544; 0.631705; 0.504886; 2.084148
49312692174848; 0.631705; 0.504886; 2.084148
49312700563456; -2.234896; 3.404987; -0.256032
49312704757760; -2.234896; 3.404987; -0.256032
49312708952064; -2.234896; 3.404987; -0.256032
49312713146368; -2.234896; 3.404987; -0.256032
49312717340672; -0.997807; 0.904487; -3.139383
49312721534976; -0.997807; 0.904487; -3.139383
49312729923584; -0.997807; 0.904487; -3.139383
49312738312192; -0.725025; 2.785246; -5.553741
49312742506496; -0.725025; 2.785246; -5.553741
