time; x; y; z
56965245960192; 1.284946; 6.522834; 7.367501
56965245960192; 1.284946; 6.522834; 7.367501
56965250154496; 1.284946; 6.522834; 7.367501
56965254348800; 1.284946; 6.522834; 7.367501
56965262737408; 1.284946; 6.522834; 7.367501
56965266931712; 1.284946; 6.522834; 7.367501
56965329846272; 1.567299; 6.132804; 7.467999
56965329846272; 1.567299; 6.132804; 7.467999
56965346623488; 1.567299; 6.132804; 7.467999
56965355012096; 1.651048; 5.927022; 7.846066
56965359206400; 1.651048; 5.927022; 7.846066
56965363400704; 1.651048; 5.927022; 7.846066
56965396955136; 1.651048; 5.927022; 7.846066
56965396955136; 1.651048; 5.927022; 7.846066
56965426315264; 1.560120; 5.721239; 7.783852
56965430509568; 1.560120; 5.721239; 7.783852
56965443092480; 1.560120; 5.721239; 7.783852
56965447286784; 1.560120; 5.721239; 7.783852
56965493424128; 1.222732; 6.242874; 7.156932
56965497618432; 1.222732; 6.242874; 7.156932
56965514395648; 1.222732; 6.242874; 7.156932
56965514395648; 1.222732; 6.242874; 7.156932
56965518589952; 1.222732; 6.242874; 7.156932
56965522784256; 1.854438; 6.757331; 6.281159
56965535367168; 1.854438; 6.757331; 6.281159
56965543755776; 1.854438; 6.757331; 6.281159
56965547950080; 1.854438; 6.757331; 6.281159
56965547950080; 1.854438; 6.757331; 6.281159
56965560532992; 1.854438; 6.757331; 6.281159
56965564727296; 1.854438; 6.757331; 6.281159
56965631836160; 3.833302; 6.372087; 3.696911
56965640224768; 3.921836; 4.771288; 5.204389
56965644419072; 3.921836; 4.771288; 5.204389
56965657001984; 3.921836; 4.771288; 5.204389
56965661196288; 3.921836; 4.771288; 5.204389
56965673779200; 1.770689; 1.347159; 5.288138
56965715722240; 1.770689; 1.347159; 5.288138
56965719916544; 1.770689; 1.347159; 5.288138
56965732499456; -1.624727; -10.363315; 2.143969
56965745082368; -1.624727; -10.363315; 2.143969
56965745082368; -1.624727; -10.363315; 2.143969
56965745082368; -1.624727; -10.363315; 2.143969
56965761859584; -1.624727; -10.363315; 2.143969
56965782831104; -1.624727; -10.363315; 2.143969
56965791219712; -2.945565; -12.902100; 1.244268
56965791219712; -2.945565; -12.902100; 1.244268
56965795414016; -2.945565; -12.902100; 1.244268
56965799608320; -2.945565; -12.902100; 1.244268
56965824774144; -2.945565; -12.902100; 1.244268
56965824774144; -2.945565; -12.902100; 1.244268
56965828968448; -2.945565; -12.902100; 1.244268
56965858328576; -3.259024; -12.043077; 2.500500
56965866717184; -3.259024; -12.043077; 2.500500
56965887688704; -2.505285; -11.507084; 2.093720
56965891883008; -2.505285; -11.507084; 2.093720
56965891883008; -2.505285; -11.507084; 2.093720
56965900271616; -2.505285; -11.507084; 2.093720
56965917048832; -2.505285; -11.507084; 2.093720
56965942214656; -0.399601; -12.770494; 1.988436
56965946408960; -0.399601; -12.770494; 1.988436
56965975769088; 0.174676; -13.825729; 1.524228
56965988352000; 0.174676; -13.825729; 1.524228
56966005129216; 1.155733; -10.066605; -0.181855
56966034489344; 1.155733; -10.066605; -0.181855
56966042877952; 1.155733; -10.066605; -0.181855
56966051266560; 1.155733; -10.066605; -0.181855
56966101598208; -0.483350; -8.807981; 0.052642
56966118375424; 0.337388; -8.997013; 0.832702
56966118375424; 0.337388; -8.997013; 0.832702
56966147735552; 0.698704; -8.709874; 0.519243
56966151929856; 0.698704; -8.709874; 0.519243
56966156124160; 0.476172; -8.372486; -0.839881
56966160318464; 0.476172; -8.372486; -0.839881
56966172901376; 0.476172; -8.372486; -0.839881
56966181289984; 0.624527; -9.626326; -1.746760
56966189678592; 0.624527; -9.626326; -1.746760
56966193872896; 1.557728; -12.069397; -2.751746
56966202261504; 1.557728; -12.069397; -2.751746
56966206455808; 1.557728; -12.069397; -2.751746
56966206455808; 1.557728; -12.069397; -2.751746
56966214844416; 2.050649; -15.364314; -4.996214
56966223233024; 2.050649; -15.364314; -4.996214
56966227427328; 2.050649; -15.364314; -4.996214
56966231621632; 2.266003; -14.751752; -7.357930
56966235815936; 2.266003; -14.751752; -7.357930
56966235815936; 2.266003; -14.751752; -7.357930
56966244204544; 2.266003; -14.751752; -7.357930
56966248398848; 2.266003; -14.751752; -7.357930
56966248398848; 3.136991; -12.275180; -9.138189
56966256787456; 3.136991; -12.275180; -9.138189
56966260981760; 3.136991; -12.275180; -9.138189
56966265176064; 3.136991; -12.275180; -9.138189
56966269370368; 3.136991; -12.275180; -9.138189
56966269370368; 4.335794; -13.158132; -10.377672
56966273564672; 4.335794; -13.158132; -10.377672
56966277758976; 4.335794; -13.158132; -10.377672
56966286147584; 4.335794; -13.158132; -10.377672
56966294536192; 5.034499; -16.694723; -15.342779
56966302924800; 5.034499; -16.694723; -15.342779
56966315507712; 7.810173; -20.157139; -20.456242
56966323896320; 7.810173; -20.157139; -20.456242
56966336479232; 12.358929; -18.221344; -23.483162
56966344867840; 12.358929; -18.221344; -23.483162
56966353256448; 11.339586; -13.387843; -23.095524
56966357450752; 11.339586; -13.387843; -23.095524
56966365839360; 8.712267; -15.378671; -24.643681
56966370033664; 8.712267; -15.378671; -24.643681
56966378422272; 8.712267; -15.378671; -24.643681
56966386810880; 9.956535; -15.888342; -21.884756
56966403588096; 9.879965; -9.482756; -20.602203
56966424559616; 10.454242; -4.201797; -21.248264
56966445531136; 11.258230; -1.158126; -17.130217
56966462308352; 8.965906; 1.871187; -12.586247
56966483279872; 7.305287; -2.057827; -11.205588
56966504251392; 6.908079; 1.117448; -13.091133
56966521028608; 7.121040; 6.161518; -16.601404
56966546194432; 7.865208; 11.243874; -10.092926
56966562971648; 5.158926; 10.265209; -2.768496
56966579748864; 2.517249; 6.278767; -2.833102
56966596526080; 2.694318; 3.139383; -3.668197
56966617497600; 3.010171; 1.739582; -1.141376
56966638469120; 1.663012; 2.727818; 0.119641
56966655246336; 0.911665; 3.696911; -0.906880
56966676217856; 2.636891; 0.167498; -0.942772
56966697189376; 4.421936; -1.686940; 3.787838
56966713966592; 4.532006; -2.340181; 4.960321
56966734938112; 6.163911; -3.055634; 8.724232
56966755909632; 5.479564; -9.111869; 8.563912
56966776881152; 3.306881; -10.963913; 3.443272
56966789464064; 1.794617; -3.211168; 1.131805
56966810435584; 0.787239; 3.404987; 2.143969
56966827212800; 1.694118; -1.572084; 5.793024
56966848184320; 0.952343; -11.263016; 8.403593
56966869155840; 1.320838; -12.459428; 8.997013
56966885933056; 1.105484; -10.322637; 9.353543
56966906904576; -0.643669; -9.932607; 11.483156
56966927876096; -2.455036; -15.074782; 13.672588
56966944653312; 0.172283; -26.364120; 15.840486
56966965624832; 5.637490; -19.398613; 11.909079
56966982402048; 2.301895; -6.211768; 0.990629
56967003373568; -1.617548; -3.146562; -1.789831
56967024345088; 8.039884; -27.737600; -2.847459
56967041122304; 31.680971; -22.265215; 8.267202
56967062093824; 15.579668; -11.356337; 10.683953
56967083065344; 4.709075; -4.991428; 10.552348
56967099842560; -7.877172; -9.501899; 5.039285
56967120814080; -21.525833; -13.292130; -6.589834
56967137591296; 2.610569; -21.217159; -5.283352
56967158562816; 25.799414; -15.287744; -2.170290
56967179534336; 8.886943; -11.700903; -10.600204
56967196311552; 9.475577; -11.397015; -14.500505
56967217283072; 7.563713; -10.741381; -6.135197
56967234060288; 7.690532; -1.127020; -5.292923
56967255031808; 1.435694; 1.454836; -2.380858
56967271809024; 1.385444; -16.455441; -11.794223
56967292780544; 5.673382; -4.608576; -11.667403
56967313752064; 7.668997; 5.845666; -23.406591
56967330529280; 7.822137; 15.263816; -7.113862
56967351500800; -1.806581; 9.233903; 5.857630
56967368278016; -3.541378; -0.679562; -6.589834
56967389249536; 0.212961; -3.570091; -11.334801
56967410221056; 8.056634; 0.177069; 3.050849
56967426998272; 5.350351; -7.750352; 11.492727
56967447969792; 0.382852; -17.843279; 6.664011
56967464747008; 3.321238; -10.662417; 7.539784
56967485718528; 7.054041; -9.556933; 14.579469
56967506690048; 8.221739; -12.732209; 15.323636
56967523467264; 3.773481; -14.227723; 15.847665
56967548633088; 0.246461; -16.704294; 12.047862
56967561216000; 3.931408; -15.407385; 12.143575
56967582187520; 6.128019; -7.133004; 11.368300
56967603159040; 7.621140; -14.124832; 8.824730
56967619936256; 12.253645; -19.602003; 7.731210
56967640907776; 10.482956; -14.746966; 1.428515
56967657684992; 4.309474; -9.674182; -8.195417
56967678656512; 3.314059; -9.169296; 0.985843
56967699628032; -4.213761; -9.408579; 14.385650
56967716405248; -5.199604; -9.655040; 1.674976
56967737376768; -1.019342; -6.367301; -7.176075
56967754153984; 8.035098; -10.033105; -7.747960
56967775125504; 7.314859; -13.837693; -9.073584
56967796097024; 3.053242; -11.373086; -7.274181
56967812874240; 5.639883; -9.298509; -10.506885
56967838040064; 4.357330; -5.883951; -7.003792
56967850622976; 1.021735; -9.391829; -9.298509
56967871594496; 4.666004; -4.723432; -16.206587
56967892566016; 13.686946; 10.719846; -7.022934
56967913537536; 2.572284; 5.991628; -0.129212
56967930314752; -0.763310; -2.038685; -5.319245
56967951286272; 2.498107; -0.665205; -8.700303
56967968063488; 7.034899; 7.661818; -8.003992
56967984840704; 5.460421; 4.345366; 0.457029
56968005812224; -1.330409; -2.840281; 6.412765
56968026783744; -2.993421; -13.304094; 7.570891
56968043560960; 4.058227; -17.419748; 10.116854
56968064532480; 3.230311; -14.770894; 13.538590
56968085504000; 4.433900; -13.672588; 15.893128
56968102281216; 4.249653; -11.933006; 10.997413
56968123252736; 3.481557; -22.626532; 5.644669
56968144224256; 2.691926; -35.365917; 10.736595
56968161001472; 12.191431; -25.801807; 13.588840
56968181972992; 10.155139; -9.343972; 7.941778
56968198750208; 4.137190; -6.305088; 4.733003
56968219721728; -0.705883; -8.566305; 8.025527
56968236498944; -5.544170; -8.114061; 2.727818
56968257470464; -5.840880; -6.144769; -7.712068
56968278441984; 2.720639; -4.127619; -2.218147
56968295219200; 14.141582; -5.201996; -6.034698
56968316190720; 4.919643; -10.370493; -10.042677
56968337162240; 1.801795; -2.938386; -3.792624
56968353939456; -0.160319; -12.227324; -2.732604
56968374910976; 2.754139; -13.380664; -11.794223
56968391688192; 4.168297; 1.555335; -10.138390
56968412659712; 1.299303; 4.730610; -7.381858
56968433631232; -0.279960; 0.918844; -4.919643
56968450408448; -0.387637; -0.945165; -5.632705
56968471379968; 0.686740; 1.220340; -10.829915
56968488157184; 3.416951; 4.287938; -12.174682
56968509128704; 5.551349; 1.239482; -1.330409
56968525905920; 0.768096; -5.852844; 4.005585
56968546877440; -0.447458; -10.250853; 4.113262
56968567848960; 5.268995; -15.393028; 7.881958
56968584626176; 8.291130; -11.837294; 13.177275
56968605597696; 6.960721; -7.625926; 15.996019
56968622374912; 4.914858; -12.784851; 8.140383
56968643346432; 9.231510; -26.876184; 8.200203
56968664317952; 15.649060; -31.314871; 12.078969
56968681095168; 17.651854; -22.358534; 17.618353
56968702066688; 8.118847; -19.367506; 4.931607
56968723038208; -0.342174; -18.197416; 4.826324
56968739815424; -6.929615; -12.713067; 8.106883
56968756592640; -11.720045; -6.025127; 0.193819
56968777564160; -5.714060; -5.692525; 2.971886
56968798535680; 13.990834; -1.730011; 5.663811
56968815312896; 13.923835; -21.767508; -8.221739
56968836284416; 5.513063; -11.428121; -9.645468
56968857255936; 4.517649; -3.235096; -7.367501
56968874033152; 2.000400; -9.808180; -5.479564
56968895004672; 3.113062; 11.586047; -7.044470
56968911781888; 5.103891; -6.458228; -13.978869
56968932753408; 4.051049; 8.630911; -5.936593
56968953724928; 0.306281; 2.514857; -5.316852
56968970502144; -5.338387; -7.544570; -3.464807
56968991473664; -0.215354; -6.879365; -6.139983
56969008250880; 4.929214; -2.959922; -7.058827
56969029222400; 4.268795; 0.856631; -2.323431
56969050193920; 1.524228; -0.461815; 3.091527
56969066971136; 2.775674; -5.347959; 4.244867
56969087942656; 5.111069; -13.837693; 6.376873
56969104719872; 3.940979; -13.615161; 13.505091
56969125691392; 4.857430; -10.700703; 15.510277
56969146662912; 1.610370; -11.976077; 11.471191
56969163440128; 0.447458; -11.330015; 11.956935
56969184411648; 7.281359; -8.769695; 12.210574
56969205383168; 12.437892; -10.614561; 13.619946
56969222160384; 20.831913; -32.410782; 12.708282
56969243131904; 15.560526; -22.894527; 16.333406
56969259909120; 3.397808; -4.606184; 13.995620
56969280880640; -8.248059; 1.507478; -1.332802
56969301852160; -16.031912; -1.272982; -9.753145
56969318629376; -2.801995; -6.680761; -6.946364
56969339600896; 21.978077; -7.566105; -12.832707
56969364766720; 8.465807; -17.608782; -10.748559
56969377349632; -0.617348; -12.660424; -3.596412
56969394126848; 5.161318; -2.677568; -7.046863
56969415098368; 4.161119; -9.195618; -7.525427
56969431875584; -0.215354; -11.799008; -8.489735
56969452847104; 0.157926; -6.855437; -10.124033
56969473818624; 5.190032; -1.976472; -9.509077
56969490595840; 4.955536; 7.762317; 0.114855
56969511567360; 1.129412; 1.462015; -4.821537
56969528344576; 1.663012; -4.749753; -6.396015
56969549316096; 3.560520; 1.627119; -8.441878
56969570287616; 4.271188; 3.247060; -4.816752
56969587064832; 2.122434; -3.725625; 5.000999
56969608036352; 0.425922; -12.868600; 7.058827
56969629007872; 3.665804; -14.675181; 6.699903
56969645785088; 3.282953; -17.606388; 12.614961
56969666756608; 7.159325; -15.991234; 11.662618
56969683533824; 5.843273; -14.746966; 7.420143
56969704505344; 1.107877; -17.187645; 9.760324
56969725476864; -2.371287; -23.834906; 10.844273
56969742254080; 8.097312; -20.267208; 15.534204
56969763225600; 13.112668; -18.250059; 10.595419
56969780002816; 10.810773; -6.965507; 5.962914
56969800974336; 4.364509; 0.464208; 8.827123
56969817751552; -3.306881; -4.137190; 9.915857
56969838723072; -9.635897; -9.073584; 5.364708
56969859694592; -4.587041; -7.716853; -1.246661
56969876471808; 12.315858; -9.176475; -2.505285
56969897443328; 19.257437; -10.444671; -12.713067
56969914220544; 0.588634; -12.387643; -8.934800
56969935192064; 1.021735; -11.270195; -6.204589
56969951969280; 4.421936; -2.428715; -1.316052
56969972940800; 0.057428; -8.602198; -6.532406
56969993912320; 1.885544; -11.990435; -15.242280
56970010689536; 9.006584; 2.770889; -11.298908
56970031661056; 2.900101; 8.654840; -4.926822
56970048438272; -1.122234; 1.988436; -5.895915
56970069409792; -1.253839; 1.162912; -6.788438
56970090381312; 0.421137; 4.622933; -8.528020
56970107158528; 3.759124; 4.967500; -1.344766
56970128130048; 3.531806; -4.668397; 5.630311
56970149101568; 3.914658; -19.137796; 6.501299
56970165878784; 7.238288; -23.117060; 11.449656
56970186850304; 7.166504; -18.742979; 14.785251
56970203627520; 2.603391; -16.256838; 9.154940
56970224599040; -0.076570; -19.113867; 10.310673
56970241376256; 2.411965; -17.970098; 15.462420
56970262347776; 9.336794; -14.601004; 20.441883
56970283319296; 13.505091; -17.326429; 11.066805
56970300096512; 9.111869; -8.774481; 12.351750
56970321068032; 2.148755; -9.253045; 9.312865
56970337845248; -5.733203; -5.359923; 9.178867
56970358816768; -8.982656; -5.843273; -0.547956
56970379788288; -1.763510; -6.771688; -2.112862
56970400759808; 19.776680; -2.806781; -4.005585
56970417537024; 9.681360; -8.903693; -11.887543
56970438508544; -3.139383; -12.756138; -5.809773
56970455285760; 2.873780; -6.814759; -4.335794
56970476257280; 2.567499; -8.561520; -6.436693
56970493034496; 1.110270; -11.157732; -10.155139
56970514006016; 1.631905; -3.701697; -14.227723
56970534977536; 5.654240; 2.275574; -11.576476
56970551754752; 4.079762; 6.013163; -2.120041
56970572726272; 0.492921; -3.326024; -5.804988
56970593697792; 0.449851; -2.414358; -8.626125
56970610475008; 2.919244; 1.421337; -9.128618
56970631446528; 4.642076; 2.995814; -3.043670
56970648223744; 1.825724; -3.637090; 5.400601
56970669195264; -0.813560; -16.022341; 6.539584
56970694361088; 2.991028; -19.278973; 8.102098
56970706944000; 3.050849; -14.493327; 13.045669
56970727915520; 5.419743; -11.837294; 12.330215
56970748887040; 2.127219; -13.517056; 6.396015
56970765664256; -1.478764; -17.300108; 6.948757
56970782441472; 2.009971; -16.601404; 14.481362
56970803412992; 11.574083; -20.800808; 20.740986
56970820190208; 16.113268; -20.142780; 12.000006
56970841161728; 6.726224; -7.410572; 10.080962
56970862133248; -0.966700; -1.734796; 11.710474
56970878910464; -7.479964; -3.852444; 4.673182
56970899881984; -4.053442; -4.931607; -0.299103
56970920853504; 9.332008; -8.068598; -3.672983
56970937630720; 16.924435; -8.580662; -9.152547
56970958602240; -0.610170; -13.832908; -6.407979
56970975379456; 4.321438; -5.620740; -8.394022
56970996350976; 2.457429; 0.253639; -7.865208
56971017322496; -1.706083; -11.667403; -8.422736
56971034099712; 1.552942; -11.892328; -17.101503
56971055071232; 4.754539; 2.687140; -13.249059
56971071848448; -0.090927; 7.386643; -3.936193
56971092819968; -3.316452; 0.232104; -4.728218
56971113791488; 0.380459; -4.412365; -9.293723
56971130568704; 4.876573; 1.043271; -10.734202
56971151540224; 6.912865; -0.715454; -2.615355
56971168317440; 3.713661; -8.236095; 6.005985
56971189288960; 3.806981; -15.196816; 6.941578
56971206066176; 7.310073; -15.818951; 11.473584
56971227037696; 7.429714; -15.031712; 16.998611
56971248009216; 4.424329; -9.075976; 14.048262
56971264786432; 1.411765; -14.021940; 5.716453
56971285757952; 2.450250; -25.976482; 11.978470
56971306729472; 11.353944; -28.804798; 13.646268
56971323506688; 14.790037; -19.980068; 17.084753
56971344478208; 10.865808; -20.386848; 9.087940
56971361255424; 0.435494; -14.081761; 3.206382
56971382226944; -9.887143; -8.961121; 0.387637
56971403198464; -14.679967; -5.278567; 1.756332
56971419975680; -3.192025; -0.957129; 3.024528
56971440947200; 7.767102; 1.189233; -2.031507
56971457724416; 7.147361; -4.627719; -5.410172
56971478695936; 5.539384; -4.926822; -4.716253
56971499667456; 4.802395; -2.955136; -6.005985
56971516444672; 2.510071; -9.915857; -6.104091
56971537416192; 4.003192; -15.177674; -12.538391
56971554193408; 2.699104; -1.890330; -6.766902
56971575164928; -0.126820; -5.534599; -9.595219
56971596136448; 1.500300; -2.648855; -9.578469
56971612913664; 0.299103; 1.787439; -10.899307
56971633885184; 0.756132; 6.628119; -11.784652
56971650662400; 4.637290; 8.279166; -8.137990
56971671633920; 5.278567; 1.220340; 1.490728
56971692605440; 0.957129; -8.355737; 8.075776
56971709382656; 2.261217; -14.866607; 8.819944
56971730354176; 4.972285; -13.021741; 12.380465
56971747131392; 5.618348; -8.946764; 19.925034
56971768102912; 6.489335; -7.460821; 16.400406
56971784880128; 5.977271; -14.335401; 6.486942
56971805851648; 7.881958; -23.428127; 8.968299
56971826823168; 13.423735; -30.013174; 15.914663
56971843600384; 13.780266; -25.002604; 12.918849
56971864571904; 6.314659; -14.014762; 5.623133
56971885543424; 1.328017; -12.825529; 4.498507
56971902320640; -6.034698; -11.509477; 5.450850
56971923292160; -8.616554; -8.102098; 1.916651
56971940069376; -1.105484; -8.532805; -3.651447
56971961040896; 11.985648; -11.152946; -4.890930
56971982012416; 6.565906; -14.218152; -6.223732
56971998789632; 4.728218; -6.084948; -5.754738
56972019761152; 1.928615; -1.045663; -1.765903
56972036538368; 2.397608; -15.651453; -9.451650
56972057509888; 6.156733; -6.635297; -14.191831
56972074287104; 5.860023; 8.559127; -6.625726
56972095258624; -0.928415; 4.639683; -3.364309
56972116230144; 0.129212; -3.747160; -6.096912
56972137201664; 2.995814; -2.737389; -7.355537
56972153978880; 4.098905; 3.263810; -10.193424
56972170756096; 3.723232; 3.783053; -9.267402
56972191727616; 2.467000; 1.727618; 1.119841
56972208504832; 1.055235; -4.788038; 6.415157
56972229476352; 4.816752; -12.978670; 7.872386
56972250447872; 9.358330; -15.326029; 13.158132
56972267225088; 8.494520; -10.444671; 15.069997
56972288196608; 7.984849; -11.688938; 10.901700
56972309168128; 11.325230; -26.206194; 5.690132
56972330139648; 10.499705; -33.879974; 13.301702
56972346916864; 11.117054; -22.999811; 13.337593
56972363694080; 13.497912; -23.112274; 5.769095
56972384665600; 4.498507; -22.870600; 7.637890
56972405637120; -3.211168; -16.469799; 13.339986
56972422414336; -6.297909; -6.463014; 10.011570
56972443385856; -3.699304; -2.421536; -1.921437
56972464357376; 7.420143; -4.788038; -6.326623
56972481134592; 10.317851; -9.796216; -8.932407
56972502106112; 0.595813; -11.468799; -9.879965
56972518883328; 5.788238; -5.520242; -13.722837
56972539854848; 2.562713; 3.830909; -5.601598
56972560826368; -1.483550; -13.820944; -7.838887
56972577603584; 5.986842; -9.623933; -12.055040
56972598575104; 7.479964; 8.920443; -9.815358
56972615352320; 1.225125; 6.608976; -7.458428
56972636323840; 0.275175; -3.029314; -6.273981
56972653101056; 2.017149; -5.893522; -4.811966
56972690849792; 1.074377; 0.184247; -5.800202
56972699238400; 1.567299; 3.316452; -3.725625
