time; x; y; z
56737902100480; 1.110270; 7.020542; 6.625726
56737935654912; 1.110270; 7.020542; 6.625726
56737948237824; 1.110270; 7.020542; 6.625726
56737952432128; 1.505085; 6.723832; 7.101898
56737965015040; 1.505085; 6.723832; 7.101898
56737969209344; 1.505085; 6.723832; 7.101898
56738015346688; 1.971686; 6.269196; 6.616155
56738032123904; 1.971686; 6.269196; 6.616155
56738036318208; 1.971686; 6.269196; 6.616155
56738048901120; 1.971686; 6.269196; 6.616155
56738057289728; 1.971686; 6.269196; 6.616155
56738065678336; 1.971686; 6.269196; 6.616155
56738111815680; 1.732404; 7.077970; 6.393622
56738132787200; 1.981257; 8.264810; 5.278567
56738141175808; 1.981257; 8.264810; 5.278567
56738149564416; 1.981257; 8.264810; 5.278567
56738162147328; 1.981257; 8.264810; 5.278567
56738166341632; 1.981257; 8.264810; 5.278567
56738216673280; 2.289931; 9.358330; 3.347559
56738233450496; 0.167498; -8.312666; -3.565306
56738233450496; 0.167498; -8.312666; -3.565306
56738246033408; 0.167498; -8.312666; -3.565306
56738262810624; 0.167498; -8.312666; -3.565306
56738262810624; 0.167498; -8.312666; -3.565306
56738267004928; 0.167498; -8.312666; -3.565306
56738271199232; 0.167498; -8.312666; -3.565306
56738279587840; 0.167498; -8.312666; -3.565306
56738279587840; 0.167498; -8.312666; -3.565306
56738279587840; 0.167498; -8.312666; -3.565306
56738292170752; -4.953143; -14.708681; -5.194818
56738300559360; -4.953143; -14.708681; -5.194818
56738304753664; -4.953143; -14.708681; -5.194818
56738304753664; -4.953143; -14.708681; -5.194818
56738313142272; -4.953143; -14.708681; -5.194818
56738317336576; -4.953143; -14.708681; -5.194818
56738325725184; -4.953143; -14.708681; -5.194818
56738325725184; -4.953143; -14.708681; -5.194818
56738329919488; -4.953143; -14.708681; -5.194818
56738329919488; -4.953143; -14.708681; -5.194818
56738334113792; -4.953143; -14.708681; -5.194818
56738338308096; -4.953143; -14.708681; -5.194818
56738367668224; -3.756732; -6.647261; -4.919643
56738376056832; -3.756732; -6.647261; -4.919643
56738376056832; -3.756732; -6.647261; -4.919643
56738376056832; -3.756732; -6.647261; -4.919643
56738380251136; -3.756732; -6.647261; -4.919643
56738380251136; -3.756732; -6.647261; -4.919643
56738401222656; -3.756732; -6.647261; -4.919643
56738405416960; 3.022135; -12.677175; -3.304488
56738413805568; 3.022135; -12.677175; -3.304488
56738417999872; 3.022135; -12.677175; -3.304488
56738417999872; 3.022135; -12.677175; -3.304488
56738426388480; 3.022135; -12.677175; -3.304488
56738443165696; 3.022135; -12.677175; -3.304488
56738447360000; 3.022135; -12.677175; -3.304488
56738447360000; 3.022135; -12.677175; -3.304488
56738451554304; 3.022135; -12.677175; -3.304488
56738459942912; 3.022135; -12.677175; -3.304488
56738459942912; 3.022135; -12.677175; -3.304488
56738510274560; 6.805188; -6.163911; -2.842673
56738556411904; 10.669596; -7.369894; -6.084948
56738564800512; 10.669596; -7.369894; -6.084948
56738577383424; 10.669596; -7.369894; -6.084948
56738585772032; 13.756337; -8.803194; -9.604790
56738589966336; 14.684752; -8.752945; -11.126625
56738594160640; 14.684752; -8.752945; -11.126625
56738619326464; 17.891134; -7.908279; -13.674981
56738623520768; 17.891134; -7.908279; -13.674981
56738640297984; 19.216759; -6.448657; -13.426127
56738644492288; 19.015762; -6.989435; -15.402599
56738657075200; 19.015762; -6.989435; -15.402599
56738682241024; 18.419949; -7.001399; -17.075182
56738686435328; 16.005590; -8.499306; -17.391035
56738711601152; 14.971891; -10.549955; -15.424135
56738719989760; 14.971891; -10.549955; -15.424135
56738728378368; 14.388042; -8.463413; -11.449656
