time; x; y; z
37197570899968; -1.502693; 4.216154; 8.559127
37197583482880; -1.502693; 4.216154; 8.559127
37197587677184; -1.502693; 4.216154; 8.559127
37197591871488; -1.502693; 4.216154; 8.559127
37197591871488; -1.502693; 4.216154; 8.559127
37197625425920; -1.914258; 4.108477; 8.767303
37197642203136; -1.914258; 4.108477; 8.767303
37197642203136; -1.914258; 4.108477; 8.767303
37197646397440; -1.914258; 4.108477; 8.767303
37197650591744; -1.914258; 4.108477; 8.767303
37197654786048; -1.914258; 4.108477; 8.767303
37197688340480; -2.081756; 4.053442; 8.846265
37197692534784; -2.081756; 4.053442; 8.846265
37197696729088; -2.081756; 4.053442; 8.846265
37197700923392; -2.081756; 4.053442; 8.846265
37197705117696; -2.081756; 4.053442; 8.846265
37197709312000; -2.081756; 4.053442; 8.846265
37197734477824; -2.220539; 4.240082; 8.702696
37197738672128; -2.220539; 4.240082; 8.702696
37197747060736; -2.220539; 4.240082; 8.702696
37197751255040; -2.220539; 4.240082; 8.702696
37197759643648; -2.220539; 4.240082; 8.702696
37197763837952; -2.220539; 4.240082; 8.702696
37197809975296; -2.689533; 4.453043; 7.872386
37197818363904; -2.689533; 4.453043; 7.872386
37197822558208; -2.689533; 4.453043; 7.872386
37197830946816; -2.689533; 4.453043; 7.872386
37197835141120; -2.689533; 4.453043; 7.872386
37197835141120; -2.689533; 4.453043; 7.872386
37197856112640; -4.823930; 7.649854; 6.297909
37197864501248; -4.823930; 7.649854; 6.297909
37197877084160; -4.823930; 7.649854; 6.297909
37197881278464; -4.823930; 7.649854; 6.297909
37197893861376; -4.823930; 7.649854; 6.297909
37197902249984; -4.823930; 7.649854; 6.297909
37197927415808; -5.862415; 7.594819; 4.740181
37197935804416; -5.862415; 7.594819; 4.740181
37197935804416; -5.862415; 7.594819; 4.740181
37197935804416; -5.862415; 7.594819; 4.740181
37197948387328; -5.862415; 7.594819; 4.740181
37197952581632; -5.862415; 7.594819; 4.740181
37197981941760; -2.232503; 0.239282; 1.856830
37197994524672; -2.232503; 0.239282; 1.856830
37197998718976; -2.232503; 0.239282; 1.856830
37198007107584; -2.232503; 0.239282; 1.856830
37198011301888; -2.232503; 0.239282; 1.856830
37198019690496; -2.232503; 0.239282; 1.856830
37198044856320; 2.892923; -16.084555; -4.627719
37198053244928; 2.892923; -16.084555; -4.627719
37198057439232; 2.892923; -16.084555; -4.627719
37198057439232; 2.892923; -16.084555; -4.627719
37198065827840; 2.892923; -16.084555; -4.627719
37198070022144; 2.892923; -16.084555; -4.627719
37198095187968; 7.226325; -13.012170; -3.060420
37198099382272; 7.226325; -13.012170; -3.060420
37198103576576; 7.226325; -13.012170; -3.060420
37198107770880; 7.226325; -13.012170; -3.060420
37198116159488; 7.226325; -13.012170; -3.060420
37198120353792; 7.226325; -13.012170; -3.060420
37198166491136; 5.735596; -10.114461; -4.046263
37198170685440; 5.735596; -10.114461; -4.046263
37198174879744; 5.735596; -10.114461; -4.046263
37198187462656; 5.735596; -10.114461; -4.046263
37198221017088; 1.902294; -8.346166; -2.653640
37198254571520; 0.464208; -8.530413; -1.801795
37198351040512; -6.175875; -9.061620; -1.052842
37198367817728; -7.257431; -8.803194; -0.622134
37198388789248; -8.020741; -9.324830; -1.196411
37198392983552; -8.020741; -9.324830; -1.196411
37198397177856; -8.020741; -9.324830; -1.196411
37198397177856; -8.719446; -9.279366; -1.686940
37198401372160; -8.719446; -9.279366; -1.686940
37198418149376; -10.006784; -8.915657; -3.148955
37198447509504; -11.983255; -7.317252; -4.773681
37198464286720; -13.744373; -7.262217; -6.865008
