time; x; y; z
2937836011520; -0.607777; 4.917251; 7.872386
2937945063424; -1.105484; 4.967500; 7.992028
2937957646336; -1.105484; 4.967500; 7.992028
2937959219200; -1.105484; 4.967500; 7.992028
2937961316352; -1.105484; 4.967500; 7.992028
2937973637120; -1.155733; 5.967700; 7.846066
2937977307136; -1.155733; 5.967700; 7.846066
2937987792896; -1.155733; 5.967700; 7.846066
2937992249344; -1.155733; 5.967700; 7.846066
2937993822208; -1.155733; 5.967700; 7.846066
2937994608640; -1.155733; 5.967700; 7.846066
2937998278656; -1.155733; 5.967700; 7.846066
2937999065088; -1.155733; 5.967700; 7.846066
2937999851520; -1.155733; 5.967700; 7.846066
2938004045824; -1.155733; 5.967700; 7.846066
2938017677312; -1.155733; 5.967700; 7.846066
2938025017344; -1.229911; 5.575277; 7.429714
2938031570944; -1.229911; 5.575277; 7.429714
2938035503104; -1.229911; 5.575277; 7.429714
2938043367424; -1.229911; 5.575277; 7.429714
2938049134592; -1.229911; 5.575277; 7.429714
2938086359040; -1.067199; 6.917650; 7.271788
2938089766912; -1.067199; 6.917650; 7.271788
2938092388352; -1.067199; 6.917650; 7.271788
2938097106944; -1.067199; 6.917650; 7.271788
2938104709120; -1.067199; 6.917650; 7.271788
2938107854848; -1.067199; 6.917650; 7.271788
2938138001408; -2.081756; 2.998207; 7.879565
2938140622848; -2.081756; 2.998207; 7.879565
2938141933568; -2.081756; 2.998207; 7.879565
2938146652160; -2.081756; 2.998207; 7.879565
2938148749312; -2.081756; 2.998207; 7.879565
2938152419328; -2.081756; 2.998207; 7.879565
2938171817984; -2.081756; 2.998207; 7.879565
2938175488000; -2.081756; 2.998207; 7.879565
2938179158016; -2.081756; 2.998207; 7.879565
2938184925184; -2.081756; 2.998207; 7.879565
2938192265216; -2.081756; 2.998207; 7.879565
2938200653824; -1.514657; 1.057628; 7.668997
2938285850624; -2.816352; -3.507878; 9.774680
2938287685632; -2.816352; -3.507878; 9.774680
2938295549952; -2.816352; -3.507878; 9.774680
2938302889984; 0.028714; -9.975677; 5.814559
2938313375744; 0.028714; -9.975677; 5.814559
2938318094336; 0.028714; -9.975677; 5.814559
2938327007232; 0.028714; -9.975677; 5.814559
2938339852288; 0.028714; -9.975677; 5.814559
2938350862336; 0.028714; -9.975677; 5.814559
2938353483776; 0.028714; -9.975677; 5.814559
2938355843072; 0.028714; -9.975677; 5.814559
2938388611072; -0.464208; -12.134004; 3.617948
2938399883264; -0.464208; -12.134004; 3.617948
2938403291136; -0.464208; -12.134004; 3.617948
2938420330496; 0.098106; -8.860622; -1.696511
2938431340544; 0.098106; -8.860622; -1.696511
2938436321280; 0.098106; -8.860622; -1.696511
2938500546560; -0.882952; -7.343573; -3.704089
2938520207360; -0.959522; -6.996614; -3.658626
2938543013888; -0.959522; -6.996614; -3.658626
2938546946048; -0.959522; -6.996614; -3.658626
2938549829632; -0.959522; -6.996614; -3.658626
2938552451072; -0.959522; -6.996614; -3.658626
2938593345536; -2.266003; -7.058827; -3.601198
2938599374848; -2.266003; -7.058827; -3.601198
2938624016384; -2.100898; -5.556134; -3.096313
2938628997120; -2.100898; -5.556134; -3.096313
2938631356416; -2.199004; -6.606583; -2.883351
2938635026432; -2.199004; -6.606583; -2.883351
2938668056576; -3.199204; -8.760123; -2.603391
2938674872320; -3.311666; -7.386643; -2.849852
2938684833792; -3.311666; -7.386643; -2.849852
2938702397440; -3.471986; -4.843073; -3.287738
2938704494592; -3.471986; -4.843073; -3.287738
2938710786048; -2.761317; -6.398408; -3.589234
2938712621056; -2.761317; -6.398408; -3.589234
2938718912512; -2.761317; -6.398408; -3.589234
2938724941824; -2.761317; -6.398408; -3.589234
2938775535616; -2.143969; -7.166504; -4.223332
2938777108480; -2.143969; -7.166504; -4.223332
2938788642816; -2.163112; -5.458028; -6.285945
2938794409984; -2.163112; -5.458028; -6.285945
2938798080000; -2.163112; -5.458028; -6.285945
2938799915008; -2.163112; -5.458028; -6.285945
2938825605120; -2.201397; -9.154940; -6.266802
2938835828736; -2.201397; -9.154940; -6.266802
2938851295232; -2.050649; -7.645068; -6.094519
2938853654528; -2.050649; -7.645068; -6.094519
2938858635264; -2.050649; -7.645068; -6.094519
2938870956032; -2.158326; -4.484149; -6.489335
2938883276800; -2.560320; -5.515456; -6.314659
2938890354688; -2.560320; -5.515456; -6.314659
2938901102592; -3.524628; -8.128419; -6.635297
2938910539776; -3.524628; -8.128419; -6.635297
2938916306944; -3.524628; -8.128419; -6.635297
2938918141952; -3.524628; -8.128419; -6.635297
2938923384832; -4.017549; -7.776674; -6.975078
2938935967744; -4.017549; -7.776674; -6.975078
2938941472768; -4.089334; -6.470192; -7.831708
2938949861376; -4.089334; -6.470192; -7.831708
2938956152832; -4.089334; -6.470192; -7.831708
2938964279296; -4.840680; -4.766503; -9.982856
2938969260032; -4.840680; -4.766503; -9.982856
2938978959360; -6.735796; -7.628319; -12.021541
2938985250816; -6.735796; -7.628319; -12.021541
2938991280128; -6.735796; -7.628319; -12.021541
2938997309440; -7.960921; -11.339586; -13.229917
2939005173760; -7.960921; -11.339586; -13.229917
2939018280960; -6.872187; -11.298908; -17.235502
2939041873920; -8.824730; -10.727024; -19.429720
2939059437568; -9.743574; -10.961520; -20.032711
2939077525504; -8.805588; -15.036497; -19.889141
2939096924160; -10.308280; -17.345572; -18.831514
2939114225664; -11.674582; -13.670196; -18.872192
2939136770048; -11.435300; -11.753545; -17.630318
2939155382272; -11.753545; -12.033505; -16.780865
2939173732352; -10.858629; -9.937392; -17.283358
2939193917440; -10.648061; -5.986842; -17.539391
2939220393984; -9.463614; -4.108477; -16.421942
2939235336192; -8.944371; -5.190032; -16.130018
2939251064832; -8.853444; -3.390630; -17.515461
2939270987776; -7.106683; 2.151148; -13.081561
2939289600000; -4.792824; -1.512264; -10.052248
2939312144384; -3.225525; -0.167498; -9.198010
2939328135168; -0.679562; 3.574877; -11.385050
2939347009536; -2.237289; 1.854438; -8.518449
2939366146048; -5.094319; 0.275175; -3.924229
2939387117568; -3.268596; 2.507678; -1.962115
2939404156928; -2.998207; 7.341180; -1.119841
2939424604160; -3.034099; 8.070991; 0.906880
2939442954240; -4.804788; 0.442672; 5.295317
2939462352896; -7.640283; -2.933601; 8.463413
2939481489408; -7.580462; 2.091327; 9.473185
2939501412352; -9.114262; 14.825929; 9.554541
2939520286720; -9.623933; -4.926822; 4.273581
2939540996096; -1.282553; -7.606783; 7.097112
2939559346176; -6.343373; -14.804394; 7.027720
2939577958400; -7.869994; -3.273381; 2.823531
2939597357056; -2.845066; 4.847859; -2.014757
2939616755712; 1.663012; 4.345366; -2.189433
2939636416512; 0.177069; -2.921636; 1.756332
2939656601600; -1.237089; -9.001799; 3.017349
2939675475968; 3.014956; -7.824530; 0.533599
2939694874624; 6.104091; -21.693331; -5.324030
2939713748992; 4.871787; -30.553953; -7.058827
2939732361216; 7.149754; -26.328228; -5.192425
2939753594880; 4.484149; -15.907485; -0.284746
2939771158528; 1.028914; -9.209974; -5.527421
2939790032896; -0.277567; -9.020942; -11.294123
2939810217984; -1.840081; -7.592426; -6.379265
2939828305920; -2.890530; -12.708282; -8.063812
2939848491008; -6.396015; -12.851851; -20.257637
2939867365376; -7.709674; -19.274187; -19.721643
2939886764032; 3.988835; -36.610188; -8.008778
2939906949120; 7.920243; -15.560526; -3.625126
2939926347776; 1.253839; 8.645268; -9.456435
2939945746432; 4.005585; 12.279965; -9.901500
2939964882944; 0.423530; -9.683753; -9.229117
2939983757312; -2.100898; -20.142780; -5.204389
2940002631680; -2.969493; -12.839887; -8.248059
2940023603200; -4.912465; -7.396215; -9.470792
2940041428992; -3.103491; -5.824131; -5.079962
2940062400512; 0.870987; -8.949157; -1.301695
2940079702016; -1.277767; -8.764910; -3.567698
2940100149248; -3.842873; -0.983450; -4.637290
2940119810048; -4.163511; 7.489535; 1.337588
2940137635840; 0.157926; 3.594020; 0.811167
2940157558784; 1.373480; -1.136591; -3.371487
2940176433152; -2.703890; 0.454636; -2.746960
2940196356096; -4.522435; 1.907080; 0.516850
2940216016896; -2.605784; -2.043471; 3.869194
2940234104832; -0.770489; -5.288138; 8.968299
2940253503488; 0.205783; -24.177080; 16.046268
2940273164288; 3.187240; -29.371899; 7.561319
2940292562944; 8.480164; -16.998611; -6.137590
2940311961600; 14.498113; -16.340586; -7.063612
2940331098112; 12.947563; -19.628325; 2.854637
2940350234624; 1.529014; -21.903898; 10.425529
2940369371136; -6.348158; -26.141588; -1.615155
2940388769792; 3.988835; -18.271593; -11.411371
2940408168448; 6.350551; -2.665604; -5.199604
2940427304960; -1.339981; -2.495714; -6.989435
2940446965760; -2.368894; -17.989241; -1.909472
2940465840128; 1.196411; -24.265614; 1.225125
2940484976640; 1.208375; -8.714660; 0.760918
2940504637440; -0.882952; 0.794417; 3.354737
2940523773952; 1.859223; -0.588634; 4.185047
2940542910464; 0.842274; -1.902294; -2.560320
2940562571264; -2.110470; -3.474379; -9.908679
2940584329216; -4.335794; -7.668997; -7.231110
2940603990016; -0.720240; -12.296716; -5.529813
2940621553664; -1.301695; -10.614561; -4.833502
2940640428032; -3.888337; -7.202396; -8.305488
2940659564544; 0.306281; -0.222533; -8.288737
2940678701056; 2.622534; -1.335195; -1.720439
2940697837568; 2.591427; -5.596812; 1.923829
2940716974080; 3.206382; -0.997807; -3.529413
2940737945600; 4.429115; 2.450250; -6.266802
2940762324992; -2.495714; 2.127219; -1.363909
2940774121472; 0.028714; -7.855637; 0.416351
2940794044416; 0.248854; -4.086941; 5.302495
2940813180928; -3.304488; -3.783053; 8.492127
2940832055296; -1.213161; -6.695118; 16.603796
2940851978240; 4.424329; -10.461421; 7.506285
2940871114752; 2.502892; -16.000805; -6.699903
2940889726976; 1.457229; -25.143780; -1.392623
2940909649920; 3.206382; -23.758335; 3.833302
2940928262144; 1.270589; -20.501705; -0.581456
2940948185088; 2.263610; -26.100910; -12.019148
2940967845888; -0.468993; -19.774286; -3.962514
2940986982400; -2.002793; -6.415157; 1.258625
2941006118912; -5.726025; 1.758725; -13.440485
2941026304000; -0.550349; -21.504297; -18.431913
2941044654080; 2.172683; -11.782259; -4.273581
2941064052736; 6.087341; -2.522035; 1.227518
2941083713536; 11.002198; -8.489735; -1.708475
2941102850048; 3.945765; -18.941584; 0.875773
2941122772992; -4.433900; -10.705488; 0.334995
2941141123072; -3.862016; -4.259224; -4.290331
2941160783872; 0.567099; -9.056833; -6.848258
2941179658240; -1.768296; -13.476377; -5.517849
2941199843328; -3.151347; -10.762917; -9.477970
2941218193408; -1.753939; -8.516056; -11.545369
2941237592064; -0.777667; -6.216553; -11.143375
2941256990720; -2.574677; -8.118847; -6.946364
2941277175808; -3.792624; -7.759924; -4.065406
2941296050176; -1.536192; -2.644069; -4.579863
2941315186688; 1.450050; 0.220140; -6.616155
2941334061056; 2.191826; 1.600798; -1.253839
2941354508288; -2.780460; -0.780060; 2.713461
2941373382656; -0.507278; -1.174876; 2.359323
2941392257024; -2.165504; -0.358923; 0.859023
2941411917824; -2.289931; -7.554141; 1.758725
2941431316480; 0.993021; -15.500705; 2.007578
2941449928704; 2.895315; -12.954741; 7.721639
2941469327360; 1.655833; -8.595019; 15.754344
2941488988160; 2.974278; -9.298509; 1.670190
2941508386816; 4.137190; -30.439096; -8.391629
2941526999040; 1.938186; -21.480370; -0.313460
2941546921984; 4.213761; -11.243874; 11.681760
2941566320640; -0.830309; -17.754744; 3.522235
2941585457152; -5.874380; -29.570501; -4.606184
2941604331520; 0.629312; -11.452049; -2.766103
2941626351616; 4.185047; -0.528814; 2.981457
2941643390976; 7.341180; -4.015156; -9.250652
2941668032512; 5.927022; -3.072384; -13.579268
2941682974720; 2.507678; -1.782653; -6.302695
2941701586944; -1.241875; -10.442278; 6.553941
2941719937024; -11.038091; -24.502504; 10.229317
2941738811392; -8.568698; -7.427321; 2.766103
2941758210048; -0.930808; -3.323631; -3.299702
2941778132992; -0.291924; 3.270988; -2.804388
2941797269504; 0.059821; -6.015556; 1.414158
2941818241024; -0.559920; -14.323437; -2.500500
2941836853248; -3.311666; -13.787444; -6.278767
2941855727616; -4.886144; -8.944371; -8.338987
2941875912704; -0.155533; -6.446264; -11.219945
2941894262784; 3.507878; -9.635897; -9.444471
2941914710016; 2.285146; -11.119447; -7.238288
2941933584384; 0.708275; -3.847659; -4.259224
2941952458752; 1.837688; -2.878566; -9.753145
2941971857408; 2.811567; 2.237289; -9.939785
2941991518208; -1.576870; 2.450250; -6.424729
2942012489728; -1.308874; -0.796810; 0.284746
2942029791232; -0.842274; -6.266802; -1.294517
2942048927744; 2.677568; -6.711867; -7.929814
2942068326400; 2.153540; -9.317652; -2.452643
2942087725056; -3.742375; -12.689138; 14.545969
2942107123712; -5.422136; -10.037891; 13.421342
2942126522368; 1.399801; -13.308880; -2.227718
2942146969600; 6.144769; -26.474190; 1.459622
2942164533248; 9.633504; -27.199215; 3.893122
2942183145472; 4.266403; -26.005196; 11.827723
2942202544128; -5.919843; -20.449062; 0.638884
2942221418496; -4.292724; -21.209980; -10.492527
2942241341440; 7.173682; -8.673982; -5.589633
2942259953664; 5.795416; -4.962714; -5.443672
2942279352320; -0.722632; 4.869394; -12.830315
2942299275264; 2.950350; -2.665604; -11.593225
2942318411776; 8.394022; -5.240282; 1.344766
2942337286144; 0.593420; -12.492927; 7.862815
2942356422656; -8.080562; -21.946970; 4.331009
2942375821312; -1.734796; -10.609776; -5.032106
2942395219968; 2.333002; -0.167498; -6.991828
2942415142912; 1.739582; 1.311267; -1.902294
2942434017280; 0.715454; -9.614362; 2.179862
2942453678080; 1.299303; -13.083954; -6.195018
2942472814592; -1.643869; -10.262816; -10.253245
2942492999680; -2.014757; -4.859823; -9.308080
2942511087616; 1.081556; -5.194818; -4.969893
2942531010560; 1.634298; -5.979664; -3.469593
