time; x; y; z
50939226488832; -0.868595; 4.893322; 8.599805
50939247460352; -0.868595; 4.893322; 8.599805
50939251654656; -0.868595; 4.893322; 8.599805
50939281014784; -1.004985; 4.173083; 8.267202
50939293597696; -1.004985; 4.173083; 8.267202
50939297792000; -1.004985; 4.173083; 8.267202
50939415232512; -0.988236; 4.766503; 8.906086
50939427815424; -0.988236; 4.766503; 8.906086
50939478147072; -0.933201; 4.484149; 8.757730
50939507507200; -0.933201; 4.484149; 8.757730
50939562033152; -0.780060; 4.993821; 8.094919
50939574616064; -0.780060; 4.993821; 8.094919
50939612364800; -1.103091; 5.960521; 6.477371
50939654307840; -2.002793; 7.412964; 5.879165
50939658502144; -2.002793; 7.412964; 5.879165
50939662696448; -2.002793; 7.412964; 5.879165
50939679473664; -2.002793; 7.412964; 5.879165
50939683667968; -2.002793; 7.412964; 5.879165
50939696250880; -2.002793; 7.412964; 5.879165
50939700445184; -4.630112; 3.905087; 6.235696
50939704639488; -4.630112; 3.905087; 6.235696
50939708833792; -4.630112; 3.905087; 6.235696
50939713028096; -4.630112; 3.905087; 6.235696
50939721416704; -4.630112; 3.905087; 6.235696
50939721416704; -4.630112; 3.905087; 6.235696
50939729805312; -4.630112; 3.905087; 6.235696
50939738193920; -4.630112; 3.905087; 6.235696
50939742388224; -4.630112; 3.905087; 6.235696
50939746582528; -4.630112; 3.905087; 6.235696
50939754971136; -4.630112; 3.905087; 6.235696
50939759165440; -4.701897; 0.725025; 7.745567
50939763359744; -4.701897; 0.725025; 7.745567
50939771748352; -4.701897; 0.725025; 7.745567
50939775942656; -4.701897; 0.725025; 7.745567
50939775942656; -4.701897; 0.725025; 7.745567
50939788525568; -5.087141; -2.490928; 7.750352
50939805302784; -5.087141; -2.490928; 7.750352
50939809497088; -5.087141; -2.490928; 7.750352
50939822080000; -5.087141; -2.490928; 7.750352
50939826274304; -5.087141; -2.490928; 7.750352
50939834662912; -5.087141; -2.490928; 7.750352
50939843051520; -5.087141; -2.490928; 7.750352
50939855634432; -2.388037; -5.955736; 7.336394
50939859828736; -2.388037; -5.955736; 7.336394
50939872411648; -2.388037; -5.955736; 7.336394
50939880800256; -2.388037; -5.955736; 7.336394
50939889188864; -2.388037; -5.955736; 7.336394
50939905966080; -1.607977; -8.606983; 6.431907
50939905966080; -1.607977; -8.606983; 6.431907
50939918548992; -1.607977; -8.606983; 6.431907
50939922743296; -1.607977; -8.606983; 6.431907
50939935326208; -1.607977; -8.606983; 6.431907
50939943714816; -1.607977; -8.606983; 6.431907
50939952103424; -1.607977; -8.606983; 6.431907
50939968880640; -0.815953; -9.865608; 5.103891
50939989852160; -0.815953; -9.865608; 5.103891
50939998240768; -0.815953; -9.865608; 5.103891
50940065349632; -0.646062; -8.006385; 5.654240
50940090515456; -0.492921; -8.472985; 4.747360
50940103098368; -0.492921; -8.472985; 4.747360
50940107292672; -0.492921; -8.472985; 4.747360
50940124069888; -0.492921; -8.472985; 4.747360
50940136652800; -0.492921; -8.472985; 4.747360
50940157624320; -1.349552; -9.332008; 4.371687
50940195373056; -1.344766; -8.047063; 3.972085
50940195373056; -1.344766; -8.047063; 3.972085
50940258287616; -3.158526; -7.903493; 4.357330
50940262481920; -3.534199; -7.319644; 4.555934
50940266676224; -3.534199; -7.319644; 4.555934
50940270870528; -3.534199; -7.319644; 4.555934
