time; x; y; z
50942007312384; -0.622134; -8.690732; 1.019342
50942011506688; -0.622134; -8.690732; 1.019342
50942045061120; -3.409772; -13.983656; -0.174676
50942061838336; -7.223932; -14.878572; -2.679961
50942078615552; -9.700503; -22.104895; -0.241675
50942082809856; -9.700503; -22.104895; -0.241675
50942091198464; -9.700503; -22.104895; -0.241675
50942099587072; -11.006984; -27.737600; 2.021935
50942103781376; -11.006984; -27.737600; 2.021935
50942112169984; -11.006984; -27.737600; 2.021935
50942133141504; -15.038890; -17.312073; -4.199404
50942145724416; -15.038890; -17.312073; -4.199404
50942149918720; -15.038890; -17.312073; -4.199404
50942179278848; -18.673588; -15.728024; 7.558927
50942191861760; -18.673588; -15.728024; 7.558927
50942208638976; -14.682360; -13.861622; 3.890730
50942225416192; -12.954741; -14.572289; -2.943172
50942237999104; -9.442079; -13.280166; -3.151347
50942246387712; -9.442079; -13.280166; -3.151347
50942275747840; -3.735196; -8.779266; 7.310073
50942292525056; -4.474578; -6.075377; 4.941179
50942300913664; -4.474578; -6.075377; 4.941179
50942317690880; -8.384451; -11.143375; 3.780660
50942321885184; -8.384451; -11.143375; 3.780660
50942330273792; -17.970098; -15.687346; 6.853044
50942334468096; -17.970098; -15.687346; 6.853044
50942355439616; -15.393028; -9.985249; 5.307281
50942376411136; -9.511470; -5.292923; 5.434100
50942384799744; -9.511470; -5.292923; 5.434100
50942393188352; -7.989635; -6.597012; 5.960521
50942409965568; -8.786445; -6.764510; 7.025327
50942430937088; -10.463814; -7.338787; 5.534599
50942451908608; -12.476177; -6.498906; 4.498507
50942477074432; -12.114861; -7.992028; 4.723432
50942485463040; -8.719446; -12.586247; 5.462814
50942514823168; -5.077569; -12.354143; 3.749553
50942523211776; -3.610769; -9.932607; 1.177269
50942556766208; -3.326024; -7.625926; -0.705883
50942577737728; 0.047856; -7.580462; -0.167498
50942581932032; 2.443072; -8.398808; -0.710668
50942590320640; 2.443072; -8.398808; -0.710668
50942594514944; 2.443072; -8.398808; -0.710668
50942611292160; 1.529014; -5.575277; -0.600598
50942628069376; -0.768096; -1.493121; -1.586441
50942632263680; -0.768096; -1.493121; -1.586441
50942649040896; -2.191826; 0.595813; -2.285146
50942657429504; -1.555335; 1.344766; -2.050649
