time; x; y; z
37887705874432; -13.069597; 4.759324; 0.390030
37887722651648; -9.626326; 6.783652; -0.540778
37887743623168; -9.468399; 4.268795; -1.555335
37887760400384; -11.401800; 1.088734; -2.423929
37887777177600; -9.360723; 1.974079; -2.371287
37887798149120; -9.075976; -0.827917; -1.284946
37887819120640; -9.978070; -3.833302; -0.442672
37887835897856; -10.329815; -2.196611; -0.875773
37887856869376; -9.150154; -1.631905; -1.804188
37887877840896; -8.807981; -1.481157; -2.450250
37887894618112; -8.776874; -1.708475; -2.175076
37887915589632; -8.760123; -2.287539; -1.138984
37887936561152; -9.116654; -3.151347; -0.772882
37887953338368; -9.583255; -3.113062; 0.516850
37887974309888; -10.985449; -2.263610; 3.589234
37887991087104; -11.148161; -1.378266; 3.845266
37888012058624; -9.190832; -2.744568; 2.222932
37888033030144; -8.913264; -3.452843; 0.777667
37888049807360; -9.308080; -2.940779; 0.165105
37888070778880; -8.807981; -2.706282; -0.253639
37888087556096; -8.791230; -3.553342; -0.366102
37888108527616; -9.265009; -3.641876; -0.299103
37888125304832; -9.360723; -3.127419; 0.428315
37888146276352; -9.722038; -2.830709; 0.710668
37888167247872; -9.513863; -2.746960; 0.775275
37888184025088; -9.293723; -3.249453; 0.856631
37888217579520; -9.547362; -3.014956; 0.674776
37888225968128; -9.241081; -2.744568; 0.665205
37888242745344; -9.269794; -2.902494; 0.588634
37888263716864; -9.475577; -3.213561; 0.540778
37888280494080; -9.468399; -3.302095; 0.394816
37888301465600; -9.162118; -3.187240; 0.437887
37888326631424; -9.300901; -3.122633; 0.531207
37888343408640; -9.379865; -3.256632; 0.543171
37888360185856; -9.174082; -3.074777; 0.629312
37888376963072; -9.396614; -3.127419; 0.646062
37888397934592; -9.482756; -3.249453; 0.514457
37888414711808; -9.224331; -2.904887; 0.543171
37888435683328; -9.327223; -2.742175; 0.471386
37888452460544; -9.403793; -2.871387; 0.531207
37888473432064; -9.341579; -2.785246; 0.535992
37888494403584; -9.365508; -2.991028; 0.662812
37888511180800; -9.384650; -3.077170; 0.598206
37888532152320; -9.265009; -2.737389; 0.540778
37888548929536; -9.377472; -3.022135; 0.526421
37888569901056; -9.504292; -3.038885; 0.519243
37888590872576; -9.370294; -2.708675; 0.303888
37888611844096; -9.351151; -2.639283; 0.232104
37888628621312; -9.355937; -2.713461; 0.356531
37888649592832; -9.494720; -2.806781; 0.576670
37888666370048; -9.403793; -3.024528; 0.631705
37888687341568; -9.298509; -3.153740; 0.636491
37888704118784; -9.334401; -3.237489; 0.650848
37888725090304; -9.274581; -3.244668; 0.430708
37888746061824; -9.238688; -3.134598; 0.416351
37888762839040; -9.401401; -3.144169; 0.378066
37888783810560; -9.403793; -2.959922; 0.189033
37888804782080; -9.336794; -2.933601; 0.287139
37888825753600; -9.324830; -2.830709; 0.413958
37888838336512; -9.480363; -2.895315; 0.638884
37888859308032; -9.233903; -3.120241; 0.593420
37888880279552; -9.183653; -3.043670; 0.375673
37888901251072; -9.324830; -3.158526; 0.526421
37888918028288; -9.336794; -3.239882; 0.550349
37888938999808; -9.286545; -3.268596; 0.392423
37888955777024; -9.334401; -3.321238; 0.308674
37888976748544; -9.265009; -3.404987; 0.366102
37888997720064; -9.257831; -3.261417; 0.363709
37889014497280; -9.293723; -3.062813; 0.457029
37889035468800; -9.226724; -3.256632; 0.634098
37889052246016; -9.217153; -3.249453; 0.497707
37889073217536; -9.200403; -3.237489; 0.459422
37889106771968; -9.193225; -2.667997; 0.399601
37889115160576; -9.265009; -2.199004; 0.457029
37889127743488; -9.308080; -2.545963; 0.368495
37889148715008; -9.422935; -3.129812; 0.150748
37889169686528; -9.401401; -3.237489; -0.011964
37889186463744; -9.327223; -3.239882; -0.174676
37889207435264; -9.207582; -3.359523; -0.031107
37889228406784; -9.303294; -3.534199; 0.035892
37889245184000; -9.286545; -3.785445; -0.062213
37889266155520; -9.193225; -3.766303; -0.119641
37889282932736; -9.308080; -3.804588; -0.133998
37889303904256; -9.339187; -3.641876; -0.102891
37889324875776; -9.312865; -3.613162; -0.021535
37889341652992; -9.341579; -3.476771; -0.095713
37889362624512; -9.329616; -3.359523; -0.047856
37889379401728; -9.276974; -3.196811; -0.021535
37889400373248; -9.389436; -2.782853; -0.122034
37889421344768; -9.377472; -2.170290; 0.083749
37889438121984; -9.458828; -2.596213; 0.031107
37889459093504; -9.375079; -3.065206; -0.059821
37889475870720; -9.422935; -3.058027; -0.210568
37889496842240; -9.363115; -3.046063; -0.356531
37889517813760; -9.276974; -3.328416; -0.327817
37889534590976; -9.231510; -3.474379; -0.169890
37889555562496; -9.176475; -3.598805; -0.205783
37889572339712; -9.286545; -3.668197; -0.126820
37889593311232; -9.288938; -3.637090; -0.339781
37889614282752; -9.217153; -3.527021; -0.126820
37889631059968; -9.190832; -3.620341; 0.014357
37889652031488; -9.265009; -3.378666; -0.189033
37889673003008; -9.190832; -3.060420; -0.169890
37889689780224; -9.317652; -3.084348; -0.131605
37889710751744; -9.399008; -3.014956; -0.009571
37889727528960; -9.355937; -3.065206; -0.059821
37889752694784; -9.324830; -2.916851; -0.138784
37889769472000; -9.233903; -2.921636; -0.131605
37889786249216; -9.291330; -3.110669; -0.035892
37889803026432; -9.291330; -3.261417; 0.035892
37889823997952; -9.305687; -3.397808; -0.031107
37889844969472; -9.322437; -3.349952; -0.002393
37889861746688; -9.241081; -3.505485; -0.064606
37889882718208; -9.269794; -3.445665; -0.088534
37889899495424; -9.209974; -3.393023; -0.016750
37889920466944; -9.265009; -3.388237; -0.014357
37889941438464; -9.186047; -3.318845; -0.105284
37889962409984; -9.181260; -3.323631; -0.016750
37889979187200; -9.351151; -3.273381; -0.052642
37889995964416; -9.262616; -3.192025; 0.019143
37890016935936; -9.212367; -3.335595; 0.095713
37890037907456; -9.308080; -3.194418; -0.021535
37890054684672; -9.169296; -3.337988; -0.064606
37890075656192; -9.202796; -3.431308; 0.074178
37890092433408; -9.209974; -3.651447; -0.035892
37890113404928; -9.133404; -3.605984; -0.122034
37890134376448; -9.183653; -3.754339; -0.406780
37890155347968; -9.099904; -3.802195; -0.378066
37890172125184; -9.006584; -3.912265; -0.318245
37890188902400; -9.018549; -3.945765; -0.409173
37890209873920; -8.858230; -4.034299; -0.442672
37890226651136; -8.676374; -4.208975; -0.401994
37890247622656; -8.762517; -3.900301; -0.284746
37890268594176; -8.750552; -3.790231; -0.564706
37890285371392; -8.496913; -4.843073; -1.052842
37890306342912; -8.829515; -5.431707; -1.251446
37890327314432; -8.717052; -5.273781; -1.220340
37890344091648; -8.882157; -5.182854; -1.292124
37890365063168; -9.248260; -5.091927; -1.598405
37890386034688; -9.408579; -4.934000; -1.825724
37890402811904; -9.188439; -4.582255; -1.806581
37890423783424; -9.073584; -4.395615; -1.804188
37890444754944; -9.133404; -3.895515; -2.000400
37890461532160; -9.169296; -3.524628; -2.349752
37890478309376; -9.099904; -3.127419; -2.545963
37890499280896; -9.138189; -2.868994; -2.689533
37890520252416; -9.394221; -3.002992; -2.555535
37890537029632; -9.602397; -3.321238; -2.577070
37890558001152; -9.439685; -3.591627; -2.711068
37890578972672; -9.164511; -3.670590; -2.751746
37890595749888; -9.276974; -3.488735; -2.648855
37890616721408; -9.410972; -3.201597; -2.703890
37890633498624; -9.504292; -3.304488; -3.479164
37890654470144; -9.628718; -4.149155; -4.314259
37890675441664; -8.987442; -6.331409; -3.594020
37890692218880; -9.832108; -5.718846; -3.189633
37890713190400; -9.528220; -4.670790; -3.110669
37890729967616; -8.846265; -4.560720; -2.660819
37890750939136; -9.298509; -4.115655; -1.507478
37890767716352; -9.504292; -4.180261; -0.411565
37890788687872; -9.812965; -3.282953; -0.516850
37890809659392; -9.576077; -2.019542; -1.294517
37890826436608; -9.602397; -1.605584; -2.072184
37890847408128; -10.035499; -3.120241; -1.878366
37890864185344; -10.411171; -4.082155; -1.904687
37890885156864; -9.915857; -4.441079; -2.316252
37890906128384; -9.020942; -4.381258; -2.667997
37890922905600; -8.523234; -4.051049; -2.677568
37890943877120; -8.769695; -4.321438; -2.230111
37890964848640; -9.147761; -4.756931; -1.758725
37890981625856; -8.695518; -4.347759; -1.986043
37891002597376; -8.329415; -3.936193; -2.378466
37891019374592; -8.300702; -4.541577; -2.708675
37891040346112; -8.724232; -4.977071; -2.505285
37891061317632; -9.068798; -6.005985; -2.009971
37891078094848; -8.386844; -6.156733; -1.524228
37891099066368; -7.779067; -5.156533; -1.935794
37891115843584; -8.575876; -4.168297; -3.785445
37891136815104; -8.688339; -2.818745; -3.026921
37891153592320; -7.568498; -1.674976; -1.021735
37891174563840; -7.271788; 2.656033; 0.380459
37891203923968; -7.439286; 4.608576; -0.138784
37891216506880; -8.798409; 0.124427; -0.370888
37891237478400; -9.963714; -1.485943; -1.150948
37891250061312; -10.403993; -1.933401; -1.268196
37891271032832; -10.602597; -4.019942; -0.303888
37891287810048; -10.911271; -5.694918; -0.358923
37891308781568; -10.114461; -5.237889; -1.447658
37891329753088; -9.492328; -5.276174; -2.076970
37891346530304; -9.131011; -5.685347; -2.452643
37891367501824; -8.386844; -5.515456; -2.598605
37891388473344; -8.039884; -5.156533; -3.361916
37891405250560; -7.786245; -4.833502; -3.505485
37891426222080; -7.501499; -4.816752; -2.835495
37891447193600; -7.934600; -4.216154; -2.435894
37891463970816; -8.626125; -5.063213; -2.787638
37891484942336; -9.367901; -5.922236; -3.699304
37891501719552; -9.461221; -5.603991; -3.546163
37891522691072; -9.487542; -4.158726; -3.823730
37891539468288; -9.109476; -3.012564; -3.761517
37891560439808; -8.918050; -3.826123; -3.170490
37891581411328; -8.951550; -3.938586; -2.610569
37891598188544; -8.841479; -4.414758; -2.041078
37891619160064; -10.210175; -4.680361; -1.043271
37891635937280; -9.580862; -12.677175; -0.258425
37891656908800; -11.038091; -10.332209; -0.954736
37891677880320; -10.947164; -10.150353; -2.639283
37891694657536; -10.052248; -10.600204; -2.739782
37891715629056; -8.719446; -13.679767; -2.002793
37891736600576; -7.087541; -12.246467; -1.215554
37891753377792; -5.156533; -10.363315; -0.902094
37891770155008; -3.921836; -10.624132; -1.524228
37891791126528; -3.517449; -10.289138; -2.304288
37891812098048; -2.385644; -9.762716; -2.715854
37891828875264; -1.581656; -9.829716; -2.823531
37891849846784; -1.624727; -7.867601; -2.847459
37891866624000; -1.272982; -6.446264; -2.555535
37891887595520; -0.748953; -6.735796; -2.821138
37891908567040; -0.674776; -7.329216; -3.345166
37891925344256; -0.713061; -7.448857; -3.534199
37891946315776; -0.736989; -7.561319; -3.342773
37891967287296; -0.997807; -7.884351; -2.629712
37891984064512; -0.624527; -7.791030; -2.242075
37892005036032; 0.165105; -7.810173; -2.617748
37892021813248; 0.236889; -7.872386; -2.333002
37892042784768; 0.138784; -7.836494; -1.978864
