time; x; y; z
82986921885696; -0.878166; 3.486343; 9.083155
82986921885696; -0.878166; 3.486343; 9.083155
82986947051520; -0.684347; 3.718446; 8.891729
82986947051520; -0.684347; 3.718446; 8.891729
82986947051520; -0.684347; 3.718446; 8.891729
82986963828736; -0.684347; 3.718446; 8.891729
82986972217344; -0.684347; 3.718446; 8.891729
82987014160384; -0.765703; 3.634698; 9.030513
82987030937600; -0.765703; 3.634698; 9.030513
82987030937600; -0.765703; 3.634698; 9.030513
82987064492032; -0.990629; 3.854837; 9.054440
82987064492032; -0.990629; 3.854837; 9.054440
82987106435072; -0.902094; 3.814159; 9.133404
82987131600896; -0.902094; 3.814159; 9.133404
82987148378112; -0.902094; 3.814159; 9.133404
82987148378112; -0.902094; 3.814159; 9.133404
82987156766720; -0.997807; 3.893122; 9.054440
82987173543936; -0.997807; 3.893122; 9.054440
82987207098368; -0.937986; 3.799802; 8.772088
82987223875584; -0.937986; 3.799802; 8.772088
82987232264192; -0.937986; 3.799802; 8.772088
82987240652800; -0.937986; 3.799802; 8.772088
82987240652800; -0.937986; 3.799802; 8.772088
82987274207232; -1.694118; 4.024728; 7.551748
82987274207232; -1.694118; 4.024728; 7.551748
82987274207232; -1.694118; 4.024728; 7.551748
82987282595840; -1.694118; 4.024728; 7.551748
82987282595840; -1.694118; 4.024728; 7.551748
82987282595840; -1.694118; 4.024728; 7.551748
82987290984448; -1.694118; 4.024728; 7.551748
82987299373056; -1.694118; 4.024728; 7.551748
82987299373056; -1.694118; 4.024728; 7.551748
82987299373056; -1.694118; 4.024728; 7.551748
82987307761664; -1.694118; 4.024728; 7.551748
82987307761664; -1.694118; 4.024728; 7.551748
82987324538880; -1.694118; 4.024728; 7.551748
82987324538880; -1.694118; 4.024728; 7.551748
82987324538880; -1.694118; 4.024728; 7.551748
82987332927488; -2.390430; 5.347959; 5.089534
82987341316096; -2.390430; 5.347959; 5.089534
82987341316096; -2.390430; 5.347959; 5.089534
82987341316096; -2.390430; 5.347959; 5.089534
82987349704704; -2.390430; 5.347959; 5.089534
82987349704704; -2.390430; 5.347959; 5.089534
82987349704704; -2.390430; 5.347959; 5.089534
82987358093312; -2.390430; 5.347959; 5.089534
82987358093312; -2.390430; 5.347959; 5.089534
82987400036352; -4.053442; 1.605584; 4.065406
82987408424960; -4.053442; 1.605584; 4.065406
82987408424960; -4.053442; 1.605584; 4.065406
82987408424960; -4.053442; 1.605584; 4.065406
82987416813568; -4.053442; 1.605584; 4.065406
82987416813568; -4.053442; 1.605584; 4.065406
82987458756608; -5.589633; -0.562313; 5.484350
82987458756608; -5.589633; -0.562313; 5.484350
82987467145216; -5.589633; -0.562313; 5.484350
82987467145216; -5.589633; -0.562313; 5.484350
82987500699648; -4.914858; -3.170490; 4.019942
82987500699648; -4.914858; -3.170490; 4.019942
82987509088256; -4.914858; -3.170490; 4.019942
82987509088256; -4.914858; -3.170490; 4.019942
82987517476864; -4.914858; -3.170490; 4.019942
82987517476864; -4.914858; -3.170490; 4.019942
82987542642688; -5.391029; -7.657032; 2.890530
82987559419904; -5.391029; -7.657032; 2.890530
