time; x; y; z
2744029544448; -1.304088; 3.349952; 9.087940
2744030068736; -1.304088; 3.349952; 9.087940
2744030593024; -1.304088; 3.349952; 9.087940
2744073060352; -1.258625; 3.345166; 9.025727
2744090099712; -1.258625; 3.345166; 9.025727
2744098226176; -1.258625; 3.345166; 9.025727
2744103993344; -1.170090; 3.187240; 9.008977
2744106876928; -1.170090; 3.187240; 9.008977
2744116314112; -1.170090; 3.187240; 9.008977
2744128634880; -1.170090; 3.187240; 9.008977
2744134139904; -1.170090; 3.187240; 9.008977
2744151965696; -1.170090; 3.187240; 9.008977
2744154324992; -1.170090; 3.187240; 9.008977
2744157995008; -1.170090; 3.187240; 9.008977
2744162975744; -1.205983; 3.254239; 9.200403
2744187355136; -1.205983; 3.254239; 9.200403
2744192598016; -1.205983; 3.254239; 9.200403
2744197840896; -1.205983; 3.254239; 9.200403
2744200986624; -1.205983; 3.254239; 9.200403
2744206229504; -1.205983; 3.254239; 9.200403
2744208850944; -1.205983; 3.254239; 9.200403
2744226676736; -1.258625; 3.132205; 9.494720
2744231133184; -1.258625; 3.132205; 9.494720
2744235065344; -1.258625; 3.132205; 9.494720
2744237424640; -1.258625; 3.132205; 9.494720
2744240832512; -1.258625; 3.132205; 9.494720
2744246861824; -1.258625; 3.132205; 9.494720
2744280678400; -1.308874; 3.208775; 9.291330
2744284086272; -1.308874; 3.208775; 9.291330
2744290902016; -1.308874; 3.208775; 9.291330
2744294309888; -1.308874; 3.208775; 9.291330
2744296144896; -1.308874; 3.208775; 9.291330
2744299028480; -1.308874; 3.208775; 9.291330
2744341233664; -2.100898; 3.251846; 9.032906
2744345690112; -2.100898; 3.251846; 9.032906
2744359583744; -2.550749; 3.282953; 8.743374
2744365350912; -2.550749; 3.282953; 8.743374
2744366399488; -2.550749; 3.282953; 8.743374
2744372690944; -2.550749; 3.282953; 8.743374
2744383438848; -3.172883; 3.304488; 8.051848
2744392089600; -3.172883; 3.304488; 8.051848
2744422498304; -3.172883; 3.304488; 8.051848
2744436391936; -3.172883; 3.304488; 8.051848
2744451858432; -3.704089; 2.801995; 6.675975
2744475189248; -3.704089; 2.801995; 6.675975
2744489082880; -3.878766; 2.007578; 6.317052
2744508743680; -3.878766; 2.007578; 6.317052
2744510840832; -3.878766; 2.007578; 6.317052
2744512937984; -3.878766; 2.007578; 6.317052
2744527093760; -3.878766; 2.007578; 6.317052
2744530239488; -3.878766; 2.007578; 6.317052
2744533647360; -3.878766; 2.007578; 6.317052
2744535744512; -3.878766; 2.007578; 6.317052
2744538628096; -4.098905; 0.710668; 7.592426
2744552521728; -4.098905; 0.710668; 7.592426
2744555405312; -4.098905; 0.710668; 7.592426
2744556978176; -4.098905; 0.710668; 7.592426
2744562483200; -4.098905; 0.710668; 7.592426
