time; x; y; z
2646219948032; -0.145962; 3.543770; 9.186047
2646261628928; -0.306281; 3.653840; 9.169296
2646277881856; -0.306281; 3.653840; 9.169296
2646280765440; -0.306281; 3.653840; 9.169296
2646283124736; -0.306281; 3.653840; 9.169296
2646300426240; -0.564706; 3.486343; 9.133404
2646303309824; -0.564706; 3.486343; 9.133404
2646310912000; -0.564706; 3.486343; 9.133404
2646312747008; -0.564706; 3.486343; 9.133404
2646317465600; -0.564706; 3.486343; 9.133404
2646324019200; -0.564706; 3.486343; 9.133404
2646330834944; -0.564706; 3.486343; 9.133404
2646358360064; -0.406780; 3.572484; 8.853444
2646365175808; -0.406780; 3.572484; 8.853444
2646370942976; -0.406780; 3.572484; 8.853444
2646378807296; -0.406780; 3.572484; 8.853444
2646382215168; -0.406780; 3.572484; 8.853444
2646387982336; -0.406780; 3.572484; 8.853444
2646427041792; -0.768096; 3.603591; 8.772088
2646445129728; -2.012364; 4.342973; 8.384451
2646447489024; -2.012364; 4.342973; 8.384451
2646459285504; -2.012364; 4.342973; 8.384451
2646465052672; -2.012364; 4.342973; 8.384451
2646477111296; -2.012364; 4.342973; 8.384451
2646528229376; -4.199404; 4.845466; 6.293124
2646542909440; -4.199404; 4.845466; 6.293124
2646545268736; -4.199404; 4.845466; 6.293124
2646560473088; -5.173283; 2.299503; 5.065606
2646575415296; -5.173283; 2.299503; 5.065606
2646578036736; -5.173283; 2.299503; 5.065606
2646609494016; -5.431707; -2.333002; 4.713861
2646630989824; -5.431707; -2.333002; 4.713861
2646637019136; -5.431707; -2.333002; 4.713861
2646642524160; -5.431707; -2.333002; 4.713861
2646649602048; -5.431707; -2.333002; 4.713861
2646667952128; -4.213761; -8.039884; 4.615755
2646678437888; -4.213761; -8.039884; 4.615755
2646692593664; -4.213761; -8.039884; 4.615755
2646699147264; -4.213761; -8.039884; 4.615755
2646753673216; -4.534399; -11.097912; 2.809174
2646778576896; -4.534399; -11.097912; 2.809174
2646786441216; -4.761717; -11.389835; 0.696311
2646795091968; -4.761717; -11.389835; 0.696311
2646803218432; -4.761717; -11.389835; 0.696311
2646812917760; -4.761717; -11.389835; 0.696311
2646881337344; -4.680361; -10.671989; -0.382852
2646891298816; -4.680361; -10.671989; -0.382852
2646903357440; -4.680361; -10.671989; -0.382852
2646913581056; -4.680361; -10.671989; -0.382852
2646929047552; -5.833702; -7.893922; 0.452243
2646942941184; -5.833702; -7.893922; 0.452243
2647030497280; -10.255638; -5.369494; 0.825524
2647032856576; -10.255638; -5.369494; 0.825524
2647046225920; -10.255638; -5.369494; 0.825524
2647064838144; -11.346765; -5.414958; 0.906880
2647080304640; -12.502499; -4.919643; 0.803988
2647137189888; -12.619746; -3.888337; -0.490529
2647143743488; -11.602797; -3.850052; -0.468993
2647146627072; -11.602797; -3.850052; -0.468993
2647153180672; -11.602797; -3.850052; -0.468993
2647158685696; -11.602797; -3.850052; -0.468993
2647164452864; -11.184053; -2.868994; 0.023928
2647193026560; -10.971092; -1.899901; 0.535992
2647204298752; -10.822737; -1.383052; 0.993021
2647209541632; -10.822737; -1.383052; 0.993021
2647214522368; -10.822737; -1.383052; 0.993021
2647220551680; -10.222138; -0.880559; 0.945165
2647222910976; -10.222138; -0.880559; 0.945165
2647229726720; -10.222138; -0.880559; 0.945165
2647242047488; -9.927821; -0.392423; 0.198604
2647247814656; -9.927821; -0.392423; 0.198604
2647254106112; -9.927821; -0.392423; 0.198604
2647257513984; -9.927821; -0.392423; 0.198604
2647262756864; -9.714860; 0.052642; 0.200997
2647268786176; -9.714860; 0.052642; 0.200997
2647306010624; -9.755538; 1.564906; 0.602991
2647324884992; -9.643075; 1.517050; 0.186640
2647332749312; -9.643075; 1.517050; 0.186640
2647339040768; -9.822537; 1.088734; -0.320638
2647347691520; -9.822537; 1.088734; -0.320638
2647350050816; -9.822537; 1.088734; -0.320638
2647361847296; -9.822537; 1.088734; -0.320638
2647371808768; -9.822537; 1.088734; -0.320638
2647400906752; -9.822537; 1.088734; -0.320638
2647411130368; -9.779466; 1.196411; -0.516850
2647416897536; -9.779466; 1.196411; -0.516850
2647423188992; -9.779466; 1.196411; -0.516850
2647432364032; -9.779466; 1.196411; -0.516850
2647451762688; -9.667004; 1.674976; 0.119641
2647470637056; -9.650253; 2.179862; 0.050249
2647477977088; -9.650253; 2.179862; 0.050249
2647483482112; -9.650253; 2.179862; 0.050249
2647485841408; -9.650253; 2.179862; 0.050249
2647493181440; -9.863214; 1.689333; -0.055035
2647501307904; -9.863214; 1.689333; -0.055035
2647534862336; -9.946963; 1.950150; 0.425922
2647548755968; -9.946963; 1.950150; 0.425922
2647557144576; -9.662218; 2.076970; 0.334995
2647567630336; -9.667004; 1.899901; 0.136391
2647577329664; -9.667004; 1.899901; 0.136391
2647579426816; -9.667004; 1.899901; 0.136391
2647599087616; -9.611969; 1.584049; 0.212961
2647615078400; -9.312865; 1.320838; 0.291924
2647623467008; -9.312865; 1.320838; 0.291924
2647646273536; -8.908479; 2.203790; 0.270389
2647660691456; -8.908479; 2.203790; 0.270389
2647685332992; -8.118847; 0.471386; -0.081356
2647697129472; -8.118847; 0.471386; -0.081356
2647706304512; -7.542177; -0.524028; 0.234497
2647712333824; -7.542177; -0.524028; 0.234497
2647719149568; -7.542177; -0.524028; 0.234497
2647735140352; -7.293324; -1.385444; 0.296710
2647799365632; -9.434899; -5.180461; -0.399601
2647812997120; -9.434899; -5.180461; -0.399601
2647823220736; -9.683753; -6.149554; 0.004786
2647825317888; -9.683753; -6.149554; 0.004786
2647835279360; -9.683753; -6.149554; 0.004786
2647847075840; -10.255638; -6.632905; 0.375673
2647853105152; -10.255638; -6.632905; 0.375673
2647861755904; -10.547563; -7.747960; 0.160319
2647870668800; -10.547563; -7.747960; 0.160319
2647885348864; -10.846665; -8.480164; -0.337388
2647902126080; -11.624332; -8.283952; -1.890330
2647915233280; -11.624332; -8.283952; -1.890330
2647925719040; -12.631711; -7.680961; -3.476771
2647952719872; -14.021940; -6.508478; -4.426722
2647963205632; -15.268601; -6.982256; -4.828716
2647979982848; -16.558332; -9.190832; -5.292923
2647985750016; -16.558332; -9.190832; -5.292923
2647995711488; -17.431713; -10.667203; -6.216553
2648017207296; -19.082760; -9.638289; -6.269196
2648031100928; -19.082760; -9.638289; -6.269196
2648037392384; -20.958733; -7.073184; -6.443871
2648045256704; -20.958733; -7.073184; -6.443871
2648049451008; -20.958733; -7.073184; -6.443871
2648061509632; -21.095125; -5.807381; -8.025527
2648091656192; -19.389042; -7.006185; -11.076376
2648102404096; -19.389042; -7.006185; -11.076376
2648127569920; -19.458433; -7.896315; -12.600604
2648153260032; -19.759930; -8.283952; -12.346965
2648171085824; -18.673588; -7.252645; -11.736795
2648181047296; -18.673588; -7.252645; -11.736795
2648197562368; -17.606388; -5.625526; -10.992627
2648220631040; -15.416956; -5.139783; -10.571490
2648245010432; -11.478371; -5.335995; -9.619147
2648258379776; -11.478371; -5.335995; -9.619147
2648274370560; -9.463614; -4.864608; -9.243474
2648312643584; -6.723832; -5.831309; -6.984649
2648335187968; -3.888337; -5.285745; -6.740582
2648340692992; -3.888337; -5.285745; -6.740582
2648366383104; -0.796810; -3.711268; -4.364509
2648376344576; -0.796810; -3.711268; -4.364509
2648386830336; 0.672383; -3.639483; -3.828516
2648397578240; 0.672383; -3.639483; -3.828516
2648426938368; 3.371487; -2.926422; -2.713461
2648438472704; 5.170890; -1.856830; -3.601198
2648451579904; 5.170890; -1.856830; -3.601198
2648459968512; 6.072984; -3.096313; -3.620341
2648473337856; 6.072984; -3.096313; -3.620341
2648485658624; 6.661618; -3.929015; -2.041078
2648497192960; 6.714260; -4.034299; -0.270389
2648503484416; 6.714260; -4.034299; -0.270389
2648528388096; 6.723832; -3.938586; -0.452243
2648536776704; 6.786045; -4.101298; -0.897308
2648550670336; 6.786045; -4.101298; -0.897308
2648565874688; 6.142376; -3.062813; -1.232304
2648569020416; 6.142376; -3.062813; -1.232304
2648576884736; 5.704489; -1.304088; -1.160519
2648586584064; 5.704489; -1.304088; -1.160519
2648596807680; 5.139783; -0.873380; 0.387637
2648612274176; 4.570291; -0.002393; 1.873580
2648626692096; 4.570291; -0.002393; 1.873580
2648635080704; 3.656233; 0.715454; 3.483950
2648651857920; 3.287738; 0.976272; 3.184847
2648672829440; 2.902494; 1.244268; 3.175276
2648692490240; 1.854438; 2.074577; 3.031706
2648700354560; 1.854438; 2.074577; 3.031706
2648714510336; 1.208375; 1.856830; 2.306681
2648724733952; 1.208375; 1.856830; 2.306681
2648731287552; 0.904487; 0.672383; 2.378466
2648744394752; 0.904487; 0.672383; 2.378466
2648775327744; 0.803988; -1.313660; 2.782853
2648789483520; 0.540778; -1.708475; 2.196611
2648802590720; 0.540778; -1.708475; 2.196611
2648807309312; 0.260818; -2.500500; 1.703690
2648815960064; 0.260818; -2.500500; 1.703690
2648832999424; 0.445065; -4.098905; 1.440479
2648847941632; 0.586242; -6.647261; 1.071985
2648854757376; 0.586242; -6.647261; 1.071985
2648866291712; 0.928415; -8.061419; 0.102891
2648883068928; 0.904487; -8.597412; 0.555135
2648903516160; -0.370888; -9.559326; 1.217947
2648922390528; -1.048056; -9.432507; 1.710868
2648941789184; 0.500100; -8.908479; 1.978864
2648960401408; 1.792224; -9.229117; 1.866402
2648980848640; 0.368495; -9.064013; 1.294517
2648999723008; -1.995614; -9.568898; 1.050449
2649018335232; -2.799603; -10.303494; 1.753939
2649038520320; -2.971886; -8.944371; 1.222732
2649057656832; -4.919643; -8.013563; 1.428515
2649081774080; -7.125826; -9.174082; 3.649055
2649110085632; -8.781659; -10.980663; 4.661219
2649127911424; -10.100104; -14.256437; 1.241875
2649143115776; -11.487942; -17.922241; -2.091327
2649157533696; -12.323036; -12.617353; -0.157926
2649173000192; -13.519448; -4.910072; 4.508078
2649192923136; -17.467606; -4.417150; 6.027520
2649214943232; -18.015562; -7.987242; 3.605984
2649231982592; -15.292529; -7.788638; 3.893122
2649252429824; -15.424135; -4.283153; 4.663611
2649271566336; -18.403198; -2.225325; 3.311666
2649290964992; -18.819550; -2.455036; 3.732803
2649310101504; -18.372093; -4.637290; 2.510071
2649329238016; -18.393627; -4.962714; 2.526821
2649349160960; -19.300507; -5.120640; 2.404787
2649412861952; -18.872192; -4.740181; 1.469193
2649450348544; -12.492927; -3.314059; 2.273181
2649453756416; -12.492927; -3.314059; 2.273181
2649478922240; -11.940185; -2.921636; 4.898108
2649482067968; -11.940185; -2.921636; 4.898108
2649502515200; -11.181661; -7.245467; 4.060620
2649536331776; -8.784052; -5.704489; 1.928615
2649540788224; -7.618747; -4.869394; 5.041677
2649544982528; -7.618747; -4.869394; 5.041677
2649556779008; -7.764709; -4.407579; 4.051049
2649579847680; -7.980063; -3.680161; 4.979464
2649589547008; -7.980063; -3.680161; 4.979464
2649602129920; -7.982456; -6.051448; 3.146562
2649617072128; -7.185647; -6.156733; 3.235096
2649636208640; -8.231310; -6.037092; 2.804388
2649656131584; -8.819944; -5.292923; 1.935794
2649675792384; -10.135997; -4.993821; -1.634298
2649695977472; -9.958928; -7.499106; -0.229711
2649713541120; -10.418350; -7.202396; -2.036292
2649736609792; -11.598011; -8.317451; -2.299503
2649752076288; -12.471392; -9.327223; -3.895515
2649773047808; -13.677374; -9.315259; -5.039285
2649790611456; -16.156338; -9.257831; -5.438886
2649812369408; -18.699909; -7.475178; -6.716653
2649829933056; -20.118853; -7.003792; -7.496713
2649849069568; -20.391634; -8.841479; -8.872586
2649868206080; -19.802999; -8.793623; -9.635897
2649887342592; -20.475384; -8.262417; -9.274581
2649907003392; -21.152552; -7.578069; -10.272388
2649927450624; -21.466011; -6.381658; -10.494920
2649945014272; -21.169302; -5.271388; -11.447264
2649965461504; -20.389242; -6.357730; -11.983255
2649983811584; -20.303101; -5.491528; -11.562119
2650003472384; -19.511076; -7.173682; -10.535598
2650022871040; -18.594625; -6.032306; -10.920842
2650041483264; -17.551353; -6.228518; -10.528419
2650061668352; -16.840685; -6.972685; -10.846665
2650080018432; -16.063019; -6.297909; -10.317851
2650099679232; -14.438292; -6.534799; -8.807981
2650119077888; -12.215360; -5.852844; -7.965706
2650138214400; -10.427921; -5.819345; -7.278966
2650157350912; -8.781659; -5.733203; -5.855237
2650176749568; -6.240481; -5.273781; -5.264210
2650195886080; -4.539185; -4.575077; -5.060820
2650216071168; -3.302095; -3.562913; -4.208975
2650234421248; -1.134198; -4.352544; -3.888337
2650254606336; -0.323031; -1.237089; -0.287139
2650273480704; 1.990828; -4.347759; -1.596013
2650292617216; 4.608576; -4.481757; -3.433701
2650312278016; 5.424529; -4.328616; -3.833302
2650331152384; 4.342973; -4.457829; -2.163112
2650350813184; 3.436093; -3.895515; 1.663012
2650369163264; 3.735196; -4.089334; 1.787439
2650388824064; 4.443471; -3.275774; 0.100499
2650409271296; 5.319245; -2.768496; -1.009771
2650428145664; 6.051448; -2.404787; -1.459622
2650447020032; 4.986642; -1.715654; -1.012164
2650465894400; 3.428915; -0.832702; -0.339781
2650486079488; 3.046063; -0.564706; -0.579063
2650505216000; 3.711268; 0.263211; -1.349552
2650527236096; 4.235296; -0.387637; -2.210968
2650543489024; 3.701697; -1.519442; -1.935794
2650562625536; 2.998207; -1.787439; -1.462015
2650583859200; 3.227918; -1.641476; -1.450050
2650601947136; 3.053242; -1.895115; -1.605584
2650621083648; 1.395016; -1.617548; -1.751546
2650640220160; -0.593420; -1.574477; -1.548156
2650659356672; -1.940579; -2.160719; -1.318445
2650680328192; -3.381058; -3.029314; -0.583849
