time; x; y; z
82922027614208; -1.476372; 3.199204; 9.061620
82922119888896; -1.658226; 3.290131; 9.150154
82922128277504; -1.454836; 2.950350; 9.267402
82922128277504; -1.454836; 2.950350; 9.267402
82922145054720; -1.454836; 2.950350; 9.267402
82922153443328; -1.454836; 2.950350; 9.267402
82922195386368; -1.380659; 2.902494; 9.217153
82922195386368; -1.380659; 2.902494; 9.217153
82922212163584; -1.380659; 2.902494; 9.217153
82922220552192; -1.380659; 2.902494; 9.217153
82922228940800; -1.380659; 2.902494; 9.217153
82922254106624; -1.383052; 3.156133; 9.272188
82922254106624; -1.383052; 3.156133; 9.272188
82922262495232; -1.383052; 3.156133; 9.272188
82922270883840; -1.383052; 3.156133; 9.272188
82922270883840; -1.383052; 3.156133; 9.272188
82922287661056; -1.478764; 3.024528; 9.186047
82922329604096; -1.478764; 3.024528; 9.186047
82922329604096; -1.478764; 3.024528; 9.186047
82922346381312; -1.725225; 3.144169; 9.154940
82922363158528; -1.725225; 3.144169; 9.154940
82922371547136; -1.725225; 3.144169; 9.154940
82922379935744; -1.725225; 3.144169; 9.154940
82922421878784; -2.371287; 3.321238; 8.006385
82922430267392; -2.371287; 3.321238; 8.006385
82922447044608; -2.371287; 3.321238; 8.006385
82922455433216; -2.371287; 3.321238; 8.006385
82922488987648; -2.634498; 2.950350; 7.549356
82922505764864; -2.634498; 2.950350; 7.549356
82922505764864; -2.634498; 2.950350; 7.549356
82922530930688; -2.634498; 2.950350; 7.549356
82922530930688; -3.538985; 2.304288; 7.379465
82922539319296; -3.538985; 2.304288; 7.379465
82922564485120; -3.538985; 2.304288; 7.379465
82922572873728; -3.538985; 2.304288; 7.379465
82922572873728; -3.538985; 2.304288; 7.379465
82922581262336; -3.538985; 2.304288; 7.379465
82922581262336; -3.538985; 2.304288; 7.379465
82922581262336; -3.538985; 2.304288; 7.379465
82922598039552; -4.532006; 0.966700; 7.085148
82922598039552; -4.532006; 0.966700; 7.085148
82922606428160; -4.532006; 0.966700; 7.085148
82922606428160; -4.532006; 0.966700; 7.085148
82922614816768; -4.532006; 0.966700; 7.085148
82922614816768; -4.532006; 0.966700; 7.085148
82922614816768; -4.532006; 0.966700; 7.085148
82922623205376; -4.338187; -1.155733; 6.946364
82922631593984; -4.338187; -1.155733; 6.946364
82922639982592; -4.338187; -1.155733; 6.946364
82922639982592; -4.338187; -1.155733; 6.946364
82922648371200; -4.338187; -1.155733; 6.946364
82922656759808; -4.338187; -1.155733; 6.946364
82922656759808; -4.338187; -1.155733; 6.946364
82922665148416; -4.338187; -1.155733; 6.946364
82922673537024; -4.338187; -1.155733; 6.946364
82922681925632; -3.610769; -2.852245; 6.994221
