time; x; y; z
31542462119936; 0.598206; 3.933800; 8.848659
31542476800000; 0.598206; 3.933800; 8.848659
31542480994304; 0.598206; 3.933800; 8.848659
31542495674368; 0.598206; 3.933800; 8.848659
31542510354432; 0.598206; 3.933800; 8.848659
31542512451584; 0.598206; 3.933800; 8.848659
31542606823424; 0.696311; 4.094120; 8.913264
31542611017728; 0.696311; 4.094120; 8.913264
31542627794944; 0.696311; 4.094120; 8.913264
31542642475008; 0.665205; 4.175476; 8.843872
31542646669312; 0.665205; 4.175476; 8.843872
31542661349376; 0.665205; 4.175476; 8.843872
31542671835136; 0.665205; 4.175476; 8.843872
31542678126592; 0.665205; 4.175476; 8.843872
31542694903808; 0.610170; 4.352544; 8.803194
31542715875328; 0.610170; 4.352544; 8.803194
31542724263936; 0.610170; 4.352544; 8.803194
31542738944000; 0.610170; 4.352544; 8.803194
31542772498432; 0.772882; 4.254439; 8.396415
31542787178496; 0.772882; 4.254439; 8.396415
31542808150016; 1.155733; 4.419543; 7.396215
31542810247168; 1.155733; 4.419543; 7.396215
31542820732928; 1.155733; 4.419543; 7.396215
31542837510144; 1.155733; 4.419543; 7.396215
31542873161728; 2.297110; 3.873980; 6.874579
31542885744640; 2.297110; 3.873980; 6.874579
31542892036096; 2.297110; 3.873980; 6.874579
31542904619008; 2.297110; 3.873980; 6.874579
31542906716160; 2.297110; 3.873980; 6.874579
31542908813312; 2.297110; 3.873980; 6.874579
31542923493376; 2.787638; 3.022135; 6.642476
31542927687680; 2.787638; 3.022135; 6.642476
31542931881984; 2.787638; 3.022135; 6.642476
31542933979136; 2.787638; 3.022135; 6.642476
31542942367744; 2.988636; 2.397608; 6.862615
31542944464896; 2.988636; 2.397608; 6.862615
31542952853504; 2.988636; 2.397608; 6.862615
31542954950656; 2.988636; 2.397608; 6.862615
31542957047808; 2.988636; 2.397608; 6.862615
31542959144960; 2.988636; 2.397608; 6.862615
31542965436416; 2.988636; 2.397608; 6.862615
31542969630720; 2.988636; 2.397608; 6.862615
31542988505088; 2.988636; 2.397608; 6.862615
31542988505088; 2.988636; 2.397608; 6.862615
31542994796544; 2.988636; 2.397608; 6.862615
31543005282304; 3.771089; 1.318445; 7.484749
31543009476608; 3.771089; 1.318445; 7.484749
31543011573760; 3.771089; 1.318445; 7.484749
31543047225344; 3.771089; 1.318445; 7.484749
31543057711104; 4.283153; -0.382852; 8.121240
31543076585472; 4.283153; -0.382852; 8.121240
31543089168384; 4.283153; -0.382852; 8.121240
31543093362688; 4.283153; -0.382852; 8.121240
31543099654144; 4.283153; -0.382852; 8.121240
31543133208576; 4.828716; -2.021935; 9.049655
31543154180096; 4.828716; -2.021935; 9.049655
31543225483264; 4.749753; -3.653840; 9.832108
31543235969024; 4.362116; -3.474379; 8.700303
31543244357632; 4.362116; -3.474379; 8.700303
31543250649088; 4.362116; -3.474379; 8.700303
31543254843392; 4.362116; -3.474379; 8.700303
31543261134848; 4.362116; -3.474379; 8.700303
31543282106368; 4.362116; -3.474379; 8.700303
31543286300672; 4.362116; -3.474379; 8.700303
31543290494976; 3.885944; -6.147161; 6.305088
31543296786432; 3.885944; -6.147161; 6.305088
31543296786432; 3.885944; -6.147161; 6.305088
31543298883584; 3.885944; -6.147161; 6.305088
31543328243712; 3.885944; -6.147161; 6.305088
31543330340864; 3.885944; -6.147161; 6.305088
31543334535168; 3.885944; -6.147161; 6.305088
31543334535168; 3.885944; -6.147161; 6.305088
31543347118080; 4.895715; -5.637490; 5.027320
31543353409536; 4.895715; -5.637490; 5.027320
31543376478208; 4.895715; -5.637490; 5.027320
31543380672512; 4.895715; -5.637490; 5.027320
31543382769664; 4.895715; -5.637490; 5.027320
31543389061120; 4.895715; -5.637490; 5.027320
31543397449728; 4.895715; -5.637490; 5.027320
31543399546880; 4.895715; -5.637490; 5.027320
31543412129792; 5.711668; -3.711268; 2.471786
31543418421248; 5.711668; -3.711268; 2.471786
31543420518400; 5.711668; -3.711268; 2.471786
31543426809856; 5.711668; -3.711268; 2.471786
31543426809856; 5.711668; -3.711268; 2.471786
31543437295616; 5.711668; -3.711268; 2.471786
31543468752896; 6.491728; -3.479164; 1.069592
31543472947200; 6.491728; -3.479164; 1.069592
31543481335808; 6.491728; -3.479164; 1.069592
31543491821568; 6.491728; -3.479164; 1.069592
31543496015872; 6.491728; -3.479164; 1.069592
31543500210176; 6.874579; -4.342973; -1.653440
31543542153216; 6.740582; -5.027320; -2.227718
31543548444672; 6.740582; -5.027320; -2.227718
31543563124736; 6.740582; -5.027320; -2.227718
31543565221888; 6.740582; -5.027320; -2.227718
31543581999104; 12.268002; -4.862216; -0.430708
31543600873472; 13.976477; -1.519442; -1.399801
31543638622208; 18.616159; 0.157926; -3.256632
31543640719360; 18.616159; 0.157926; -3.256632
31543644913664; 18.254845; 0.004786; -2.313859
31543649107968; 18.254845; 0.004786; -2.313859
31543659593728; 18.254845; 0.004786; -2.313859
31543663788032; 18.254845; 0.004786; -2.313859
31543709925376; 11.205588; 6.843473; -5.376672
31543712022528; 11.205588; 6.843473; -5.376672
31543714119680; 11.205588; 6.843473; -5.376672
31543716216832; 11.205588; 6.843473; -5.376672
31543743479808; 9.836894; 6.750153; -3.651447
31543751868416; 9.836894; 6.750153; -3.651447
31543764451328; 9.245867; 7.360322; -3.986443
31543766548480; 9.245867; 7.360322; -3.986443
31543768645632; 9.245867; 7.360322; -3.986443
