time; x; y; z
82560981925888; 0.516850; 4.991428; 8.425129
82560990314496; 0.516850; 4.991428; 8.425129
82561007091712; 0.516850; 4.991428; 8.425129
82561007091712; 0.516850; 4.991428; 8.425129
82561007091712; 0.516850; 4.991428; 8.425129
82561023868928; 0.516850; 4.991428; 8.425129
82561141309440; 0.535992; 4.627719; 8.415557
82561149698048; 0.535992; 4.627719; 8.415557
82561174863872; 0.660419; 4.689932; 8.568698
82561174863872; 0.660419; 4.689932; 8.568698
82561174863872; 0.660419; 4.689932; 8.568698
82561208418304; 0.660419; 4.689932; 8.568698
82561216806912; 0.622134; 4.752146; 8.616554
82561233584128; 0.622134; 4.752146; 8.616554
82561241972736; 0.622134; 4.752146; 8.616554
82561258749952; 0.622134; 4.752146; 8.616554
82561275527168; 0.607777; 4.768896; 8.621340
82561275527168; 0.607777; 4.768896; 8.621340
82561283915776; 0.607777; 4.768896; 8.621340
82561283915776; 0.607777; 4.768896; 8.621340
82561292304384; 0.607777; 4.768896; 8.621340
82561292304384; 0.607777; 4.768896; 8.621340
82561300692992; 0.607777; 4.768896; 8.621340
82561300692992; 0.607777; 4.768896; 8.621340
82561317470208; 0.607777; 4.768896; 8.621340
82561317470208; 0.607777; 4.768896; 8.621340
82561325858816; 0.607777; 4.768896; 8.621340
82561334247424; 0.873380; 4.608576; 8.171490
82561342636032; 0.873380; 4.608576; 8.171490
82561351024640; 0.873380; 4.608576; 8.171490
82561384579072; 1.674976; 4.996214; 7.152147
82561392967680; 1.674976; 4.996214; 7.152147
82561401356288; 1.674976; 4.996214; 7.152147
82561401356288; 1.674976; 4.996214; 7.152147
82561409744896; 1.674976; 4.996214; 7.152147
82561409744896; 1.674976; 4.996214; 7.152147
82561460076544; 3.354737; 4.969893; 4.886144
82561460076544; 3.354737; 4.969893; 4.886144
82561468465152; 3.354737; 4.969893; 4.886144
82561476853760; 3.354737; 4.969893; 4.886144
82561485242368; 3.354737; 4.969893; 4.886144
82561485242368; 4.735396; 2.502892; 3.493521
82561493630976; 4.735396; 2.502892; 3.493521
82561502019584; 4.735396; 2.502892; 3.493521
82561502019584; 4.735396; 2.502892; 3.493521
82561510408192; 4.735396; 2.502892; 3.493521
82561518796800; 4.735396; 2.502892; 3.493521
82561552351232; 6.252446; -1.237089; 5.795416
82561552351232; 6.252446; -1.237089; 5.795416
82561560739840; 6.252446; -1.237089; 5.795416
82561569128448; 6.252446; -1.237089; 5.795416
82561569128448; 6.252446; -1.237089; 5.795416
82561569128448; 6.252446; -1.237089; 5.795416
82561585905664; 6.252446; -1.237089; 5.795416
82561594294272; 6.252446; -1.237089; 5.795416
82561602682880; 6.252446; -1.237089; 5.795416
82561602682880; 6.252446; -1.237089; 5.795416
82561602682880; 7.649854; -8.362915; 5.553741
82561611071488; 7.649854; -8.362915; 5.553741
82561627848704; 7.649854; -8.362915; 5.553741
82561636237312; 7.649854; -8.362915; 5.553741
82561636237312; 7.649854; -8.362915; 5.553741
82561636237312; 7.649854; -8.362915; 5.553741
82561644625920; 7.649854; -8.362915; 5.553741
82561661403136; 4.278367; -13.399807; -1.349552
82561703346176; 0.655633; -16.235302; -6.575477
82561711734784; 0.655633; -16.235302; -6.575477
82561720123392; 0.655633; -16.235302; -6.575477
82561728512000; 0.655633; -16.235302; -6.575477
82561736900608; 0.655633; -16.235302; -6.575477
82561745289216; 0.655633; -16.235302; -6.575477
82561778843648; -6.769295; -15.780665; -3.728018
82561787232256; -6.769295; -15.780665; -3.728018
82561795620864; -6.769295; -15.780665; -3.728018
82561795620864; -6.769295; -15.780665; -3.728018
82561804009472; -6.769295; -15.780665; -3.728018
82561812398080; -6.769295; -15.780665; -3.728018
82561820786688; -7.838887; -5.965307; 3.010171
82561871118336; -7.056434; -4.436293; 3.675375
82561887895552; -7.056434; -4.436293; 3.675375
82561929838592; 0.117248; -14.495720; -4.137190
82562005336064; 18.876978; -20.410778; -5.206782
82562013724672; 18.876978; -20.410778; -5.206782
82562064056320; 19.302900; -18.063417; -1.473979
82562064056320; 19.302900; -18.063417; -1.473979
82562064056320; 19.302900; -18.063417; -1.473979
82562072444928; 19.302900; -18.063417; -1.473979
82562080833536; 18.750158; -17.869600; 0.933201
82562080833536; 18.750158; -17.869600; 0.933201
82562089222144; 18.750158; -17.869600; 0.933201
82562089222144; 18.750158; -17.869600; 0.933201
82562089222144; 18.750158; -17.869600; 0.933201
82562097610752; 17.398214; -17.685352; 2.234896
82562105999360; 17.398214; -17.685352; 2.234896
82562105999360; 17.398214; -17.685352; 2.234896
82562122776576; 17.572889; -16.534405; 1.579263
82562122776576; 17.572889; -16.534405; 1.579263
82562131165184; 17.572889; -16.534405; 1.579263
82562131165184; 17.979670; -15.299708; 0.409173
82562131165184; 17.979670; -15.299708; 0.409173
82562139553792; 17.979670; -15.299708; 0.409173
82562139553792; 17.979670; -15.299708; 0.409173
82562147942400; 17.979670; -15.299708; 0.409173
82562147942400; 17.979670; -15.299708; 0.409173
82562147942400; 17.979670; -15.299708; 0.409173
82562147942400; 17.977276; -13.603197; -0.710668
82562156331008; 17.977276; -13.603197; -0.710668
82562156331008; 17.977276; -13.603197; -0.710668
82562173108224; 18.924835; -11.564512; -0.705883
82562173108224; 18.924835; -11.564512; -0.705883
82562189885440; 18.924835; -11.564512; -0.705883
82562215051264; 18.149559; -10.743773; -1.945365
82562231828480; 16.622938; -9.549755; -2.847459
82562240217088; 16.622938; -9.549755; -2.847459
82562273771520; 12.507284; -6.551548; -2.909672
82562290548736; 10.595419; -5.075177; -2.457429
82562298937344; 10.595419; -5.075177; -2.457429
82562315714560; 8.819944; -3.615555; -2.507678
82562324103168; 8.819944; -3.615555; -2.507678
82562332491776; 7.300502; -1.933401; -2.962314
82562340880384; 7.300502; -1.933401; -2.962314
82562349268992; 5.395815; -1.217947; -3.323631
82562357657600; 5.395815; -1.217947; -3.323631
82562374434816; 3.744767; -0.940379; -3.462414
82562382823424; 3.744767; -0.940379; -3.462414
82562399600640; 2.395216; -0.607777; -2.857030
82562424766464; 0.081356; 0.567099; -3.282953
82562433155072; 0.081356; 0.567099; -3.282953
82562441543680; -1.265803; 0.655633; -4.438686
82562449932288; -1.265803; 0.655633; -4.438686
82562458320896; -3.203990; 1.024128; -6.034698
82562483486720; -5.804988; 1.308874; -6.879365
82562500263936; -7.075577; 0.839881; -6.604190
82562517041152; -6.099305; -0.500100; -5.584848
82562542206976; -4.742575; -2.120041; -4.299902
82562558984192; -6.297909; -0.052642; -7.429714
82562575761408; -8.583055; 0.854238; -8.755338
82562600927232; -5.938986; -1.368695; -4.627719
82562617704448; -4.165904; -4.699504; -0.394816
82562634481664; -5.381458; -5.022535; 3.029314
82562659647488; -6.881758; -6.503692; 5.635098
82562676424704; -8.312666; -9.949356; 7.030113
82562693201920; -9.805787; -12.985848; 10.466207
82562709979136; -9.477970; -17.202002; 12.959527
82562735144960; -9.566504; -21.157337; 12.981063
82562751922176; -10.052248; -26.143980; 9.207582
82562768699392; -9.020942; -28.041489; 6.013163
82562785476608; -7.008577; -23.315664; 6.388836
82562810642432; -2.325824; -13.359129; 7.707282
82562827419648; -0.832702; -5.235496; 4.835895
82562844196864; -3.651447; -1.536192; -0.131605
82562869362688; -8.647661; 0.471386; -4.584648
82562886139904; -4.771288; -0.715454; -7.592426
82562902917120; 0.885344; -3.285346; -11.710474
82562928082944; 3.601198; 0.990629; -18.680767
82562944860160; 7.365108; 1.942972; -21.604795
82562961637376; 6.704689; -7.810173; -15.115460
82562978414592; 3.110669; -5.635098; -6.664011
82563003580416; 8.458628; -5.369494; -2.163112
82563020357632; 9.461221; -2.780460; -4.689932
82563037134848; 16.199409; -1.679762; -8.204988
82563062300672; 30.357740; -6.113662; -5.079962
82563079077888; 39.507896; -11.203196; -4.204189
82563095855104; 29.443682; -6.439086; -4.374080
82563121020928; 24.033510; -8.343773; -5.735596
82563137798144; 18.058632; -9.401401; -1.213161
82563154575360; 11.722438; -10.226924; 4.012764
82563179741184; 5.044070; -13.840086; 7.458428
82563196518400; -1.088734; -15.019748; 8.539984
82563213295616; -2.024328; -16.441084; 8.061419
82563230072832; 3.828516; -16.383657; 4.328616
82563255238656; 8.731410; -16.271194; 1.138984
82563272015872; 12.468999; -15.211174; -0.165105
82563288793088; 16.548761; -15.309279; -1.911865
82563305570304; 20.298315; -16.491333; -4.388437
82563330736128; 23.210381; -18.259630; -5.343173
82563347513344; 22.011576; -16.443478; -5.560920
82563364290560; 18.156738; -14.246866; -2.969493
82563389456384; 12.184253; -10.030712; -2.230111
82563406233600; 3.424129; -8.140383; -0.504886
82563423010816; -4.398008; -9.049655; 2.136791
82563448176640; -9.413364; -8.987442; 4.613362
82563464953856; -10.889736; -8.281559; 6.257231
82563481731072; -10.162318; -5.874380; 4.867001
82563506896896; -9.298509; -4.795217; 2.483750
82563523674112; -8.585447; -5.154140; 0.887737
82563540451328; -6.632905; -7.214360; 0.507278
82563557228544; -4.756931; -7.269395; -0.777667
82563582394368; -2.935993; -6.494121; -2.141576
82563599171584; -1.162912; -6.972685; -3.431308
82563624337408; 0.466600; -7.740781; -4.744967
82563641114624; 0.909273; -8.659625; -4.859823
82563657891840; 1.012164; -8.386844; -4.386044
82563674669056; 1.435694; -8.355737; -4.608576
82563699834880; 2.268396; -9.851251; -4.407579
82563716612096; 1.660619; -11.243874; -5.228317
82563733389312; 0.514457; -9.784252; -5.393422
82563750166528; -0.043071; -9.489935; -5.436493
82563775332352; -1.335195; -8.666803; -5.300102
82563792109568; -2.543571; -10.346565; -5.697311
82563808886784; -4.563113; -10.119247; -5.759524
82563834052608; -5.718846; -7.925029; -5.450850
82563850829824; -5.154140; -8.353344; -5.166104
82563867607040; -4.962714; -9.310472; -5.027320
82563892772864; -6.381658; -9.571291; -5.192425
82563909550080; -7.412964; -13.103097; -4.311866
82563926327296; -8.853444; -18.620945; -2.596213
82563943104512; -9.975677; -25.383062; -0.186640
82563968270336; -7.542177; -25.931019; 0.837488
82563985047552; -2.380858; -21.475584; -1.330409
82564001824768; 3.550949; -22.880171; -3.302095
82564026990592; 9.186047; -22.411177; -4.149155
82564043767808; 15.247066; -19.056440; -3.328416
82564060545024; 19.432112; -16.034304; -6.675975
82564085710848; 17.338392; -9.729217; -13.593625
82564102488064; 9.966106; -14.964713; -15.914663
82564119265280; -8.709874; -17.781065; -7.267003
82564136042496; -5.864808; -9.681360; -2.349752
82564161208320; 5.582455; -3.708875; -3.845266
82564177985536; 5.709275; -4.759324; -9.159725
82564203151360; 3.864408; -7.645068; -11.806187
82564228317184; 4.453043; -11.263016; -11.112268
82564236705792; 5.280960; -15.005391; -4.634897
82564253483008; 4.962714; -14.392828; -1.452443
82564270260224; 2.072184; -13.141382; -3.048456
82564295426048; -1.840081; -9.662218; -4.981857
82564312203264; -3.314059; -9.834501; 1.067199
82564328980480; -3.390630; -12.634104; 3.771089
82564354146304; -2.366502; -6.711867; 3.050849
82564370923520; -2.498107; -7.252645; 1.115055
82564387700736; -1.055235; -8.851051; -0.988236
82564412866560; 1.076770; -8.767303; -1.883151
82564429643776; 3.431308; -10.238888; -1.392623
82564446420992; 4.637290; -11.265409; -2.483750
82564471586816; 4.211368; -13.287344; -4.957929
82564488364032; 1.902294; -15.424135; -10.102497
82564505141248; 0.823131; -15.086747; -9.506684
82564521918464; 1.816152; -14.191831; -5.077569
82564547084288; 2.892923; -11.988042; -1.727618
82564563861504; 1.253839; -8.834301; -0.095713
82564580638720; 0.354138; -6.405586; 0.002393
82564605804544; 0.586242; -7.867601; -0.588634
82564622581760; 2.136791; -9.061620; -0.667598
82564639358976; 2.330609; -9.535398; -0.004786
82564664524800; 0.830309; -7.881958; 0.619741
82564681302016; -0.239282; -5.881558; 0.756132
82564698079232; -1.083949; -3.670590; 0.492921
82564714856448; -1.557728; -3.818945; 0.818345
82564740022272; -1.517050; -5.991628; 1.347159
82564756799488; -1.258625; -7.188039; 1.249053
82564773576704; -1.201197; -6.336195; 0.342174
82564798742528; -0.507278; -5.489135; -0.023928
82564815519744; 1.217947; -7.125826; 0.055035
82564832296960; 3.136991; -10.693524; 0.772882
82564857462784; 4.194618; -12.189038; 1.830509
82564874240000; 3.933800; -11.487942; 2.981457
82564891017216; 2.866601; -9.891929; 3.543770
82564907794432; 1.959722; -7.879565; 3.024528
82564932960256; 2.199004; -7.006185; 1.756332
82564949737472; 3.328416; -8.563912; 1.361516
82564966514688; 5.003392; -8.999406; 1.703690
82564991680512; 6.295516; -8.542377; 2.727818
82565008457728; 7.910672; -7.846066; 3.180061
82565025234944; 9.446864; -7.082755; 3.227918
82565050400768; 10.901700; -7.523035; 1.428515
82565067177984; 12.354143; -7.472785; 0.236889
82565083955200; 13.115061; -7.719246; 1.026521
82565109121024; 12.581462; -8.499306; 0.827917
82565125898240; 11.009377; -8.267202; 1.280160
82565142675456; 10.080962; -7.525427; 0.495314
82565159452672; 9.511470; -6.384051; 0.557528
82565184618496; 9.346365; -4.443471; 0.708275
82565201395712; 8.908479; -5.187640; 0.435494
82565218172928; 8.401200; -6.142376; 0.167498
82565243338752; 8.080562; -5.489135; 0.157926
82565260115968; 8.374879; -4.268795; 0.186640
82565276893184; 8.470592; -5.362316; -0.196211
82565302059008; 8.410771; -6.111269; -0.138784
82565318836224; 8.394022; -5.821737; -0.744168
82565335613440; 8.355737; -5.233103; -0.550349
82565352390656; 8.652447; -5.778666; -0.413958
82565377556480; 8.647661; -6.065805; -0.468993
82565394333696; 8.669196; -5.639883; -0.916451
82565411110912; 8.683554; -6.087341; -1.277767
82565436276736; 8.523234; -5.907879; -0.753739
82565453053952; 8.248059; -6.472585; -1.095913
82565469831168; 8.042277; -6.312266; -1.028914
82565494996992; 7.953743; -5.730810; -0.954736
82565511774208; 7.594819; -5.855237; -0.698704
82565528551424; 7.207182; -6.228518; -0.559920
82565545328640; 6.984649; -6.620940; -0.346959
82565570494464; 6.704689; -6.644868; -0.358923
82565587271680; 6.666404; -6.869794; -0.519243
82565604048896; 6.276374; -7.278966; -0.423530
82565629214720; 5.757131; -7.176075; -0.339781
82565645991936; 5.520242; -7.549356; -0.117248
82565671157760; 5.958128; -9.200403; 0.143569
82565679546368; 6.687939; -10.447063; -0.705883
82565704712192; 9.059227; -10.777273; -2.591427
82565721489408; 12.775280; -12.102897; -3.582056
82565738266624; 15.481563; -13.227524; -2.744568
82565763432448; 16.474585; -13.605590; -1.988436
82565780209664; 17.151752; -13.591232; -2.091327
82565796986880; 17.922241; -14.210974; -2.009971
82565822152704; 18.111275; -15.661024; -0.638884
82565838929920; 17.800207; -15.598811; 0.129212
82565855707136; 18.396021; -14.277973; -0.873380
82565872484352; 19.003798; -13.612768; -2.225325
82565897650176; 19.496719; -13.270595; -1.172483
82565914427392; 19.575682; -15.223138; -0.277567
82565931204608; 19.489540; -11.502298; -0.358923
82565956370432; 17.714066; -6.594619; -1.406980
82565973147648; 15.156138; -5.292923; -3.440879
82565989924864; 13.447663; -4.240082; -4.957929
82566015090688; 12.236895; -4.000800; -4.331009
82566031867904; 10.066605; -1.454836; -3.814159
82566048645120; 7.853244; 0.658026; -3.316452
82566073810944; 5.994021; 0.425922; -2.864209
82566090588160; 4.115655; 0.818345; -3.349952
82566107365376; 2.718246; 1.686940; -3.818945
82566124142592; 1.526621; 2.014757; -3.919444
82566149308416; 0.021535; 2.419144; -4.053442
82566166085632; -2.297110; 3.376273; -4.381258
82566182862848; -4.539185; 4.072584; -5.180461
82566208028672; -5.821737; 2.242075; -3.926622
82566224805888; -6.412765; 0.220140; -2.998207
82566241583104; -6.077769; -1.832902; -2.328216
82566266748928; -5.190032; -2.854637; -2.483750
82566283526144; -3.043670; -4.127619; -3.771089
82566300303360; -0.902094; -6.369694; -5.144569
82566317080576; -0.478565; -8.389236; -2.483750
82566350635008; -0.308674; -8.666803; 1.765903
82566359023616; -0.574277; -12.787244; 4.795217
82566392578048; -2.620141; -19.013369; 7.513463
82566400966656; -7.168897; -22.892134; 5.704489
