time; x; y; z
82619668627456; 0.117248; 3.620341; 9.267402
82619677016064; 0.117248; 3.620341; 9.267402
82619702181888; 0.172283; 3.328416; 9.044869
82619702181888; 0.172283; 3.328416; 9.044869
82619710570496; 0.172283; 3.328416; 9.044869
82619727347712; 0.172283; 3.328416; 9.044869
82619760902144; -0.009571; 3.505485; 9.080762
82619769290752; -0.009571; 3.505485; 9.080762
82619802845184; -0.009571; 3.505485; 9.080762
82619811233792; 0.282353; 3.196811; 9.233903
82619828011008; 0.282353; 3.196811; 9.233903
82619836399616; 0.282353; 3.196811; 9.233903
82619895119872; 0.102891; 3.445665; 9.054440
82619911897088; 0.102891; 3.445665; 9.054440
82619945451520; 0.260818; 3.433701; 8.982656
82619979005952; 0.260818; 3.433701; 8.982656
82619995783168; 0.634098; 3.610769; 8.815159
82620004171776; 0.634098; 3.610769; 8.815159
82620046114816; 2.392823; 4.103691; 7.676175
82620062892032; 2.392823; 4.103691; 7.676175
82620079669248; 2.392823; 4.103691; 7.676175
82620088057856; 2.392823; 4.103691; 7.676175
82620096446464; 4.522435; 2.859423; 4.421936
82620121612288; 4.522435; 2.859423; 4.421936
82620138389504; 4.457829; 1.629512; 3.318845
82620138389504; 4.457829; 1.629512; 3.318845
82620146778112; 4.457829; 1.629512; 3.318845
82620155166720; 4.457829; 1.629512; 3.318845
82620155166720; 4.457829; 1.629512; 3.318845
82620155166720; 4.457829; 1.629512; 3.318845
82620171943936; 4.457829; 1.629512; 3.318845
82620180332544; 4.457829; 1.629512; 3.318845
82620188721152; 6.156733; 0.172283; 3.172883
82620188721152; 6.156733; 0.172283; 3.172883
82620197109760; 6.156733; 0.172283; 3.172883
82620197109760; 6.156733; 0.172283; 3.172883
82620205498368; 6.156733; 0.172283; 3.172883
82620205498368; 6.156733; 0.172283; 3.172883
82620213886976; 6.156733; 0.172283; 3.172883
82620213886976; 6.156733; 0.172283; 3.172883
82620222275584; 6.156733; 0.172283; 3.172883
82620222275584; 6.156733; 0.172283; 3.172883
82620230664192; 6.156733; 0.172283; 3.172883
82620239052800; 6.156733; 0.172283; 3.172883
82620239052800; 6.156733; 0.172283; 3.172883
82620239052800; 7.137790; -6.503692; 2.715854
82620247441408; 7.137790; -6.503692; 2.715854
82620255830016; 7.137790; -6.503692; 2.715854
82620264218624; 7.137790; -6.503692; 2.715854
82620264218624; 7.137790; -6.503692; 2.715854
82620272607232; 7.137790; -6.503692; 2.715854
82620272607232; 7.137790; -6.503692; 2.715854
82620280995840; 7.137790; -6.503692; 2.715854
82620280995840; 7.137790; -6.503692; 2.715854
82620306161664; 2.967100; -14.545969; 0.449851
82620306161664; 2.967100; -14.545969; 0.449851
82620306161664; 2.967100; -14.545969; 0.449851
82620322938880; 2.967100; -14.545969; 0.449851
82620331327488; 2.967100; -14.545969; 0.449851
