time; x; y; z
31430662946816; 0.294317; 4.199404; 8.693125
31430662946816; 0.294317; 4.199404; 8.693125
31430665043968; 0.294317; 4.199404; 8.693125
31430665043968; 0.294317; 4.199404; 8.693125
31430671335424; 0.294317; 4.199404; 8.693125
31430673432576; 0.294317; 4.199404; 8.693125
31430776193024; 0.337388; 4.417150; 8.867801
31430778290176; 0.337388; 4.417150; 8.867801
31430782484480; 0.337388; 4.417150; 8.867801
31430797164544; 0.337388; 4.417150; 8.867801
31430801358848; 0.337388; 4.417150; 8.867801
31430803456000; 0.337388; 4.417150; 8.867801
31430807650304; 0.337388; 4.417150; 8.867801
31430809747456; 0.337388; 4.417150; 8.867801
31430813941760; 0.337388; 4.417150; 8.867801
31430818136064; 0.337388; 4.417150; 8.867801
31430824427520; 0.327817; 4.299902; 9.066405
31430826524672; 0.327817; 4.299902; 9.066405
31430832816128; 0.327817; 4.299902; 9.066405
31430841204736; 0.327817; 4.299902; 9.066405
31430870564864; 0.327817; 4.299902; 9.066405
31430872662016; 0.327817; 4.299902; 9.066405
31430881050624; 0.327817; 4.299902; 9.066405
31430889439232; 0.327817; 4.450650; 8.865408
31430891536384; 0.327817; 4.450650; 8.865408
31430893633536; 0.327817; 4.450650; 8.865408
31430925090816; 0.327817; 4.450650; 8.865408
31430937673728; 0.327817; 4.450650; 8.865408
31430941868032; 0.626920; 4.472186; 8.705089
31430952353792; 0.626920; 4.472186; 8.705089
31430962839552; 0.626920; 4.472186; 8.705089
31430964936704; 0.626920; 4.472186; 8.705089
31431011074048; 1.993221; 5.039285; 7.936993
31431027851264; 1.993221; 5.039285; 7.936993
31431038337024; 1.993221; 5.039285; 7.936993
31431061405696; 4.218546; 4.072584; 5.096712
31431063502848; 4.218546; 4.072584; 5.096712
31431082377216; 4.218546; 4.072584; 5.096712
31431128514560; 4.642076; 0.736989; 4.991428
31431153680384; 4.642076; 0.736989; 4.991428
31431162068992; 4.642076; 0.736989; 4.991428
31431195623424; 4.321438; -1.450050; 5.721239
31431199817728; 4.321438; -1.450050; 5.721239
31431201914880; 4.321438; -1.450050; 5.721239
31431241760768; 4.122833; -2.727818; 6.874579
31431252246528; 4.122833; -2.727818; 6.874579
31431269023744; 4.122833; -2.727818; 6.874579
31431277412352; 4.122833; -2.727818; 6.874579
31431279509504; 4.122833; -2.727818; 6.874579
31431283703808; 5.228317; -3.969693; 7.365108
31431319355392; 5.228317; -3.969693; 7.365108
31431329841152; 5.228317; -3.969693; 7.365108
31431336132608; 5.228317; -3.969693; 7.365108
31431342424064; 7.022934; -5.788238; 8.030313
31431348715520; 7.022934; -5.788238; 8.030313
31431357104128; 7.022934; -5.788238; 8.030313
31431388561408; 7.022934; -5.788238; 8.030313
31431396950016; 7.022934; -5.788238; 8.030313
31431417921536; 9.501899; -5.903093; 8.286345
31431424212992; 9.501899; -5.903093; 8.286345
31431432601600; 9.501899; -5.903093; 8.286345
31431440990208; 9.501899; -5.903093; 8.286345
31431459864576; 11.117054; -4.735396; 5.749953
31431461961728; 11.117054; -4.735396; 5.749953
31431461961728; 11.117054; -4.735396; 5.749953
31431468253184; 11.117054; -4.735396; 5.749953
31431476641792; 11.117054; -4.735396; 5.749953
31431485030400; 11.117054; -4.735396; 5.749953
31431503904768; 11.117054; -4.735396; 5.749953
31431510196224; 11.117054; -4.735396; 5.749953
31431516487680; 13.031312; -2.809174; 4.744967
31431529070592; 13.031312; -2.809174; 4.744967
31431529070592; 13.031312; -2.809174; 4.744967
31431533264896; 13.031312; -2.809174; 4.744967
31431552139264; 13.060026; -1.808974; 3.974478
31431571013632; 13.060026; -1.808974; 3.974478
31431573110784; 13.060026; -1.808974; 3.974478
31431575207936; 13.060026; -1.808974; 3.974478
31431577305088; 13.060026; -1.808974; 3.974478
31431581499392; 13.060026; -1.808974; 3.974478
31431600373760; 14.282759; -0.153141; 2.708675
31431602470912; 14.282759; -0.153141; 2.708675
31431604568064; 14.282759; -0.153141; 2.708675
31431608762368; 14.282759; -0.153141; 2.708675
31431610859520; 14.282759; -0.153141; 2.708675
31431612956672; 14.282759; -0.153141; 2.708675
31431625539584; 14.282759; -0.153141; 2.708675
31431629733888; 14.282759; -0.153141; 2.708675
31431631831040; 14.282759; -0.153141; 2.708675
31431636025344; 14.282759; -0.153141; 2.708675
31431638122496; 14.282759; -0.153141; 2.708675
31431640219648; 14.282759; -0.153141; 2.708675
31431665385472; 12.667603; 2.787638; 1.773082
31431667482624; 12.667603; 2.787638; 1.773082
31431669579776; 12.667603; 2.787638; 1.773082
31431671676928; 12.667603; 2.787638; 1.773082
31431673774080; 12.667603; 2.787638; 1.773082
31431677968384; 12.667603; 2.787638; 1.773082
31431688454144; 12.667603; 2.787638; 1.773082
31431690551296; 12.667603; 2.787638; 1.773082
31431722008576; 10.353744; 3.933800; 0.961915
31431730397184; 10.353744; 3.933800; 0.961915
31431734591488; 10.353744; 3.933800; 0.961915
31431738785792; 10.353744; 3.933800; 0.961915
31431742980096; 10.353744; 3.933800; 0.961915
31431747174400; 10.353744; 3.933800; 0.961915
31431784923136; 8.700303; 2.313859; 1.706083
31431787020288; 8.700303; 2.313859; 1.706083
31431791214592; 8.700303; 2.313859; 1.706083
31431793311744; 8.700303; 2.313859; 1.706083
31431797506048; 8.700303; 2.313859; 1.706083
31431799603200; 8.700303; 2.313859; 1.706083
31431820574720; 8.700303; 2.313859; 1.706083
31431824769024; 8.317451; 0.595813; 2.591427
31431826866176; 8.317451; 0.595813; 2.591427
31431831060480; 8.317451; 0.595813; 2.591427
31431833157632; 8.317451; 0.595813; 2.591427
31431833157632; 8.317451; 0.595813; 2.591427
31431849934848; 8.317451; 0.595813; 2.591427
31431852032000; 8.317451; 0.595813; 2.591427
31431856226304; 8.317451; 0.595813; 2.591427
31431860420608; 8.317451; 0.595813; 2.591427
31431864614912; 8.317451; 0.595813; 2.591427
31431866712064; 8.317451; 0.595813; 2.591427
31431883489280; 7.429714; 0.839881; 1.734796
31431887683584; 7.429714; 0.839881; 1.734796
31431891877888; 7.429714; 0.839881; 1.734796
31431896072192; 7.429714; 0.839881; 1.734796
31431898169344; 7.429714; 0.839881; 1.734796
31431900266496; 7.429714; 0.839881; 1.734796
31431921238016; 7.429714; 0.839881; 1.734796
31431925432320; 7.429714; 0.839881; 1.734796
31431929626624; 7.429714; 0.839881; 1.734796
31431933820928; 9.255438; -1.775474; 3.467200
31431938015232; 9.255438; -1.775474; 3.467200
31431938015232; 9.255438; -1.775474; 3.467200
31431975763968; 9.255438; -1.775474; 3.467200
31431979958272; 8.941978; -1.117448; 1.629512
31431982055424; 8.941978; -1.117448; 1.629512
31431984152576; 8.941978; -1.117448; 1.629512
31432007221248; 8.941978; -1.117448; 1.629512
31432013512704; 8.941978; -1.117448; 1.629512
31432023998464; 8.941978; -1.117448; 1.629512
31432026095616; 8.941978; -1.117448; 1.629512
31432030289920; 8.941978; -1.117448; 1.629512
31432038678528; 10.325029; -2.096113; 0.313460
31432080621568; 10.325029; -2.096113; 0.313460
31432084815872; 10.325029; -2.096113; 0.313460
31432095301632; 10.872986; -1.596013; -1.986043
31432101593088; 10.872986; -1.596013; -1.986043
31432107884544; 10.872986; -1.596013; -1.986043
31432112078848; 10.872986; -1.596013; -1.986043
31432135147520; 10.872986; -1.596013; -1.986043
31432151924736; 12.435499; -1.749153; -0.421137
31432154021888; 12.435499; -1.749153; -0.421137
31432156119040; 12.435499; -1.749153; -0.421137
31432158216192; 12.435499; -1.749153; -0.421137
31432160313344; 12.435499; -1.749153; -0.421137
31432174993408; 12.435499; -1.749153; -0.421137
31432179187712; 12.435499; -1.749153; -0.421137
31432181284864; 12.435499; -1.749153; -0.421137
31432183382016; 12.435499; -1.749153; -0.421137
31432185479168; 12.435499; -1.749153; -0.421137
31432187576320; 12.435499; -1.749153; -0.421137
31432214839296; 16.036697; -0.794417; -0.954736
31432216936448; 16.036697; -0.794417; -0.954736
31432225325056; 17.094324; -0.698704; -0.009571
31432229519360; 17.094324; -0.698704; -0.009571
31432231616512; 17.094324; -0.698704; -0.009571
31432235810816; 17.094324; -0.698704; -0.009571
31432246296576; 17.094324; -0.698704; -0.009571
31432286142464; 23.976084; -2.725425; 4.752146
31432288239616; 23.976084; -2.725425; 4.752146
31432292433920; 23.976084; -2.725425; 4.752146
31432300822528; 23.976084; -2.725425; 4.752146
31432311308288; 23.976084; -2.725425; 4.752146
31432321794048; 24.500111; -3.345166; 6.223732
31432344862720; 24.500111; -3.345166; 6.223732
31432353251328; 24.500111; -3.345166; 6.223732
31432359542784; 24.500111; -3.345166; 6.223732
31432361639936; 24.500111; -3.345166; 6.223732
31432391000064; 24.335007; -1.935794; 6.800402
31432395194368; 24.335007; -1.935794; 6.800402
31432401485824; 24.335007; -1.935794; 6.800402
31432407777280; 24.210579; -1.957329; 5.749953
31432420360192; 24.210579; -1.957329; 5.749953
31432426651648; 23.334806; -1.885544; 5.144569
31432430845952; 23.334806; -1.885544; 5.144569
31432451817472; 21.652653; -1.335195; 4.558327
31432453914624; 21.652653; -1.335195; 4.558327
