time; x; y; z
12038741950464; 0.612563; 1.481157; 9.549755
12038782844928; 0.626920; 0.457029; 10.346565
12038805913600; 0.626920; 0.457029; 10.346565
12038809059328; 0.626920; 0.457029; 10.346565
12038826885120; -0.038285; 1.878366; 9.568898
12038826885120; -0.038285; 1.878366; 9.568898
12038826885120; -0.038285; 1.878366; 9.568898
12038949568512; -0.038285; 1.878366; 9.568898
12038960054272; -0.038285; 1.878366; 9.568898
12038976831488; -0.038285; 1.878366; 9.568898
12038991511552; -0.038285; 1.878366; 9.568898
12039019823104; -0.038285; 1.878366; 9.568898
12039042891776; -0.038285; 1.878366; 9.568898
12039046037504; -0.038285; 1.878366; 9.568898
12039063863296; -0.038285; 1.878366; 9.568898
12039065960448; -0.038285; 1.878366; 9.568898
12039081689088; -0.038285; 1.878366; 9.568898
12039082737664; -0.038285; 1.878366; 9.568898
