time; x; y; z
32293588566016; -0.157926; 4.575077; 8.207381
32293592760320; -0.157926; 4.575077; 8.207381
32293603246080; -0.157926; 4.575077; 8.207381
32293605343232; -0.157926; 4.575077; 8.207381
32293613731840; -0.157926; 4.575077; 8.207381
32293622120448; -0.157926; 4.575077; 8.207381
32293651480576; -0.401994; 4.828716; 8.477771
32293653577728; -0.401994; 4.828716; 8.477771
32293664063488; -0.401994; 4.828716; 8.477771
32293670354944; -0.401994; 4.828716; 8.477771
32293672452096; -0.401994; 4.828716; 8.477771
32293674549248; -0.401994; 4.828716; 8.477771
32293716492288; -0.502493; 4.883751; 8.779266
32293720686592; -0.502493; 4.883751; 8.779266
32293724880896; -0.502493; 4.883751; 8.779266
32293729075200; -0.502493; 4.883751; 8.779266
32293735366656; -0.502493; 4.883751; 8.779266
32293739560960; -0.502493; 4.883751; 8.779266
32293762629632; -0.406780; 4.668397; 8.863015
32293768921088; -0.406780; 4.668397; 8.863015
32293768921088; -0.406780; 4.668397; 8.863015
32293773115392; -0.406780; 4.668397; 8.863015
32293777309696; -0.406780; 4.668397; 8.863015
32293785698304; -0.406780; 4.668397; 8.863015
32293819252736; -0.524028; 4.826324; 8.774481
32293821349888; -0.524028; 4.826324; 8.774481
32293825544192; -0.524028; 4.826324; 8.774481
32293831835648; -0.524028; 4.826324; 8.774481
32293838127104; -0.524028; 4.826324; 8.774481
32293840224256; -0.524028; 4.826324; 8.774481
32293875875840; -0.559920; 4.910072; 8.542377
32293880070144; -0.559920; 4.910072; 8.542377
32293884264448; -0.559920; 4.910072; 8.542377
32293886361600; -0.559920; 4.910072; 8.542377
32293888458752; -0.559920; 4.910072; 8.542377
32293892653056; -0.559920; 4.910072; 8.542377
32293934596096; -0.748953; 4.850252; 8.413164
32293942984704; -0.748953; 4.850252; 8.413164
32293951373312; -0.748953; 4.850252; 8.413164
32293953470464; -0.748953; 4.850252; 8.413164
32293955567616; -0.748953; 4.850252; 8.413164
32293961859072; -0.748953; 4.850252; 8.413164
32293993316352; -1.014557; 4.725825; 8.054241
32294001704960; -1.014557; 4.725825; 8.054241
32294016385024; -1.014557; 4.725825; 8.054241
32294018482176; -1.014557; 4.725825; 8.054241
32294020579328; -1.014557; 4.725825; 8.054241
32294024773632; -1.014557; 4.725825; 8.054241
32294049939456; -1.560120; 4.845466; 7.312466
32294054133760; -1.560120; 4.845466; 7.312466
32294064619520; -1.560120; 4.845466; 7.312466
32294068813824; -1.560120; 4.845466; 7.312466
32294070910976; -1.560120; 4.845466; 7.312466
32294070910976; -1.560120; 4.845466; 7.312466
32294110756864; -2.110470; 4.816752; 6.501299
