time; x; y; z
29982321541120; -1.940579; 2.225325; 9.276974
29982327832576; -1.940579; 2.225325; 9.276974
29982327832576; -1.940579; 2.225325; 9.276974
29982342512640; -2.041078; 2.112862; 9.451650
29982344609792; -2.041078; 2.112862; 9.451650
29982373969920; -2.041078; 2.112862; 9.451650
29982445273088; -2.103291; 2.134398; 9.497113
29982491410432; -2.103291; 2.134398; 9.497113
29982493507584; -2.103291; 2.134398; 9.497113
29982503993344; -2.189433; 2.213361; 9.346365
29982508187648; -2.189433; 2.213361; 9.346365
29982522867712; -2.189433; 2.213361; 9.346365
29982560616448; -2.100898; 2.122434; 9.406186
29982589976576; -2.218147; 2.141576; 9.324830
29982604656640; -2.218147; 2.141576; 9.324830
29982621433856; -2.218147; 2.141576; 9.324830
29982625628160; -2.189433; 2.079363; 9.303294
29982657085440; -2.244468; 2.110470; 9.226724
29982669668352; -2.244468; 2.110470; 9.226724
29982673862656; -2.244468; 2.110470; 9.226724
29982675959808; -2.244468; 2.110470; 9.226724
29982684348416; -2.244468; 2.110470; 9.226724
29982688542720; -2.550749; 2.371287; 8.726624
29982690639872; -2.550749; 2.371287; 8.726624
29982701125632; -2.550749; 2.371287; 8.726624
29982703222784; -2.550749; 2.371287; 8.726624
29982707417088; -2.550749; 2.371287; 8.726624
29982717902848; -2.550749; 2.371287; 8.726624
29982720000000; -2.550749; 2.371287; 8.726624
29982722097152; -2.550749; 2.371287; 8.726624
29982722097152; -2.550749; 2.371287; 8.726624
29982736777216; -2.550749; 2.371287; 8.726624
29982736777216; -2.550749; 2.371287; 8.726624
29982751457280; -3.775874; 3.132205; 7.779067
29982757748736; -3.775874; 3.132205; 7.779067
29982766137344; -3.775874; 3.132205; 7.779067
29982772428800; -3.775874; 3.132205; 7.779067
29982789206016; -3.775874; 3.132205; 7.779067
29982793400320; -3.775874; 3.132205; 7.779067
29982799691776; -3.775874; 3.132205; 7.779067
29982805983232; -4.785645; 3.333202; 6.391229
29982810177536; -4.785645; 3.333202; 6.391229
29982826954752; -4.785645; 3.333202; 6.391229
29982835343360; -4.785645; 3.333202; 6.391229
29982837440512; -4.785645; 3.333202; 6.391229
29982843731968; -4.785645; 3.333202; 6.391229
29982854217728; -4.785645; 3.333202; 6.391229
29982864703488; -5.570491; 1.423729; 6.975078
29982938103808; -6.398408; -1.521835; 5.931808
29982952783872; -6.398408; -1.521835; 5.931808
29982967463936; -6.398408; -1.521835; 5.931808
29982980046848; -8.384451; -6.285945; 3.967300
29982982144000; -8.384451; -6.285945; 3.967300
29982998921216; -8.384451; -6.285945; 3.967300
29983055544320; -8.508878; -9.327223; 0.579063
29983061835776; -8.508878; -9.327223; 0.579063
29983074418688; -9.576077; -7.948957; -3.189633
29983080710144; -9.576077; -7.948957; -3.189633
29983089098752; -9.576077; -7.948957; -3.189633
29983093293056; -9.576077; -7.948957; -3.189633
29983131041792; -10.040284; -4.484149; -5.840880
29983137333248; -10.040284; -4.484149; -5.840880
29983160401920; -10.040284; -4.484149; -5.840880
29983164596224; -10.040284; -4.484149; -5.840880
29983166693376; -10.040284; -4.484149; -5.840880
29983191859200; -12.758531; -5.197211; -5.651847
29983235899392; -12.971492; -4.953143; -6.362515
29983237996544; -12.971492; -4.953143; -6.362515
29983256870912; -12.971492; -4.953143; -6.362515
29983273648128; -10.758131; -8.329415; -10.660025
29983275745280; -10.758131; -8.329415; -10.660025
29983288328192; -10.758131; -8.329415; -10.660025
29983298813952; -9.159725; -11.334801; -8.985049
29983370117120; -5.515456; -11.172089; -14.651253
29983374311424; -4.043870; -11.373086; -15.316458
29983380602880; -4.043870; -11.373086; -15.316458
29983409963008; -3.048456; -10.853844; -15.649060
29983418351616; -1.708475; -9.087940; -16.606190
29983441420288; 1.284946; -6.254838; -17.953348
29983454003200; 3.847659; -5.668597; -18.912870
29983470780416; 4.113262; -4.998607; -17.967705
29983472877568; 4.113262; -4.998607; -17.967705
29983477071872; 4.113262; -4.998607; -17.967705
29983485460480; 4.113262; -4.998607; -17.967705
29983491751936; 3.979264; -4.768896; -16.426727
29983495946240; 3.979264; -4.768896; -16.426727
29983502237696; 3.979264; -4.768896; -16.426727
29983506432000; 3.979264; -4.768896; -16.426727
29983537889280; 5.802595; -4.290331; -13.485949
29983542083584; 5.802595; -4.290331; -13.485949
29983544180736; 5.802595; -4.290331; -13.485949
29983560957952; 6.506085; -3.098705; -11.657832
29983563055104; 6.506085; -3.098705; -11.657832
29983579832320; 5.723632; -2.691926; -9.511470
29983602900992; 4.474578; -2.038685; -7.640283
29983609192448; 2.775674; -2.026721; -6.017949
29983613386752; 2.775674; -2.026721; -6.017949
29983615483904; 2.775674; -2.026721; -6.017949
29983619678208; 2.775674; -2.026721; -6.017949
29983628066816; 1.835295; -1.512264; -5.532206
29983640649728; 1.835295; -1.512264; -5.532206
29983663718400; 0.236889; -0.452243; -4.508078
29983670009856; 0.236889; -0.452243; -4.508078
29983672107008; 0.236889; -0.452243; -4.508078
29983686787072; -0.882952; -0.145962; -4.065406
29983695175680; -0.882952; -0.145962; -4.065406
29983697272832; -0.882952; -0.145962; -4.065406
29983701467136; -0.882952; -0.145962; -4.065406
29983703564288; -2.342573; -0.524028; -3.419343
29983709855744; -2.342573; -0.524028; -3.419343
29983716147200; -2.342573; -0.524028; -3.419343
29983724535808; -2.909672; -1.213161; -2.739782
29983728730112; -2.909672; -1.213161; -2.739782
29983730827264; -2.909672; -1.213161; -2.739782
29983735021568; -2.909672; -1.213161; -2.739782
29983745507328; -3.091527; -1.442872; -1.914258
29983747604480; -3.091527; -1.442872; -1.914258
29983760187392; -3.986443; -1.275374; -1.170090
29983762284544; -3.986443; -1.275374; -1.170090
29983766478848; -3.986443; -1.275374; -1.170090
29983793741824; -4.321438; -2.007578; -0.119641
29983823101952; -5.534599; -4.254439; 1.746760
29983825199104; -5.534599; -4.254439; 1.746760
29983839879168; -5.321638; -5.288138; 2.115255
29983869239296; -4.780859; -4.936393; 1.976472
29983875530752; -5.142176; -4.378865; 1.677369
29983894405120; -5.142176; -4.378865; 1.677369
29983915376640; -6.429514; -6.965507; 1.557728
29983936348160; -5.649454; -7.255038; 1.828117
29983953125376; -4.316652; -6.563512; 1.610370
29983980388352; -4.723432; -5.261817; 1.244268
29984009748480; -5.814559; -5.278567; 1.086342
29984028622848; -5.783453; -6.687939; 1.990828
29984066371584; -6.549156; -6.659225; 0.954736
29984076857344; -8.123632; -6.163911; 1.050449
29984093634560; -9.841680; -5.864808; 1.655833
29984108314624; -10.875379; -5.788238; 2.318645
29984112508928; -10.875379; -5.788238; 2.318645
29984120897536; -10.875379; -5.788238; 2.318645
29984133480448; -12.105289; -5.453243; 0.689133
29984139771904; -12.105289; -5.453243; 0.689133
29984169132032; -15.055640; -5.687739; 0.040678
29984192200704; -16.955542; -3.862016; 1.191626
29984200589312; -16.955542; -3.862016; 1.191626
29984211075072; -18.685553; -3.134598; 0.303888
29984229949440; -20.973091; -4.326223; -3.689733
29984238338048; -20.973091; -4.326223; -3.689733
29984259309568; -22.746172; -6.403193; -4.986642
29984271892480; -22.762922; -10.291531; -2.574677
29984280281088; -24.480968; -8.669196; -0.875773
29984292864000; -24.480968; -8.669196; -0.875773
29984301252608; -25.021746; -10.470992; 0.229711
29984311738368; -25.021746; -10.470992; 0.229711
29984368361472; -26.328228; -18.266808; -1.201197
29984378847232; -23.114666; -21.669401; 2.835495
29984395624448; -21.430120; -20.401205; 1.548156
29984404013056; -21.430120; -20.401205; 1.548156
29984435470336; -17.752352; -20.937199; -1.007378
29984443858944; -17.752352; -20.937199; -1.007378
29984469024768; -15.828522; -19.716858; -2.969493
29984485801984; -14.866607; -15.373885; -3.414558
29984515162112; -14.866607; -15.373885; -3.414558
29984540327936; -14.835501; -16.503298; -1.739582
29984552910848; -14.835501; -16.503298; -1.739582
29984563396608; -14.835501; -16.503298; -1.739582
29984571785216; -14.469398; -15.218352; -2.950350
29984584368128; -14.469398; -15.218352; -2.950350
29984592756736; -14.469398; -15.218352; -2.950350
29984609533952; -12.330215; -15.146567; -4.503292
29984624214016; -12.330215; -15.146567; -4.503292
29984626311168; -12.330215; -15.146567; -4.503292
29984636796928; -9.032906; -13.485949; -4.426722
29984649379840; -9.032906; -13.485949; -4.426722
29984678739968; 0.394816; -3.649055; -2.024328
29984685031424; 0.394816; -3.649055; -2.024328
29984693420032; 0.959522; -3.907479; -1.785046
29984714391552; 1.538585; -4.144369; -3.034099
29984720683008; 1.538585; -4.144369; -3.034099
29984735363072; 2.579463; -4.486542; -2.557927
