time; x; y; z
82778414645248; -1.263410; 2.507678; 9.420543
82778439811072; -1.263410; 2.507678; 9.420543
82778439811072; -1.263410; 2.507678; 9.420543
82778464976896; -1.426122; 2.538785; 9.339187
82778473365504; -1.426122; 2.538785; 9.339187
82778481754112; -1.426122; 2.538785; 9.339187
82778506919936; -1.426122; 2.538785; 9.339187
82778548862976; -1.409373; 2.426322; 9.497113
82778557251584; -1.409373; 2.426322; 9.497113
82778574028800; -1.280160; 2.263610; 9.454042
82778582417408; -1.280160; 2.263610; 9.454042
82778590806016; -1.280160; 2.263610; 9.454042
82778641137664; -1.378266; 2.471786; 9.379865
82778641137664; -1.378266; 2.471786; 9.379865
82778657914880; -1.378266; 2.471786; 9.379865
82778657914880; -1.378266; 2.471786; 9.379865
82778683080704; -1.378266; 2.471786; 9.379865
82778708246528; -1.493121; 2.342573; 9.382257
82778741800960; -1.493121; 2.342573; 9.382257
82778750189568; -2.364109; 2.744568; 8.956335
82778758578176; -2.364109; 2.744568; 8.956335
82778766966784; -2.684747; 3.024528; 8.678768
82778766966784; -2.684747; 3.024528; 8.678768
82778766966784; -2.684747; 3.024528; 8.678768
82778783744000; -2.684747; 3.024528; 8.678768
82778792132608; -2.684747; 3.024528; 8.678768
82778792132608; -2.684747; 3.024528; 8.678768
82778792132608; -2.684747; 3.024528; 8.678768
82778792132608; -2.684747; 3.024528; 8.678768
82778808909824; -3.854837; 3.218346; 6.888937
82778808909824; -3.854837; 3.218346; 6.888937
82778808909824; -3.854837; 3.218346; 6.888937
82778817298432; -3.854837; 3.218346; 6.888937
82778817298432; -3.854837; 3.218346; 6.888937
82778817298432; -3.854837; 3.218346; 6.888937
82778825687040; -3.854837; 3.218346; 6.888937
82778842464256; -3.854837; 3.218346; 6.888937
82778842464256; -3.854837; 3.218346; 6.888937
82778842464256; -3.854837; 3.218346; 6.888937
82778850852864; -3.854837; 3.218346; 6.888937
82778850852864; -3.780660; 1.813760; 5.575277
