time; x; y; z
29859067723776; -1.112663; 2.189433; 9.544970
29859078209536; -1.112663; 2.189433; 9.544970
29859082403840; -1.112663; 2.189433; 9.544970
29859086598144; -1.112663; 2.189433; 9.544970
29859090792448; -1.112663; 2.189433; 9.544970
29859099181056; -1.038485; 2.306681; 9.518648
29859229204480; -1.062413; 2.328216; 9.525827
29859254370304; -1.062413; 2.328216; 9.525827
29859275341824; -1.067199; 2.167897; 9.482756
29859290021888; -1.067199; 2.167897; 9.482756
29859310993408; -1.067199; 2.167897; 9.482756
29859323576320; -1.067199; 2.167897; 9.482756
29859325673472; -1.067199; 2.167897; 9.482756
29859346644992; -1.146162; 2.215754; 9.439685
29859350839296; -1.146162; 2.215754; 9.439685
29859359227904; -1.146162; 2.215754; 9.439685
29859361325056; -1.146162; 2.215754; 9.439685
29859367616512; -1.146162; 2.215754; 9.439685
29859373907968; -1.146162; 2.215754; 9.439685
29859378102272; -1.146162; 2.215754; 9.439685
29859382296576; -1.146162; 2.215754; 9.439685
29859390685184; -1.170090; 2.196611; 9.434899
29859392782336; -1.170090; 2.196611; 9.434899
29859394879488; -1.170090; 2.196611; 9.434899
29859399073792; -1.170090; 2.196611; 9.434899
29859415851008; -1.170090; 2.196611; 9.434899
29859424239616; -1.170090; 2.196611; 9.434899
29859426336768; -1.170090; 2.196611; 9.434899
29859428433920; -1.170090; 2.196611; 9.434899
29859432628224; -1.170090; 2.196611; 9.434899
29859432628224; -1.170090; 2.196611; 9.434899
29859451502592; -1.225125; 2.356930; 8.973084
29859455696896; -1.225125; 2.356930; 8.973084
29859457794048; -1.225125; 2.356930; 8.973084
29859459891200; -1.225125; 2.356930; 8.973084
29859461988352; -1.225125; 2.356930; 8.973084
29859466182656; -1.225125; 2.356930; 8.973084
29859506028544; -1.225125; 2.356930; 8.973084
29859524902912; -1.667797; 2.488536; 8.556734
29859527000064; -1.667797; 2.488536; 8.556734
29859539582976; -1.667797; 2.488536; 8.556734
29859545874432; -1.667797; 2.488536; 8.556734
29859554263040; -1.667797; 2.488536; 8.556734
29859612983296; -3.443272; 2.670390; 6.771688
29859619274752; -3.443272; 2.670390; 6.771688
29859623469056; -3.443272; 2.670390; 6.771688
29859629760512; -3.443272; 2.670390; 6.771688
29859631857664; -3.443272; 2.670390; 6.771688
29859636051968; -3.443272; 2.670390; 6.771688
29859659120640; -3.443272; 2.670390; 6.771688
29859663314944; -4.170690; 1.040878; 6.817152
29859665412096; -4.170690; 1.040878; 6.817152
29859671703552; -4.170690; 1.040878; 6.817152
29859673800704; -4.170690; 1.040878; 6.817152
29859673800704; -4.170690; 1.040878; 6.817152
29859698966528; -4.170690; 1.040878; 6.817152
29859707355136; -4.170690; 1.040878; 6.817152
29859711549440; -4.170690; 1.040878; 6.817152
29859715743744; -4.170690; 1.040878; 6.817152
29859719938048; -5.714060; -1.562513; 7.767102
29859724132352; -5.714060; -1.562513; 7.767102
29859728326656; -5.714060; -1.562513; 7.767102
29859738812416; -5.714060; -1.562513; 7.767102
29859740909568; -5.714060; -1.562513; 7.767102
29859784949760; -7.728817; -3.751946; 5.589633
29859820601344; -7.728817; -3.751946; 5.589633
29859837378560; -7.980063; -8.791230; 0.246461
29859852058624; -7.980063; -8.791230; 0.246461
29859873030144; -7.980063; -8.791230; 0.246461
29859875127296; -7.980063; -8.791230; 0.246461
29859883515904; -7.980063; -8.791230; 0.246461
29859908681728; -7.467999; -10.607383; -5.635098
29859914973184; -7.467999; -10.607383; -5.635098
29859927556096; -7.467999; -10.607383; -5.635098
29859931750400; -7.467999; -10.607383; -5.635098
29859935944704; -7.467999; -10.607383; -5.635098
29859938041856; -7.467999; -10.607383; -5.635098
29859963207680; -7.097112; -9.858429; -9.037691
29859969499136; -7.097112; -9.858429; -9.037691
29859973693440; -7.097112; -9.858429; -9.037691
29859977887744; -7.097112; -9.858429; -9.037691
29859984179200; -7.097112; -9.858429; -9.037691
29859994664960; -6.912865; -7.609176; -8.922835
29860047093760; -7.283752; -5.666204; -8.640483
29860053385216; -7.283752; -5.666204; -8.640483
29860082745344; -6.917650; -6.812366; -9.305687
29860097425408; -6.917650; -6.812366; -9.305687
29860120494080; -4.771288; -7.133004; -6.960721
29860122591232; -4.771288; -7.133004; -6.960721
29860193894400; -1.619941; -11.887543; -7.846066
29860198088704; -1.201197; -14.830715; -7.369894
29860202283008; -1.201197; -14.830715; -7.369894
29860225351680; -0.727418; -15.775880; -8.709874
29860227448832; -0.727418; -15.775880; -8.709874
29860229545984; -0.727418; -15.775880; -8.709874
29860252614656; 0.401994; -15.778273; -11.741581
29860261003264; 1.086342; -15.476777; -12.997812
29860271489024; 1.086342; -15.476777; -12.997812
29860277780480; 1.093520; -13.445271; -13.722837
29860279877632; 1.093520; -13.445271; -13.722837
29860281974784; 1.093520; -13.445271; -13.722837
29860300849152; 2.610569; -12.282358; -14.333008
29860305043456; 2.610569; -12.282358; -14.333008
29860305043456; 2.610569; -12.282358; -14.333008
29860309237760; 2.610569; -12.282358; -14.333008
29860317626368; 4.010371; -10.289138; -16.634903
29860321820672; 4.010371; -10.289138; -16.634903
29860326014976; 4.010371; -10.289138; -16.634903
29860328112128; 4.010371; -10.289138; -16.634903
29860330209280; 4.010371; -10.289138; -16.634903
29860338597888; 4.606184; -9.633504; -16.852650
29860340695040; 4.606184; -9.633504; -16.852650
29860344889344; 4.606184; -9.633504; -16.852650
29860355375104; 4.969893; -8.559127; -15.596418
29860355375104; 4.969893; -8.559127; -15.596418
29860359569408; 4.969893; -8.559127; -15.596418
29860361666560; 4.969893; -8.559127; -15.596418
29860365860864; 4.969893; -8.559127; -15.596418
29860376346624; 5.687739; -6.769295; -14.550755
29860378443776; 5.687739; -6.769295; -14.550755
29860380540928; 5.687739; -6.769295; -14.550755
29860386832384; 5.687739; -6.769295; -14.550755
29860395220992; 6.096912; -6.209375; -14.100904
29860405706752; 6.096912; -6.209375; -14.100904
29860409901056; 6.312266; -5.063213; -13.179667
29860418289664; 6.312266; -5.063213; -13.179667
29860430872576; 6.369694; -4.551149; -12.026326
29860445552640; 6.369694; -4.551149; -12.026326
29860458135552; 5.860023; -3.617948; -11.097912
29860470718464; 5.161318; -2.952743; -10.442278
29860483301376; 5.161318; -2.952743; -10.442278
29860495884288; 3.948157; -2.455036; -10.009177
29860500078592; 3.948157; -2.455036; -10.009177
29860508467200; 2.344966; -2.780460; -9.061620
29860516855808; 2.344966; -2.780460; -9.061620
29860554604544; -0.612563; -3.067599; -6.482157
29860565090304; -0.612563; -3.067599; -6.482157
29860588158976; -0.612563; -3.067599; -6.482157
29860594450432; -0.612563; -3.067599; -6.482157
29860596547584; -0.612563; -3.067599; -6.482157
29860625907712; -1.830509; -2.935993; -5.814559
29860644782080; -2.983850; -1.342373; -5.804988
29860646879232; -2.983850; -1.342373; -5.804988
29860676239360; -3.735196; -1.416551; -5.027320
29860705599488; -3.548556; -2.297110; -0.937986
29860716085248; -3.548556; -2.297110; -0.937986
29860728668160; -1.710868; -2.445465; 2.873780
29860737056768; -1.710868; -2.445465; 2.873780
29860743348224; -1.806581; -2.443072; 2.263610
29860764319744; -2.268396; -3.125026; 1.421337
29860774805504; -2.268396; -3.125026; 1.421337
29860787388416; -3.314059; -4.010371; 1.844866
29860797874176; -4.029513; -4.656433; 2.926422
29860818845696; -4.266403; -6.123233; 3.455236
29860837720064; -3.766303; -6.750153; 4.429115
29860860788736; -4.309474; -6.541977; 4.462614
29860888051712; -4.666004; -6.867401; 3.550949
29860894343168; -5.450850; -6.156733; 2.600998
29860913217536; -6.120841; -6.199803; 2.694318
29860934189056; -7.324430; -6.580262; 2.392823
29860953063424; -7.697711; -6.900900; 1.251446
29860971937792; -7.575676; -8.003992; 1.976472
29860990812160; -8.456235; -8.221739; 1.648655
29861011783680; -9.544970; -7.960921; 1.160519
29861030658048; -10.478170; -8.166703; -0.119641
29861049532416; -11.870793; -9.198010; -1.540978
29861072601088; -13.335200; -10.059426; -2.098505
29861089378304; -15.072390; -10.090533; -1.744368
29861108252672; -16.436298; -10.595419; -1.447658
29861127127040; -16.450655; -9.891929; -1.739582
29861146001408; -16.666010; -9.623933; -3.488735
29861166972928; -17.647066; -8.834301; -5.749953
29861185847296; -17.905493; -8.068598; -7.022934
29861204721664; -16.895721; -7.441679; -6.592227
29861223596032; -16.462620; -7.288538; -5.673382
29861242470400; -15.589239; -8.516056; -5.886343
29861263441920; -14.761323; -7.381858; -6.427122
29861280219136; -13.406985; -8.573483; -7.975278
29861301190656; -13.115061; -10.360922; -8.135597
29861320065024; -12.799209; -8.147561; -8.513663
29861341036544; -12.823136; -9.978070; -6.113662
29861357813760; -11.688938; -11.992827; -6.979864
29861376688128; -12.004791; -12.758531; -6.412765
29861397659648; -12.830315; -14.378471; -5.170890
29861416534016; -14.306686; -14.694324; -4.448257
29861437505536; -14.495720; -13.852050; -3.218346
29861456379904; -14.947963; -13.052848; -1.110270
29861473157120; -15.775880; -10.712667; -0.466600
29861494128640; -15.625132; -12.196217; 1.390230
29861513003008; -14.756537; -10.542776; 1.311267
29861531877376; -12.653246; -8.528020; 1.244268
29861552848896; -10.832308; -9.367901; 0.284746
29861569626112; -9.080762; -8.657232; 0.334995
29861590597632; -6.946364; -7.128219; 0.806381
29861609472000; -5.596812; -7.592426; 0.923630
29861628346368; -4.520042; -6.927222; 0.952343
29861647220736; -2.943172; -6.156733; 0.095713
29861668192256; -1.746760; -6.077769; -0.784846
29861687066624; -0.658026; -5.458028; -0.760918
29861705940992; 0.318245; -3.507878; -0.404387
29861724815360; 0.827917; -1.179662; -0.468993
29861745786880; 1.129412; -1.837688; -0.390030
29861764661248; 1.280160; -3.938586; -0.507278
29861783535616; 1.272982; -3.845266; -0.437887
29861802409984; 1.105484; -3.510271; -0.354138
29861821284352; 0.679562; -2.280360; -0.722632
29861842255872; -0.681954; -3.481557; -1.354338
29861861130240; -2.038685; -5.429315; -2.349752
29861880004608; -2.292324; -7.121040; -3.495914
29861900976128; -1.818545; -7.424929; -3.778267
29861921947648; -0.653241; -6.802795; -4.429115
29861938724864; 0.086142; -7.231110; -5.185246
29861955502080; -0.260818; -10.427921; -4.974678
29861976473600; -1.074377; -9.944571; -5.747560
29861995347968; -2.321038; -14.459827; -5.261817
29862014222336; -1.854438; -18.443876; -3.507878
29862033096704; -2.852245; -17.130217; -2.464607
29862054068224; -2.801995; -16.936399; -2.450250
29862072942592; -2.701497; -15.469599; -0.801596
29862091816960; -3.438486; -15.400207; 1.064806
29862110691328; -3.816552; -16.505692; 2.110470
29862129565696; -5.663811; -14.756537; 0.672383
29862156828672; -8.171490; -16.005590; 0.136391
