time; x; y; z
11947234820096; 9.590433; -0.978664; -1.093520
11947236917248; 9.590433; -0.978664; -1.093520
11947267325952; 9.533006; -0.981057; -1.110270
11947270471680; 9.533006; -0.981057; -1.110270
11947289346048; 9.607183; -1.057628; -1.048056
11947293540352; 9.568898; -1.026521; -1.122234
11947304026112; 9.568898; -1.026521; -1.122234
11947319754752; 9.559326; -0.993021; -1.091127
11947330240512; 9.576077; -1.002593; -1.093520
11947348066304; 9.470792; -1.016950; -1.093520
11947370086400; 9.372686; -0.981057; -0.971486
11947388960768; 9.664611; -0.988236; -1.136591
11947407835136; 9.755538; -0.973879; -1.198804
11947426709504; 9.688539; -1.016950; -1.143769
11947447681024; 9.497113; -1.117448; -1.043271
11947464458240; 9.389436; -1.158126; -1.002593
11947483332608; 9.463614; -1.060020; -1.098306
11947503255552; 9.363115; -1.112663; -1.007378
11947523178496; 9.375079; -1.196411; -1.036092
11947541004288; 9.461221; -1.131805; -1.191626
11947577704448; 9.186047; -1.612762; -1.009771
11947585044480; 9.186047; -1.612762; -1.009771
11947601821696; 8.953942; -2.012364; -0.519243
11947619647488; 8.939586; -2.411965; -0.334995
11947638521856; 9.068798; -2.684747; -0.466600
11947662639104; 9.212367; -2.993421; -1.033699
11947680464896; 9.549755; -3.510271; -1.060020
11947700387840; 9.564112; -4.338187; -0.792024
11947721359360; 9.463614; -4.788038; -0.366102
11947734990848; 9.028120; -4.996214; -0.332602
11947755962368; 8.944371; -4.962714; -0.507278
11947772739584; 8.932407; -4.845466; -0.775275
11947792662528; 8.860622; -5.005785; -0.557528
11947815731200; 8.918050; -5.606383; -0.210568
11947829362688; 8.932407; -5.747560; -0.339781
11947849285632; 8.863015; -5.807381; -0.796810
11947868160000; 8.898908; -6.022735; -0.780060
11947888082944; 9.346365; -6.659225; -0.591027
11947910103040; 10.068997; -7.216753; -0.507278
11947928977408; 11.112268; -7.362715; -0.854238
11947946803200; 12.335001; -7.456035; -1.569692
11947969871872; 13.572090; -8.140383; -1.962115
11947995037696; 14.565111; -9.233903; -1.548156
11948005523456; 15.376278; -9.384650; -1.158126
11948022300672; 15.818951; -9.346365; -1.375873
11948050612224; 16.529619; -10.597812; -1.679762
11948070535168; 16.555941; -12.019148; -0.457029
11948082069504; 15.811772; -12.823136; 1.174876
11948109332480; 15.893128; -13.067204; 0.928415
11948139741184; 17.438892; -12.222538; -0.689133
11948155469824; 17.106289; -11.911471; -0.684347
