time; x; y; z
31687224328192; 1.512264; 2.852245; 9.439685
31687243202560; 1.512264; 2.852245; 9.439685
31687245299712; 1.512264; 2.852245; 9.439685
31687262076928; 1.512264; 2.852245; 9.439685
31687276756992; 1.493121; 2.912065; 9.296116
31687280951296; 1.493121; 2.912065; 9.296116
31687291437056; 1.493121; 2.912065; 9.296116
31687291437056; 1.493121; 2.912065; 9.296116
31687297728512; 1.493121; 2.912065; 9.296116
31687314505728; 1.493121; 2.912065; 9.296116
31687394197504; 1.399801; 2.801995; 9.274581
31687408877568; 1.399801; 2.801995; 9.274581
31687415169024; 1.399801; 2.801995; 9.274581
31687446626304; 1.430908; 2.780460; 9.123833
31687475986432; 1.430908; 2.780460; 9.123833
31687478083584; 1.430908; 2.780460; 9.123833
31687505346560; 2.165504; 2.730211; 8.659625
31687513735168; 2.165504; 2.730211; 8.659625
31687524220928; 2.165504; 2.730211; 8.659625
31687524220928; 2.165504; 2.730211; 8.659625
31687528415232; 2.165504; 2.730211; 8.659625
31687530512384; 2.165504; 2.730211; 8.659625
31687536803840; 2.165504; 2.730211; 8.659625
31687540998144; 2.165504; 2.730211; 8.659625
31687543095296; 2.165504; 2.730211; 8.659625
31687545192448; 2.165504; 2.730211; 8.659625
31687559872512; 3.498307; 3.218346; 7.037292
31687561969664; 3.498307; 3.218346; 7.037292
31687570358272; 3.498307; 3.218346; 7.037292
31687574552576; 3.498307; 3.218346; 7.037292
31687576649728; 3.498307; 3.218346; 7.037292
31687578746880; 3.498307; 3.218346; 7.037292
31687589232640; 3.498307; 3.218346; 7.037292
31687593426944; 3.498307; 3.218346; 7.037292
31687612301312; 4.752146; 2.691926; 4.467400
31687620689920; 4.752146; 2.691926; 4.467400
31687635369984; 4.752146; 2.691926; 4.467400
31687637467136; 4.752146; 2.691926; 4.467400
31687639564288; 4.752146; 2.691926; 4.467400
31687647952896; 4.752146; 2.691926; 4.467400
31687658438656; 4.752146; 2.691926; 4.467400
31687668924416; 5.627919; 1.383052; 3.543770
31687671021568; 5.627919; 1.383052; 3.543770
31687677313024; 5.627919; 1.383052; 3.543770
31687681507328; 5.627919; 1.383052; 3.543770
31687733936128; 7.700103; -1.055235; 4.680361
31687742324736; 7.700103; -1.055235; 4.680361
31687748616192; 7.700103; -1.055235; 4.680361
31687757004800; 7.700103; -1.055235; 4.680361
31687765393408; 7.700103; -1.055235; 4.680361
31687767490560; 7.700103; -1.055235; 4.680361
31687807336448; 9.578469; -3.560520; 4.096512
31687815725056; 9.578469; -3.560520; 4.096512
31687819919360; 9.578469; -3.560520; 4.096512
31687822016512; 9.578469; -3.560520; 4.096512
31687830405120; 9.578469; -3.560520; 4.096512
31687842988032; 11.148161; -7.408179; 2.589034
31687851376640; 11.148161; -7.408179; 2.589034
31687857668096; 11.148161; -7.408179; 2.589034
31687861862400; 11.148161; -7.408179; 2.589034
31687878639616; 11.148161; -7.408179; 2.589034
31687880736768; 11.148161; -7.408179; 2.589034
31687887028224; 11.148161; -7.408179; 2.589034
31687903805440; 11.676974; -10.463814; 0.126820
31687916388352; 11.676974; -10.463814; 0.126820
31687922679808; 11.676974; -10.463814; 0.126820
31687926874112; 11.676974; -10.463814; 0.126820
31687937359872; 11.471191; -11.602797; -2.108077
31687945748480; 11.471191; -11.602797; -2.108077
31687966720000; 11.471191; -11.602797; -2.108077
31687975108608; 11.471191; -11.602797; -2.108077
31687979302912; 11.471191; -11.602797; -2.108077
31687983497216; 11.471191; -11.602797; -2.108077
31687985594368; 11.471191; -11.602797; -2.108077
31687989788672; 11.471191; -11.602797; -2.108077
31688021245952; 9.267402; -10.013963; -5.776274
31688031731712; 9.267402; -10.013963; -5.776274
31688038023168; 9.267402; -10.013963; -5.776274
31688048508928; 9.267402; -10.013963; -5.776274
31688050606080; 9.267402; -10.013963; -5.776274
31688052703232; 9.267402; -10.013963; -5.776274
31688084160512; 8.346166; -8.977871; -7.341180
31688088354816; 8.346166; -8.977871; -7.341180
31688094646272; 8.346166; -8.977871; -7.341180
31688107229184; 7.456035; -8.965906; -7.448857
31688191115264; 4.881358; -10.219746; -6.039485
31688197406720; 4.414758; -10.212567; -6.958328
31688201601024; 4.414758; -10.212567; -6.958328
31688203698176; 4.414758; -10.212567; -6.958328
31688212086784; 5.812166; -13.122239; -7.764709
31688216281088; 5.812166; -13.122239; -7.764709
31688216281088; 5.812166; -13.122239; -7.764709
31688239349760; 6.396015; -13.931013; -9.777073
31688241446912; 6.396015; -13.931013; -9.777073
31688247738368; 6.396015; -13.931013; -9.777073
31688251932672; 7.549356; -15.601204; -11.325230
