time; x; y; z
25437828808704; 0.528814; 3.445665; 9.154940
25437860265984; 0.528814; 3.445665; 9.154940
25437879140352; 0.380459; 3.335595; 9.253045
25437883334656; 0.380459; 3.335595; 9.253045
25437916889088; 0.380459; 3.335595; 9.253045
25437923180544; 0.380459; 3.335595; 9.253045
25438000775168; 0.267996; 3.436093; 9.430114
25438019649536; 0.267996; 3.436093; 9.430114
25438032232448; 0.267996; 3.436093; 9.430114
25438061592576; 0.471386; 3.306881; 9.382257
25438063689728; 0.471386; 3.306881; 9.382257
25438078369792; 0.471386; 3.306881; 9.382257
25438145478656; 0.588634; 3.488735; 9.276974
25438151770112; 0.588634; 3.488735; 9.276974
25438162255872; 0.588634; 3.488735; 9.276974
25438212587520; 0.698704; 3.342773; 9.097511
25438214684672; 0.698704; 3.342773; 9.097511
25438216781824; 0.698704; 3.342773; 9.097511
25438229364736; 0.780060; 3.582056; 8.796016
25438252433408; 0.780060; 3.582056; 8.796016
25438256627712; 0.780060; 3.582056; 8.796016
25438258724864; 0.780060; 3.582056; 8.796016
25438260822016; 0.780060; 3.582056; 8.796016
25438271307776; 0.780060; 3.582056; 8.796016
25438292279296; 1.268196; 3.517449; 8.535198
25438300667904; 1.268196; 3.517449; 8.535198
25438304862208; 1.268196; 3.517449; 8.535198
25438325833728; 2.021935; 3.981657; 7.975278
25438332125184; 2.021935; 3.981657; 7.975278
25438332125184; 2.021935; 3.981657; 7.975278
25438363582464; 2.021935; 3.981657; 7.975278
25438365679616; 2.021935; 3.981657; 7.975278
25438365679616; 2.021935; 3.981657; 7.975278
25438369873920; 2.021935; 3.981657; 7.975278
25438376165376; 3.881158; 3.979264; 7.518249
25438378262528; 3.881158; 3.979264; 7.518249
25438382456832; 3.881158; 3.979264; 7.518249
25438399234048; 3.881158; 3.979264; 7.518249
25438401331200; 3.881158; 3.979264; 7.518249
25438416011264; 3.881158; 3.979264; 7.518249
25438424399872; 3.881158; 3.979264; 7.518249
25438426497024; 3.881158; 3.979264; 7.518249
25438439079936; 6.051448; 3.761517; 6.699903
25438447468544; 6.051448; 3.761517; 6.699903
25438457954304; 6.051448; 3.761517; 6.699903
25438457954304; 6.051448; 3.761517; 6.699903
25438462148608; 6.051448; 3.761517; 6.699903
