time; x; y; z
16326717341696; -0.019143; 1.911865; 9.712467
16326727827456; -0.019143; 1.911865; 9.712467
16326733070336; -0.019143; 1.911865; 9.712467
16326745653248; -0.019143; 1.911865; 9.712467
16326746701824; -0.019143; 1.911865; 9.712467
16326749847552; -0.019143; 1.911865; 9.712467
16326810664960; -0.009571; 1.990828; 9.647861
16326812762112; -0.009571; 1.990828; 9.647861
16326844219392; 0.102891; 1.902294; 9.745967
16326846316544; 0.102891; 1.902294; 9.745967
16326849462272; 0.102891; 1.902294; 9.745967
16326859948032; 0.102891; 1.902294; 9.745967
16326893502464; 0.165105; 2.050649; 9.774680
16326912376832; 0.165105; 2.050649; 9.774680
16326944882688; 0.294317; 2.021935; 9.621540
16326946979840; 0.294317; 2.021935; 9.621540
16326962708480; 0.294317; 2.021935; 9.621540
16326989971456; 0.294317; 2.021935; 9.621540
16327027720192; 1.186840; 2.215754; 9.152547
16327042400256; 1.186840; 2.215754; 9.152547
16327059177472; 3.778267; 4.182654; 7.188039
16327092731904; 5.752346; 2.333002; 4.857430
16327099023360; 5.752346; 2.333002; 4.857430
16327126286336; 5.752346; 2.333002; 4.857430
16327159840768; 7.922636; -0.378066; 3.036492
16327168229376; 7.922636; -0.378066; 3.036492
16327169277952; 7.922636; -0.378066; 3.036492
16327185006592; 7.922636; -0.378066; 3.036492
16327189200896; 7.922636; -0.378066; 3.036492
16327224852480; 11.200803; 0.117248; 1.842473
16327237435392; 11.200803; 0.117248; 1.842473
16327240581120; 11.200803; 0.117248; 1.842473
16327257358336; 18.585054; -6.525228; 1.502693
16327258406912; 18.585054; -6.525228; 1.502693
16327260504064; 18.585054; -6.525228; 1.502693
16327286718464; 18.585054; -6.525228; 1.502693
16327288815616; 18.585054; -6.525228; 1.502693
16327289864192; 18.585054; -6.525228; 1.502693
16327293009920; 18.585054; -6.525228; 1.502693
16327298252800; 18.585054; -6.525228; 1.502693
16327303495680; 18.585054; -6.525228; 1.502693
16327305592832; 18.585054; -6.525228; 1.502693
16327307689984; 18.585054; -6.525228; 1.502693
16327309787136; 18.585054; -6.525228; 1.502693
16327324467200; 21.686152; -11.870793; -4.074977
16327337050112; 21.686152; -11.870793; -4.074977
16327339147264; 21.686152; -11.870793; -4.074977
16327341244416; 21.686152; -11.870793; -4.074977
16327354875904; 21.686152; -11.870793; -4.074977
16327356973056; 21.686152; -11.870793; -4.074977
16327359070208; 21.686152; -11.870793; -4.074977
16327370604544; 14.610575; -21.686152; -13.526627
16327370604544; 14.610575; -21.686152; -13.526627
16327373750272; 14.610575; -21.686152; -13.526627
16327375847424; 14.610575; -21.686152; -13.526627
16327384236032; 14.610575; -21.686152; -13.526627
16327387381760; 14.610575; -21.686152; -13.526627
16327390527488; 14.610575; -21.686152; -13.526627
16327391576064; 14.610575; -21.686152; -13.526627
16327397867520; 14.610575; -21.686152; -13.526627
16327405207552; 14.610575; -21.686152; -13.526627
16327413596160; 14.610575; -21.686152; -13.526627
16327583465472; -11.681760; -9.585648; -16.761723
16327604436992; -11.681760; -9.585648; -16.761723
16327607582720; -11.681760; -9.585648; -16.761723
16327628554240; -5.687739; -6.362515; -19.355543
16327635894272; -4.173083; -7.398608; -19.688145
16327637991424; -4.173083; -7.398608; -19.688145
16327680983040; -1.426122; -9.449257; -16.493727
16327687274496; -1.426122; -9.449257; -16.493727
16327694614528; -0.241675; -10.363315; -14.019547
16327707197440; -0.241675; -10.363315; -14.019547
16327711391744; -0.241675; -10.363315; -14.019547
16327714537472; 0.856631; -9.868001; -11.406586
16327731314688; 0.827917; -8.078169; -9.317652
16327739703296; 0.827917; -8.078169; -9.317652
16327753334784; 1.301695; -8.815159; -7.015756
16327760674816; 1.301695; -8.815159; -7.015756
16327768014848; 1.301695; -8.815159; -7.015756
16327771160576; 1.797010; -10.509277; -4.804788
16327775354880; 1.797010; -10.509277; -4.804788
16327779549184; 1.797010; -10.509277; -4.804788
16327780597760; 1.797010; -10.509277; -4.804788
16327781646336; 1.797010; -10.509277; -4.804788
16327788986368; 2.251646; -10.152746; -3.069991
16327788986368; 2.251646; -10.152746; -3.069991
16327791083520; 2.251646; -10.152746; -3.069991
16327794229248; 2.251646; -10.152746; -3.069991
16327794229248; 2.251646; -10.152746; -3.069991
16327797374976; 2.251646; -10.152746; -3.069991
16327800520704; 2.251646; -10.152746; -3.069991
16327801569280; 2.251646; -10.152746; -3.069991
16327808909312; 3.603591; -10.631311; -1.713261
16327812055040; 3.603591; -10.631311; -1.713261
16327814152192; 3.603591; -10.631311; -1.713261
16327817297920; 3.603591; -10.631311; -1.713261
16327820443648; 3.603591; -10.631311; -1.713261
16327825686528; 3.603591; -10.631311; -1.713261
16327828832256; 3.811766; -9.061620; -0.605384
16327833026560; 3.811766; -9.061620; -0.605384
16327836172288; 3.811766; -9.061620; -0.605384
16327838269440; 3.811766; -9.061620; -0.605384
16327845609472; 3.747160; -6.798009; -0.260818
16327851900928; 3.747160; -6.798009; -0.260818
16327863435264; 3.747160; -6.798009; -0.260818
16327869726720; 3.421736; -5.709275; -0.358923
16327872872448; 3.421736; -5.709275; -0.358923
16327883358208; 3.421736; -5.709275; -0.358923
16327891746816; 3.495914; -4.642076; -0.337388
16327923204096; 3.536592; -2.660819; 0.425922
16327976681472; 2.993421; -2.574677; 0.397209
16328023867392; 2.734996; -2.397608; 0.433101
16328059518976; 4.733003; -3.976871; 0.803988
16328068956160; 4.733003; -3.976871; 0.803988
16328100413440; 5.996414; -3.117848; -0.674776
16328103559168; 5.996414; -3.117848; -0.674776
16328108802048; 5.996414; -3.117848; -0.674776
16328111947776; 5.996414; -3.117848; -0.674776
16328114044928; 5.996414; -3.117848; -0.674776
16328116142080; 6.965507; -4.383651; -0.866202
16328124530688; 6.965507; -4.383651; -0.866202
16328126627840; 6.965507; -4.383651; -0.866202
16328129773568; 6.965507; -4.383651; -0.866202
16328132919296; 6.965507; -4.383651; -0.866202
16328138162176; 9.200403; -5.280960; -0.947558
16328141307904; 9.200403; -5.280960; -0.947558
16328162279424; 12.138789; -6.185447; -1.287339
16328181153792; 13.856836; -5.888737; -2.189433
16328186396672; 13.856836; -5.888737; -2.189433
16328194785280; 14.589040; -6.582655; -2.165504
16328208416768; 14.589040; -6.582655; -2.165504
16328235679744; 20.066210; -9.803394; -0.313460
16328241971200; 20.066210; -9.803394; -0.313460
16328258748416; 22.107288; -8.980264; -1.086342
