time; x; y; z
82490786054144; 0.519243; 2.617748; 9.336794
82490794442752; 0.519243; 2.617748; 9.336794
82490802831360; 0.519243; 2.617748; 9.336794
82490802831360; 0.519243; 2.617748; 9.336794
82490811219968; 0.519243; 2.617748; 9.336794
82490811219968; 0.519243; 2.617748; 9.336794
82490861551616; 0.519243; 2.818745; 9.509077
82490878328832; 0.519243; 2.818745; 9.509077
82490878328832; 0.519243; 2.818745; 9.509077
82490903494656; 0.440279; 2.852245; 9.454042
82490903494656; 0.440279; 2.852245; 9.454042
82490903494656; 0.440279; 2.852245; 9.454042
82490978992128; 0.531207; 2.723032; 9.516255
82490987380736; 0.531207; 2.723032; 9.516255
82491004157952; 0.459422; 2.892923; 9.518648
82491020935168; 0.459422; 2.892923; 9.518648
82491037712384; 0.459422; 2.892923; 9.518648
82491037712384; 0.459422; 2.892923; 9.518648
82491062878208; 0.390030; 2.969493; 9.358330
82491071266816; 0.390030; 2.969493; 9.358330
82491079655424; 0.390030; 2.969493; 9.358330
82491079655424; 0.390030; 2.969493; 9.358330
82491088044032; 0.390030; 2.969493; 9.358330
82491113209856; 0.390030; 2.969493; 9.358330
82491121598464; 0.466600; 2.849852; 9.147761
82491138375680; 0.466600; 2.849852; 9.147761
82491138375680; 0.466600; 2.849852; 9.147761
82491155152896; 0.466600; 2.849852; 9.147761
82491155152896; 0.466600; 2.849852; 9.147761
82491197095936; 1.794617; 3.426522; 8.489735
82491197095936; 1.794617; 3.426522; 8.489735
82491197095936; 3.333202; 5.223532; 6.833901
82491205484544; 3.333202; 5.223532; 6.833901
82491213873152; 3.333202; 5.223532; 6.833901
82491213873152; 3.333202; 5.223532; 6.833901
82491247427584; 3.333202; 5.223532; 6.833901
82491247427584; 3.333202; 5.223532; 6.833901
82491255816192; 3.333202; 5.223532; 6.833901
82491264204800; 4.259224; 1.330409; 2.928815
82491272593408; 4.259224; 1.330409; 2.928815
82491272593408; 4.259224; 1.330409; 2.928815
82491297759232; 4.259224; 1.330409; 2.928815
82491306147840; 4.259224; 1.330409; 2.928815
82491314536448; 4.259224; 1.330409; 2.928815
82491314536448; 6.774081; 1.237089; 0.320638
82491314536448; 6.774081; 1.237089; 0.320638
82491322925056; 6.774081; 1.237089; 0.320638
82491356479488; 6.774081; 1.237089; 0.320638
82491356479488; 6.774081; 1.237089; 0.320638
82491364868096; 6.774081; 1.237089; 0.320638
82491440365568; 19.415363; -12.483356; -7.654640
82491440365568; 19.415363; -12.483356; -7.654640
82491448754176; 19.415363; -12.483356; -7.654640
82491457142784; 19.415363; -12.483356; -7.654640
82491465531392; 19.415363; -12.483356; -7.654640
82491473920000; 19.415363; -12.483356; -7.654640
82491507474432; 14.165510; -16.594225; -13.902300
82491524251648; 14.165510; -16.594225; -13.902300
82491532640256; 14.165510; -16.594225; -13.902300
82491566194688; 7.463214; -14.031512; -13.060026
82491566194688; 7.463214; -14.031512; -13.060026
82491574583296; 7.463214; -14.031512; -13.060026
82491658469376; 5.948557; -9.726824; -15.043676
82491675246592; 5.948557; -9.726824; -15.043676
82491675246592; 5.948557; -9.726824; -15.043676
82491683635200; 3.747160; -9.901500; -16.376478
82491692023808; 3.747160; -9.901500; -16.376478
82491692023808; 3.747160; -9.901500; -16.376478
82491692023808; 3.747160; -9.901500; -16.376478
82491700412416; 3.747160; -9.901500; -16.376478
82491700412416; 0.212961; -14.804394; -17.142181
82491708801024; 0.212961; -14.804394; -17.142181
82491708801024; 0.212961; -14.804394; -17.142181
82491725578240; -2.768496; -19.223938; -15.929020
82491759132672; -7.068398; -18.333807; -14.321044
82491792687104; -18.065811; -13.603197; -11.284552
82491826241536; -8.551949; -12.220145; -12.837494
82491834630144; -8.551949; -12.220145; -12.837494
82491843018752; -6.537191; -12.399607; -15.223138
82491851407360; -6.537191; -12.399607; -15.223138
82491859795968; -6.154340; -10.844273; -16.134804
82491859795968; -6.154340; -10.844273; -16.134804
82491868184576; -6.154340; -10.844273; -16.134804
82491868184576; -6.154340; -10.844273; -16.134804
82491876573184; -6.173482; -8.114061; -14.668003
82491876573184; -6.173482; -8.114061; -14.668003
82491884961792; -6.173482; -8.114061; -14.668003
82491884961792; -6.173482; -8.114061; -14.668003
