time; x; y; z
16199227277312; 0.244068; 2.629712; 9.506684
16199230423040; 0.244068; 2.629712; 9.506684
16199232520192; 0.244068; 2.629712; 9.506684
16199247200256; 0.275175; 2.691926; 9.370294
16199258734592; 0.275175; 2.691926; 9.370294
16199269220352; 0.279960; 2.718246; 9.466006
16199287046144; 0.279960; 2.718246; 9.466006
16199306969088; 0.279960; 2.718246; 9.466006
16199309066240; 0.279960; 2.718246; 9.466006
16199332134912; 0.394816; 2.665604; 9.415757
16199336329216; 0.394816; 2.665604; 9.415757
16199341572096; 0.394816; 2.665604; 9.415757
16199355203584; 0.394816; 2.665604; 9.415757
16199362543616; 0.394816; 2.665604; 9.415757
16199366737920; 0.394816; 2.665604; 9.415757
16199407632384; 0.468993; 2.732604; 9.456435
16199414972416; 0.468993; 2.732604; 9.456435
16199418118144; 0.468993; 2.732604; 9.456435
16199419166720; 0.468993; 2.732604; 9.456435
16199421263872; 0.468993; 2.732604; 9.456435
16199450624000; 0.332602; 2.581856; 9.499506
16199483129856; 0.332602; 2.581856; 9.499506
16199502004224; 0.332602; 2.574677; 9.439685
16199504101376; 0.332602; 2.574677; 9.439685
16199517732864; 0.332602; 2.574677; 9.439685
16199518781440; 0.332602; 2.574677; 9.439685
16199529267200; 0.332602; 2.574677; 9.439685
16199534510080; 0.332602; 2.574677; 9.439685
16199548141568; 0.332602; 2.574677; 9.439685
16199551287296; 0.332602; 2.574677; 9.439685
16199557578752; 0.734597; 2.727818; 9.107083
16199563870208; 0.734597; 2.727818; 9.107083
16199571210240; 0.734597; 2.727818; 9.107083
16199638319104; 2.132005; 3.488735; 7.932207
16199649853440; 3.120241; 4.682754; 6.427122
16199651950592; 3.120241; 4.682754; 6.427122
16199655096320; 3.120241; 4.682754; 6.427122
16199661387776; 3.120241; 4.682754; 6.427122
16199669776384; 3.120241; 4.682754; 6.427122
16199683407872; 3.120241; 4.682754; 6.427122
16199686553600; 3.120241; 4.682754; 6.427122
16199700185088; 5.264210; 0.957129; 2.943172
16199707525120; 5.264210; 0.957129; 2.943172
16199711719424; 5.264210; 0.957129; 2.943172
16199715913728; 5.264210; 0.957129; 2.943172
16199721156608; 5.264210; 0.957129; 2.943172
16199734788096; 5.264210; 0.957129; 2.943172
16199736885248; 5.264210; 0.957129; 2.943172
16199802945536; 7.685746; 0.150748; 2.158326
16199820771328; 13.514663; -2.565106; 4.024728
16199821819904; 13.514663; -2.565106; 4.024728
16199829159936; 13.514663; -2.565106; 4.024728
16199843840000; 13.514663; -2.565106; 4.024728
16199854325760; 13.514663; -2.565106; 4.024728
16199918288896; 18.120846; -6.190232; 1.919044
16199932968960; 18.470198; -13.615161; -0.866202
16199936114688; 18.470198; -13.615161; -0.866202
16199938211840; 18.470198; -13.615161; -0.866202
16199948697600; 18.470198; -13.615161; -0.866202
16199965474816; 17.615961; -12.787244; -3.739982
16199977009152; 17.615961; -12.787244; -3.739982
16199980154880; 17.615961; -12.787244; -3.739982
16199986446336; 17.615961; -12.787244; -3.739982
16199997980672; 17.615961; -12.787244; -3.739982
16200001126400; 17.615961; -12.787244; -3.739982
16200009515008; 17.615961; -12.787244; -3.739982
16200032583680; 14.105689; -15.026926; -9.566504
16200037826560; 14.105689; -15.026926; -9.566504
16200048312320; 14.105689; -15.026926; -9.566504
16200052506624; 14.105689; -15.026926; -9.566504
16200064040960; 14.105689; -15.026926; -9.566504
16200065089536; 14.105689; -15.026926; -9.566504
16200073478144; 14.105689; -15.026926; -9.566504
16200103886848; 4.634897; -14.534005; -14.024334
16200105984000; 4.634897; -14.534005; -14.024334
16200111226880; 4.634897; -14.534005; -14.024334
16200126955520; 1.646262; -14.490934; -14.411971
16200173092864; -8.590233; -13.483556; -15.799808
16200179384320; -9.171689; -14.112868; -16.725830
16200230764544; -3.572484; -13.416556; -18.015562
16200231813120; -3.572484; -13.416556; -18.015562
16200302067712; 0.363709; -5.304888; -19.319651
16200303116288; 0.363709; -5.304888; -19.319651
16200307310592; 0.363709; -5.304888; -19.319651
16200311504896; 2.244468; -8.370093; -16.400406
16200314650624; 2.244468; -8.370093; -16.400406
16200321990656; 2.244468; -8.370093; -16.400406
16200331427840; 4.292724; -8.812766; -15.529419
16200337719296; 4.292724; -8.812766; -15.529419
16200339816448; 4.292724; -8.812766; -15.529419
16200344010752; 4.292724; -8.812766; -15.529419
16200352399360; 4.292724; -8.812766; -15.529419
16200355545088; 5.690132; -8.494520; -14.088940
16200358690816; 5.690132; -8.494520; -14.088940
16200372322304; 6.678368; -8.142776; -11.490335
16200388050944; 7.231110; -6.532406; -8.987442
16200392245248; 7.231110; -6.532406; -8.987442
16200394342400; 7.231110; -6.532406; -8.987442
16200402731008; 7.231110; -6.532406; -8.987442
16200420556800; 6.941578; -5.225924; -7.812566
16200421605376; 6.941578; -5.225924; -7.812566
16200422653952; 6.941578; -5.225924; -7.812566
