time; x; y; z
31974483820544; -0.555135; 4.369294; 8.707481
31974542540800; -0.708275; 4.153940; 8.831908
31974557220864; -0.708275; 4.153940; 8.831908
31974561415168; -0.708275; 4.153940; 8.831908
31974584483840; -0.832702; 4.141976; 8.889337
31974597066752; -0.832702; 4.141976; 8.889337
31974674661376; -0.476172; 4.022335; 8.910872
31974693535744; -0.461815; 3.921836; 8.989835
31974710312960; -0.461815; 3.921836; 8.989835
31974727090176; -0.461815; 3.921836; 8.989835
31974731284480; -0.435494; 3.964907; 9.049655
31974781616128; -0.435494; 3.964907; 9.049655
31974855016448; -1.127020; 3.897908; 9.133404
31974873890816; -1.127020; 3.897908; 9.133404
31974880182272; -1.127020; 3.897908; 9.133404
31974905348096; -1.143769; 4.043870; 8.879765
31974930513920; -1.143769; 4.043870; 8.879765
31974947291136; -1.143769; 4.043870; 8.879765
31974959874048; -1.191626; 3.981657; 8.834301
31974961971200; -1.191626; 3.981657; 8.834301
31974978748416; -1.191626; 3.981657; 8.834301
31974980845568; -1.191626; 3.981657; 8.834301
31974991331328; -1.191626; 3.981657; 8.834301
31974993428480; -1.191626; 3.981657; 8.834301
31974997622784; -1.191626; 3.981657; 8.834301
31974997622784; -1.191626; 3.981657; 8.834301
31975006011392; -1.191626; 3.981657; 8.834301
31975031177216; -1.569692; 3.747160; 8.733803
31975045857280; -1.569692; 3.747160; 8.733803
31975056343040; -1.569692; 3.747160; 8.733803
31975066828800; -1.679762; 3.574877; 8.329415
31975073120256; -1.679762; 3.574877; 8.329415
31975081508864; -1.679762; 3.574877; 8.329415
31975102480384; -1.679762; 3.574877; 8.329415
31975123451904; -1.679762; 3.574877; 8.329415
31975129743360; -2.421536; 2.845066; 8.135597
31975144423424; -2.421536; 2.845066; 8.135597
31975152812032; -2.421536; 2.845066; 8.135597
31975157006336; -2.421536; 2.845066; 8.135597
31975159103488; -2.421536; 2.845066; 8.135597
31975163297792; -2.421536; 2.845066; 8.135597
31975167492096; -2.421536; 2.845066; 8.135597
31975169589248; -2.421536; 2.845066; 8.135597
31975173783552; -2.421536; 2.845066; 8.135597
31975184269312; -2.421536; 2.845066; 8.135597
31975198949376; -3.038885; 3.089134; 7.915457
31975203143680; -3.038885; 3.089134; 7.915457
31975207337984; -3.038885; 3.089134; 7.915457
31975211532288; -3.038885; 3.089134; 7.915457
31975215726592; -3.038885; 3.089134; 7.915457
31975217823744; -3.038885; 3.089134; 7.915457
31975242989568; -4.053442; 1.502693; 8.764910
31975249281024; -4.053442; 1.502693; 8.764910
31975255572480; -4.053442; 1.502693; 8.764910
31975266058240; -4.053442; 1.502693; 8.764910
31975268155392; -4.053442; 1.502693; 8.764910
31975282835456; -4.053442; 1.502693; 8.764910
31975289126912; -4.053442; 1.502693; 8.764910
31975299612672; -4.204189; -1.607977; 7.329216
31975301709824; -4.204189; -1.607977; 7.329216
31975305904128; -4.204189; -1.607977; 7.329216
31975308001280; -4.204189; -1.607977; 7.329216
31975328972800; -4.204189; -1.607977; 7.329216
31975335264256; -4.204189; -1.607977; 7.329216
31975343652864; -3.136991; -4.398008; 5.175675
31975345750016; -3.136991; -4.398008; 5.175675
31975356235776; -3.136991; -4.398008; 5.175675
31975360430080; -3.136991; -4.398008; 5.175675
31975385595904; -3.136991; -4.398008; 5.175675
31975410761728; -0.863809; -7.822137; 3.888337
31975421247488; -0.863809; -7.822137; 3.888337
31975427538944; -0.863809; -7.822137; 3.888337
31975431733248; -0.863809; -7.822137; 3.888337
31975435927552; -0.863809; -7.822137; 3.888337
31975488356352; 0.478565; -8.252846; 0.866202
31975492550656; 0.478565; -8.252846; 0.866202
31975496744960; 0.478565; -8.252846; 0.866202
31975498842112; 0.478565; -8.252846; 0.866202
31975503036416; 0.478565; -8.252846; 0.866202
31975507230720; 0.478565; -8.252846; 0.866202
31975532396544; 1.983650; -9.894321; -2.467000
31975536590848; 1.983650; -9.894321; -2.467000
31975544979456; 1.983650; -9.894321; -2.467000
31975547076608; 1.983650; -9.894321; -2.467000
31975551270912; 1.983650; -9.894321; -2.467000
31975553368064; 1.983650; -9.894321; -2.467000
31975563853824; 1.983650; -9.894321; -2.467000
31975565950976; 1.983650; -9.894321; -2.467000
31975584825344; 0.794417; -13.433307; -0.490529
