time; x; y; z
11902520393728; 2.124826; 3.101098; 9.035298
11902556045312; 2.172683; 2.885744; 9.279366
11902566531072; 2.172683; 2.885744; 9.279366
11902581211136; 2.172683; 2.885744; 9.279366
11902583308288; 2.172683; 2.885744; 9.279366
11902626299904; 2.294717; 2.890530; 9.226724
11902648320000; 2.294717; 2.890530; 9.226724
11902693408768; 2.203790; 3.096313; 9.140582
11902695505920; 2.203790; 3.096313; 9.140582
11902698651648; 2.203790; 3.096313; 9.140582
11902709137408; 2.203790; 3.096313; 9.140582
11902759469056; 2.079363; 3.012564; 9.214760
11902858035200; 2.421536; 3.096313; 9.442079
11902892638208; 2.309074; 3.182454; 9.200403
11902909415424; 2.309074; 3.182454; 9.200403
11902919901184; 2.309074; 3.182454; 9.200403
11902946115584; 2.182254; 3.151347; 9.284152
11902997495808; 2.208575; 3.081956; 9.209974
11902998544384; 2.208575; 3.081956; 9.209974
11903002738688; 2.208575; 3.081956; 9.209974
11903010078720; 2.208575; 3.081956; 9.209974
11903013224448; 2.208575; 3.081956; 9.209974
11903015321600; 2.208575; 3.081956; 9.209974
11903044681728; 2.179862; 3.000600; 9.186047
11903059361792; 2.179862; 3.000600; 9.186047
11903061458944; 2.179862; 3.000600; 9.186047
11903079284736; 2.179862; 3.000600; 9.186047
11903081381888; 2.179862; 3.000600; 9.186047
11903085576192; 2.179862; 3.000600; 9.186047
11903097110528; 2.179862; 3.000600; 9.186047
11903103401984; 2.043471; 2.845066; 9.152547
11903109693440; 2.043471; 2.845066; 9.152547
11903110742016; 2.043471; 2.845066; 9.152547
11903113887744; 2.043471; 2.845066; 9.152547
11903121227776; 2.043471; 2.845066; 9.152547
11903125422080; 2.043471; 2.845066; 9.152547
11903143247872; 2.043471; 2.845066; 9.152547
11903145345024; 2.043471; 2.845066; 9.152547
11903158976512; 2.086541; 2.928815; 9.140582
11903175753728; 2.086541; 2.928815; 9.140582
11903191482368; 2.086541; 2.928815; 9.140582
11903196725248; 2.086541; 2.928815; 9.140582
11903205113856; 2.086541; 2.928815; 9.140582
11903212453888; 2.055435; 3.034099; 9.085547
11903216648192; 2.055435; 3.034099; 9.085547
11903220842496; 2.055435; 3.034099; 9.085547
11903228182528; 2.055435; 3.034099; 9.085547
11903236571136; 2.055435; 3.034099; 9.085547
11903256494080; 2.055435; 3.034099; 9.085547
11903258591232; 2.055435; 3.034099; 9.085547
11903262785536; 2.055435; 3.034099; 9.085547
11903274319872; 1.866402; 3.043670; 9.054440
11903285854208; 1.866402; 3.043670; 9.054440
11903293194240; 1.866402; 3.043670; 9.054440
11903308922880; 1.866402; 3.043670; 9.054440
11903315214336; 1.866402; 3.043670; 9.054440
11903318360064; 1.866402; 3.043670; 9.054440
11903330942976; 1.993221; 3.141776; 9.116654
11903336185856; 1.993221; 3.141776; 9.116654
11903337234432; 1.993221; 3.141776; 9.116654
11903341428736; 1.993221; 3.141776; 9.116654
11903359254528; 1.993221; 3.141776; 9.116654
11903360303104; 1.993221; 3.141776; 9.116654
11903384420352; 1.954936; 3.103491; 9.243474
11903385468928; 1.954936; 3.103491; 9.243474
11903401197568; 1.954936; 3.103491; 9.243474
11903417974784; 1.954936; 3.103491; 9.243474
11903425314816; 1.954936; 3.103491; 9.243474
11903429509120; 1.954936; 3.103491; 9.243474
11903482986496; 1.878366; 3.113062; 9.286545
11903509200896; 2.007578; 3.026921; 9.336794
11903513395200; 2.007578; 3.026921; 9.336794
11903519686656; 2.007578; 3.026921; 9.336794
11903536463872; 2.007578; 3.026921; 9.336794
11903579455488; 1.866402; 3.096313; 9.279366
11903601475584; 1.866402; 3.096313; 9.279366
11903620349952; 1.835295; 3.211168; 9.243474
11903622447104; 1.835295; 3.211168; 9.243474
11903627689984; 1.835295; 3.211168; 9.243474
11903633981440; 1.835295; 3.211168; 9.243474
11903670681600; 1.806581; 3.285346; 9.145369
11903672778752; 1.806581; 3.285346; 9.145369
11903674875904; 1.806581; 3.285346; 9.145369
11903682215936; 1.806581; 3.285346; 9.145369
11903684313088; 1.806581; 3.285346; 9.145369
11903686410240; 1.806581; 3.285346; 9.145369
11903714721792; 1.806581; 3.285346; 9.145369
11903719964672; 1.806581; 3.285346; 9.145369
11903723110400; 1.806581; 3.285346; 9.145369
11903731499008; 1.765903; 3.285346; 9.097511
11903738839040; 1.765903; 3.285346; 9.097511
11903741984768; 1.765903; 3.285346; 9.097511
11903769247744; 1.765903; 3.285346; 9.097511
11903774490624; 1.765903; 3.285346; 9.097511
