time; x; y; z
31723179999232; 2.548356; 2.778067; 9.250652
31723236622336; 2.304288; 2.603391; 9.154940
31723238719488; 2.304288; 2.603391; 9.154940
31723240816640; 2.304288; 2.603391; 9.154940
31723245010944; 2.304288; 2.603391; 9.154940
31723251302400; 2.304288; 2.603391; 9.154940
31723253399552; 2.304288; 2.603391; 9.154940
31723289051136; 2.153540; 2.888137; 9.056833
31723293245440; 2.153540; 2.888137; 9.056833
31723299536896; 2.153540; 2.888137; 9.056833
31723301634048; 2.153540; 2.888137; 9.056833
31723310022656; 2.153540; 2.888137; 9.056833
31723312119808; 2.153540; 2.888137; 9.056833
31723345674240; 2.388037; 3.000600; 9.224331
31723351965696; 2.388037; 3.000600; 9.224331
31723354062848; 2.388037; 3.000600; 9.224331
31723354062848; 2.388037; 3.000600; 9.224331
31723356160000; 2.388037; 3.000600; 9.224331
31723356160000; 2.388037; 3.000600; 9.224331
31723427463168; 2.586641; 2.981457; 9.315259
31723444240384; 2.586641; 2.981457; 9.315259
31723454726144; 2.586641; 2.981457; 9.315259
31723461017600; 2.591427; 3.036492; 9.166903
31723467309056; 2.591427; 3.036492; 9.166903
31723490377728; 2.591427; 3.036492; 9.166903
31723517640704; 2.443072; 2.782853; 8.999406
31723540709376; 2.443072; 2.782853; 8.999406
31723557486592; 2.443072; 2.782853; 8.999406
31723570069504; 2.993421; 2.861816; 8.523234
31723586846720; 2.993421; 2.861816; 8.523234
31723595235328; 2.993421; 2.861816; 8.523234
31723639275520; 4.383651; 3.060420; 7.369894
31723645566976; 4.383651; 3.060420; 7.369894
31723649761280; 4.383651; 3.060420; 7.369894
31723649761280; 4.383651; 3.060420; 7.369894
31723670732800; 4.383651; 3.060420; 7.369894
31723677024256; 4.383651; 3.060420; 7.369894
31723685412864; 5.577670; 2.596213; 5.094319
31723689607168; 5.577670; 2.596213; 5.094319
31723693801472; 5.577670; 2.596213; 5.094319
31723695898624; 5.577670; 2.596213; 5.094319
31723702190080; 5.577670; 2.596213; 5.094319
31723721064448; 5.577670; 2.596213; 5.094319
31723727355904; 5.577670; 2.596213; 5.094319
31723731550208; 5.577670; 2.596213; 5.094319
31723739938816; 6.199803; 1.208375; 4.670790
31723748327424; 6.199803; 1.208375; 4.670790
31723750424576; 6.199803; 1.208375; 4.670790
31723769298944; 6.199803; 1.208375; 4.670790
31723773493248; 6.199803; 1.208375; 4.670790
31723777687552; 6.199803; 1.208375; 4.670790
31723786076160; 6.199803; 1.208375; 4.670790
31723792367616; 6.199803; 1.208375; 4.670790
31723798659072; 7.343573; 0.138784; 4.278367
31723819630592; 7.343573; 0.138784; 4.278367
31723828019200; 7.343573; 0.138784; 4.278367
31723832213504; 7.343573; 0.138784; 4.278367
31723836407808; 7.343573; 0.138784; 4.278367
31723840602112; 7.343573; 0.138784; 4.278367
31723846893568; 7.343573; 0.138784; 4.278367
31723893030912; 9.454042; -0.796810; 4.398008
31723897225216; 9.454042; -0.796810; 4.398008
31723903516672; 9.454042; -0.796810; 4.398008
31723903516672; 9.454042; -0.796810; 4.398008
31723911905280; 9.454042; -0.796810; 4.398008
31723918196736; 11.746367; -2.304288; 1.433301
31723955945472; 11.746367; -2.304288; 1.433301
31723962236928; 11.746367; -2.304288; 1.433301
31723966431232; 11.746367; -2.304288; 1.433301
31723976916992; 13.890335; -7.410572; -1.002593
31723981111296; 13.890335; -7.410572; -1.002593
31723985305600; 13.890335; -7.410572; -1.002593
31723995791360; 13.890335; -7.410572; -1.002593
31723999985664; 13.890335; -7.410572; -1.002593
31724006277120; 13.890335; -7.410572; -1.002593
31724008374272; 13.890335; -7.410572; -1.002593
31724010471424; 13.890335; -7.410572; -1.002593
31724012568576; 13.890335; -7.410572; -1.002593
31724029345792; 13.158132; -10.636097; -5.448457
31724033540096; 13.158132; -10.636097; -5.448457
31724039831552; 13.158132; -10.636097; -5.448457
31724041928704; 13.158132; -10.636097; -5.448457
31724044025856; 12.488141; -9.681360; -6.072984
