time; x; y; z
83711815057408; -2.019542; 4.599005; 8.386844
83711840223232; -2.019542; 4.599005; 8.386844
83711840223232; -2.019542; 4.599005; 8.386844
83711840223232; -2.019542; 4.599005; 8.386844
83711857000448; -2.019542; 4.599005; 8.386844
83711873777664; -2.007578; 4.426722; 8.394022
83711932497920; -2.342573; 4.847859; 8.370093
83711940886528; -2.342573; 4.847859; 8.370093
83711949275136; -2.342573; 4.847859; 8.370093
83711974440960; -2.478964; 4.295116; 8.159525
83711974440960; -2.478964; 4.295116; 8.159525
83711982829568; -2.478964; 4.295116; 8.159525
83711999606784; -2.478964; 4.295116; 8.159525
83712007995392; -2.478964; 4.295116; 8.159525
83712024772608; -2.167897; 4.534399; 7.939385
83712033161216; -2.167897; 4.534399; 7.939385
83712033161216; -2.167897; 4.534399; 7.939385
83712058327040; -2.167897; 4.534399; 7.939385
83712066715648; -2.167897; 4.534399; 7.939385
83712066715648; -2.167897; 4.534399; 7.939385
83712075104256; -2.167897; 4.534399; 7.939385
83712075104256; -2.167897; 4.534399; 7.939385
83712083492864; -3.460021; 5.453243; 7.231110
83712100270080; -3.460021; 5.453243; 7.231110
83712108658688; -3.460021; 5.453243; 7.231110
83712108658688; -3.460021; 5.453243; 7.231110
83712117047296; -3.460021; 5.453243; 7.231110
83712125435904; -3.460021; 5.453243; 7.231110
83712125435904; -3.460021; 5.453243; 7.231110
83712184156160; -6.230910; 7.365108; 5.460421
83712192544768; -6.824330; 1.138984; 2.912065
83712200933376; -6.824330; 1.138984; 2.912065
83712209321984; -6.824330; 1.138984; 2.912065
83712217710592; -6.824330; 1.138984; 2.912065
83712217710592; -6.824330; 1.138984; 2.912065
83712268042240; -5.797809; -4.381258; 3.933800
83712284819456; -5.797809; -4.381258; 3.933800
83712284819456; -5.797809; -4.381258; 3.933800
83712284819456; -5.797809; -4.381258; 3.933800
83712293208064; -5.797809; -4.381258; 3.933800
83712301596672; -5.290531; -6.599405; 3.708875
83712318373888; -5.290531; -6.599405; 3.708875
83712318373888; -5.290531; -6.599405; 3.708875
83712326762496; -5.290531; -6.599405; 3.708875
83712335151104; -5.290531; -6.599405; 3.708875
83712335151104; -5.290531; -6.599405; 3.708875
83712351928320; -3.376273; -10.849058; 1.622334
83712402259968; -2.711068; -13.653446; -1.088734
83712419037184; -2.711068; -13.653446; -1.088734
83712419037184; -2.711068; -13.653446; -1.088734
83712427425792; -2.711068; -13.653446; -1.088734
83712427425792; -2.711068; -13.653446; -1.088734
83712435814400; -2.711068; -13.653446; -1.088734
83712452591616; -2.711068; -13.653446; -1.088734
83712469368832; -0.686740; -14.866607; -1.844866
83712502923264; -0.263211; -14.476577; -1.483550
83712511311872; -0.263211; -14.476577; -1.483550
83712536477696; 1.627119; -12.990634; -0.937986
83712536477696; 1.627119; -12.990634; -0.937986
83712553254912; 1.627119; -12.990634; -0.937986
83712561643520; 1.627119; -12.990634; -0.937986
83712570032128; 1.627119; -12.990634; -0.937986
83712578420736; 0.787239; -9.255438; -2.943172
83712595197952; 0.787239; -9.255438; -2.943172
83712603586560; 0.787239; -9.255438; -2.943172
83712611975168; 0.787239; -9.255438; -2.943172
83712611975168; 0.787239; -9.255438; -2.943172
83712637140992; -1.127020; -9.628718; -5.536992
83712729415680; 0.847059; -8.216953; -9.071191
83712729415680; 0.847059; -8.216953; -9.071191
83712737804288; 0.847059; -8.216953; -9.071191
