time; x; y; z
83616939900928; -0.799203; 5.802595; 7.467999
83616939900928; -0.799203; 5.802595; 7.467999
83616939900928; -0.799203; 5.802595; 7.467999
83616948289536; -0.799203; 5.802595; 7.467999
83616956678144; -0.799203; 5.802595; 7.467999
83616956678144; -0.799203; 5.802595; 7.467999
83616998621184; -0.780060; 5.962914; 7.389036
83616998621184; -0.780060; 5.962914; 7.389036
83617007009792; -0.780060; 5.962914; 7.389036
83617007009792; -0.780060; 5.962914; 7.389036
83617015398400; -0.780060; 5.962914; 7.389036
83617015398400; -0.780060; 5.962914; 7.389036
83617048952832; -1.083949; 5.960521; 7.649854
83617048952832; -1.083949; 5.960521; 7.649854
83617057341440; -1.083949; 5.960521; 7.649854
83617065730048; -1.083949; 5.960521; 7.649854
83617065730048; -1.083949; 5.960521; 7.649854
83617065730048; -1.083949; 5.960521; 7.649854
83617107673088; -1.258625; 6.195018; 7.408179
83617107673088; -1.258625; 6.195018; 7.408179
83617116061696; -1.258625; 6.195018; 7.408179
83617116061696; -1.258625; 6.195018; 7.408179
83617116061696; -1.258625; 6.195018; 7.408179
83617124450304; -1.258625; 6.195018; 7.408179
83617158004736; -1.555335; 6.431907; 6.946364
83617166393344; -1.555335; 6.431907; 6.946364
83617166393344; -1.555335; 6.431907; 6.946364
83617166393344; -1.555335; 6.431907; 6.946364
83617166393344; -1.555335; 6.431907; 6.946364
83617174781952; -1.555335; 6.431907; 6.946364
83617225113600; -2.720639; 7.161718; 5.802595
83617225113600; -2.720639; 7.161718; 5.802595
83617233502208; -2.720639; 7.161718; 5.802595
83617241890816; -2.720639; 7.161718; 5.802595
83617241890816; -2.720639; 7.161718; 5.802595
83617250279424; -2.720639; 7.161718; 5.802595
83617283833856; -2.849852; 7.532606; 4.230510
83617292222464; -2.849852; 7.532606; 4.230510
83617300611072; -2.849852; 7.532606; 4.230510
83617308999680; -2.861816; 6.675975; 4.249653
83617325776896; -2.861816; 6.675975; 4.249653
83617325776896; -2.861816; 6.675975; 4.249653
83617350942720; -2.861816; 6.675975; 4.249653
83617367719936; -3.653840; 0.957129; 3.299702
83617392885760; -3.653840; 0.957129; 3.299702
83617392885760; -3.653840; 0.957129; 3.299702
83617409662976; -3.653840; 0.957129; 3.299702
83617409662976; -4.182654; -7.889136; 2.450250
83617418051584; -4.182654; -7.889136; 2.450250
83617426440192; -4.182654; -7.889136; 2.450250
83617443217408; -4.182654; -7.889136; 2.450250
83617451606016; -4.182654; -7.889136; 2.450250
83617468383232; -0.564706; -11.088340; -1.014557
83617485160448; -0.564706; -11.088340; -1.014557
83617493549056; -0.564706; -11.088340; -1.014557
83617501937664; -0.564706; -11.088340; -1.014557
83617552269312; 0.330210; -8.793623; 0.679562
83617552269312; 0.330210; -8.793623; 0.679562
83617577435136; 0.330210; -8.793623; 0.679562
83617577435136; 0.330210; -8.793623; 0.679562
83617585823744; 0.330210; -8.793623; 0.679562
83617585823744; -1.457229; -16.134804; 0.701097
83617686487040; -1.581656; -14.691931; 3.378666
83617720041472; -4.670790; -13.686946; 3.000600
83617728430080; -4.670790; -13.686946; 3.000600
83617728430080; -4.670790; -13.686946; 3.000600
83617736818688; -4.077370; -13.615161; 2.187040
