time; x; y; z
56583719485440; -3.280560; 4.855037; 5.017749
56583727874048; -3.280560; 4.855037; 5.017749
56583732068352; -3.280560; 4.855037; 5.017749
56583732068352; -3.280560; 4.855037; 5.017749
56583736262656; -3.280560; 4.855037; 5.017749
56583736262656; -3.280560; 4.855037; 5.017749
56583736262656; -3.280560; 4.855037; 5.017749
56583740456960; -3.280560; 4.855037; 5.017749
56583748845568; -3.280560; 4.855037; 5.017749
56583748845568; -3.280560; 4.855037; 5.017749
56583753039872; -3.280560; 4.855037; 5.017749
56583753039872; -3.280560; 4.855037; 5.017749
56583786594304; -4.074977; 5.345566; 4.354937
56583799177216; -4.074977; 5.345566; 4.354937
56583799177216; -4.074977; 5.345566; 4.354937
56583803371520; -4.074977; 5.345566; 4.354937
56583803371520; -4.074977; 5.345566; 4.354937
56583811760128; -4.074977; 5.345566; 4.354937
56583832731648; -5.706882; 0.334995; 5.513063
56583857897472; -5.706882; 0.334995; 5.513063
56583866286080; -5.706882; 0.334995; 5.513063
56583870480384; -4.144369; -4.900501; 2.383251
56583874674688; -4.144369; -4.900501; 2.383251
56583883063296; -4.144369; -4.900501; 2.383251
56583891451904; -4.144369; -4.900501; 2.383251
56583899840512; -4.144369; -4.900501; 2.383251
56583904034816; -4.144369; -4.900501; 2.383251
56583908229120; -4.144369; -4.900501; 2.383251
56583912423424; -4.144369; -4.900501; 2.383251
56583933394944; -3.261417; -11.267802; 0.622134
56583950172160; -3.261417; -11.267802; 0.622134
56583971143680; -3.261417; -11.267802; 0.622134
56583975337984; -3.261417; -11.267802; 0.622134
56583979532288; -3.261417; -11.267802; 0.622134
56583983726592; -0.780060; -11.657832; -1.832902
56584046641152; -0.643669; -11.207981; -1.959722
56584059224064; -0.643669; -11.207981; -1.959722
56584059224064; -0.643669; -11.207981; -1.959722
56584063418368; -0.643669; -11.207981; -1.959722
56584071806976; -0.643669; -11.207981; -1.959722
56584080195584; -0.643669; -11.207981; -1.959722
56584084389888; -0.643669; -11.207981; -1.959722
56584088584192; -0.643669; -11.207981; -1.959722
56584092778496; -0.643669; -11.207981; -1.959722
56584096972800; -0.643669; -11.207981; -1.959722
56584101167104; -1.227518; -10.217353; -1.622334
56584113750016; -1.208375; -9.674182; -2.280360
56584260550656; -3.120241; -11.284552; -2.723032
56584273133568; -3.402594; -9.803394; -2.687140
56584294105088; -4.280760; -8.566305; -3.708875
56584306688000; -5.881558; -10.643275; -5.316852
56584310882304; -5.881558; -10.643275; -5.316852
