time; x; y; z
15402177396736; 1.806581; 5.434100; 7.936993
15402180542464; 1.806581; 5.434100; 7.936993
15402186833920; 1.806581; 5.434100; 7.936993
15402191028224; 1.806581; 5.434100; 7.936993
15402192076800; 1.806581; 5.434100; 7.936993
15402193125376; 1.806581; 5.434100; 7.936993
15402241359872; 1.978864; 5.233103; 8.092526
15402243457024; 1.978864; 5.233103; 8.092526
15402252894208; 1.978864; 5.233103; 8.092526
15402260234240; 1.978864; 5.233103; 8.092526
15402261282816; 1.978864; 5.233103; 8.092526
15402274914304; 1.978864; 5.233103; 8.092526
15402295885824; 2.316252; 4.972285; 8.207381
15402305323008; 2.316252; 4.972285; 8.207381
15402310565888; 2.316252; 4.972285; 8.207381
15402313711616; 2.316252; 4.972285; 8.207381
15402315808768; 2.316252; 4.972285; 8.207381
15402323148800; 2.316252; 4.972285; 8.207381
15402354606080; 1.942972; 5.527421; 8.358130
15402357751808; 1.942972; 5.527421; 8.358130
15402361946112; 1.942972; 5.527421; 8.358130
15402369286144; 1.942972; 5.527421; 8.358130
15402371383296; 1.942972; 5.527421; 8.358130
15402382917632; 1.942972; 5.527421; 8.358130
15402430103552; 1.964507; 5.424529; 7.695318
15402442686464; 1.964507; 5.424529; 7.695318
15402454220800; 1.964507; 5.424529; 7.695318
15402468900864; 2.878566; 5.668597; 5.412565
15402470998016; 2.878566; 5.668597; 5.412565
15402472046592; 2.878566; 5.668597; 5.412565
15402488823808; 2.878566; 5.668597; 5.412565
15402490920960; 2.878566; 5.668597; 5.412565
15402494066688; 2.878566; 5.668597; 5.412565
15402503503872; 2.878566; 5.668597; 5.412565
15402509795328; 2.878566; 5.668597; 5.412565
15402520281088; 2.878566; 5.668597; 5.412565
15402560126976; 4.039084; 3.625126; 3.421736
15402568515584; 4.039084; 3.625126; 3.421736
15402571661312; 4.039084; 3.625126; 3.421736
15402576904192; 4.039084; 3.625126; 3.421736
15402588438528; 4.039084; 3.625126; 3.421736
15402605215744; 4.039084; 3.625126; 3.421736
15402608361472; 2.816352; -1.641476; -0.476172
15402619895808; 2.816352; -1.641476; -0.476172
15402620944384; 2.816352; -1.641476; -0.476172
15402651353088; 2.816352; -1.641476; -0.476172
15402663936000; 6.070591; -14.072190; -4.931607
15402666033152; 6.070591; -14.072190; -4.931607
15402668130304; 6.070591; -14.072190; -4.931607
15402670227456; 6.070591; -14.072190; -4.931607
15402674421760; 6.070591; -14.072190; -4.931607
15402689101824; 6.070591; -14.072190; -4.931607
15402693296128; 6.070591; -14.072190; -4.931607
15402698539008; 6.070591; -14.072190; -4.931607
15402699587584; 6.070591; -14.072190; -4.931607
15402704830464; 6.070591; -14.072190; -4.931607
15402740482048; -0.093320; -13.538590; -7.484749
15402748870656; -0.093320; -13.538590; -7.484749
15402750967808; -0.093320; -13.538590; -7.484749
15402756210688; -0.093320; -13.538590; -7.484749
15402761453568; -0.093320; -13.538590; -7.484749
15402800250880; -1.914258; -11.607583; -8.015956
15402802348032; -1.914258; -11.607583; -8.015956
15402807590912; -1.914258; -11.607583; -8.015956
15402808639488; -1.914258; -11.607583; -8.015956
15402811785216; -1.914258; -11.607583; -8.015956
15402814930944; -1.914258; -11.607583; -8.015956
15402833805312; -2.471786; -9.614362; -6.537191
15402848485376; -2.471786; -9.614362; -6.537191
15402850582528; -2.471786; -9.614362; -6.537191
15402866311168; -2.471786; -9.614362; -6.537191
15402871554048; -0.973879; -9.432507; -7.032506
15402878894080; -0.973879; -9.432507; -7.032506
15402880991232; -0.973879; -9.432507; -7.032506
15402917691392; 0.904487; -9.559326; -7.046863
15402940760064; 0.780060; -9.245867; -6.829116
15403002626048; 3.455236; -8.233703; -9.769895
15403048763392; 4.919643; -9.008977; -9.293723
15403057152000; 4.919643; -9.008977; -9.293723
15403060297728; 4.919643; -9.008977; -9.293723
15403062394880; 4.919643; -9.008977; -9.293723
15403068686336; 5.237889; -8.405986; -7.625926
15403072880640; 5.237889; -8.405986; -7.625926
15403079172096; 5.237889; -8.405986; -7.625926
15403081269248; 5.237889; -8.405986; -7.625926
15403083366400; 5.237889; -8.405986; -7.625926
15403084414976; 5.771488; -6.831509; -6.999006
15403092803584; 5.771488; -6.831509; -6.999006
15403093852160; 5.771488; -6.831509; -6.999006
15403093852160; 5.771488; -6.831509; -6.999006
15403109580800; 9.236296; -6.113662; -6.814759
15403124260864; 11.944971; -4.565506; -7.546963
15403135795200; 11.944971; -4.565506; -7.546963
15403142086656; 12.189038; -2.955136; -7.109076
15403153620992; 12.189038; -2.955136; -7.109076
15403169349632; 10.583454; -1.818545; -6.415157
15403181932544; 11.468799; -1.239482; -6.077769
15403205001216; 10.447063; -0.504886; -4.723432
15403221778432; 8.688339; -1.737189; -3.093920
15403246944256; 7.496713; -2.019542; -2.256432
15403268964352; 6.898508; -2.065006; -2.574677
15403283644416; 7.166504; -1.842473; -3.259024
15403299373056; 6.738189; -1.244268; -3.349952
15403320344576; 6.453443; -2.679961; -3.381058
15403338170368; 7.135397; -4.412365; -2.670390
15403358093312; 6.290731; -4.689932; -2.524428
15403375919104; 6.606583; -4.945964; -1.957329
15403395842048; 8.394022; -5.498706; -1.940579
15403415764992; 8.874979; -4.685147; -2.021935
15403433590784; 9.269794; -4.197011; -1.902294
15403467145216; 9.600004; -4.835895; -2.043471
15403474485248; 10.033105; -4.893322; -2.153540
15403491262464; 10.329815; -4.651647; -1.847259
15403510136832; 10.133604; -3.517449; -1.167697
15403530059776; 10.557134; -3.512664; -0.212961
15403548934144; 10.200603; -4.500899; -0.332602
15403567808512; 9.049655; -3.134598; -0.057428
15403627577344; 8.702696; -1.624727; 0.593420
15403664277504; 10.554741; -0.763310; 0.717847
15403670568960; 10.554741; -0.763310; 0.717847
15403692589056; 11.408978; -0.696311; 0.366102
15403717754880; 9.939785; -0.023928; -0.543171
15403719852032; 9.939785; -0.023928; -0.543171
15403752357888; 10.100104; -0.993021; -1.038485
15403759697920; 10.313066; -4.163511; -1.256232
15403770183680; 9.451650; -4.912465; -0.830309
15403774377984; 9.451650; -4.912465; -0.830309
15403783815168; 9.087940; -4.570291; -0.593420
15403800592384; 9.332008; -3.558127; -0.433101
15403819466752; 9.657433; -2.629712; -0.200997
15403839389696; 9.798609; -2.203790; -0.138784
15403858264064; 10.028319; -2.754139; 0.064606
15403877138432; 9.956535; -2.364109; 0.277567
15403897061376; 9.602397; -1.634298; 0.461815
15403915935744; 9.597611; -2.041078; 0.229711
15403936907264; 9.741181; -2.639283; 0.112463
15403954733056; 9.951750; -2.854637; 0.114855
15403974656000; 9.638289; -1.435694; 0.669990
15403993530368; 9.272188; -0.638884; 0.926022
15404014501888; 9.726824; -1.655833; 0.466600
15404033376256; 9.667004; -2.545963; 0.131605
15404051202048; 8.858230; -2.167897; 0.055035
15404070076416; 9.262616; -1.897508; 0.117248
15404089999360; 9.903893; -2.208575; -0.174676
15404108873728; 9.760324; -2.189433; -0.220140
15404128796672; 9.432507; -1.579263; -0.179462
15404147671040; 9.494720; -1.404587; -0.145962
15404166545408; 9.796216; -1.722832; -0.239282
15404186468352; 9.638289; -2.017149; -0.145962
15404205342720; 9.233903; -1.916651; 0.066999
15404225265664; 9.174082; -1.761117; 0.069392
15404244140032; 9.449257; -2.153540; 0.050249
15404264062976; 9.552148; -2.572284; 0.253639
15404283985920; 9.420543; -2.383251; 0.260818
15404302860288; 9.399008; -1.646262; 0.184247
15404323831808; 9.442079; -1.141376; 0.196211
15404341657600; 9.549755; -1.179662; 0.339781
15404360531968; 9.671789; -1.576870; 0.346959
15404380454912; 9.640682; -1.519442; 0.325424
15404400377856; 9.616755; -1.127020; 0.425922
15404419252224; 9.707682; -1.110270; 0.428315
15404438126592; 9.724431; -1.361516; 0.346959
15404457000960; 9.614362; -1.682154; 0.411565
15404476923904; 9.590433; -1.395016; 0.399601
15404495798272; 9.623933; -1.244268; 0.397209
15404515721216; 9.745967; -1.421337; 0.430708
15404534595584; 9.698111; -1.505085; 0.392423
15404553469952; 9.643075; -1.301695; 0.325424
15404574441472; 9.647861; -1.349552; 0.401994
15404592267264; 9.659825; -1.464407; 0.409173
15404612190208; 9.621540; -1.617548; 0.330210
15404631064576; 9.638289; -1.361516; 0.361316
15404652036096; 9.611969; -1.100698; 0.342174
15404670910464; 9.643075; -1.184447; 0.239282
15404689784832; 9.695718; -1.445265; 0.296710
15404708659200; 9.616755; -1.576870; 0.232104
15404728582144; 9.542577; -1.330409; 0.263211
15404746407936; 9.578469; -1.182054; 0.291924
15404766330880; 9.614362; -1.217947; 0.241675
15404785205248; 9.647861; -1.304088; 0.246461
15404805128192; 9.638289; -1.440479; 0.205783
15404824002560; 9.592826; -1.203590; 0.184247
