time; x; y; z
6562861023232; 1.895115; 5.778666; 7.716853
6562861023232; 1.895115; 5.778666; 7.716853
6562862596096; 1.895115; 5.778666; 7.716853
6562874654720; 1.895115; 5.778666; 7.716853
6562893529088; 2.467000; 4.965107; 7.582855
6562899820544; 2.467000; 4.965107; 7.582855
6562900344832; 2.467000; 4.965107; 7.582855
6562903490560; 2.467000; 4.965107; 7.582855
6562922364928; 2.493321; 5.261817; 7.578069
6562923937792; 2.493321; 5.261817; 7.578069
6562929704960; 2.493321; 5.261817; 7.578069
6562950676480; 2.644069; 4.788038; 8.410771
6562957492224; 2.644069; 4.788038; 8.410771
6562958540800; 2.644069; 4.788038; 8.410771
6562963259392; 2.644069; 4.788038; 8.410771
6562967977984; 2.644069; 4.788038; 8.410771
6562972172288; 2.644069; 4.788038; 8.410771
6563002580992; 2.244468; 5.510671; 8.087741
6563009396736; 2.244468; 5.510671; 8.087741
6563015688192; 2.244468; 5.510671; 8.087741
6563018309632; 2.244468; 5.510671; 8.087741
6563023028224; 2.244468; 5.510671; 8.087741
6563027222528; 2.244468; 5.510671; 8.087741
6563056582656; 2.488536; 5.123033; 8.173882
6563060776960; 2.488536; 5.123033; 8.173882
6563069689856; 2.488536; 5.123033; 8.173882
6563074932736; 2.488536; 5.123033; 8.173882
6563078602752; 2.488536; 5.123033; 8.173882
6563107962880; 2.237289; 5.230711; 7.750352
6563131031552; 2.237289; 5.230711; 7.750352
6563132604416; 2.237289; 5.230711; 7.750352
6563140993024; 2.237289; 5.230711; 7.750352
6563148857344; 2.237289; 5.230711; 7.750352
6563161440256; 2.510071; 5.259424; 7.302895
6563205480448; 2.510071; 5.259424; 7.302895
6563224879104; 4.331009; 5.273781; 5.173283
6563228549120; 4.331009; 5.273781; 5.173283
6563232219136; 4.331009; 5.273781; 5.173283
6563247423488; 4.331009; 5.273781; 5.173283
6563258957824; 4.331009; 5.273781; 5.173283
6563273113600; 2.488536; 4.618148; 6.022735
6563280977920; 2.488536; 4.618148; 6.022735
6563282550784; 2.488536; 4.618148; 6.022735
6563285172224; 2.488536; 4.618148; 6.022735
6563289890816; 2.488536; 4.618148; 6.022735
6563307716608; 2.488536; 4.618148; 6.022735
6563315056640; 2.488536; 4.618148; 6.022735
6563324493824; 2.488536; 4.618148; 6.022735
6563330785280; 3.187240; 2.055435; 6.635297
6563338125312; 3.187240; 2.055435; 6.635297
6563342843904; 3.187240; 2.055435; 6.635297
6563373252608; 3.187240; 2.055435; 6.635297
6563375349760; 3.187240; 2.055435; 6.635297
6563376922624; 3.187240; 2.055435; 6.635297
6563381116928; 3.187240; 2.055435; 6.635297
6563391078400; 2.641676; -4.634897; 3.323631
6563391602688; 2.641676; -4.634897; 3.323631
6563412574208; 2.641676; -4.634897; 3.323631
6563422011392; 2.641676; -4.634897; 3.323631
6563425681408; 2.641676; -4.634897; 3.323631
6563426729984; 2.641676; -4.634897; 3.323631
6563437740032; 2.641676; -4.634897; 3.323631
6563446128640; 1.318445; -10.011570; 1.816152
6563462381568; 1.318445; -10.011570; 1.816152
6563473391616; 1.318445; -10.011570; 1.816152
6563474964480; 1.318445; -10.011570; 1.816152
6563479683072; 1.318445; -10.011570; 1.816152
6563484925952; 1.318445; -10.011570; 1.816152
6563488595968; 1.318445; -10.011570; 1.816152
6563503800320; 0.272782; -12.665211; 0.282353
6563512188928; 0.272782; -12.665211; 0.282353
6563515334656; 0.272782; -12.665211; 0.282353
6563520577536; 0.272782; -12.665211; 0.282353
6563522150400; 0.272782; -12.665211; 0.282353
6563532636160; 0.272782; -12.665211; 0.282353
6563560947712; 0.284746; -11.349157; 1.038485
6563570384896; 0.284746; -11.349157; 1.038485
6563577724928; 0.284746; -11.349157; 1.038485
6563579297792; 0.284746; -11.349157; 1.038485
6563601842176; 0.299103; -13.179667; -0.081356
6563612852224; 0.263211; -12.736995; 0.299103
6563617046528; 0.263211; -12.736995; 0.299103
6563624910848; 0.263211; -12.736995; 0.299103
6563627532288; 0.263211; -12.736995; 0.299103
6563636445184; 0.263211; -12.736995; 0.299103
6563651125248; 0.263211; -12.736995; 0.299103
6563697786880; 1.584049; -11.145768; 0.464208
6563701981184; 1.584049; -11.145768; 0.464208
6563731341312; 2.024328; -9.982856; 0.100499
6563737632768; 2.024328; -9.982856; 0.100499
6563744972800; 2.024328; -9.982856; 0.100499
6563751788544; 2.373680; -10.449456; -0.564706
6563755458560; 2.373680; -10.449456; -0.564706
6563767517184; 2.711068; -10.183853; -0.849452
6563808935936; 2.536392; -9.042477; -0.966700
6563809984512; 2.536392; -9.042477; -0.966700
6563826761728; 2.684747; -9.183653; -1.048056
6563846160384; 3.170490; -9.418150; -1.007378
6563877093376; 3.390630; -9.267402; -0.564706
6563879714816; 3.390630; -9.267402; -0.564706
6563898589184; 3.517449; -8.286345; -0.358923
6563917463552; 3.617948; -7.546963; -0.710668
6563944726528; 4.240082; -8.386844; -0.198604
6563953639424; 4.240082; -8.386844; -0.198604
6563980902400; 4.878965; -7.515856; 0.337388
6563990863872; 4.878965; -7.515856; 0.337388
6564005019648; 5.046463; -7.281359; 0.703490
6564021796864; 5.948557; -8.338987; 1.471586
6564025991168; 5.948557; -8.338987; 1.471586
6564053254144; 6.604190; -8.042277; 1.588834
6564076322816; 6.001199; -5.960521; 1.619941
6564102537216; 7.176075; -6.814759; 1.797010
6564127178752; 8.075776; -7.247860; 2.005185
6564135567360; 8.082955; -7.180861; 2.464607
6564147625984; 8.082955; -7.180861; 2.464607
6564173840384; 9.109476; -6.728617; 3.232703
6564194811904; 9.391829; -7.338787; 2.801995
6564210540544; 8.712267; -6.936793; 2.488536
6564221026304; 8.712267; -6.936793; 2.488536
6564233084928; 8.477771; -6.326623; 2.280360
6564243046400; 8.477771; -6.326623; 2.280360
6564263493632; 8.606983; -5.848059; 2.352145
6564270833664; 8.604590; -5.960521; 1.935794
6564287610880; 8.580662; -6.247660; 1.430908
6564294950912; 8.580662; -6.247660; 1.430908
6564313300992; 8.362915; -6.041877; 1.127020
6564337418240; 8.226524; -5.608776; 1.103091
6564350001152; 8.434700; -5.022535; 1.299303
6564368875520; 8.604590; -4.869394; 1.093520
6564387225600; 8.561520; -4.675575; 0.868595
6564406099968; 8.755338; -4.721039; 0.911665
6564425498624; 8.989835; -4.867001; 0.985843
6564444372992; 8.839087; -4.910072; 0.703490
6564463771648; 8.429914; -4.790431; 0.559920
6564483170304; 8.494520; -4.579863; 0.476172
6564504666112; 8.977871; -4.642076; 0.588634
6564520394752; 9.188439; -4.637290; 0.461815
