time; x; y; z
37976256020480; -0.279960; 5.592027; 8.059027
37976272797696; -0.279960; 5.592027; 8.059027
37976285380608; -0.232104; 5.644669; 7.992028
37976302157824; -0.232104; 5.644669; 7.992028
37976318935040; -0.232104; 5.644669; 7.992028
37976323129344; -0.232104; 5.644669; 7.992028
37976415404032; -0.634098; 5.469993; 8.171490
37976448958464; -0.634098; 5.469993; 8.171490
37976457347072; -0.521635; 5.668597; 7.786245
37976465735680; -0.521635; 5.668597; 7.786245
37976469929984; -0.521635; 5.668597; 7.786245
37976490901504; -0.521635; 5.668597; 7.786245
37976528650240; -1.119841; 6.745367; 6.888937
37976541233152; -1.119841; 6.745367; 6.888937
37976541233152; -1.119841; 6.745367; 6.888937
37976545427456; -1.119841; 6.745367; 6.888937
37976549621760; -1.119841; 6.745367; 6.888937
37976553816064; -1.119841; 6.745367; 6.888937
37976553816064; -1.119841; 6.745367; 6.888937
37976562204672; -1.119841; 6.745367; 6.888937
37976562204672; -1.119841; 6.745367; 6.888937
37976566398976; -1.119841; 6.745367; 6.888937
37976570593280; -3.024528; 9.621540; 5.166104
37976574787584; -3.024528; 9.621540; 5.166104
37976591564800; -3.024528; 9.621540; 5.166104
37976595759104; -3.024528; 9.621540; 5.166104
37976595759104; -3.024528; 9.621540; 5.166104
37976599953408; -3.024528; 9.621540; 5.166104
37976604147712; -3.024528; 9.621540; 5.166104
37976608342016; -3.024528; 9.621540; 5.166104
37976620924928; -3.024528; 9.621540; 5.166104
37976620924928; -3.024528; 9.621540; 5.166104
37976629313536; -3.962514; 6.721439; 3.649055
37976633507840; -3.962514; 6.721439; 3.649055
37976633507840; -3.962514; 6.721439; 3.649055
37976637702144; -3.962514; 6.721439; 3.649055
37976662867968; -3.962514; 6.721439; 3.649055
37976662867968; -3.962514; 6.721439; 3.649055
37976667062272; -3.962514; 6.721439; 3.649055
37976667062272; -3.962514; 6.721439; 3.649055
37976679645184; -5.364708; -1.878366; 1.677369
37976679645184; -5.364708; -1.878366; 1.677369
37976704811008; -5.364708; -1.878366; 1.677369
37976704811008; -5.364708; -1.878366; 1.677369
37976713199616; -5.364708; -1.878366; 1.677369
37976713199616; -5.364708; -1.878366; 1.677369
37976713199616; -5.364708; -1.878366; 1.677369
37976734171136; 1.105484; -9.868001; -2.050649
37976746754048; 1.105484; -9.868001; -2.050649
37976746754048; 1.105484; -9.868001; -2.050649
37976750948352; 1.105484; -9.868001; -2.050649
37976755142656; 1.105484; -9.868001; -2.050649
37976759336960; 1.105484; -9.868001; -2.050649
37976784502784; 1.105484; -9.868001; -2.050649
37976792891392; 2.069792; -12.464213; -5.888737
37976797085696; 2.069792; -12.464213; -5.888737
37976801280000; 2.069792; -12.464213; -5.888737
37976801280000; 2.069792; -12.464213; -5.888737
37976813862912; 2.069792; -12.464213; -5.888737
37976851611648; 4.383651; -11.313266; -5.960521
37976864194560; 4.383651; -11.313266; -5.960521
37976864194560; 4.383651; -11.313266; -5.960521
37976872583168; 4.383651; -11.313266; -5.960521
37976880971776; 4.383651; -11.313266; -5.960521
37976880971776; 4.383651; -11.313266; -5.960521
37976910331904; 3.455236; -9.413364; -4.685147
37976931303424; 3.074777; -8.932407; -5.113462
37976943886336; 3.074777; -8.932407; -5.113462
37976943886336; 3.074777; -8.932407; -5.113462
