time; x; y; z
11325462806528; -16.857435; -8.044670; 8.114061
11325480632320; -15.395421; -7.484749; 7.362715
11325500555264; -13.502698; -5.223532; 5.977271
11325519429632; -12.406785; -4.630112; 4.907679
11325538304000; -10.894522; -1.861616; 3.625126
11325557178368; -8.901300; -0.291924; 2.096113
11325576052736; -7.712068; 0.193819; 0.284746
11325595975680; -6.671189; 0.078963; -0.229711
11325614850048; -5.484350; 1.337588; -1.296910
11325634772992; -3.067599; 2.648855; -3.763910
11325653647360; -1.038485; 3.302095; -4.433900
11325672521728; -0.270389; 3.823730; -4.797609
11325692444672; 0.253639; 5.319245; -5.108676
11325711319040; 0.832702; 4.498507; -5.560920
11325731241984; 0.409173; 2.955136; -4.060620
11325751164928; 1.026521; -0.339781; -1.785046
11325768990720; 1.287339; 0.808774; -3.495914
11325794156544; 0.789631; -0.234497; -5.438886
11325808836608; 1.028914; -3.335595; -4.857430
11325828759552; 2.333002; -3.744767; -5.034499
11325853925376; 3.716053; -3.763910; -4.517649
11325865459712; 4.833502; -5.424529; -3.708875
11325887479808; 4.867001; -6.623333; -4.484149
11325904257024; 5.814559; -9.123833; -4.086941
11325924179968; 0.935594; -11.815758; -5.606383
11325943054336; -4.438686; -13.926228; -6.223732
11325968220160; -11.698510; -15.120246; -3.756732
11325981851648; -22.810778; -20.539989; -4.287938
11326000726016; -31.063623; -24.155544; -5.620740
11326020648960; -31.341190; -24.193830; -5.426922
11326040571904; -30.738199; -14.445470; -9.879965
11326059446272; -22.628923; -10.174282; -10.140782
11326081466368; -12.181860; -6.999006; -6.678368
11326103486464; -4.565506; -10.205389; -3.572484
11326116069376; -7.238288; -12.220145; -4.883751
11326135992320; -7.604390; -11.724831; -4.438686
11326155915264; -12.658031; -10.884951; 1.617548
11326174789632; -21.123838; -10.332209; 1.399801
11326193664000; -21.257837; -12.150753; 1.095913
11326212538368; -19.159330; -12.165111; -5.572884
11326231412736; -15.424135; -11.212767; -2.230111
11326251335680; -9.410972; -9.662218; -1.801795
11326270210048; -8.556734; -9.590433; -3.955336
11326295375872; -11.071590; -11.411371; -5.529813
11326311104512; -12.122040; -9.616755; -7.771888
11326337318912; -11.102697; -9.205189; -10.863415
11326348853248; -11.976077; -11.279766; -12.746566
11326367727616; -10.930414; -13.170095; -10.468599
11326388699136; -7.539784; -15.900307; -10.939985
11326406524928; -7.671390; -18.742979; -15.110675
11326428545024; -3.924229; -12.217752; -12.815958
11326446370816; -1.746760; -6.149554; -10.978271
11326469439488; 0.595813; -0.870987; -8.817552
11326483070976; 8.116454; 3.909872; -7.755138
11326502993920; 9.339187; 4.575077; -6.975078
11326525014016; 6.867401; 2.474179; -5.242674
11326544936960; 8.408379; 1.485943; -4.905286
11326560665600; 7.661818; 0.114855; -3.634698
11326587928576; 5.335995; -0.186640; -2.502892
11326599462912; 3.512664; -0.667598; -2.629712
11326618337280; 1.899901; -1.854438; -3.680161
11326637211648; 0.691526; -2.931208; -3.806981
11326656086016; -0.447458; -4.859823; -3.321238
11326674960384; 0.160319; -4.445865; -2.974278
11326694883328; 0.555135; -4.194618; -3.503092
11326714806272; 0.275175; -4.287938; -3.790231
11326734729216; -0.746561; -4.835895; -3.182454
11326753603584; -1.399801; -4.354937; -2.373680
11326771429376; -2.053042; -3.010171; -2.486143
11326791352320; -2.864209; -2.170290; -3.275774
11326810226688; -4.522435; -3.773481; -3.981657
11326829101056; -6.680761; -7.951350; -3.110669
11326849024000; -7.216753; -8.169097; -1.710868
11326867898368; -8.396415; -7.068398; -1.344766
11326887821312; -15.292529; -13.509876; -1.246661
11326906695680; -16.197016; -21.705294; 5.032106
11326927667200; -11.298908; -21.370298; 12.220145
11326948638720; -16.079767; -20.482561; 11.633904
11326965415936; -25.574488; -28.144381; 7.551748
11326984290304; -26.263622; -28.005596; 1.603191
11327003164672; -27.646673; -20.317457; -2.505285
11327022039040; -32.901310; -18.460627; -3.335595
11327043010560; -32.295929; -21.690937; -0.490529
11327060836352; -21.104696; -18.419949; -2.108077
11327080759296; -12.650853; -15.046069; -7.348358
11327145771008; -10.748559; -14.646467; -10.738988
11327173033984; 2.000400; -12.490534; -10.887343
11327175131136; 2.000400; -12.490534; -10.887343
11327207636992; -11.516655; -13.337593; -9.576077
11327236997120; -7.293324; -10.600204; -7.826923
11327238045696; -7.293324; -10.600204; -7.826923
11327260065792; -4.376472; -7.401000; -13.904693
11327263211520; -4.376472; -7.401000; -13.904693
11327274745856; -4.376472; -7.401000; -13.904693
11327282085888; -2.644069; -8.685946; -11.263016
11327293620224; -3.278167; -5.639883; -13.509876
