time; x; y; z
20513120321536; -0.095713; 5.685347; 7.905886
20513135001600; -0.026321; 5.663811; 8.142776
20513141293056; -0.026321; 5.663811; 8.142776
20513145487360; -0.026321; 5.663811; 8.142776
20513160167424; -0.026321; 5.663811; 8.142776
20513172750336; -0.026321; 5.663811; 8.142776
20513174847488; -0.026321; 5.663811; 8.142776
20513179041792; -0.026321; 5.663811; 8.142776
20513193721856; -0.026321; 5.776274; 8.147561
20513195819008; -0.026321; 5.776274; 8.147561
20513206304768; -0.026321; 5.776274; 8.147561
20513210499072; -0.026321; 5.776274; 8.147561
20513212596224; -0.026321; 5.776274; 8.147561
20513225179136; -0.026321; 5.776274; 8.147561
20513231470592; -0.026321; 5.776274; 8.147561
20513254539264; 0.028714; 5.541777; 7.944171
20513262927872; 0.028714; 5.541777; 7.944171
20513271316480; 0.028714; 5.541777; 7.944171
20513311162368; -0.047856; 5.910272; 7.503892
20513323745280; -0.047856; 5.910272; 7.503892
20513330036736; -0.047856; 5.910272; 7.503892
20513340522496; -0.047856; 5.910272; 7.503892
20513344716800; -0.047856; 5.910272; 7.503892
20513351008256; -0.047856; 5.910272; 7.503892
20513397145600; -1.531407; 6.357730; 6.001199
20513403437056; -1.531407; 6.357730; 6.001199
20513409728512; -1.531407; 6.357730; 6.001199
20513418117120; -2.519642; 7.164111; 5.113462
20513424408576; -2.519642; 7.164111; 5.113462
20513426505728; -2.519642; 7.164111; 5.113462
20513457963008; -2.519642; 7.164111; 5.113462
20513468448768; -2.519642; 7.164111; 5.113462
20513481031680; -2.778067; 5.797809; 5.091927
20513493614592; -2.778067; 5.797809; 5.091927
20513504100352; -2.778067; 5.797809; 5.091927
20513508294656; -2.778067; 5.797809; 5.091927
20513611055104; -2.165504; -9.530613; 2.342573
20513640415232; -2.165504; -9.530613; 2.342573
20513650900992; 1.184447; -17.771494; 0.141177
20513667678208; 1.184447; -17.771494; 0.141177
20513671872512; 1.184447; -17.771494; 0.141177
20513673969664; 1.184447; -17.771494; 0.141177
20513684455424; 1.184447; -17.771494; 0.141177
20513734787072; 3.402594; -12.535997; -0.624527
20513738981376; 3.402594; -12.535997; -0.624527
20513755758592; 3.402594; -12.535997; -0.624527
20513774632960; 3.402594; -12.535997; -0.624527
20513814478848; 1.782653; -8.054241; -1.978864
20513963376640; -9.518648; -7.472785; -2.622534
20513969668096; -9.518648; -7.472785; -2.622534
20513975959552; -10.980663; -8.037491; -4.204189
20513988542464; -10.980663; -8.037491; -4.204189
20513994833920; -11.016556; -8.894122; -4.421936
20513999028224; -11.016556; -8.894122; -4.421936
