time; x; y; z
83536065331200; -1.540978; 5.008178; 8.147561
83536082108416; -1.540978; 5.008178; 8.147561
83536098885632; -1.540978; 5.008178; 8.147561
83536107274240; -1.540978; 5.008178; 8.147561
83536124051456; -1.804188; 4.570291; 8.114061
83536124051456; -1.804188; 4.570291; 8.114061
83536132440064; -1.804188; 4.570291; 8.114061
83536140828672; -1.804188; 4.570291; 8.114061
83536140828672; -1.804188; 4.570291; 8.114061
83536140828672; -1.804188; 4.570291; 8.114061
83536149217280; -1.804188; 4.570291; 8.114061
83536165994496; -1.804188; 4.570291; 8.114061
83536199548928; -2.194218; 5.113462; 8.006385
83536199548928; -2.194218; 5.113462; 8.006385
83536199548928; -2.194218; 5.113462; 8.006385
83536199548928; -2.194218; 5.113462; 8.006385
83536207937536; -2.194218; 5.113462; 8.006385
83536207937536; -2.194218; 5.113462; 8.006385
83536233103360; -2.244468; 4.747360; 8.099705
83536249880576; -2.244468; 4.747360; 8.099705
83536249880576; -2.244468; 4.747360; 8.099705
83536249880576; -2.244468; 4.747360; 8.099705
83536258269184; -2.244468; 4.747360; 8.099705
83536258269184; -2.244468; 4.747360; 8.099705
83536291823616; -2.969493; 5.764310; 6.996614
83536291823616; -2.969493; 5.764310; 6.996614
83536300212224; -2.969493; 5.764310; 6.996614
83536300212224; -2.969493; 5.764310; 6.996614
83536308600832; -2.969493; 5.764310; 6.996614
83536308600832; -2.969493; 5.764310; 6.996614
83536350543872; -4.206582; 7.774281; 4.871787
83536350543872; -4.206582; 7.774281; 4.871787
83536358932480; -4.206582; 7.774281; 4.871787
83536358932480; -4.206582; 7.774281; 4.871787
83536358932480; -4.206582; 7.774281; 4.871787
83536367321088; -4.206582; 7.774281; 4.871787
83536409264128; -4.091727; 7.640283; 0.978664
83536409264128; -4.091727; 7.640283; 0.978664
83536417652736; -4.091727; 7.640283; 0.978664
83536417652736; -4.091727; 7.640283; 0.978664
83536417652736; -4.091727; 7.640283; 0.978664
83536426041344; -4.091727; 7.640283; 0.978664
83536467984384; -1.428515; -6.754938; -2.194218
83536476372992; -1.428515; -6.754938; -2.194218
83536476372992; -1.428515; -6.754938; -2.194218
83536484761600; -1.428515; -6.754938; -2.194218
83536484761600; -1.428515; -6.754938; -2.194218
83536484761600; -1.428515; -6.754938; -2.194218
83536526704640; 2.141576; -20.858234; -1.765903
83536526704640; 2.141576; -20.858234; -1.765903
83536535093248; 2.141576; -20.858234; -1.765903
83536535093248; 2.141576; -20.858234; -1.765903
83536543481856; 2.141576; -20.858234; -1.765903
83536543481856; 2.141576; -20.858234; -1.765903
83536585424896; 4.852644; -13.067204; -0.413958
83536593813504; 4.852644; -13.067204; -0.413958
83536593813504; 4.852644; -13.067204; -0.413958
83536593813504; 4.852644; -13.067204; -0.413958
83536602202112; 4.852644; -13.067204; -0.413958
83536602202112; 4.852644; -13.067204; -0.413958
83536644145152; 1.220340; -11.767901; -0.440279
83536652533760; 1.220340; -11.767901; -0.440279
83536660922368; 1.220340; -11.767901; -0.440279
83536660922368; 1.220340; -11.767901; -0.440279
83536660922368; 1.220340; -11.767901; -0.440279
83536660922368; 1.220340; -11.767901; -0.440279
83536753197056; -2.045863; -4.137190; 2.187040
83536761585664; -2.045863; -4.137190; 2.187040
83536769974272; -2.045863; -4.137190; 2.187040
83536769974272; -2.045863; -4.137190; 2.187040
83536778362880; -2.045863; -4.137190; 2.187040
83536786751488; -2.045863; -4.137190; 2.187040
83536795140096; -2.045863; -4.137190; 2.187040
83536803528704; -7.475178; -4.029513; -2.969493
83536803528704; -7.475178; -4.029513; -2.969493
83536828694528; -7.475178; -4.029513; -2.969493
83536879026176; -11.169696; -6.077769; -5.027320
83536937746432; -17.374285; -9.702896; -5.831309
83536946135040; -17.374285; -9.702896; -5.831309
83536946135040; -17.374285; -9.702896; -5.831309
83536954523648; -19.606789; -7.527820; -8.082955
83536962912256; -19.606789; -7.527820; -8.082955
83537004855296; -21.552153; -8.530413; -13.296915
83537021632512; -19.197617; -8.740981; -12.954741
83537030021120; -17.776279; -7.637890; -12.856636
83537046798336; -17.776279; -7.637890; -12.856636
83537046798336; -17.776279; -7.637890; -12.856636
83537055186944; -16.783258; -8.432307; -13.777873
83537055186944; -16.783258; -8.432307; -13.777873
83537071964160; -15.661024; -9.908679; -13.643875
83537080352768; -15.661024; -9.908679; -13.643875
83537097129984; -14.397614; -9.755538; -12.203396
83537105518592; -14.397614; -9.755538; -12.203396
83537105518592; -14.397614; -9.755538; -12.203396
83537122295808; -12.844672; -7.147361; -11.944971
83537130684416; -10.928021; -5.089534; -13.074383
83537139073024; -10.928021; -5.089534; -13.074383
83537147461632; -10.928021; -5.089534; -13.074383
83537155850240; -10.181460; -4.670790; -14.730216
83537155850240; -10.181460; -4.670790; -14.730216
83537172627456; -9.856036; -4.508078; -15.529419
83537172627456; -9.856036; -4.508078; -15.529419
83537189404672; -9.856036; -4.508078; -15.529419
83537189404672; -8.791230; 0.569492; -13.852050
83537197793280; -8.791230; 0.569492; -13.852050
83537214570496; -7.331609; -3.732803; -13.569697
