time; x; y; z
15727991980032; -1.124627; 4.768896; 8.183454
15727995125760; -1.124627; 4.768896; 8.183454
15728001417216; -1.124627; 4.768896; 8.183454
15728004562944; -1.124627; 4.768896; 8.183454
15728008757248; -1.124627; 4.768896; 8.183454
15728011902976; -1.124627; 4.768896; 8.183454
15728060137472; -1.335195; 4.764110; 7.896315
15728062234624; -1.335195; 4.764110; 7.896315
15728073768960; -1.335195; 4.764110; 7.896315
15728085303296; -1.335195; 4.764110; 7.896315
15728088449024; -1.335195; 4.764110; 7.896315
15728095789056; -1.335195; 4.764110; 7.896315
15728119906304; -2.256432; 6.252446; 7.733603
15728128294912; -2.256432; 6.252446; 7.733603
15728132489216; -2.256432; 6.252446; 7.733603
15728135634944; -2.256432; 6.252446; 7.733603
15728146120704; -2.256432; 6.252446; 7.733603
15728151363584; -2.256432; 6.252446; 7.733603
15728174432256; -2.132005; 5.005785; 8.324630
15728177577984; -2.132005; 5.005785; 8.324630
15728185966592; -2.132005; 5.005785; 8.324630
15728191209472; -2.132005; 5.005785; 8.324630
15728204840960; -1.813760; 4.905286; 8.525627
15728207986688; -1.813760; 4.905286; 8.525627
15728232103936; -1.813760; 4.905286; 8.525627
15728234201088; -1.813760; 4.905286; 8.525627
15728239443968; -1.813760; 4.905286; 8.525627
15728249929728; -1.813760; 4.905286; 8.525627
15728267755520; -1.830509; 5.467600; 8.092526
15728277192704; -1.830509; 5.467600; 8.092526
15728279289856; -1.830509; 5.467600; 8.092526
15728285581312; -1.830509; 5.467600; 8.092526
15728288727040; -1.830509; 5.467600; 8.092526
15728310747136; -1.830509; 5.467600; 8.092526
15728348495872; -2.093720; 5.371887; 8.068598
15728352690176; -2.093720; 5.371887; 8.068598
15728373661696; -1.907080; 4.979464; 8.169097
15728384147456; -1.907080; 4.979464; 8.169097
15728390438912; -1.907080; 4.979464; 8.169097
15728432381952; -1.904687; 5.149354; 7.558927
15728447062016; -1.904687; 5.149354; 7.558927
15728452304896; -1.904687; 5.149354; 7.558927
15728459644928; -1.904687; 5.149354; 7.558927
15728466984960; -1.904687; 5.149354; 7.558927
