time; x; y; z
81032376221696; -0.078963; 4.498507; 8.709874
81032376221696; -0.078963; 4.498507; 8.709874
81032384610304; -0.078963; 4.498507; 8.709874
81032392998912; -0.078963; 4.498507; 8.709874
81032401387520; -0.078963; 4.498507; 8.709874
81032401387520; -0.078963; 4.498507; 8.709874
81032443330560; -0.435494; 3.469593; 9.190832
81032460107776; -0.435494; 3.469593; 9.190832
81032476884992; -0.392423; 3.763910; 9.035298
81032476884992; -0.392423; 3.763910; 9.035298
81032485273600; -0.392423; 3.763910; 9.035298
81032502050816; -0.392423; 3.763910; 9.035298
81032502050816; -0.392423; 3.763910; 9.035298
81032510439424; -0.392423; 3.763910; 9.035298
81032510439424; -0.392423; 3.763910; 9.035298
81032518828032; -0.392423; 3.763910; 9.035298
81032577548288; -0.425922; 4.208975; 8.793623
81032577548288; -0.514457; 4.299902; 8.733803
81032602714112; -0.514457; 4.299902; 8.733803
81032611102720; -0.514457; 4.299902; 8.733803
81032619491328; -0.514457; 4.299902; 8.733803
81032619491328; -0.514457; 4.299902; 8.733803
81032636268544; -0.514457; 4.299902; 8.733803
81032644657152; -0.607777; 3.943372; 8.841479
81032661434368; -0.607777; 3.943372; 8.841479
81032661434368; -0.607777; 3.943372; 8.841479
81032669822976; -0.607777; 3.943372; 8.841479
81032678211584; -0.607777; 3.943372; 8.841479
81032711766016; -0.803988; 4.110869; 8.757730
81032711766016; -0.803988; 4.110869; 8.757730
81032720154624; -0.803988; 4.110869; 8.757730
81032728543232; -0.803988; 4.110869; 8.757730
81032728543232; -0.803988; 4.110869; 8.757730
81032745320448; -0.803988; 4.110869; 8.757730
81032812429312; -1.194018; 4.436293; 8.377272
81032820817920; -4.352544; 4.811966; 7.628319
81032829206528; -4.352544; 4.811966; 7.628319
81032837595136; -4.352544; 4.811966; 7.628319
81032862760960; -4.352544; 4.811966; 7.628319
81032871149568; -4.206582; 4.366901; 7.367501
81032921481216; -4.206582; 4.366901; 7.367501
81032929869824; -4.206582; 4.366901; 7.367501
81032938258432; -5.103891; 1.643869; 8.118847
81032946647040; -5.103891; 1.643869; 8.118847
81032946647040; -5.103891; 1.643869; 8.118847
81032955035648; -5.103891; 1.643869; 8.118847
81032963424256; -4.637290; 1.179662; 8.975478
81032971812864; -4.637290; 1.179662; 8.975478
81032980201472; -4.637290; 1.179662; 8.975478
81032980201472; -4.637290; 1.179662; 8.975478
81032988590080; -4.637290; 1.179662; 8.975478
81033005367296; -4.637290; 1.179662; 8.975478
81033038921728; -4.261617; -2.136791; 8.456235
81033038921728; -4.261617; -2.136791; 8.456235
81033047310336; -4.261617; -2.136791; 8.456235
81033064087552; -4.261617; -2.136791; 8.456235
81033080864768; -2.935993; -5.405386; 8.114061
81033106030592; -2.935993; -5.405386; 8.114061
81033139585024; -1.648655; -9.064013; 6.905686
81033147973632; -1.648655; -9.064013; 6.905686
81033164750848; -1.648655; -9.064013; 6.905686
81033206693888; -1.648655; -9.064013; 6.905686
81033223471104; -0.466600; -11.607583; 4.831109
81033265414144; 1.038485; -10.121640; 4.649254
81033357688832; 1.945365; -8.456235; 3.357130
81033382854656; 1.945365; -8.456235; 3.357130
81033391243264; 1.945365; -8.456235; 3.357130
81033483517952; 2.797210; -11.272588; -1.055235
81033559015424; 3.376273; -9.875179; -2.443072
81033584181248; 4.022335; -9.406186; -2.306681
81033609347072; 3.986443; -8.815159; -2.481357
81033617735680; 3.986443; -8.815159; -2.481357
81033617735680; 3.986443; -8.815159; -2.481357
81033642901504; 4.369294; -8.331808; -1.952543
81033651290112; 4.369294; -8.331808; -1.952543
81033659678720; 4.376472; -8.449057; -1.734796
81033668067328; 4.376472; -8.449057; -1.734796
81033668067328; 4.376472; -8.449057; -1.734796
81033676455936; 4.376472; -8.449057; -1.734796
81033693233152; 4.290331; -8.018349; -2.091327
81033710010368; 4.287938; -7.960921; -2.443072
81033718398976; 4.287938; -7.960921; -2.443072
81033718398976; 4.290331; -7.838887; -2.371287
