time; x; y; z
49747498893312; -0.227318; 4.687540; 7.975278
49747503087616; -0.227318; 4.687540; 7.975278
49747503087616; -0.227318; 4.687540; 7.975278
49747507281920; -0.227318; 4.687540; 7.975278
49747515670528; -0.227318; 4.687540; 7.975278
49747519864832; -0.227318; 4.687540; 7.975278
49747528253440; -0.227318; 4.687540; 7.975278
49747532447744; -0.227318; 4.687540; 7.975278
49747578585088; -0.732204; 6.575477; 8.255239
49747591168000; -0.732204; 6.575477; 8.255239
49747603750912; -0.732204; 6.575477; 8.255239
49747607945216; -0.279960; 5.826523; 7.774281
49747607945216; -0.279960; 5.826523; 7.774281
49747612139520; -0.279960; 5.826523; 7.774281
49747628916736; -0.270389; 5.417350; 7.704889
49747637305344; -0.270389; 5.417350; 7.704889
49747645693952; -0.270389; 5.417350; 7.704889
49747649888256; -0.270389; 5.417350; 7.704889
49747654082560; -0.270389; 5.417350; 7.704889
49747662471168; -0.270389; 5.417350; 7.704889
49747679248384; -0.222533; 6.472585; 7.360322
49747683442688; -0.222533; 6.472585; 7.360322
49747683442688; -0.222533; 6.472585; 7.360322
49747687636992; -0.222533; 6.472585; 7.360322
49747691831296; -0.222533; 6.472585; 7.360322
49747700219904; -0.222533; 6.472585; 7.360322
49747733774336; -0.748953; 6.372087; 6.888937
49747733774336; -0.748953; 6.372087; 6.888937
49747742162944; -0.748953; 6.372087; 6.888937
49747742162944; -0.748953; 6.372087; 6.888937
49747746357248; -0.748953; 6.372087; 6.888937
49747746357248; -0.748953; 6.372087; 6.888937
49747779911680; -1.493121; 7.704889; 5.697311
49747784105984; -1.493121; 7.704889; 5.697311
49747784105984; -1.493121; 7.704889; 5.697311
49747784105984; -1.493121; 7.704889; 5.697311
49747796688896; -1.493121; 7.704889; 5.697311
49747834437632; -2.538785; 9.083155; 3.680161
49747847020544; -2.538785; 9.083155; 3.680161
49747851214848; -2.538785; 9.083155; 3.680161
49747859603456; -2.538785; 9.083155; 3.680161
49747867992064; -2.538785; 9.083155; 3.680161
49747901546496; -2.684747; 2.761317; 2.210968
49747905740800; -2.684747; 2.761317; 2.210968
49747909935104; -2.684747; 2.761317; 2.210968
49747914129408; -2.684747; 2.761317; 2.210968
49747922518016; -2.684747; 2.761317; 2.210968
49747943489536; 1.067199; -8.752945; -3.481557
49747956072448; 1.067199; -8.752945; -3.481557
49747956072448; 1.067199; -8.752945; -3.481557
49747964461056; 1.067199; -8.752945; -3.481557
49747964461056; 1.067199; -8.752945; -3.481557
49747977043968; 1.067199; -8.752945; -3.481557
49747998015488; 0.634098; -13.182060; -3.263810
49748006404096; 0.634098; -13.182060; -3.263810
49748014792704; 0.634098; -13.182060; -3.263810
49748014792704; 0.634098; -13.182060; -3.263810
49748023181312; 0.634098; -13.182060; -3.263810
49748027375616; 0.634098; -13.182060; -3.263810
49748048347136; -0.416351; -9.937392; -0.780060
49748060930048; -0.416351; -9.937392; -0.780060
49748060930048; -0.416351; -9.937392; -0.780060
49748069318656; -0.416351; -9.937392; -0.780060
49748073512960; -0.416351; -9.937392; -0.780060
49748102873088; -3.395415; -6.800402; -2.732604
49748132233216; -3.926622; -7.087541; -2.964707
49748140621824; -3.926622; -7.087541; -2.964707
49748153204736; -3.926622; -7.087541; -2.964707
49748157399040; -3.926622; -7.087541; -2.964707
49748161593344; -3.926622; -7.087541; -2.964707
49748169981952; -3.926622; -7.087541; -2.964707
49748270645248; -9.669396; -6.424729; -5.089534
49748295811072; -11.909079; -8.822337; -9.209974
49748295811072; -11.909079; -8.822337; -9.209974
49748300005376; -11.909079; -8.822337; -9.209974
49748312588288; -13.050455; -6.759724; -8.551949
49748316782592; -13.050455; -6.759724; -8.551949
49748320976896; -13.050455; -6.759724; -8.551949
49748320976896; -13.050455; -6.759724; -8.551949
49748325171200; -13.050455; -6.759724; -8.551949
49748329365504; -13.050455; -6.759724; -8.551949
