time; x; y; z
11733247721472; 3.132205; 0.445065; -3.239882
11733267644416; 2.203790; 1.141376; -3.373880
11733287567360; 1.277767; 0.547956; -3.378666
11733306441728; 1.478764; 0.370888; -5.290531
11733326364672; 1.371087; 2.304288; -8.956335
11733344190464; 1.105484; 2.553142; -7.489535
11733364113408; 1.294517; -1.517050; -4.957929
11733385084928; 1.112663; -3.474379; -5.187640
11733402910720; -2.708675; -1.993221; -0.346959
11733421785088; 0.098106; -2.871387; -2.318645
11733440659456; -1.452443; -6.022735; -1.155733
11733460582400; -2.074577; -7.654640; -0.847059
11733480505344; -4.074977; -9.375079; -1.201197
11733498331136; -4.721039; -12.736995; -1.856830
11733518254080; -5.568098; -15.242280; -3.165704
11733537128448; -5.393422; -13.387843; -5.235496
11733557051392; -0.756132; -16.977077; -6.752545
11733578022912; 4.302295; -19.594824; -4.723432
11733594800128; 9.054440; -19.034904; -7.111469
11733614723072; 16.314264; -16.625332; -10.518848
11733633597440; 22.186251; -13.150953; -14.222938
11733654568960; 22.746172; -14.792430; -13.892728
11733673443328; 16.898113; -14.845072; -9.377472
11733692317696; 7.917850; -16.462620; -7.901100
11733711192064; 2.483750; -18.037098; -6.135197
11733730066432; 3.486343; -18.910477; -3.881158
11733749989376; 4.823930; -15.747166; -0.691526
11733768863744; 8.303095; -15.400207; 0.033500
11733787738112; 16.718653; -18.984655; 3.192025
11733807661056; 17.388641; -20.616560; 8.283952
11733830729728; 13.890335; -16.031912; 4.338187
11733850652672; 14.981462; -16.713865; 5.441278
11733873721344; 16.524834; -17.211573; 7.676175
11733900984320; 19.738394; -16.003199; 8.063812
11733912518656; 19.757536; -12.007184; 4.701897
11733927198720; 19.247866; -11.353944; 2.270789
11733945024512; 19.728823; -6.953543; -1.095913
11733961801728; 17.587246; -3.110669; 0.973879
11733981724672; 15.244673; -8.793623; 4.357330
11734045687808; 13.244273; -15.811772; 1.390230
11734076096512; 4.622933; -6.022735; 0.392423
11734078193664; 4.622933; -6.022735; 0.392423
11734110699520; -0.303888; -1.897508; 1.261018
11734135865344; -4.642076; -9.451650; 1.651048
11734136913920; -4.642076; -9.451650; 1.651048
11734157885440; -7.192825; -5.900701; 1.770689
11734164176896; -7.192825; -5.900701; 1.770689
11734165225472; -7.192825; -5.900701; 1.770689
11734178856960; -2.687140; -5.685347; 0.220140
11734193537024; -0.535992; -5.527421; -1.002593
11734217654272; 0.102891; -5.804988; -1.402194
11734239674368; 1.079163; -4.814359; -1.873580
11734253305856; 1.878366; -4.017549; -3.184847
11734273228800; 3.771089; -4.950750; -4.429115
11734297346048; 4.759324; -5.041677; -3.885944
11734314123264; 4.280760; -3.364309; -3.732803
11734332997632; 3.663411; -4.333402; -4.223332
11734349774848; 3.967300; -6.936793; -2.971886
11734374940672; 3.146562; -4.807181; -0.827917
11734392766464; 3.014956; -6.376873; 0.351745
11734420029440; 3.787838; -12.961920; 0.435494
11734449389568; 6.900900; -19.936998; 4.409972
11734452535296; 6.900900; -19.936998; 4.409972
11734468263936; 11.059627; -27.483961; 4.017549
11734485041152; 14.943177; -27.242287; 3.842873
11734521741312; 25.098316; -21.530619; -3.464807
11734525935616; 25.098316; -21.530619; -3.464807
11734553198592; 29.216364; -21.181267; -6.518049
11734571024384; 24.705894; -18.601803; -6.817152
11734579412992; 18.719051; -14.672789; -5.749953
11734599335936; 15.285351; -11.030912; -4.582255
11734618210304; 13.799408; -10.329815; -7.345965
11734636036096; 8.714660; -11.748759; -8.154739
11734660153344; 5.455636; -13.555340; -6.879365
11734675881984; 13.797015; -13.122239; -6.685546
11734705242112; 9.860822; -13.428520; -9.674182
11734714679296; 7.290931; -12.641282; -8.925228
11734733553664; 5.405386; -12.997812; -7.913064
11734754525184; -0.203390; -9.729217; -6.994221
11734773399552; -1.804188; -14.746966; -4.479364
11734791225344; -1.883151; -9.559326; -3.529413
11734810099712; -0.555135; -10.959127; -6.458228
11734830022656; 2.282753; -10.667203; -9.554541
11734855188480; 3.605984; -9.844072; -7.633104
11734871965696; 4.134798; -8.858230; -5.405386
11734892937216; 5.455636; -9.858429; -6.589834
11734909714432; 6.999006; -12.576675; -10.904093
11734928588800; 5.130212; -11.983255; -10.380065
11734950608896; 0.689133; -9.257831; -5.685347
11734968434688; -2.098505; -6.594619; -2.139184
11734983114752; -3.388237; -5.352744; 1.598405
11735001989120; -2.359323; -6.843473; 2.804388
11735021912064; -1.304088; -7.439286; 1.261018
11735040786432; -0.038285; -9.140582; 1.079163
11735060709376; 0.557528; -10.183853; 1.969293
11735079583744; -0.098106; -8.884550; 2.629712
11735099506688; -0.045464; -8.319844; 2.318645
11735118381056; 0.351745; -7.484749; 1.818545
11735137255424; 0.330210; -5.752346; 1.184447
11735157178368; 0.315853; -3.806981; 1.033699
11735176052736; 1.878366; -4.070191; 2.560320
11735194927104; 4.295116; -5.718846; 3.010171
11735214850048; 5.496314; -7.680961; 2.593820
11735233724416; 4.620541; -6.441479; 3.696911
11735253647360; 5.352744; -6.139983; 4.378865
11735272521728; 8.362915; -8.417950; 4.024728
11735292444672; 9.066405; -10.205389; 3.873980
11735310270464; 6.704689; -8.394022; 4.615755
11735329144832; 6.190232; -8.063812; 4.658826
11735349067776; 7.008577; -8.164310; 3.981657
11735367942144; 7.678568; -9.669396; 3.570091
11735387865088; 7.819745; -9.516255; 3.500700
11735406739456; 7.350751; -8.882157; 3.629912
11735425613824; 7.838887; -8.855837; 3.383451
11735446585344; 8.008778; -7.795816; 2.696711
11735464411136; 8.195417; -8.422736; 2.837888
11735484334080; 8.745767; -6.721439; 2.222932
11735503208448; 9.681360; -5.479564; 1.741975
11735523131392; 10.518848; -7.025327; 0.772882
11735542005760; 12.370893; -4.543970; 1.261018
11735560880128; 10.317851; -9.870394; 1.304088
11735580803072; 11.614761; -3.546163; 1.923829
11735599677440; 10.013963; -4.644469; 1.634298
11735619600384; 10.844273; -8.195417; 1.055235
11735638474752; 9.753145; -5.934200; 0.753739
11735657349120; 9.420543; -4.132405; 0.937986
11735677272064; 9.970892; -4.917251; 0.555135
11735697195008; 10.389636; -2.648855; 1.016950
11735716069376; 10.365707; -2.866601; 0.866202
11735741235200; 10.171889; -6.908079; -0.636491
11735754866688; 9.724431; -4.256832; 0.093320
11735775838208; 9.540184; -4.945964; -0.509671
11735795761152; 9.463614; -5.888737; -0.512064
11735812538368; 8.898908; -4.771288; -0.569492
11735836655616; 8.523234; -4.242475; -0.282353
11735853432832; 8.796016; -4.067799; 0.311067
11735877550080; 8.537591; -3.316452; 0.191426
11735890132992; 8.288737; -3.268596; 0.385244
11735912153088; 8.429914; -2.603391; 0.004786
11735929978880; 8.743374; -3.309274; 0.189033
11735949901824; 8.977871; -3.354737; 0.445065
11735967727616; 8.819944; -3.558127; 1.110270
11735986601984; 9.202796; -3.390630; 1.418944
11736050565120; 9.688539; -2.871387; 1.538585
11736079925248; 9.640682; -1.978864; 2.196611
11736080973824; 9.640682; -1.978864; 2.196611
11736113479680; 9.446864; -1.931008; 2.019542
11736139694080; 9.245867; -1.978864; 2.021935
11736141791232; 9.245867; -1.978864; 2.021935
11736166957056; 9.454042; -1.682154; 2.431108
11736169054208; 9.439685; -1.622334; 2.390430
11736178491392; 9.308080; -1.593620; 2.311467
11736195268608; 9.422935; -1.261018; 2.337788
11736200511488; 9.422935; -1.261018; 2.337788
11736220434432; 9.461221; -1.134198; 2.426322
11736244551680; 9.516255; -1.194018; 2.356930
11736260280320; 9.322437; -1.071985; 2.103291
11736274960384; 9.269794; -1.174876; 2.167897
11736295931904; 9.604790; -0.914058; 2.354537
11736315854848; 9.198010; -0.863809; 2.495714
11736334729216; 9.121440; -1.167697; 2.469393
11736357797888; 9.446864; -1.380659; 2.522035
11736372477952; 9.535398; -1.160519; 2.452643
11736392400896; 9.288938; -0.959522; 2.507678
11736411275264; 9.363115; -1.296910; 2.830709
11736429101056; 9.741181; -1.615155; 2.763710
11736449024000; 9.267402; -1.186840; 2.605784
11736466849792; 8.843872; -1.263410; 2.656033
11736486772736; 9.279366; -1.464407; 2.718246
11736506695680; 9.547362; -1.483550; 2.723032
11736525570048; 9.315259; -1.191626; 2.589034
11736544444416; 8.927621; -1.141376; 2.586641
11736566464512; 8.389236; -1.718047; 2.715854
11736585338880; 7.869994; -1.574477; 2.622534
11736604213248; 7.791030; -1.933401; 2.155933
11736622039040; 7.838887; -2.943172; 1.627119
11736641961984; 7.724031; -3.677768; 1.261018
11736659787776; 7.592426; -3.957729; 1.050449
11736679710720; 8.279166; -4.697111; 1.866402
11736698585088; 10.372886; -3.091527; 1.581656
11736717459456; 10.387243; -2.065006; 1.284946
11736737382400; 9.355937; -1.351945; 1.689333
11736756256768; 10.018748; -0.133998; 1.275374
11736776179712; 12.246467; 1.179662; 1.119841
11736798199808; 11.143375; 2.600998; 2.419144
11736817074176; 9.087940; 4.543970; 3.761517
11736834899968; 8.496913; 4.173083; 3.622734
11736853774336; 8.216953; 2.294717; 3.804588
11736872648704; 8.248059; 1.043271; 3.596412
11736892571648; 9.217153; 0.526421; 3.378666
11736910397440; 8.963513; -0.009571; 2.821138
11736930320384; 8.475378; -1.038485; 2.215754
11736949194752; 8.874979; -2.201397; 2.084148
11736968069120; 8.585447; -2.813959; 1.787439
11736989040640; 8.257631; -3.637090; 1.445265
11737007915008; 8.535198; -4.826324; 0.882952
11737027837952; 8.870193; -5.441278; 0.478565
11737045663744; 9.332008; -5.558527; 0.138784
11737065586688; 9.894321; -5.879165; -0.045464
11737084461056; 10.037891; -6.386444; -0.308674
11737104384000; 9.791430; -7.099505; -0.619741
11737125355520; 10.107283; -8.439486; -0.390030
11737142132736; 10.928021; -8.901300; -0.760918
11737165201408; 11.605190; -8.896515; -0.770489
11737188270080; 13.351951; -10.336994; 0.093320
11737205047296; 15.778273; -10.614561; -0.117248
11737221824512; 16.977077; -10.334601; 0.033500
11737238601728; 18.575481; -10.222138; 1.682154
11737264816128; 20.697916; -10.296316; 3.371487
11737285787648; 22.155146; -10.238888; 3.909872
11737297321984; 23.645874; -9.566504; 4.768896
11737317244928; 24.222544; -9.734002; 5.254639
11737335070720; 25.033710; -9.401401; 5.546563
