time; x; y; z
21082367066112; 0.909273; 3.215954; 9.095119
21082373357568; 0.909273; 3.215954; 9.095119
21082373357568; 0.909273; 3.215954; 9.095119
21082377551872; 0.909273; 3.215954; 9.095119
21082388037632; 0.909273; 3.215954; 9.095119
21082388037632; 0.909273; 3.215954; 9.095119
21082438369280; 1.150948; 3.584448; 9.939785
21082440466432; 1.150948; 3.584448; 9.939785
21082442563584; 1.150948; 3.584448; 9.939785
21082446757888; 1.150948; 3.584448; 9.939785
21082453049344; 1.150948; 3.584448; 9.939785
21082457243648; 1.150948; 3.584448; 9.939785
21082486603776; 0.981057; 3.299702; 9.324830
21082490798080; 0.981057; 3.299702; 9.324830
21082492895232; 0.981057; 3.299702; 9.324830
21082497089536; 0.981057; 3.299702; 9.324830
21082501283840; 0.981057; 3.299702; 9.324830
21082503380992; 0.981057; 3.299702; 9.324830
21082539032576; 0.954736; 3.452843; 9.221938
21082541129728; 0.954736; 3.452843; 9.221938
21082549518336; 0.954736; 3.452843; 9.221938
21082551615488; 0.954736; 3.452843; 9.221938
21082555809792; 0.954736; 3.452843; 9.221938
21082557906944; 0.954736; 3.452843; 9.221938
21082601947136; 0.928415; 3.304488; 9.157332
21082601947136; 0.928415; 3.304488; 9.157332
21082604044288; 0.928415; 3.304488; 9.157332
21082604044288; 0.928415; 3.304488; 9.157332
21082606141440; 0.928415; 3.304488; 9.157332
21082608238592; 0.928415; 3.304488; 9.157332
21082654375936; 0.978664; 3.498307; 8.726624
21082656473088; 0.978664; 3.498307; 8.726624
21082660667392; 0.978664; 3.498307; 8.726624
21082662764544; 0.978664; 3.498307; 8.726624
21082666958848; 0.978664; 3.498307; 8.726624
21082666958848; 0.978664; 3.498307; 8.726624
21082719387648; 2.653640; 4.201797; 7.783852
21082721484800; 2.653640; 4.201797; 7.783852
21082723581952; 2.653640; 4.201797; 7.783852
21082731970560; 2.653640; 4.201797; 7.783852
21082734067712; 2.653640; 4.201797; 7.783852
21082736164864; 2.653640; 4.201797; 7.783852
21082778107904; 2.849852; 5.379066; 7.250253
21082778107904; 2.849852; 5.379066; 7.250253
21082780205056; 2.849852; 5.379066; 7.250253
21082786496512; 2.849852; 5.379066; 7.250253
21082788593664; 2.849852; 5.379066; 7.250253
21082792787968; 2.849852; 5.379066; 7.250253
21082834731008; 4.271188; 4.158726; 5.644669
21082836828160; 4.271188; 4.158726; 5.644669
21082838925312; 4.271188; 4.158726; 5.644669
21082853605376; 4.271188; 4.158726; 5.644669
21082855702528; 4.271188; 4.158726; 5.644669
21082859896832; 4.271188; 4.158726; 5.644669
21082901839872; 4.541577; 0.318245; 4.333402
21082901839872; 4.541577; 0.318245; 4.333402
21082903937024; 4.541577; 0.318245; 4.333402
21082914422784; 4.541577; 0.318245; 4.333402
21082918617088; 4.541577; 0.318245; 4.333402
21082920714240; 4.541577; 0.318245; 4.333402
21082947977216; 4.453043; -7.645068; 0.940379
21082964754432; 4.453043; -7.645068; 0.940379
21082981531648; 4.453043; -7.645068; 0.940379
21082983628800; 4.453043; -7.645068; 0.940379
21082992017408; 4.453043; -7.645068; 0.940379
21082998308864; 4.453043; -7.645068; 0.940379
21083036057600; 1.883151; -13.710874; -0.406780
21083040251904; 1.883151; -13.710874; -0.406780
21083042349056; 1.883151; -13.710874; -0.406780
21083044446208; 1.883151; -13.710874; -0.406780
21083050737664; 1.883151; -13.710874; -0.406780
21083052834816; 1.883151; -13.710874; -0.406780
21083067514880; 1.332802; -12.545569; -1.430908
21083071709184; 1.332802; -12.545569; -1.430908
21083078000640; 1.332802; -12.545569; -1.430908
21083082194944; 1.332802; -12.545569; -1.430908
21083084292096; 1.332802; -12.545569; -1.430908
21083084292096; 1.332802; -12.545569; -1.430908
21083117846528; 3.969693; -12.055040; -0.662812
21083151400960; 4.292724; -11.964113; -0.806381
21083176566784; 4.292724; -11.964113; -0.806381
21083182858240; 4.800002; -11.727223; -1.040878
21083182858240; 4.800002; -11.727223; -1.040878
21083187052544; 4.800002; -11.727223; -1.040878
21083197538304; 4.800002; -11.727223; -1.040878
21083216412672; 4.800002; -11.727223; -1.040878
21083245772800; 4.496114; -11.545369; -0.421137
21083249967104; 4.496114; -11.545369; -0.421137
21083262550016; 4.795217; -12.557533; -1.143769
21083281424384; 5.158926; -12.727424; -0.308674
21083396767744; 6.407979; -9.008977; -0.411565
21083413544960; 6.664011; -8.322237; -0.552742
21083421933568; 6.664011; -8.322237; -0.552742
21083424030720; 6.664011; -8.322237; -0.552742
