time; x; y; z
11495339458560; 9.107083; -11.767901; -2.938386
11495361478656; 9.525827; -10.978271; -3.625126
11495370915840; 8.764910; -10.712667; -4.247260
11495390838784; 7.817351; -9.439685; -3.531806
11495409713152; 7.992028; -7.606783; -3.806981
11495427538944; 9.080762; -5.745167; -3.964907
11495446413312; 8.499306; -6.470192; -3.074777
11495465287680; 7.977671; -5.742774; -2.818745
11495485210624; 8.078169; -5.697311; -1.320838
11495551270912; 9.473185; -5.414958; -0.626920
11495579582464; 7.556534; -4.938786; -0.988236
11495581679616; 7.556534; -4.938786; -0.988236
11495693877248; 7.104290; -2.701497; -3.098705
11495792443392; 7.305287; -6.965507; -3.366701
11495798734848; 7.305287; -6.965507; -3.366701
11495799783424; 7.305287; -6.965507; -3.366701
11495807123456; 7.305287; -6.965507; -3.366701
11495808172032; 7.305287; -6.965507; -3.366701
11495809220608; 7.305287; -6.965507; -3.366701
11495817609216; 7.240681; -6.711867; -3.644269
11495821803520; 7.240681; -6.711867; -3.644269
11495823900672; 7.240681; -6.711867; -3.644269
11495824949248; 7.240681; -6.711867; -3.644269
11495834386432; 6.922436; -6.556334; -3.677768
11495836483584; 6.922436; -6.556334; -3.677768
11495862697984; 7.240681; -6.709475; -3.840480
11495953924096; 6.082555; -6.829116; -3.589234
11495964409856; 6.082555; -6.829116; -3.589234
11496021032960; 6.096912; -6.518049; -3.474379
11496023130112; 6.295516; -6.305088; -3.455236
11496025227264; 6.295516; -6.305088; -3.455236
11496032567296; 6.295516; -6.305088; -3.455236
11496036761600; 6.295516; -6.305088; -3.455236
11496053538816; 6.324230; -6.307480; -3.550949
11496067170304; 6.422336; -6.470192; -3.180061
11496075558912; 6.422336; -6.470192; -3.180061
11496084996096; 6.616155; -5.958128; -3.323631
11496117501952; 6.549156; -6.010770; -3.637090
11496129036288; 6.587441; -5.974878; -2.885744
11496138473472; 6.587441; -5.974878; -2.885744
11496150007808; 6.551548; -5.278567; -2.790031
11496165736448; 6.680761; -5.568098; -2.634498
11496177270784; 6.680761; -5.568098; -2.634498
11496187756544; 6.776474; -5.146962; -2.660819
11496202436608; 6.776474; -5.146962; -2.660819
11496222359552; 6.924829; -5.398208; -2.096113
11496238088192; 7.018149; -4.697111; -1.607977
11496294711296; 8.130812; -6.331409; -2.835495
11496347140096; 9.853643; -4.383651; -0.947558
11496352382976; 8.982656; -5.675776; -0.648455
11496414248960; 9.619147; -9.052048; 0.662812
11496420540416; 9.619147; -9.052048; 0.662812
11496421588992; 9.619147; -9.052048; 0.662812
11496423686144; 9.619147; -9.052048; 0.662812
11496426831872; 9.619147; -9.052048; 0.662812
11496433123328; 9.884750; -10.638490; -0.617348
11496482406400; 10.789237; -11.619547; -1.959722
11496564195328; 11.875579; -10.908878; -9.394221
11496575729664; 11.875579; -10.908878; -9.394221
11496577826816; 11.875579; -10.908878; -9.394221
11496580972544; 11.875579; -10.908878; -9.394221
11496643887104; 10.549955; -2.313859; -15.220745
11496648081408; 10.549955; -2.313859; -15.220745
11496651227136; 10.549955; -2.313859; -15.220745
11496704704512; 11.318051; -1.696511; -18.008383
11496722530304; 12.576675; -1.636691; -17.694923
11496723578880; 12.576675; -1.636691; -17.694923
11496724627456; 12.576675; -1.636691; -17.694923
11496725676032; 12.576675; -1.636691; -17.694923
11496749793280; 13.789837; -1.749153; -16.187445
11496753987584; 13.789837; -1.749153; -16.187445
11496758181888; 13.899907; -2.404787; -13.167703
11496766570496; 13.899907; -2.404787; -13.167703
11496800124928; 12.784851; -3.369094; -8.216953
11496805367808; 12.784851; -3.369094; -8.216953
