time; x; y; z
18097610162176; 1.947758; 4.187439; 8.427522
18097643716608; 1.560120; 3.991228; 8.173882
18097652105216; 1.560120; 3.991228; 8.173882
18097656299520; 1.560120; 3.991228; 8.173882
18097660493824; 1.560120; 3.991228; 8.173882
18097664688128; 1.560120; 3.991228; 8.173882
18097704534016; 1.988436; 4.211368; 8.518449
18097715019776; 1.988436; 4.211368; 8.518449
18097721311232; 1.988436; 4.211368; 8.518449
18097729699840; 1.988436; 4.211368; 8.518449
18097731796992; 1.988436; 4.211368; 8.518449
18097756962816; 2.289931; 3.816552; 8.851051
18097761157120; 2.289931; 3.816552; 8.851051
18097769545728; 2.289931; 3.816552; 8.851051
18097771642880; 2.289931; 3.816552; 8.851051
18097773740032; 2.289931; 3.816552; 8.851051
18097796808704; 1.840081; 4.194618; 8.573483
18097801003008; 1.840081; 4.194618; 8.573483
18097803100160; 1.840081; 4.194618; 8.573483
18097805197312; 1.840081; 4.194618; 8.573483
18097807294464; 1.840081; 4.194618; 8.573483
18097811488768; 1.840081; 4.194618; 8.573483
18097853431808; 2.873780; 5.599205; 7.267003
18097855528960; 2.873780; 5.599205; 7.267003
18097859723264; 2.873780; 5.599205; 7.267003
18097861820416; 2.873780; 5.599205; 7.267003
18097861820416; 2.873780; 5.599205; 7.267003
18097866014720; 2.873780; 5.599205; 7.267003
18097916346368; 4.271188; 8.365308; 5.106284
18097922637824; 4.271188; 8.365308; 5.106284
18097933123584; 4.546363; 7.680961; 4.307081
18097933123584; 4.546363; 7.680961; 4.307081
18097947803648; 4.546363; 7.680961; 4.307081
18097947803648; 4.546363; 7.680961; 4.307081
18097962483712; 4.546363; 7.680961; 4.307081
18097966678016; 4.546363; 7.680961; 4.307081
18097993940992; 5.572884; -3.239882; -1.763510
18097996038144; 5.572884; -3.239882; -1.763510
18098004426752; 5.572884; -3.239882; -1.763510
18098008621056; 5.572884; -3.239882; -1.763510
18098019106816; 5.572884; -3.239882; -1.763510
18098021203968; 5.572884; -3.239882; -1.763510
18098040078336; -0.323031; -20.226530; -6.675975
18098050564096; -0.323031; -20.226530; -6.675975
18098065244160; -0.323031; -20.226530; -6.675975
18098067341312; -0.323031; -20.226530; -6.675975
18098084118528; -6.156733; -12.390036; -2.325824
18098086215680; -6.156733; -12.390036; -2.325824
18098096701440; -6.156733; -12.390036; -2.325824
18098098798592; -6.156733; -12.390036; -2.325824
18098111381504; -6.156733; -12.390036; -2.325824
18098115575808; -6.156733; -12.390036; -2.325824
18098151227392; -5.307281; -8.324630; -4.967500
18098176393216; -5.307281; -8.324630; -4.967500
18098180587520; -3.268596; -8.932407; -2.474179
18098191073280; -3.268596; -8.932407; -2.474179
18098197364736; -3.268596; -8.932407; -2.474179
18098197364736; -3.268596; -8.932407; -2.474179
18098199461888; -3.268596; -8.932407; -2.474179
18098201559040; -3.268596; -8.932407; -2.474179
18098212044800; -3.268596; -8.932407; -2.474179
18098214141952; -3.268596; -8.932407; -2.474179
18098291736576; 7.063612; -8.274381; 0.351745
18098298028032; 8.087741; -8.085348; -0.160319
18098304319488; 8.087741; -8.085348; -0.160319
18098312708096; 8.087741; -8.085348; -0.160319
18098321096704; 8.087741; -8.085348; -0.160319
18098323193856; 8.087741; -8.085348; -0.160319
18098329485312; 8.087741; -8.085348; -0.160319
18098335776768; 8.087741; -8.085348; -0.160319
18098379816960; 15.905092; -5.745167; -3.531806
18098423857152; 17.639889; -8.310273; -5.915058
18098425954304; 17.639889; -8.310273; -5.915058
18098425954304; 17.639889; -8.310273; -5.915058
18098446925824; 17.802601; -9.217153; -7.853244
18098449022976; 19.453648; -8.374879; -11.916257
18098451120128; 19.453648; -8.374879; -11.916257
18098455314432; 19.453648; -8.374879; -11.916257
18098461605888; 19.453648; -8.374879; -11.916257
18098461605888; 19.453648; -8.374879; -11.916257
18098463703040; 19.453648; -8.374879; -11.916257
18098463703040; 19.453648; -8.374879; -11.916257
18098465800192; 19.453648; -8.374879; -11.916257
18098476285952; 21.078375; -10.382458; -17.596817
18098480480256; 21.078375; -10.382458; -17.596817
18098505646080; 22.526031; -17.412571; -22.468605
18098511937536; 18.644875; -12.093326; -12.452249
18098516131840; 18.644875; -12.093326; -12.452249
18098526617600; 13.512269; -4.213761; -8.425129
18098545491968; 14.959928; -5.118248; -11.777473
18098566463488; 13.007384; -11.720045; -13.667803
18098585337856; 12.026326; -11.246266; -16.474585
18098604212224; 9.413364; -10.059426; -16.627724
18098623086592; 6.077769; -8.413164; -16.182659
18098641960960; 3.857230; -7.917850; -15.938592
18098660835328; 1.325624; -5.285745; -15.285351
18098681806848; 0.107677; -3.763910; -15.739987
18098700681216; -0.679562; -4.955536; -14.907285
18098719555584; 1.435694; -4.828716; -15.816558
18098738429952; 2.852245; -1.964507; -15.536597
18098757304320; 2.632105; 0.090927; -12.669996
18098778275840; 2.301895; -0.413958; -9.595219
18098799247360; 2.392823; -0.655633; -5.419743
18098818121728; 2.021935; -1.682154; -4.173083
18098836996096; 2.182254; -2.263610; -4.094120
18098853773312; 2.522035; -2.974278; -6.769295
18098874744832; 3.955336; -2.230111; -8.080562
18098895716352; 5.429315; -1.380659; -6.415157
18098960728064; 6.398408; -0.959522; -1.016950
18098987991040; 8.578269; 1.545763; 2.629712
18098990088192; 8.578269; 1.545763; 2.629712
18099025739776; 7.802995; -6.857830; 7.948957
18099025739776; 7.802995; -6.857830; 7.948957
18099053002752; 6.731010; -7.374680; 8.788837
18099076071424; 2.770889; -9.523434; 7.171289
18099080265728; 2.770889; -9.523434; 7.171289
18099088654336; 3.378666; -8.544769; 8.760123
18099097042944; 3.378666; -8.544769; 8.760123
18099111723008; 4.919643; -11.050055; 10.341780
18099124305920; 5.651847; -13.818551; 12.555140
18099143180288; 9.198010; -17.642281; 17.230717
18099164151808; 10.734202; -19.448862; 15.840486
18099183026176; 10.724631; -17.546568; 13.280166
18099201900544; 13.627125; -17.649460; 13.222738
18099220774912; 14.914464; -17.953348; 11.598011
18099239649280; 14.859428; -15.225531; 8.348558
18099260620800; 15.249458; -13.067204; 6.094519
18099279495168; 13.229917; -10.269995; 3.093920
18099300466688; 8.336594; -12.258430; 3.294917
18099319341056; 4.998607; -14.935999; 3.168097
18099336118272; 3.287738; -12.873385; 2.529213
18099359186944; 0.662812; -10.329815; 0.378066
18099375964160; -0.658026; -11.586047; 1.615155
18099394838528; 2.514857; -12.268002; -1.402194
18099415810048; 4.601398; -9.556933; -2.699104
18099434684416; 4.457829; -10.135997; -5.048856
18099453558784; 3.165704; -7.111469; 1.067199
18099472433152; -0.421137; -13.057633; 3.268596
18099491307520; 0.191426; -6.941578; -2.402394
18099514376192; -2.775674; -0.969093; -1.103091
18099529056256; -4.208975; -9.829716; 0.736989
18099550027776; -2.031507; -10.530812; -1.064806
18099568902144; -2.000400; -10.281959; -2.519642
18099589873664; -1.246661; -9.927821; 0.203390
18099608748032; -1.701297; -16.007984; 2.598605
18099625525248; -0.334995; -19.188046; 2.734996
18099646496768; -1.775474; -18.766909; 1.720439
18099665371136; -2.768496; -18.273987; 3.455236
18099684245504; -3.773481; -14.677574; 1.457229
18099703119872; -5.438886; -11.808579; 2.823531
18099724091392; -3.821338; -9.664611; 1.081556
18099742965760; -3.675375; -9.157332; 0.198604
18099761840128; -0.849452; -9.568898; 2.316252
