time; x; y; z
17991397801984; 9.580862; -4.850252; -14.388042
17991418773504; 8.743374; -0.772882; -15.711273
17991437647872; 7.692925; -4.149155; -15.412170
17991456522240; 8.461020; -3.658626; -14.601004
17991475396608; 7.829316; -2.868994; -11.918650
17991494270976; 7.195218; -3.694518; -9.126225
17991517339648; 7.752745; -4.079762; -7.599605
17991536214016; 9.444471; -3.072384; -7.367501
17991550894080; 10.073783; -1.581656; -7.592426
17991571865600; 10.686346; -0.019143; -6.537191
17991588642816; 10.325029; 0.270389; -2.610569
17991609614336; 11.346765; -0.358923; -1.158126
17991628488704; 10.973485; -1.655833; 2.251646
17991649460224; 8.729017; -3.517449; 5.096712
17991668334592; 8.420342; -0.911665; 8.468200
17991685111808; 6.628119; -0.449851; 8.688339
17991706083328; 5.381458; -1.950150; 8.379665
17991724957696; 6.472585; -5.838487; 7.994421
17991743832064; 7.118648; -5.285745; 7.453642
17991764803584; 5.345566; -3.058027; 7.082755
17991783677952; 5.347959; -3.400201; 7.465607
17991804649472; 7.992028; -8.980264; 9.281759
17991821426688; 7.338787; -15.251851; 8.867801
17991840301056; 7.135397; -8.202596; 5.769095
17991861272576; 10.600204; -10.140782; 8.231310
17991880146944; 14.400006; -22.506889; 11.554940
17991899021312; 16.070196; -25.797022; 11.320444
17991917895680; 16.208981; -21.320049; 8.559127
17991985004544; 16.548761; -20.487347; 6.204589
17992016461824; 11.193624; -17.309679; 2.244468
17992024850432; 11.193624; -17.309679; 2.244468
17992045821952; 8.142776; -13.201202; -1.184447
17992075182080; 4.699504; -8.185846; 1.201197
17992079376384; 4.699504; -8.185846; 1.201197
17992098250752; 1.217947; -15.148960; 0.311067
17992106639360; 1.217947; -15.148960; 0.311067
17992108736512; 2.354537; -13.540983; -0.954736
17992127610880; 2.354537; -13.540983; -0.954736
17992133902336; 2.931208; -10.236495; -1.519442
17992156971008; 6.652047; -14.065011; -3.294917
17992167456768; 5.828916; -11.327622; -1.741975
17992188428288; 3.756732; -10.064212; -4.180261
17992207302656; 3.239882; -8.726624; -7.858029
17992228274176; -0.117248; -3.783053; -3.297310
17992247148544; -0.655633; -6.793223; -2.199004
17992266022912; 1.708475; -3.512664; -3.505485
17992284897280; 3.184847; -3.326024; -4.051049
17992305868800; 4.132405; -5.178068; -5.106284
17992324743168; 4.237689; -5.319245; -4.998607
17992343617536; 4.252046; -5.398208; -5.429315
17992362491904; 2.510071; -9.212367; -4.398008
