time; x; y; z
6413786021888; -2.242075; -4.302295; -1.536192
6413792837632; -1.476372; -5.955736; -1.744368
6413811712000; -0.885344; -8.353344; -1.832902
6413833207808; -1.014557; -9.856036; -1.639084
6413852082176; -0.894916; -10.442278; -2.275574
6413919191040; -0.890130; -11.380264; -2.593820
6413945405440; 0.004786; -10.078569; -3.641876
6413948026880; 0.004786; -10.078569; -3.641876
6413979484160; 0.519243; -11.665010; -4.180261
6414007795712; 0.861416; -10.892129; -3.132205
6414009892864; 0.861416; -10.892129; -3.132205
6414035582976; 7.130611; -16.127625; -3.821338
6414046068736; 5.058427; -14.361721; -2.634498
6414049738752; 5.058427; -14.361721; -2.634498
6414074380288; 4.218546; -9.509077; -2.213361
6414114750464; 8.231310; -5.800202; -6.604190
6414115799040; 8.231310; -5.800202; -6.604190
6414121041920; 10.657632; -12.586247; -4.539185
6414125236224; 10.657632; -12.586247; -4.539185
6414178189312; 5.687739; -8.154739; -6.587441
6414197063680; 9.320045; -8.054241; -6.707082
6414210170880; 9.320045; -8.054241; -6.707082
6414240055296; 5.501099; -9.942178; -1.816152
6414247395328; 5.501099; -9.942178; -1.816152
6414256832512; 6.307480; -12.722638; -3.792624
6414294056960; 10.504492; -8.097312; -3.885944
6414327611392; 9.114262; -8.743374; -1.277767
6414381613056; 7.563713; -5.079962; -2.246861
6414398914560; 7.994421; -4.981857; -2.737389
6414433517568; 6.216553; -4.974678; -2.744568
6414436139008; 6.216553; -4.974678; -2.744568
6414451867648; 6.324230; -5.046463; -2.352145
6414477033472; 7.738389; -5.297709; -2.210968
6414564065280; 8.355737; -4.558327; -1.672583
6414564065280; 8.355737; -4.558327; -1.672583
6414572453888; 8.355737; -4.558327; -1.672583
6414585561088; 8.355737; -4.558327; -1.672583
6414588182528; 7.647461; -4.467400; -1.447658
6414589231104; 7.647461; -4.467400; -1.447658
6414594473984; 7.647461; -4.467400; -1.447658
6414618066944; 7.609176; -5.278567; -0.981057
6414620164096; 9.035298; -6.333802; -1.088734
6414693564416; 9.824930; -6.113662; -1.624727
6414773256192; 12.605390; -9.071191; -5.249853
6414793703424; 12.308680; -8.676374; -4.388437
6414824636416; 11.992827; -7.544570; -3.562913
6414837219328; 12.136396; -7.274181; -4.266403
6414848229376; 12.136396; -7.274181; -4.266403
6414861860864; 11.755938; -8.623733; -5.197211
6414863958016; 11.755938; -8.623733; -5.197211
6414865006592; 11.755938; -8.623733; -5.197211
6414867103744; 11.755938; -8.623733; -5.197211
6414868152320; 10.877771; -10.353744; -7.269395
6414871298048; 10.877771; -10.353744; -7.269395
6414872346624; 10.877771; -10.353744; -7.269395
6414873395200; 10.877771; -10.353744; -7.269395
6414885978112; 10.877771; -10.353744; -7.269395
6414945746944; 9.334401; -10.066605; -10.753345
6414991360000; 7.460821; -9.006584; -9.789038
6415003942912; 7.460821; -9.006584; -9.789038
6415009185792; 7.582855; -7.087541; -10.841880
6415041691648; 7.010970; -5.517849; -11.140983
6415047983104; 7.116254; -5.907879; -11.370693
6415058468864; 7.116254; -5.907879; -11.370693
6415095169024; 5.943771; -5.448457; -8.437093
6415099363328; 5.943771; -5.448457; -8.437093
6415125577728; 5.249853; -4.287938; -6.226124
6415156510720; 5.144569; -4.479364; -6.027520
6415165947904; 5.436493; -4.685147; -6.061020
6415179055104; 5.199604; -4.493721; -5.536992
6415200550912; 5.051249; -3.938586; -4.926822
6415209463808; 5.051249; -3.938586; -4.926822
6415235153920; 6.350551; -2.009971; -4.158726
6415241445376; 6.350551; -2.009971; -4.158726
6415275524096; 5.367101; -5.936593; 1.428515
6415319564288; 5.967700; -6.329016; 0.090927
6415341584384; 6.154340; -5.714060; 0.579063
6415352594432; 5.525027; -5.608776; 2.514857
6415367274496; 5.525027; -5.608776; 2.514857
6415406071808; 6.285945; -9.418150; 5.412565
6415408693248; 4.740181; -9.145369; 6.238089
6415414984704; 4.740181; -9.145369; 6.238089
6415430189056; 3.615555; -8.011170; 5.888737
6415466889216; 5.039285; -8.906086; 7.312466
6415481569280; 6.745367; -10.822737; 5.371887
6415491530752; 5.907879; -8.405986; 3.749553
6415509880832; 5.132605; -5.742774; 4.161119
6415520890880; 5.132605; -5.742774; 4.161119
6415534522368; 6.948757; -8.834301; 7.740781
6415557066752; 8.654840; -11.997613; 7.515856
6415574368256; 8.128419; -9.013762; 4.733003
6415593766912; 8.590233; -6.008378; 4.139583
6415604776960; 10.717453; -8.889337; 6.707082
6415616835584; 10.717453; -8.889337; 6.707082
6415617884160; 10.717453; -8.889337; 6.707082
6415621029888; 11.746367; -12.023933; 6.123233
6415626797056; 11.746367; -12.023933; 6.123233
6415644098560; 12.299109; -10.652846; 4.132405
6415663497216; 13.445271; -9.707682; 2.017149
6415684993024; 14.462220; -11.181661; 0.392423
6415699673088; 14.478970; -12.923635; -1.205983
6415726936064; 14.074583; -14.091332; -3.227918
6415743188992; 14.323437; -15.297316; -5.460421
6415773597696; 14.132010; -15.330814; -6.544370
6415791947776; 14.053047; -14.172688; -6.427122
6415804530688; 14.136796; -13.091133; -7.123433
6415822356480; 12.464213; -12.236895; -7.834101
6415835987968; 12.153146; -14.612967; -6.977471
6415899951104; 12.823136; -12.784851; -5.996414
6415933505536; 12.751352; -9.291330; -7.034899
6415942418432; 12.751352; -9.291330; -7.034899
6415965487104; 11.368300; -9.540184; -5.486742
6415994847232; 9.973285; -7.314859; -4.809574
6415999041536; 9.973285; -7.314859; -4.809574
6416084500480; 2.615355; -4.070191; -8.185846
6416089219072; 2.615355; -4.070191; -8.185846
6416104423424; 2.459822; -0.720240; -6.297909
6416113860608; 2.459822; -0.720240; -6.297909
6416121724928; -1.445265; -1.392623; -2.548356
6416151085056; -1.787439; -4.388437; -2.895315
6416151609344; -1.787439; -4.388437; -2.895315
6416153182208; -1.787439; -4.388437; -2.895315
6416177823744; -0.200997; -5.515456; -5.572884
6416194076672; 0.284746; -7.728817; -6.080163
6416218193920; -2.196611; -5.955736; -3.790231
6416229728256; -2.196611; -5.955736; -3.790231
6416245456896; -2.222932; -6.345766; -4.345366
6416248602624; -2.222932; -6.345766; -4.345366
6416276389888; -1.880759; -6.896115; -4.244867
6416302604288; -1.883151; -6.922436; -3.644269
6416304177152; -1.883151; -6.922436; -3.644269
6416315187200; -1.330409; -7.956135; -3.560520
6416335634432; -0.114855; -8.611769; -4.077370
6416346644480; -0.114855; -8.611769; -4.077370
6416376528896; 0.641276; -9.980463; -3.565306
6416382820352; 0.641276; -9.980463; -3.565306
6416396976128; 1.007378; -9.571291; -3.393023
6416415326208; 2.289931; -8.951550; -3.565306
6416432103424; 3.208775; -9.628718; -3.570091
