time; x; y; z
11281571512320; -11.621940; -4.242475; 2.861816
11281590386688; -11.222338; -6.853044; 1.935794
11281611358208; -11.394622; -6.635297; 2.275574
11281630232576; -11.430513; -6.687939; 3.079563
11281650155520; -11.239088; -5.804988; 2.711068
11281671127040; -11.459228; -4.682754; 2.835495
11281688952832; -11.179267; -9.698111; 2.718246
11281705730048; -10.133604; -7.432107; 2.110470
11281726701568; -9.334401; -8.520842; 1.787439
11281747673088; -8.793623; -7.774281; 1.337588
11281763401728; -8.422736; -7.324430; 0.332602
11281783324672; -8.796016; -6.553941; 0.186640
11281802199040; -8.819944; -7.087541; 0.234497
11281822121984; -9.202796; -5.264210; 0.153141
11281840996352; -9.243474; -4.043870; 0.337388
11281859870720; -9.432507; -3.304488; 0.662812
11281879793664; -9.477970; -2.888137; 0.600598
11281898668032; -9.396614; -2.598605; 0.430708
11281919639552; -9.241081; -2.057827; 0.351745
11281937465344; -9.602397; -1.684547; 0.971486
11281956339712; -9.564112; -1.328017; 0.914058
11281979408384; -9.355937; -0.777667; 1.237089
11281995137024; -9.286545; -1.265803; 1.658226
11282015059968; -9.126225; -1.208375; 1.840081
11282034982912; -9.329616; -1.722832; 1.782653
11282053857280; -9.427721; -1.540978; 2.017149
11282072731648; -9.430114; -1.648655; 1.964507
11282091606016; -9.198010; -1.873580; 1.871187
11282110480384; -9.487542; -1.959722; 1.995614
11282129354752; -9.576077; -1.945365; 1.940579
11282148229120; -9.631111; -2.165504; 2.136791
11282169200640; -9.602397; -2.289931; 2.194218
11282188075008; -9.722038; -2.450250; 2.378466
11282206949376; -9.585648; -2.330609; 2.304288
11282225823744; -9.399008; -2.143969; 2.244468
11282247843840; -9.276974; -1.966900; 2.335395
11282267766784; -9.341579; -2.021935; 2.105684
11282287689728; -9.528220; -1.926222; 2.086541
11282312855552; -9.645468; -1.500300; 1.957329
11282327535616; -9.628718; -1.423729; 1.823331
11282345361408; -9.717253; -1.550549; 1.720439
11282363187200; -9.863214; -1.612762; 1.655833
11282382061568; -9.832108; -1.246661; 1.627119
11282406178816; -9.585648; -1.093520; 1.710868
11282425053184; -9.528220; -1.373480; 1.648655
11282438684672; -9.399008; -1.521835; 1.469193
11282463850496; -9.174082; -1.490728; 1.363909
11282480627712; -9.432507; -1.356730; 1.464407
11282501599232; -9.332008; -1.323231; 1.325624
11282525716480; -9.219545; -1.548156; 1.191626
11282542493696; -9.245867; -1.390230; 1.172483
