time; x; y; z
11711058804736; 1.753939; 5.350351; 8.027920
11711065096192; 1.753939; 5.350351; 8.027920
11711068241920; 1.753939; 5.350351; 8.027920
11711072436224; 1.753939; 5.350351; 8.027920
11711073484800; 1.753939; 5.350351; 8.027920
11711075581952; 1.753939; 5.350351; 8.027920
11711163662336; 1.787439; 5.111069; 8.451449
11711167856640; 1.787439; 5.111069; 8.451449
11711182536704; 1.902294; 5.125426; 7.987242
11711186731008; 1.902294; 5.125426; 7.987242
11711190925312; 1.902294; 5.125426; 7.987242
11711196168192; 1.902294; 5.125426; 7.987242
11711212945408; 1.902294; 5.125426; 7.987242
11711227625472; 1.902294; 5.125426; 7.987242
11711252791296; 1.842473; 5.213961; 8.238488
11711253839872; 1.842473; 5.213961; 8.238488
11711254888448; 1.842473; 5.213961; 8.238488
11711255937024; 1.842473; 5.213961; 8.238488
11711303122944; 1.916651; 5.532206; 7.862815
11711310462976; 1.916651; 5.532206; 7.862815
11711337725952; 1.916651; 5.532206; 7.862815
11711352406016; 3.237489; 6.108876; 6.151947
11711376523264; 3.237489; 6.108876; 6.151947
11711381766144; 3.237489; 6.108876; 6.151947
11711395397632; 3.237489; 6.108876; 6.151947
11711401689088; 3.237489; 6.108876; 6.151947
11711403786240; 4.407579; 4.216154; 3.536592
11711404834816; 4.407579; 4.216154; 3.536592
11711415320576; 4.407579; 4.216154; 3.536592
11711417417728; 4.407579; 4.216154; 3.536592
11711436292096; 4.407579; 4.216154; 3.536592
11711454117888; 4.407579; 4.216154; 3.536592
11711458312192; 4.407579; 4.216154; 3.536592
11711465652224; 4.759324; 2.828316; 3.359523
11711479283712; 4.759324; 2.828316; 3.359523
11711496060928; 4.759324; 2.828316; 3.359523
11711522275328; 5.510671; -2.301895; 3.943372
11711527518208; 5.510671; -2.301895; 3.943372
11711539052544; 5.510671; -2.301895; 3.943372
11711556878336; 5.510671; -2.301895; 3.943372
11711560024064; 5.510671; -2.301895; 3.943372
11711570509824; 5.510671; -2.301895; 3.943372
11711587287040; 4.548756; -7.692925; 2.598605
11711599869952; 4.548756; -7.692925; 2.598605
11711601967104; 4.548756; -7.692925; 2.598605
11711608258560; 4.548756; -7.692925; 2.598605
11711627132928; 4.548756; -7.692925; 2.598605
11711633424384; 4.548756; -7.692925; 2.598605
11711639715840; 3.682554; -13.959727; 1.842473
11711643910144; 3.682554; -13.959727; 1.842473
11711647055872; 3.682554; -13.959727; 1.842473
11711648104448; 3.682554; -13.959727; 1.842473
11711654395904; 3.682554; -13.959727; 1.842473
11711657541632; 3.682554; -13.959727; 1.842473
11711706824704; 3.859623; -15.404992; 1.710868
11711724650496; 3.859623; -15.404992; 1.710868
11711727796224; 3.859623; -15.404992; 1.710868
11711739330560; 3.859623; -15.404992; 1.710868
11711758204928; 3.835695; -14.696716; 2.433501
11711760302080; 4.158726; -14.703896; 2.234896
11711827410944; 3.134598; -11.751152; 3.299702
11711834750976; 3.134598; -11.751152; 3.299702
11711854673920; 3.134598; -11.751152; 3.299702
11711854673920; 3.134598; -11.751152; 3.299702
11711862013952; 3.134598; -11.751152; 3.299702
11711881936896; 4.048656; -12.641282; 3.498307
11711950094336; 3.864408; -10.485349; 2.359323
11711959531520; 3.864408; -10.485349; 2.359323
11711987843072; 4.273581; -11.033305; 2.084148
11711989940224; 4.273581; -11.033305; 2.084148
11712026640384; 4.646862; -10.849058; 1.373480
11712030834688; 4.646862; -10.849058; 1.373480
11712056000512; 4.639683; -10.224531; 0.038285
11712066486272; 4.225725; -10.124033; -0.327817
11712070680576; 4.225725; -10.124033; -0.327817
11712080117760; 4.225725; -10.124033; -0.327817
11712086409216; 4.225725; -10.124033; -0.327817
11712093749248; 4.225725; -10.124033; -0.327817
11712103186432; 2.766103; -8.616554; -0.246461
11712121012224; 1.533799; -7.948957; -0.356531
11712137789440; 1.533799; -7.948957; -0.356531
11712143032320; 1.201197; -7.817351; -0.478565
11712145129472; 1.201197; -7.817351; -0.478565
11712164003840; 1.500300; -8.190632; -1.462015
11712168198144; 1.500300; -8.190632; -1.462015
11712176586752; 1.500300; -8.190632; -1.462015
11712181829632; 1.775474; -8.626125; -1.966900
11712190218240; 1.775474; -8.626125; -1.966900
11712193363968; 1.775474; -8.626125; -1.966900
11712204898304; 2.141576; -8.470592; -1.859223
11712213286912; 2.141576; -8.470592; -1.859223
11712214335488; 2.141576; -8.470592; -1.859223
11712224821248; 2.696711; -8.750552; -2.220539
11712236355584; 3.431308; -8.561520; -2.560320
11712240549888; 3.431308; -8.561520; -2.560320
11712259424256; 4.529613; -9.250652; -2.232503
11712266764288; 4.529613; -9.250652; -2.232503
11712274104320; 5.656633; -8.736196; -2.014757
11712303464448; 7.341180; -6.482157; -3.742375
11712306610176; 7.341180; -6.482157; -3.742375
11712321290240; 9.499506; -9.686146; -2.239682
11712325484544; 9.499506; -9.686146; -2.239682
11712326533120; 9.499506; -9.686146; -2.239682
11712334921728; 14.256437; -10.420743; 0.995414
11712345407488; 14.256437; -10.420743; 0.995414
11712355893248; 17.187645; -11.674582; 3.383451
11712366379008; 17.187645; -11.674582; 3.383451
11712396787712; 18.410378; -10.475778; 5.637490
11712411467776; 19.101904; -10.279566; 7.470392
11712438730752; 20.752951; -11.021341; 9.016156
11712459702272; 22.614567; -10.487741; 11.353944
11712472285184; 24.033510; -10.193424; 12.638889
11712480673792; 24.033510; -10.193424; 12.638889
11712511082496; 26.356941; -6.960721; 13.823337
11712527859712; 25.296921; -4.381258; 13.507483
11712534151168; 25.296921; -4.381258; 13.507483
11712536248320; 25.296921; -4.381258; 13.507483
11712538345472; 25.296921; -4.381258; 13.507483
11712549879808; 22.782064; -3.175276; 12.138789
11712563511296; 22.782064; -3.175276; 12.138789
11712572948480; 20.831913; -2.167897; 10.557134
11712586579968; 18.293129; -2.526821; 9.410972
11712597065728; 18.293129; -2.526821; 9.410972
11712606502912; 15.780665; -1.275374; 8.042277
11712628523008; 13.091133; 0.485743; 5.879165
11712641105920; 10.616954; 0.567099; 3.172883
11712647397376; 10.616954; 0.567099; 3.172883
11712662077440; 8.539984; 1.339981; 0.581456
11712684097536; 6.252446; 1.095913; -0.918844
11712709263360; 4.766503; 0.191426; -2.007578
11712734429184; 3.739982; 0.382852; -2.605784
11712734429184; 3.739982; 0.382852; -2.605784
11712739672064; 2.926422; 0.270389; -3.476771
11712748060672; 2.926422; 0.270389; -3.476771
11712765886464; 2.014757; 0.189033; -4.168297
11712787906560; 1.569692; 0.157926; -4.235296
11712798392320; 1.631905; 0.129212; -4.776074
11712806780928; 1.631905; 0.129212; -4.776074
11712817266688; 1.780260; 0.662812; -7.915457
11712837189632; 1.438086; -0.033500; -11.038091
11712856064000; 0.114855; -2.677568; -7.891529
11712874938368; -0.244068; -3.826123; -1.416551
11712894861312; -0.126820; -4.017549; -0.516850
11712916881408; -2.371287; -5.108676; -1.253839
11712933658624; -1.430908; -7.865208; 0.193819
11712953581568; -3.299702; -10.612168; 2.821138
11712971407360; -4.881358; -11.464013; -0.256032
11712990281728; -6.336195; -12.763316; -2.675176
11713020690432; -5.333601; -13.758730; -4.175476
11713031176192; -3.065206; -16.350157; -4.706682
11713058439168; 1.325624; -16.670795; -4.266403
11713073119232; 9.592826; -15.986448; -6.819544
11713090945024; 15.601204; -18.460627; -11.356337
11713107722240; 17.283358; -17.950956; -11.660225
11713125548032; 16.266409; -15.414563; -10.997413
11713145470976; 12.940385; -14.500505; -10.236495
11713169588224; 5.927022; -16.685152; -8.142776
11713188462592; 2.337788; -15.579668; -8.133204
11713225162752; 4.931607; -12.370893; -4.771288
11713229357056; 4.931607; -12.370893; -4.771288
11713245085696; 9.152547; -12.473784; -3.840480
11713259765760; 12.193824; -14.143974; -4.450650
11713281785856; 8.690732; -13.531412; -2.321038
11713299611648; 9.497113; -13.682159; 5.881558
11713318486016; 7.774281; -12.335001; 0.899701
11713337360384; 5.833702; -16.888542; -2.519642
11713358331904; 11.528620; -16.534405; 3.577270
11713378254848; 16.900507; -13.543376; 6.293124
11713397129216; 14.555540; -13.904693; 2.629712
11713413906432; 15.261423; -15.878771; -0.947558
11713439072256; 19.408184; -16.747366; -0.112463
11713468432384; 22.686352; -14.802001; 1.804188
11713477869568; 17.651854; -11.815758; -0.193819
11713493598208; 14.115261; -18.312271; 1.756332
11713510375424; 11.638689; 
